Time,Open,High,Low,Close,Volume
2023-02-24T06:00:00+0000,23665,23665,23665,23665,0
2023-02-27T06:00:00+0000,23725,23725,23725,23725,0
2023-02-28T06:00:00+0000,23685,23685,23685,23685,0
2023-03-01T06:00:00+0000,23805,23930,23805,23805,0
2023-03-02T06:00:00+0000,23860,23860,23860,23860,0
2023-03-03T06:00:00+0000,22675,22675,22675,22675,0
2023-03-06T06:00:00+0000,22720,22720,22720,22720,0
2023-03-07T06:00:00+0000,22415,22415,22415,22415,0
2023-03-08T06:00:00+0000,22450,22450,22450,22450,0
2023-03-09T06:00:00+0000,20390,20390,20390,20390,0
2023-03-10T06:00:00+0000,20285,20285,20285,20285,0
2023-03-13T05:00:00+0000,24725,24725,24725,24725,0
2023-03-14T05:00:00+0000,25540,26180,25540,25540,0
2023-03-15T05:00:00+0000,24775,24775,24775,24775,0
2023-03-16T05:00:00+0000,25415,25415,25415,25415,0
2023-03-17T05:00:00+0000,27275,27275,27275,27275,0
2023-03-20T05:00:00+0000,28280,28820,28280,28280,0
2023-03-21T05:00:00+0000,28670,28730,28670,28670,0
2023-03-22T05:00:00+0000,27185,29135,27185,27185,0
2023-03-23T05:00:00+0000,28955,29075,28955,28955,0
2023-03-24T05:00:00+0000,28375,28375,28105,28375,0
2023-03-27T05:00:00+0000,27530,27530,27160,27530,0
2023-03-28T05:00:00+0000,27950,27950,27305,27950,0
2023-03-29T05:00:00+0000,29015,29015,27825,29015,0
2023-03-30T05:00:00+0000,28635,29545,28435,28635,0
2023-03-31T05:00:00+0000,29140,29340,28440,29140,0
2023-04-03T05:00:00+0000,28675,28675,28235,28675,0
2023-04-04T05:00:00+0000,28790,28885,28430,28790,0
2023-04-05T05:00:00+0000,28795,29250,28515,28795,0
2023-04-06T05:00:00+0000,28540,28540,28345,28540,0
2023-04-07T05:00:00+0000,28435,28435,28415,28435,0
2023-04-10T05:00:00+0000,29870,29980,29870,29870,0
2023-04-11T05:00:00+0000,30795,31115,30795,30795,0
2023-04-12T05:00:00+0000,30360,31050,30360,30360,0
2023-04-13T05:00:00+0000,30970,31235,30970,30970,0
2023-04-14T05:00:00+0000,30885,31495,30865,30885,0
2023-04-17T05:00:00+0000,29960,29960,29850,29960,0
2023-04-18T05:00:00+0000,30790,30930,29770,30790,0
2023-04-19T05:00:00+0000,29725,30815,29695,29725,0
2023-04-20T05:00:00+0000,28555,28555,28555,28555,0
2023-04-21T05:00:00+0000,27715,28715,27695,27715,0
2023-04-24T05:00:00+0000,27955,28265,27500,27835,31
2023-04-25T05:00:00+0000,28100,28390,27765,28100,0
2023-04-26T05:00:00+0000,30260,30395,28260,28510,2
2023-04-27T05:00:00+0000,29600,30410,29240,30385,2
2023-04-28T05:00:00+0000,30110,30110,29635,29880,1
2023-05-01T05:00:00+0000,28305,29895,28285,28305,0
2023-05-02T05:00:00+0000,29280,29320,29280,29280,0
2023-05-03T05:00:00+0000,28790,28790,28650,28790,0
2023-05-04T05:00:00+0000,29390,29840,29390,29390,0
2023-05-05T05:00:00+0000,30190,30190,29345,30190,0
2023-05-08T05:00:00+0000,27770,27770,27765,27770,0
2023-05-09T05:00:00+0000,28170,28175,28170,28170,0
2023-05-10T05:00:00+0000,28185,28700,27335,28185,0
2023-05-11T05:00:00+0000,28050,28065,27240,27260,6
2023-05-12T05:00:00+0000,27000,27345,26310,26880,1
2023-05-15T05:00:00+0000,27830,28030,27830,27890,20
2023-05-16T05:00:00+0000,27415,27415,27365,27415,0
2023-05-17T05:00:00+0000,27920,27920,27100,27920,0
2023-05-18T05:00:00+0000,27270,27270,27000,27270,0
2023-05-19T05:00:00+0000,27395,27615,27395,27395,0
2023-05-22T05:00:00+0000,27410,27540,27115,27410,0
2023-05-23T05:00:00+0000,27800,27965,27400,27800,0
2023-05-24T05:00:00+0000,27405,27435,26600,26755,14
2023-05-25T05:00:00+0000,26710,26945,26435,26910,8
2023-05-26T05:00:00+0000,27280,27355,26805,27235,31
2023-05-30T05:00:00+0000,28650,28915,28075,28395,18
2023-05-31T05:00:00+0000,27735,27735,27315,27420,4
2023-06-01T05:00:00+0000,27145,27720,27060,27285,1
2023-06-02T05:00:00+0000,27205,27715,26960,27710,4
2023-06-05T05:00:00+0000,27155,27865,25785,25995,120
2023-06-06T05:00:00+0000,26510,27605,25770,27555,6
2023-06-07T05:00:00+0000,27250,27750,26675,26900,5
2023-06-08T05:00:00+0000,26935,27170,26615,26935,0
2023-06-09T05:00:00+0000,26770,27150,26725,26770,0
