Time,Open,High,Low,Latest,Volume
2024-11-04T06:00:00+0000,76160,76160,76160,76160,0
2024-11-05T06:00:00+0000,78600,78600,78600,78600,0
2024-11-06T06:00:00+0000,86275,86275,86275,86275,0
2024-11-07T06:00:00+0000,86730,86730,86730,86730,0
2024-11-08T06:00:00+0000,86835,86835,86835,86835,0
2024-11-11T06:00:00+0000,98605,98605,98605,98605,0
2024-11-12T06:00:00+0000,101160,101160,101160,101160,0
2024-11-13T06:00:00+0000,101475,101475,101475,101475,0
2024-11-14T06:00:00+0000,98920,98920,98920,98920,0
2024-11-15T06:00:00+0000,103340,103340,103340,103340,0
2024-11-18T06:00:00+0000,103390,103390,103390,103390,0
2024-11-19T06:00:00+0000,104540,104540,104540,104540,0
2024-11-20T06:00:00+0000,106490,106490,106490,106490,0
2024-11-21T06:00:00+0000,110950,110950,110950,110950,0
2024-11-22T06:00:00+0000,111920,111920,111920,111920,0
2024-11-25T06:00:00+0000,106860,106860,106860,106860,0
2024-11-26T06:00:00+0000,102575,102575,102575,102575,0
2024-11-27T06:00:00+0000,108850,108850,108850,108850,0
2024-11-29T06:00:00+0000,109285,109285,109285,109285,0
2024-12-02T06:00:00+0000,107660,107660,107660,107660,0
2024-12-03T06:00:00+0000,107625,107625,107625,107625,0
2024-12-04T06:00:00+0000,111280,111280,111280,111280,0
2024-12-05T06:00:00+0000,111410,111410,111410,111410,0
2024-12-06T06:00:00+0000,114120,114120,114120,114120,0
2024-12-09T06:00:00+0000,108030,108030,108030,108030,0
2024-12-10T06:00:00+0000,108350,108350,108350,108350,0
2024-12-11T06:00:00+0000,113960,113960,113960,113960,0
2024-12-12T06:00:00+0000,112135,112135,112135,112135,0
2024-12-13T06:00:00+0000,114090,114090,114090,114090,0
2024-12-16T06:00:00+0000,118770,118770,118770,118770,0
2024-12-17T06:00:00+0000,119645,119645,119645,119645,0
2024-12-18T06:00:00+0000,112810,112810,112810,112810,0
2024-12-19T06:00:00+0000,107875,107875,107875,107875,0
2024-12-20T06:00:00+0000,107990,107990,107990,107990,0
2024-12-23T06:00:00+0000,104265,104265,104265,104265,0
2024-12-24T06:00:00+0000,110610,110610,110610,110610,0
2024-12-26T06:00:00+0000,106855,106855,106855,106855,0
2024-12-27T06:00:00+0000,105645,105645,105645,105645,0
2024-12-30T06:00:00+0000,105290,105290,105290,105290,0
2024-12-31T06:00:00+0000,104440,104440,104440,104440,0
2025-01-02T06:00:00+0000,108575,108575,108575,108575,0
2025-01-03T06:00:00+0000,109790,109790,109790,109790,0
2025-01-06T06:00:00+0000,114105,114105,114105,114105,0
2025-01-07T06:00:00+0000,107560,107560,107560,107560,0
2025-01-08T06:00:00+0000,104750,104750,104750,104750,0
2025-01-09T06:00:00+0000,102380,102380,102380,102380,0
2025-01-10T06:00:00+0000,105570,105570,105570,105570,0
2025-01-13T06:00:00+0000,104280,104280,104280,104280,0
2025-01-14T06:00:00+0000,107545,107545,107545,107545,0
2025-01-15T06:00:00+0000,110945,110945,110945,110945,0
2025-01-16T06:00:00+0000,111695,111695,111695,111695,0
2025-01-17T06:00:00+0000,116625,116625,116625,116625,0
2025-01-21T06:00:00+0000,117905,117905,117905,117905,0
2025-01-22T06:00:00+0000,115865,115865,115865,115865,0
2025-01-23T06:00:00+0000,114855,114855,114855,114855,0
2025-01-24T06:00:00+0000,116525,116525,116525,116525,0
2025-01-27T06:00:00+0000,112630,112630,112630,112630,0
2025-01-28T06:00:00+0000,112305,112305,112305,112305,0
2025-01-29T06:00:00+0000,115650,115650,115650,115650,0
2025-01-30T06:00:00+0000,116450,116450,116450,116450,0
2025-01-31T06:00:00+0000,112690,112690,112690,112690,0
2025-02-03T06:00:00+0000,112265,112265,112265,112265,0
2025-02-04T06:00:00+0000,109380,109380,109380,109380,0
2025-02-05T06:00:00+0000,107825,107825,107825,107825,0
2025-02-06T06:00:00+0000,107295,107295,107295,107295,0
2025-02-07T06:00:00+0000,105975,105975,105975,105975,0
2025-02-10T06:00:00+0000,107780,107780,107780,107780,0
2025-02-11T06:00:00+0000,105390,105390,105390,105390,0
2025-02-12T06:00:00+0000,107350,107350,107350,107350,0
2025-02-13T06:00:00+0000,106475,106475,106475,106475,0
2025-02-14T06:00:00+0000,107490,107490,107490,107490,0
2025-02-18T06:00:00+0000,103940,103940,103940,103940,0
2025-02-19T06:00:00+0000,106145,106145,106145,106145,0
2025-02-20T06:00:00+0000,108715,108715,108715,108715,0
2025-02-21T06:00:00+0000,104670,104670,104670,104670,0
2025-02-24T06:00:00+0000,103645,103645,103645,103645,0
2025-02-25T06:00:00+0000,96965,96965,96965,96965,0
2025-02-26T06:00:00+0000,92755,92755,92755,92755,0
2025-02-27T06:00:00+0000,91895,91895,91895,91895,0
2025-02-28T06:00:00+0000,92735,92735,92735,92735,0
2025-03-03T06:00:00+0000,94580,94580,94580,94580,0
2025-03-04T06:00:00+0000,95625,95625,95625,95625,0
2025-03-05T06:00:00+0000,99615,99615,99615,99615,0
2025-03-06T06:00:00+0000,98020,98020,98020,98020,0
2025-03-07T06:00:00+0000,95650,95650,95650,95650,0
2025-03-10T05:00:00+0000,86700,86700,86700,86700,0
2025-03-11T05:00:00+0000,91405,91405,91405,91405,0
2025-03-12T05:00:00+0000,91130,91130,91130,91130,0
2025-03-13T05:00:00+0000,88040,88040,88040,88040,0
2025-03-14T05:00:00+0000,92955,92955,92955,92955,0
2025-03-17T05:00:00+0000,92700,92700,92700,92700,0
2025-03-18T05:00:00+0000,90280,90280,90280,90280,0
2025-03-19T05:00:00+0000,93755,93755,93755,93755,0
2025-03-20T05:00:00+0000,92250,92250,92250,92250,0
2025-03-21T05:00:00+0000,92060,92060,92060,92060,0
2025-03-24T05:00:00+0000,96785,96785,96785,96785,0
2025-03-25T05:00:00+0000,96570,96570,96570,96570,0
2025-03-26T05:00:00+0000,94770,94770,94770,94770,0
2025-03-27T05:00:00+0000,95280,95280,95280,95280,0
2025-03-28T05:00:00+0000,91645,91645,91645,91645,0
2025-03-31T05:00:00+0000,90145,90145,90145,90145,0
2025-04-01T05:00:00+0000,92930,92930,92930,92930,0
2025-04-02T05:00:00+0000,95075,95075,95075,95075,0
2025-04-03T05:00:00+0000,89550,89550,89550,89550,0
2025-04-04T05:00:00+0000,91765,91765,91765,91765,0
2025-04-07T05:00:00+0000,85270,85270,85270,85270,0
2025-04-08T05:00:00+0000,83810,83810,83810,83810,0
2025-04-09T05:00:00+0000,87440,87440,87440,87440,0
2025-04-10T05:00:00+0000,84550,84550,84550,84550,0
2025-04-11T05:00:00+0000,89055,89055,89055,89055,0
2025-04-14T05:00:00+0000,90130,90130,90130,90130,0
2025-04-15T05:00:00+0000,89165,89165,89165,89165,0
2025-04-16T05:00:00+0000,89535,89535,89535,89535,0
2025-04-17T05:00:00+0000,90090,90090,90090,90090,0
2025-04-21T05:00:00+0000,92740,92740,92740,92740,0
2025-04-22T05:00:00+0000,97080,97080,97080,97080,0
2025-04-23T05:00:00+0000,99225,99225,99225,99225,0
2025-04-24T05:00:00+0000,99225,99225,99225,99225,0
2025-04-25T05:00:00+0000,101130,101130,101130,101130,0
2025-04-28T05:00:00+0000,100460,100460,100460,100460,0
2025-04-29T05:00:00+0000,100970,100970,100970,100970,0
2025-04-30T05:00:00+0000,99720,99720,99720,99720,0
2025-05-01T05:00:00+0000,102270,102270,102270,102270,0
2025-05-02T05:00:00+0000,102690,102690,102690,102690,0
2025-05-05T05:00:00+0000,99775,99775,99775,99775,0
2025-05-06T05:00:00+0000,100455,100455,100455,100455,0
2025-05-07T05:00:00+0000,101770,101770,101770,101770,0
2025-05-08T05:00:00+0000,107085,107085,107085,107085,0
2025-05-09T05:00:00+0000,109130,109130,109130,109130,0
2025-05-12T05:00:00+0000,107610,107610,107610,107610,0
2025-05-13T05:00:00+0000,110780,110780,110780,110780,0
2025-05-14T05:00:00+0000,109110,109110,109110,109110,0
2025-05-15T05:00:00+0000,108960,108960,108960,108960,0
2025-05-16T05:00:00+0000,109890,109890,109890,109890,0
2025-05-19T05:00:00+0000,111420,111420,111420,111420,0
2025-05-20T05:00:00+0000,112900,112900,112900,112900,0
2025-05-21T05:00:00+0000,114640,114640,114640,114640,0
2025-05-22T05:00:00+0000,117330,117330,117330,117330,0
2025-05-23T05:00:00+0000,114720,114720,114720,114720,0
2025-05-27T05:00:00+0000,116015,116015,116015,116015,0
2025-05-28T05:00:00+0000,112820,112820,112820,112820,0
2025-05-29T05:00:00+0000,111420,111420,111420,111420,0
2025-05-30T05:00:00+0000,110215,110215,110215,110215,0
2025-06-02T05:00:00+0000,110140,110140,110140,110140,0
