Time,Open,High,Low,Latest,Volume
2022-09-09T05:00:00+0000,121.31,121.31,121.31,121.31,0
2022-09-12T05:00:00+0000,121.76,121.76,121.76,121.76,0
2022-09-13T05:00:00+0000,121.14,121.14,121.14,121.14,0
2022-09-14T05:00:00+0000,121.17,121.17,121.17,121.17,0
2022-09-15T05:00:00+0000,120.81,120.81,120.81,120.81,0
2022-09-16T05:00:00+0000,120.49,120.49,120.49,120.49,0
2022-09-19T05:00:00+0000,120.45,120.45,120.45,120.45,0
2022-09-20T05:00:00+0000,119.59,119.59,119.59,119.59,0
2022-09-21T05:00:00+0000,119.58,119.58,119.58,119.58,0
2022-09-22T05:00:00+0000,118.92,118.92,118.92,118.92,0
2022-09-23T05:00:00+0000,118.56,118.56,118.56,118.56,0
2022-09-26T05:00:00+0000,118.32,118.32,118.32,118.32,0
2022-09-27T05:00:00+0000,117.79,117.79,117.79,117.79,0
2022-09-28T05:00:00+0000,118.47,118.47,118.47,118.47,0
2022-09-29T05:00:00+0000,118.44,118.44,118.44,118.44,0
2022-09-30T05:00:00+0000,119.03,119.03,119.03,119.03,0
2022-10-03T05:00:00+0000,120.25,120.25,120.25,120.25,0
2022-10-04T05:00:00+0000,120.44,120.44,120.44,120.44,0
2022-10-05T05:00:00+0000,119.62,119.62,119.62,119.62,0
2022-10-06T05:00:00+0000,119.04,119.04,119.04,119.04,0
2022-10-07T05:00:00+0000,118.52,118.52,118.52,118.52,0
2022-10-10T05:00:00+0000,118.05,118.05,118.05,118.05,0
2022-10-11T05:00:00+0000,118.47,118.47,118.47,118.47,0
2022-10-12T05:00:00+0000,118.25,118.25,118.25,118.25,0
2022-10-13T05:00:00+0000,118.2,118.2,118.2,118.2,0
2022-10-14T05:00:00+0000,118.17,118.17,118.17,118.17,0
2022-10-17T05:00:00+0000,118.37,118.37,118.37,118.37,0
2022-10-18T05:00:00+0000,118.51,118.51,118.51,118.51,0
2022-10-19T05:00:00+0000,117.79,117.79,117.79,117.79,0
2022-10-20T05:00:00+0000,117.67,117.67,117.67,117.67,0
2022-10-21T05:00:00+0000,117.72,117.72,117.72,117.72,0
2022-10-24T05:00:00+0000,118.04,118.04,118.04,118.04,0
2022-10-25T05:00:00+0000,118.79,118.79,118.79,118.79,0
2022-10-26T05:00:00+0000,119.02,119.02,119.02,119.02,0
2022-10-27T05:00:00+0000,119.88,119.88,119.88,119.88,0
2022-10-28T05:00:00+0000,119.18,119.18,119.18,119.18,0
2022-10-31T05:00:00+0000,118.95,118.95,118.95,118.95,0
2022-11-01T05:00:00+0000,119.2,119.2,119.2,119.2,0
2022-11-02T05:00:00+0000,118.95,118.95,118.95,118.95,0
2022-11-03T05:00:00+0000,118.25,118.25,118.25,118.25,0
2022-11-04T05:00:00+0000,118.03,118.03,118.03,118.03,0
2022-11-07T06:00:00+0000,117.88,117.88,117.88,117.88,0
2022-11-08T06:00:00+0000,118.03,118.03,118.03,118.03,0
2022-11-09T06:00:00+0000,118.57,118.57,118.57,118.57,0
2022-11-10T06:00:00+0000,119.65,119.65,119.65,119.65,0
2022-11-11T06:00:00+0000,118.61,118.61,118.61,118.61,0
2022-11-14T06:00:00+0000,118.63,118.63,118.63,118.63,0
2022-11-15T06:00:00+0000,118.84,118.84,118.84,118.84,0
2022-11-16T06:00:00+0000,119.22,119.22,119.22,119.22,0
2022-11-17T06:00:00+0000,119.01,119.01,119.01,119.01,0
2022-11-18T06:00:00+0000,119.15,119.15,119.15,119.15,0
2022-11-21T06:00:00+0000,119.23,119.23,119.23,119.23,0
2022-11-22T06:00:00+0000,119.22,119.22,119.22,119.22,0
2022-11-23T06:00:00+0000,119.25,119.25,119.25,119.25,0
2022-11-24T06:00:00+0000,119.68,119.68,119.68,119.68,0
2022-11-25T06:00:00+0000,118.99,118.99,118.99,118.99,0
2022-11-28T06:00:00+0000,119.04,119.04,119.04,119.04,0
2022-11-29T06:00:00+0000,119.57,119.57,119.57,119.57,0
2022-11-30T06:00:00+0000,119.31,119.31,119.31,119.31,0
2022-12-01T06:00:00+0000,120.15,120.15,120.15,120.15,0
2022-12-02T06:00:00+0000,119.79,119.79,119.79,119.79,0
2022-12-05T06:00:00+0000,119.72,119.72,119.72,119.72,0
2022-12-06T06:00:00+0000,120.16,120.16,120.16,120.16,0
2022-12-07T06:00:00+0000,120.2,120.25,120.17,120.17,26
2022-12-08T06:00:00+0000,120.01,120.01,120.01,120.01,0
2022-12-09T06:00:00+0000,119.33,119.33,119.33,119.33,0
2022-12-12T06:00:00+0000,119.21,119.21,119.21,119.21,0
2022-12-13T06:00:00+0000,119.46,119.46,119.46,119.46,0
2022-12-14T06:00:00+0000,119.44,119.44,119.44,119.44,0
2022-12-15T06:00:00+0000,118.2,118.2,118.2,118.2,0
2022-12-16T06:00:00+0000,117.74,117.74,117.74,117.74,0
2022-12-19T06:00:00+0000,117.75,117.75,117.75,117.75,0
2022-12-20T06:00:00+0000,117.24,117.24,117.24,117.24,0
2022-12-21T06:00:00+0000,117.24,117.24,117.24,117.24,0
