Time,Open,High,Low,Latest,Volume
1993-06-09T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-11T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-14T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-15T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-16T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-17T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-18T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-21T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-22T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-23T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-24T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-25T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-28T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-29T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-06-30T05:00:00+0000,93.79,93.79,93.79,93.79,0
1993-09-09T05:00:00+0000,98.38,98.38,98.38,98.38,0
1993-09-10T05:00:00+0000,98.49,98.49,98.49,98.49,0
1993-09-13T05:00:00+0000,98.38,98.38,98.38,98.38,0
1993-09-14T05:00:00+0000,98.42,98.42,98.42,98.42,0
1993-09-15T05:00:00+0000,98.36,98.36,98.36,98.36,0
1993-09-16T05:00:00+0000,98.4,98.4,98.4,98.4,0
1993-09-17T05:00:00+0000,98.97,98.97,98.97,98.97,0
1993-09-20T05:00:00+0000,99.0,99.0,99.0,99.0,0
1993-09-21T05:00:00+0000,99.23,99.23,99.23,99.23,0
1993-09-22T05:00:00+0000,98.78,98.78,98.78,98.78,0
1993-09-23T05:00:00+0000,98.5,98.5,98.5,98.5,0
1993-09-24T05:00:00+0000,98.32,98.32,98.32,98.32,0
1993-09-27T05:00:00+0000,98.7,98.7,98.7,98.7,0
1993-09-28T05:00:00+0000,98.95,98.95,98.95,98.95,0
1993-09-29T05:00:00+0000,98.85,98.85,98.85,98.85,0
1993-09-30T05:00:00+0000,98.79,98.79,98.79,98.79,0
1993-10-01T05:00:00+0000,98.8,98.8,98.8,98.8,0
1993-10-04T05:00:00+0000,98.9,98.9,98.9,98.9,0
1993-10-05T05:00:00+0000,99.4,99.4,99.4,99.4,0
1993-10-06T05:00:00+0000,99.6,99.6,99.6,99.6,0
1993-10-07T05:00:00+0000,99.54,99.54,99.54,99.54,0
1993-10-08T05:00:00+0000,99.84,99.84,99.84,99.84,0
1993-10-11T05:00:00+0000,99.8,99.8,99.8,99.8,0
