Time,Open,High,Low,Close,Volume
2020-03-04T06:00:00+0000,0.7456,0.7456,0.7456,0.7456,0
2020-03-05T06:00:00+0000,0.7445,0.7445,0.7445,0.7445,0
2020-03-06T06:00:00+0000,0.7443,0.7443,0.7443,0.7443,0
2020-03-09T05:00:00+0000,0.7334,0.7334,0.7334,0.7334,0
2020-03-10T05:00:00+0000,0.7276,0.7276,0.72755,0.7276,0
2020-03-11T05:00:00+0000,0.7261,0.7261,0.72605,0.7261,0
2020-03-12T05:00:00+0000,0.7223,0.7223,0.7223,0.7223,0
2020-03-13T05:00:00+0000,0.7183,0.7183,0.7183,0.7183,0
2020-03-16T05:00:00+0000,0.7159,0.7159,0.7159,0.7159,0
2020-03-17T05:00:00+0000,0.7044,0.7044,0.7044,0.7044,0
2020-03-18T05:00:00+0000,0.686,0.6967,0.6849,0.6874,1
2020-03-19T05:00:00+0000,0.6828,0.6936,0.6828,0.6903,9
2020-03-20T05:00:00+0000,0.695,0.7069,0.6902,0.6939,14
2020-03-23T05:00:00+0000,0.6949,0.6973,0.6884,0.6893,12
2020-03-24T05:00:00+0000,0.6932,0.6954,0.6902,0.6907,3
2020-03-25T05:00:00+0000,0.6983,0.7052,0.6949,0.7052,12
2020-03-26T05:00:00+0000,0.7065,0.7137,0.7021,0.7137,6
2020-03-27T05:00:00+0000,0.7164,0.7183,0.7086,0.718,7
2020-03-30T05:00:00+0000,0.7085,0.7085,0.707,0.7072,1
2020-03-31T05:00:00+0000,0.7065,0.7135,0.6987,0.7108,13
2020-04-01T05:00:00+0000,0.7063,0.7071,0.7023,0.7041,4
2020-04-02T05:00:00+0000,0.7064,0.7101,0.7004,0.7057,6
2020-04-03T05:00:00+0000,0.7058,0.7095,0.7051,0.7075,3
2020-04-06T05:00:00+0000,0.7033,0.7105,0.7028,0.7094,7
2020-04-07T05:00:00+0000,0.7155,0.7172,0.7093,0.7159,1
2020-04-08T05:00:00+0000,0.7137,0.7137,0.7127,0.7137,0
2020-04-09T05:00:00+0000,0.715,0.7183,0.7127,0.7173,5
2020-04-13T05:00:00+0000,0.7182,0.7228,0.7166,0.7223,5
2020-04-14T05:00:00+0000,0.7204,0.7204,0.7204,0.7204,0
2020-04-15T05:00:00+0000,0.7194,0.721,0.7096,0.7112,6
2020-04-16T05:00:00+0000,0.711,0.7111,0.7072,0.7094,4
2020-04-17T05:00:00+0000,0.7124,0.7142,0.7103,0.714,1
2020-04-20T05:00:00+0000,0.708,0.7084,0.708,0.7084,2
2020-04-21T05:00:00+0000,0.7073,0.7073,0.7018,0.7049,44
2020-04-22T05:00:00+0000,0.7059,0.709,0.7042,0.7056,3
2020-04-23T05:00:00+0000,0.7086,0.7139,0.7086,0.7125,3
2020-04-24T05:00:00+0000,0.7115,0.7131,0.7095,0.7095,10
2020-04-27T05:00:00+0000,0.7125,0.7127,0.7114,0.7127,14
2020-04-28T05:00:00+0000,0.717,0.7177,0.7119,0.7154,2
2020-04-29T05:00:00+0000,0.7185,0.72,0.7185,0.7199,1
2020-04-30T05:00:00+0000,0.7185,0.7214,0.7175,0.7184,1
2020-05-01T05:00:00+0000,0.7144,0.7144,0.7099,0.7106,25
2020-05-04T05:00:00+0000,0.7104,0.7109,0.7078,0.7105,1
2020-05-05T05:00:00+0000,0.7138,0.7138,0.7126,0.7132,2
2020-05-06T05:00:00+0000,0.707,0.7083,0.707,0.7083,1
2020-05-07T05:00:00+0000,0.7095,0.7159,0.7066,0.7148,3
2020-05-08T05:00:00+0000,0.7167,0.7183,0.7167,0.7179,2
2020-05-11T05:00:00+0000,0.7195,0.7195,0.713,0.7133,10
2020-05-12T05:00:00+0000,0.7118,0.715,0.711,0.7124,6
2020-05-13T05:00:00+0000,0.7115,0.7131,0.7091,0.7091,4
2020-05-14T05:00:00+0000,0.71,0.7118,0.7082,0.7108,2
2020-05-15T05:00:00+0000,0.7116,0.7133,0.709,0.7091,6
2020-05-18T05:00:00+0000,0.7106,0.7168,0.7106,0.7164,5
2020-05-19T05:00:00+0000,0.7195,0.7203,0.718,0.7203,9
2020-05-20T05:00:00+0000,0.7177,0.7202,0.7169,0.72,7
2020-05-21T05:00:00+0000,0.7178,0.719,0.7159,0.7171,55
2020-05-22T05:00:00+0000,0.7165,0.7165,0.7127,0.7137,3
2020-05-26T05:00:00+0000,0.7155,0.7269,0.7148,0.7269,25
2020-05-27T05:00:00+0000,0.7247,0.7274,0.7236,0.7258,14
2020-05-28T05:00:00+0000,0.7269,0.7278,0.7253,0.7267,15
2020-05-29T05:00:00+0000,0.7269,0.729,0.7231,0.7256,138
2020-06-01T05:00:00+0000,0.7251,0.7373,0.7247,0.7365,62
2020-06-02T05:00:00+0000,0.737,0.7415,0.7364,0.7399,91
2020-06-03T05:00:00+0000,0.7395,0.742,0.7371,0.7416,143
2020-06-04T05:00:00+0000,0.7413,0.7423,0.739,0.7405,148
2020-06-05T05:00:00+0000,0.7406,0.7465,0.7403,0.7444,180
2020-06-08T05:00:00+0000,0.7462,0.7486,0.7443,0.7484,225
2020-06-09T05:00:00+0000,0.7476,0.7476,0.7417,0.7467,241
2020-06-10T05:00:00+0000,0.7451,0.751,0.7444,0.7474,309
2020-06-11T05:00:00+0000,0.7457,0.746,0.7334,0.735,686
2020-06-12T05:00:00+0000,0.7342,0.7393,0.7318,0.7345,1228
2020-06-15T05:00:00+0000,0.7344,0.7383,0.7308,0.7376,1324
2020-06-16T05:00:00+0000,0.7372,0.7405,0.7342,0.7373,1158
2020-06-17T05:00:00+0000,0.7384,0.7402,0.7358,0.7374,1098
2020-06-18T05:00:00+0000,0.7372,0.7396,0.7346,0.7353,794
2020-06-19T05:00:00+0000,0.7353,0.7383,0.7343,0.7352,800
2020-06-22T05:00:00+0000,0.7341,0.7398,0.7335,0.7395,748
2020-06-23T05:00:00+0000,0.7397,0.7417,0.737,0.7387,1295
2020-06-24T05:00:00+0000,0.7385,0.7393,0.7333,0.7348,1305
2020-06-25T05:00:00+0000,0.7335,0.7348,0.7317,0.7328,814
2020-06-26T05:00:00+0000,0.7332,0.7338,0.7292,0.7324,1332
2020-06-29T05:00:00+0000,0.7308,0.7328,0.7298,0.7307,865
2020-06-30T05:00:00+0000,0.7321,0.7374,0.73,0.7362,1367
2020-07-01T05:00:00+0000,0.7369,0.7383,0.7354,0.7362,1114
2020-07-02T05:00:00+0000,0.7366,0.7376,0.7342,0.7358,1121
2020-07-06T05:00:00+0000,0.7373,0.7398,0.7365,0.7386,1092
2020-07-07T05:00:00+0000,0.7388,0.7395,0.7349,0.7358,1021
2020-07-08T05:00:00+0000,0.7351,0.7412,0.7341,0.7409,1151
2020-07-09T05:00:00+0000,0.74,0.7413,0.7358,0.7365,1094
2020-07-10T05:00:00+0000,0.7366,0.7367,0.7337,0.736,796
2020-07-13T05:00:00+0000,0.7364,0.7389,0.7349,0.7361,745
2020-07-14T05:00:00+0000,0.7353,0.7356,0.7331,0.7343,846
2020-07-15T05:00:00+0000,0.7351,0.7406,0.735,0.7405,1323
2020-07-16T05:00:00+0000,0.7404,0.7408,0.7364,0.7368,921
2020-07-17T05:00:00+0000,0.7366,0.7372,0.7359,0.7367,448
2020-07-20T05:00:00+0000,0.7363,0.7394,0.7354,0.739,670
2020-07-21T05:00:00+0000,0.7391,0.745,0.7389,0.7443,1071
2020-07-22T05:00:00+0000,0.7436,0.7464,0.7418,0.7455,1076
2020-07-23T05:00:00+0000,0.7457,0.749,0.7449,0.747,1268
2020-07-24T05:00:00+0000,0.7468,0.7475,0.7438,0.7451,1803
2020-07-27T05:00:00+0000,0.7456,0.7489,0.7448,0.7486,1009
2020-07-28T05:00:00+0000,0.7489,0.7502,0.7459,0.7485,1169
2020-07-29T05:00:00+0000,0.7477,0.7501,0.7471,0.7484,1373
2020-07-30T05:00:00+0000,0.75,0.7501,0.7429,0.7441,2270
2020-07-31T05:00:00+0000,0.7449,0.7478,0.7444,0.7472,2792
2020-08-03T05:00:00+0000,0.746,0.7474,0.7436,0.747,1601
2020-08-04T05:00:00+0000,0.7471,0.7509,0.7452,0.7494,1652
2020-08-05T05:00:00+0000,0.7505,0.7557,0.7505,0.753,1707
2020-08-06T05:00:00+0000,0.7531,0.7551,0.7507,0.7526,1905
2020-08-07T05:00:00+0000,0.7515,0.7516,0.7464,0.7472,1230
2020-08-10T05:00:00+0000,0.7473,0.75,0.7467,0.7491,1574
2020-08-11T05:00:00+0000,0.7491,0.7536,0.7484,0.7528,3399
2020-08-12T05:00:00+0000,0.752,0.7559,0.7493,0.7546,3000
2020-08-13T05:00:00+0000,0.7546,0.758,0.7546,0.7563,1679
2020-08-14T05:00:00+0000,0.7562,0.7572,0.7534,0.7544,3046
2020-08-17T05:00:00+0000,0.7543,0.758,0.754,0.7578,2528
2020-08-18T05:00:00+0000,0.7564,0.7604,0.7559,0.7602,2422
2020-08-19T05:00:00+0000,0.7595,0.7614,0.7561,0.7581,2819
2020-08-20T05:00:00+0000,0.7571,0.7594,0.7551,0.7588,2203
2020-08-21T05:00:00+0000,0.7599,0.7613,0.7557,0.7582,1072
2020-08-24T05:00:00+0000,0.759,0.7613,0.7554,0.7557,2865
2020-08-25T05:00:00+0000,0.7566,0.7597,0.7553,0.7585,1732
2020-08-26T05:00:00+0000,0.7593,0.7615,0.7574,0.7601,1018
2020-08-27T05:00:00+0000,0.7607,0.7632,0.7596,0.7619,3266
2020-08-28T05:00:00+0000,0.762,0.7664,0.7615,0.7638,3438
2020-08-31T05:00:00+0000,0.7643,0.768,0.7631,0.7677,2509
2020-09-01T05:00:00+0000,0.7668,0.7695,0.7641,0.7649,2832
2020-09-02T05:00:00+0000,0.7654,0.7671,0.7637,0.7651,1380
2020-09-03T05:00:00+0000,0.7664,0.7667,0.7598,0.7614,1359
2020-09-04T05:00:00+0000,0.7618,0.7666,0.761,0.7666,2636
2020-09-08T05:00:00+0000,0.7654,0.7655,0.7554,0.7563,2931
2020-09-09T05:00:00+0000,0.7552,0.7607,0.7541,0.7597,1750
2020-09-10T05:00:00+0000,0.7606,0.7622,0.757,0.7586,1518
2020-09-11T05:00:00+0000,0.7582,0.7603,0.7572,0.7581,501
2020-09-14T05:00:00+0000,0.7587,0.7602,0.7575,0.7589,293
2020-09-15T05:00:00+0000,0.7592,0.762,0.7584,0.7592,25
