Time,Open,High,Low,Close,Volume
2003-04-28T05:00:00+0000,1838,1839,1838,1839,1
2003-04-29T05:00:00+0000,1861,1861,1861,1861,0
2003-04-30T05:00:00+0000,1875,1878,1857,1857,175
2003-05-01T05:00:00+0000,1862,1872,1862,1864,0
2003-05-02T05:00:00+0000,1864,1864,1828,1828,22
2003-05-05T05:00:00+0000,1770,1770,1765,1766,76
2003-05-06T05:00:00+0000,1770,1786,1765,1786,30
2003-05-07T05:00:00+0000,1770,1777,1730,1737,171
2003-05-08T05:00:00+0000,1755,1755,1725,1725,99
2003-05-09T05:00:00+0000,1735,1739,1725,1735,146
2003-05-12T05:00:00+0000,1725,1725,1715,1718,250
2003-05-13T05:00:00+0000,1715,1715,1657,1657,192
2003-05-14T05:00:00+0000,1669,1671,1669,1671,101
2003-05-15T05:00:00+0000,1641,1641,1640,1640,218
2003-05-16T05:00:00+0000,1640,1665,1640,1665,103
2003-05-19T05:00:00+0000,1650,1650,1621,1621,1
2003-05-20T05:00:00+0000,1621,1621,1578,1578,295
2003-05-21T05:00:00+0000,1545,1573,1545,1573,164
2003-05-22T05:00:00+0000,1628,1628,1624,1624,60
2003-05-23T05:00:00+0000,1630,1630,1630,1630,18
2003-05-27T05:00:00+0000,1580,1588,1550,1550,251
2003-05-28T05:00:00+0000,1575,1575,1550,1566,164
2003-05-29T05:00:00+0000,1568,1568,1478,1478,1235
2003-05-30T05:00:00+0000,1505,1505,1483,1483,326
2003-06-02T05:00:00+0000,1458,1526,1453,1526,551
2003-06-03T05:00:00+0000,1525,1525,1510,1515,72
2003-06-04T05:00:00+0000,1530,1530,1521,1522,17
2003-06-05T05:00:00+0000,1509,1509,1509,1509,10
2003-06-06T05:00:00+0000,1480,1480,1480,1480,25
2003-06-09T05:00:00+0000,1490,1495,1481,1495,55
2003-06-10T05:00:00+0000,1510,1510,1475,1477,90
2003-06-11T05:00:00+0000,1484,1484,1484,1484,3596
2003-06-12T05:00:00+0000,1484,1484,1484,1484,406
2003-06-13T05:00:00+0000,1485,1493,1476,1476,7
2003-06-16T05:00:00+0000,1501,1501,1501,1501,70
2003-06-17T05:00:00+0000,1494,1550,1494,1547,324
2003-06-18T05:00:00+0000,1560,1580,1560,1563,68
2003-06-19T05:00:00+0000,1489,1489,1489,1489,20
2003-06-20T05:00:00+0000,1544,1544,1544,1544,1
2003-06-23T05:00:00+0000,1544,1544,1544,1544,105
2003-06-24T05:00:00+0000,1536,1538,1535,1535,77
2003-06-25T05:00:00+0000,1560,1567,1560,1567,119
2003-06-26T05:00:00+0000,1570,1580,1570,1572,20
2003-06-27T05:00:00+0000,1620,1630,1612,1612,333
2003-06-30T05:00:00+0000,1615,1628,1615,1628,336
