Time,Open,High,Low,Latest,Volume
2019-11-27T06:00:00+0000,2575,2587,2511,2522,915
2019-11-29T06:00:00+0000,2516,2533,2493,2506,1372
2019-12-02T06:00:00+0000,2508,2521,2470,2481,823
2019-12-03T06:00:00+0000,2481,2501,2471,2496,1158
2019-12-04T06:00:00+0000,2500,2506,2487,2492,912
2019-12-05T06:00:00+0000,2500,2522,2499,2517,783
2019-12-06T06:00:00+0000,2524,2572,2510,2531,1438
2019-12-09T06:00:00+0000,2519,2533,2508,2526,738
2019-12-10T06:00:00+0000,2521,2533,2503,2516,1488
2019-12-11T06:00:00+0000,2514,2514,2495,2505,1061
2019-12-12T06:00:00+0000,2497,2502,2461,2468,826
2019-12-13T06:00:00+0000,2489,2519,2481,2511,709
2019-12-16T06:00:00+0000,2493,2536,2491,2493,1199
2019-12-17T06:00:00+0000,2490,2490,2450,2465,880
2019-12-18T06:00:00+0000,2462,2474,2426,2436,833
2019-12-19T06:00:00+0000,2444,2445,2382,2391,2506
2019-12-20T06:00:00+0000,2395,2395,2374,2384,3605
2019-12-23T06:00:00+0000,2378,2383,2357,2381,2218
2019-12-24T06:00:00+0000,2381,2395,2359,2395,496
2019-12-26T06:00:00+0000,2378,2378,2348,2354,270
2019-12-27T06:00:00+0000,2379,2443,2377,2424,2126
2019-12-30T06:00:00+0000,2413,2432,2406,2410,534
2019-12-31T06:00:00+0000,2417,2473,2416,2468,1018
2020-01-02T06:00:00+0000,2460,2496,2452,2470,1970
2020-01-03T06:00:00+0000,2474,2500,2465,2472,2418
2020-01-06T06:00:00+0000,2468,2480,2435,2451,1454
2020-01-07T06:00:00+0000,2451,2500,2448,2492,1705
2020-01-08T06:00:00+0000,2484,2490,2459,2464,1087
2020-01-09T06:00:00+0000,2470,2509,2459,2504,1867
2020-01-10T06:00:00+0000,2511,2536,2503,2529,3017
2020-01-13T06:00:00+0000,2533,2533,2498,2525,1787
2020-01-14T06:00:00+0000,2533,2580,2533,2572,4087
2020-01-15T06:00:00+0000,2580,2639,2567,2606,3249
2020-01-16T06:00:00+0000,2627,2638,2611,2623,4229
2020-01-17T06:00:00+0000,2607,2659,2598,2648,7474
2020-01-21T06:00:00+0000,2656,2682,2641,2673,4197
2020-01-22T06:00:00+0000,2689,2705,2662,2675,3125
2020-01-23T06:00:00+0000,2664,2677,2636,2653,3597
2020-01-24T06:00:00+0000,2661,2675,2629,2633,1525
2020-01-27T06:00:00+0000,2626,2664,2602,2638,1093
2020-01-28T06:00:00+0000,2635,2662,2599,2617,800
2020-01-29T06:00:00+0000,2615,2653,2593,2646,966
2020-01-30T06:00:00+0000,2663,2704,2660,2702,3167
2020-01-31T06:00:00+0000,2683,2697,2668,2682,1941
2020-02-03T06:00:00+0000,2656,2675,2629,2654,1919
2020-02-04T06:00:00+0000,2636,2688,2636,2672,1943
2020-02-05T06:00:00+0000,2693,2711,2670,2696,3879
2020-02-06T06:00:00+0000,2672,2734,2667,2722,1842
