Time,Open,High,Low,Latest,Volume
2021-04-26T05:00:00+0000,145.25,150.4,144.4,149.85,984
2021-04-27T05:00:00+0000,149.85,152.6,149.7,152.3,880
2021-04-28T05:00:00+0000,150.15,153.35,150.1,152.45,377
2021-04-29T05:00:00+0000,153.0,154.0,149.1,149.65,644
2021-04-30T05:00:00+0000,149.6,152.45,148.15,148.45,772
2021-05-03T05:00:00+0000,147.9,149.55,146.75,147.4,924
2021-05-04T05:00:00+0000,147.55,150.25,146.95,147.6,930
2021-05-05T05:00:00+0000,148.65,157.2,148.65,156.95,1958
2021-05-06T05:00:00+0000,156.95,162.05,156.25,161.3,1268
2021-05-07T05:00:00+0000,160.4,161.1,156.9,160.15,1670
2021-05-10T05:00:00+0000,160.15,160.3,154.75,155.4,870
2021-05-11T05:00:00+0000,155.4,158.75,155.25,157.35,685
2021-05-12T05:00:00+0000,157.7,157.8,153.4,153.75,1032
2021-05-13T05:00:00+0000,153.75,155.3,151.35,153.85,1337
2021-05-14T05:00:00+0000,153.8,155.2,152.5,152.85,1137
2021-05-17T05:00:00+0000,152.9,154.6,152.7,153.7,476
2021-05-18T05:00:00+0000,155.85,161.35,155.8,160.55,1109
2021-05-19T05:00:00+0000,160.8,160.9,157.05,158.7,1211
2021-05-20T05:00:00+0000,159.1,161.2,158.2,158.7,659
2021-05-21T05:00:00+0000,158.05,160.55,156.8,158.05,962
2021-05-24T05:00:00+0000,157.45,158.25,155.7,157.05,545
2021-05-25T05:00:00+0000,158.8,159.85,157.15,158.6,705
2021-05-26T05:00:00+0000,158.8,164.25,158.25,163.65,1127
2021-05-27T05:00:00+0000,164.35,165.35,162.65,163.5,1048
2021-05-28T05:00:00+0000,163.5,171.0,163.5,170.25,1622
2021-06-01T05:00:00+0000,169.8,174.6,167.5,169.2,1506
2021-06-02T05:00:00+0000,169.85,173.4,168.6,169.35,1411
2021-06-03T05:00:00+0000,168.95,170.2,164.65,165.95,1109
2021-06-04T05:00:00+0000,165.65,169.95,163.7,169.85,973
2021-06-07T05:00:00+0000,169.45,171.45,167.3,168.55,1090
2021-06-08T05:00:00+0000,169.1,170.4,166.15,166.7,2138
2021-06-09T05:00:00+0000,167.05,168.3,164.8,166.05,2361
2021-06-10T05:00:00+0000,166.65,168.1,165.55,167.6,1239
2021-06-11T05:00:00+0000,168.6,169.35,166.15,166.4,1307
2021-06-14T05:00:00+0000,165.15,165.25,160.6,163.05,1107
2021-06-15T05:00:00+0000,163.3,163.3,159.65,160.1,1322
2021-06-16T05:00:00+0000,161.5,163.25,160.35,162.4,1506
2021-06-17T05:00:00+0000,162.05,162.05,157.9,158.7,1406
2021-06-18T05:00:00+0000,158.7,159.75,156.25,159.0,2422
2021-06-21T05:00:00+0000,157.9,162.25,156.35,161.05,686
2021-06-22T05:00:00+0000,161.5,162.1,158.5,159.0,687
2021-06-23T05:00:00+0000,159.3,161.6,159.3,160.7,1255
2021-06-24T05:00:00+0000,160.7,161.3,158.75,160.15,1114
2021-06-25T05:00:00+0000,161.6,164.8,161.6,164.45,2201
2021-06-28T05:00:00+0000,164.85,170.2,164.35,169.25,1278
2021-06-29T05:00:00+0000,170.0,170.35,165.65,166.95,945
2021-06-30T05:00:00+0000,168.05,168.25,164.55,166.55,1617
2021-07-01T05:00:00+0000,167.65,171.0,161.05,163.15,4142
2021-07-02T05:00:00+0000,163.15,163.55,159.8,159.9,1983
2021-07-06T05:00:00+0000,159.85,160.6,154.65,155.0,2778
2021-07-07T05:00:00+0000,155.65,159.15,155.65,156.95,1997
2021-07-08T05:00:00+0000,157.75,159.5,155.05,159.05,1880
2021-07-09T05:00:00+0000,159.4,159.6,156.6,158.25,1259
2021-07-12T05:00:00+0000,157.25,161.25,156.95,160.65,1280
2021-07-13T05:00:00+0000,161.05,161.05,158.1,158.95,1307
2021-07-14T05:00:00+0000,159.4,163.35,159.4,163.3,1308
2021-07-15T05:00:00+0000,163.3,164.9,162.0,163.5,2297
2021-07-16T05:00:00+0000,164.15,167.8,164.15,167.35,2396
2021-07-19T05:00:00+0000,166.2,166.2,162.5,162.9,1850
2021-07-20T05:00:00+0000,166.35,174.3,166.35,173.05,4572
2021-07-21T05:00:00+0000,172.6,183.75,172.6,181.95,4007
2021-07-22T05:00:00+0000,185.45,200.5,185.45,199.0,5021
2021-07-23T05:00:00+0000,205.15,214.15,192.8,194.5,4365
2021-07-26T05:00:00+0000,204.9,219.75,204.5,213.1,4040
2021-07-27T05:00:00+0000,211.55,214.2,205.3,207.2,2550
2021-07-28T05:00:00+0000,210.2,210.45,201.0,206.1,3782
2021-07-29T05:00:00+0000,207.45,208.9,196.35,202.1,3508
2021-07-30T05:00:00+0000,206.1,207.15,184.85,185.65,3998
2021-08-02T05:00:00+0000,185.2,185.45,178.1,179.5,6414
2021-08-03T05:00:00+0000,180.0,184.25,178.75,181.6,3727
2021-08-04T05:00:00+0000,182.95,185.25,180.6,182.45,2558
2021-08-05T05:00:00+0000,183.0,184.25,180.15,183.65,2888
2021-08-06T05:00:00+0000,184.3,184.5,180.3,182.9,4194
2021-08-09T05:00:00+0000,183.0,187.25,179.35,186.15,6918
2021-08-10T05:00:00+0000,186.55,189.05,184.25,188.95,6540
2021-08-11T05:00:00+0000,187.6,192.4,186.8,191.0,6815
2021-08-12T05:00:00+0000,191.75,193.65,189.9,193.35,7876
2021-08-13T05:00:00+0000,193.0,193.8,188.1,189.3,4636
2021-08-16T05:00:00+0000,188.65,192.55,186.8,189.9,3160
2021-08-17T05:00:00+0000,190.2,190.9,185.05,185.7,2915
2021-08-18T05:00:00+0000,184.9,188.0,184.35,186.6,3500
2021-08-19T05:00:00+0000,185.9,186.05,182.1,185.05,4234
2021-08-20T05:00:00+0000,184.95,186.6,181.9,185.25,3146
2021-08-23T05:00:00+0000,184.4,187.3,183.7,185.7,2033
2021-08-24T05:00:00+0000,185.7,190.35,185.0,189.35,4392
2021-08-25T05:00:00+0000,190.55,191.85,188.45,190.05,4070
2021-08-26T05:00:00+0000,189.35,193.05,189.15,191.6,3179
2021-08-27T05:00:00+0000,190.85,197.65,190.85,195.8,3732
2021-08-30T05:00:00+0000,195.8,203.65,195.55,203.4,3526
2021-08-31T05:00:00+0000,203.0,204.85,197.45,199.45,5381
2021-09-01T05:00:00+0000,199.6,202.65,198.4,199.25,4119
2021-09-02T05:00:00+0000,199.0,203.1,196.65,198.0,5135
2021-09-03T05:00:00+0000,198.45,198.85,194.9,196.7,0
2021-09-07T05:00:00+0000,199.8,200.95,196.15,197.65,3761
2021-09-08T05:00:00+0000,198.65,200.25,191.75,193.85,3844
2021-09-09T05:00:00+0000,193.95,194.65,187.55,191.2,4046
2021-09-10T05:00:00+0000,190.05,192.9,189.5,191.8,4985
2021-09-13T05:00:00+0000,191.2,192.15,189.05,190.65,8160
2021-09-14T05:00:00+0000,190.35,191.65,186.5,189.35,6347
2021-09-15T05:00:00+0000,189.4,192.15,189.25,191.3,3011
2021-09-16T05:00:00+0000,191.15,193.0,187.4,192.1,3313
2021-09-17T05:00:00+0000,191.9,193.8,188.65,190.4,3378
2021-09-20T05:00:00+0000,188.35,189.95,186.1,186.6,2454
2021-09-21T05:00:00+0000,187.4,189.35,186.35,187.3,4072
2021-09-22T05:00:00+0000,188.05,191.4,187.95,188.85,2630
2021-09-23T05:00:00+0000,189.45,194.8,189.45,194.5,6190
2021-09-24T05:00:00+0000,195.0,199.1,194.5,198.2,3981
2021-09-27T05:00:00+0000,197.25,199.3,195.75,197.55,3698
2021-09-28T05:00:00+0000,197.6,202.9,196.7,202.6,3782
2021-09-29T05:00:00+0000,202.35,203.4,197.25,197.35,2032
2021-09-30T05:00:00+0000,197.8,200.35,197.45,197.9,5700
2021-10-01T05:00:00+0000,197.9,209.35,196.95,207.95,5734
2021-10-04T05:00:00+0000,203.7,210.75,203.7,204.4,4271
2021-10-05T05:00:00+0000,204.8,205.1,195.45,196.0,4924
2021-10-06T05:00:00+0000,196.95,199.0,196.1,197.55,1677
2021-10-07T05:00:00+0000,198.95,204.25,197.95,201.9,5456
2021-10-08T05:00:00+0000,203.0,207.1,202.5,205.2,4254
2021-10-11T05:00:00+0000,203.45,208.75,200.7,208.15,2548
2021-10-12T05:00:00+0000,208.15,218.75,206.9,216.9,5148
2021-10-13T05:00:00+0000,218.15,218.7,209.8,212.55,4985
2021-10-14T05:00:00+0000,212.1,216.4,210.6,213.15,2882
2021-10-15T05:00:00+0000,213.45,214.8,206.7,207.25,2610
2021-10-18T05:00:00+0000,205.9,208.65,204.35,205.35,3860
2021-10-19T05:00:00+0000,206.2,209.2,205.55,207.95,2717
2021-10-20T05:00:00+0000,208.6,210.65,207.25,209.3,3234
2021-10-21T05:00:00+0000,209.0,212.25,205.3,207.0,4408
2021-10-22T05:00:00+0000,207.5,209.8,202.1,203.4,4436
2021-10-25T05:00:00+0000,202.85,207.1,200.8,205.9,4030
2021-10-26T05:00:00+0000,206.5,213.5,205.8,211.4,4131
2021-10-27T05:00:00+0000,210.9,212.0,203.2,204.8,9402
2021-10-28T05:00:00+0000,204.6,206.45,202.15,203.45,3749
2021-10-29T05:00:00+0000,203.8,207.75,202.05,207.2,6960
2021-11-01T05:00:00+0000,206.15,213.1,205.5,211.85,5019
2021-11-02T05:00:00+0000,211.55,211.95,207.9,211.35,5166
2021-11-03T05:00:00+0000,210.5,215.05,209.1,212.55,7803
2021-11-04T05:00:00+0000,213.0,214.65,209.5,212.1,8906
2021-11-05T05:00:00+0000,212.65,212.65,205.85,207.15,11693
2021-11-08T06:00:00+0000,207.15,209.7,203.05,203.35,13475
2021-11-09T06:00:00+0000,205.3,210.05,202.3,209.5,10476
2021-11-10T06:00:00+0000,210.05,210.2,207.0,207.55,12055
2021-11-11T06:00:00+0000,209.65,215.7,208.9,213.95,19872
2021-11-12T06:00:00+0000,213.45,224.3,212.4,222.45,16661
2021-11-15T06:00:00+0000,220.6,228.6,219.7,225.5,9719
2021-11-16T06:00:00+0000,226.5,227.25,223.95,225.05,8997
2021-11-17T06:00:00+0000,227.1,235.95,226.8,235.0,7876
2021-11-18T06:00:00+0000,236.0,238.45,226.7,229.4,11671
2021-11-19T06:00:00+0000,230.7,239.6,227.4,233.4,8732
2021-11-22T06:00:00+0000,231.7,235.05,228.15,231.3,4778
2021-11-23T06:00:00+0000,234.75,244.15,232.8,241.55,10010
2021-11-24T06:00:00+0000,240.5,247.5,238.45,244.8,12429
2021-11-26T06:00:00+0000,244.2,244.2,237.8,242.15,8034
2021-11-29T06:00:00+0000,239.5,246.0,228.95,232.3,10493
2021-11-30T06:00:00+0000,232.45,236.55,228.55,231.65,9572
2021-12-01T06:00:00+0000,233.65,237.6,230.85,232.55,8583
2021-12-02T06:00:00+0000,230.95,237.2,230.95,235.8,6810
2021-12-03T06:00:00+0000,237.5,243.8,236.5,242.4,5830
2021-12-06T06:00:00+0000,241.3,249.7,241.3,248.8,9233
2021-12-07T06:00:00+0000,248.15,251.35,240.3,242.6,10943
2021-12-08T06:00:00+0000,245.2,246.6,241.8,243.65,7815
2021-12-09T06:00:00+0000,244.0,244.85,238.3,239.65,7466
2021-12-10T06:00:00+0000,240.45,240.5,231.6,232.35,8861
2021-12-13T06:00:00+0000,234.05,239.15,233.25,236.5,6491
2021-12-14T06:00:00+0000,237.3,238.95,235.35,237.1,5295
2021-12-15T06:00:00+0000,237.05,241.45,235.8,237.5,6528
2021-12-16T06:00:00+0000,239.95,240.55,233.6,237.0,5452
2021-12-17T06:00:00+0000,237.3,238.0,234.1,234.85,2932
2021-12-20T06:00:00+0000,233.25,233.3,223.2,224.1,7984
2021-12-21T06:00:00+0000,226.25,229.35,224.25,228.2,6488
2021-12-22T06:00:00+0000,229.75,235.0,228.0,233.4,3993
2021-12-23T06:00:00+0000,234.35,235.15,229.0,231.1,3066
2021-12-27T06:00:00+0000,228.5,229.65,226.6,227.1,2411
2021-12-28T06:00:00+0000,228.1,228.45,225.1,225.65,3135
2021-12-29T06:00:00+0000,225.1,229.9,225.1,228.95,2696
2021-12-30T06:00:00+0000,229.0,229.5,226.25,228.8,3381
2021-12-31T06:00:00+0000,228.05,228.6,224.1,226.0,7574
2022-01-03T06:00:00+0000,225.65,226.8,220.7,223.3,6458
