Time,Open,High,Low,Close,Volume
2024-08-29T05:00:00+0000,4.3925,4.3925,4.3925,4.3925,0
2024-08-30T05:00:00+0000,4.38,4.38,4.38,4.38,0
2024-09-03T05:00:00+0000,4.253,4.253,4.253,4.253,0
2024-09-04T05:00:00+0000,4.2435,4.2435,4.2435,4.2435,0
2024-09-05T05:00:00+0000,4.3045,4.3045,4.3045,4.3045,0
2024-09-06T05:00:00+0000,4.254,4.254,4.254,4.254,0
2024-09-09T05:00:00+0000,4.3205,4.3205,4.3205,4.3205,0
2024-09-10T05:00:00+0000,4.27,4.27,4.27,4.27,0
2024-09-11T05:00:00+0000,4.3095,4.3095,4.3095,4.3095,0
2024-09-12T05:00:00+0000,4.3575,4.3575,4.3575,4.3575,0
2024-09-13T05:00:00+0000,4.388,4.388,4.388,4.388,0
2024-09-16T05:00:00+0000,4.43,4.43,4.43,4.43,0
2024-09-17T05:00:00+0000,4.4365,4.4365,4.4365,4.4365,0
2024-09-18T05:00:00+0000,4.4515,4.4515,4.4515,4.4515,0
2024-09-19T05:00:00+0000,4.4965,4.4965,4.4965,4.4965,0
2024-09-20T05:00:00+0000,4.4965,4.4965,4.4965,4.4965,0
2024-09-23T05:00:00+0000,4.5035,4.5035,4.5035,4.5035,0
2024-09-24T05:00:00+0000,4.63,4.63,4.63,4.63,0
2024-09-25T05:00:00+0000,4.637,4.637,4.637,4.637,0
2024-09-26T05:00:00+0000,4.6875,4.6875,4.6875,4.6875,0
2024-09-27T05:00:00+0000,4.669,4.669,4.669,4.669,0
2024-09-30T05:00:00+0000,4.602,4.602,4.602,4.602,0
2024-10-01T05:00:00+0000,4.665,4.665,4.665,4.665,0
2024-10-02T05:00:00+0000,4.7255,4.7255,4.7255,4.7255,0
2024-10-03T05:00:00+0000,4.6465,4.6465,4.6465,4.6465,0
2024-10-04T05:00:00+0000,4.699,4.699,4.699,4.699,0
2024-10-07T05:00:00+0000,4.703,4.703,4.703,4.703,0
2024-10-08T05:00:00+0000,4.6275,4.6275,4.6275,4.6275,0
2024-10-09T05:00:00+0000,4.5655,4.5655,4.5655,4.5655,0
2024-10-10T05:00:00+0000,4.5885,4.5885,4.5885,4.5885,0
2024-10-11T05:00:00+0000,4.648,4.648,4.648,4.648,0
2024-10-14T05:00:00+0000,4.585,4.585,4.585,4.585,0
2024-10-15T05:00:00+0000,4.5625,4.5625,4.5625,4.5625,0
2024-10-16T05:00:00+0000,4.584,4.584,4.584,4.584,0
2024-10-17T05:00:00+0000,4.5595,4.5595,4.5595,4.5595,0
2024-10-18T05:00:00+0000,4.62,4.62,4.62,4.62,0
2024-10-21T05:00:00+0000,4.598,4.598,4.598,4.598,0
2024-10-22T05:00:00+0000,4.618,4.618,4.618,4.618,0
2024-10-23T05:00:00+0000,4.5865,4.5865,4.5865,4.5865,0
2024-10-24T05:00:00+0000,4.596,4.596,4.596,4.596,0
