Time,Open,High,Low,Close,Volume
2021-12-27T06:00:00+0000,69.57,69.57,69.57,69.57,0
2021-12-28T06:00:00+0000,69.9,69.9,69.9,69.9,0
2021-12-29T06:00:00+0000,70.54,70.54,70.54,70.54,0
2021-12-30T06:00:00+0000,70.89,70.89,70.89,70.89,0
2021-12-31T06:00:00+0000,69.28,69.28,69.28,69.28,0
2022-01-03T06:00:00+0000,70.55,70.55,70.55,70.55,0
2022-01-04T06:00:00+0000,71.55,71.55,71.55,71.55,0
2022-01-05T06:00:00+0000,71.64,71.64,71.64,71.64,0
2022-01-06T06:00:00+0000,72.34,72.34,72.34,72.34,0
2022-01-07T06:00:00+0000,72.04,72.04,72.04,72.04,0
2022-01-10T06:00:00+0000,71.4,71.4,71.4,71.4,0
2022-01-11T06:00:00+0000,73.58,73.58,73.58,73.58,0
2022-01-12T06:00:00+0000,74.21,74.21,74.21,74.21,0
2022-01-13T06:00:00+0000,74.08,74.08,74.08,75.11,0
2022-01-14T06:00:00+0000,75.11,75.11,75.11,75.11,0
2022-01-18T06:00:00+0000,76.95,76.95,75.96,76.28,3
2022-01-19T06:00:00+0000,76.85,77.5,76.79,76.79,2
2022-01-20T06:00:00+0000,77.31,77.31,77.31,77.31,0
2022-01-21T06:00:00+0000,76.76,76.76,76.76,76.76,0
2022-01-24T06:00:00+0000,75.43,75.43,75.43,75.43,0
2022-01-25T06:00:00+0000,76.64,76.64,76.64,76.64,0
2022-01-26T06:00:00+0000,77.7,77.7,77.7,77.7,0
2022-01-27T06:00:00+0000,76.95,78.25,76.95,77.07,1
2022-01-28T06:00:00+0000,78.25,78.25,76.65,77.02,5
2022-01-31T06:00:00+0000,77.82,77.82,77.55,77.55,1
2022-02-01T06:00:00+0000,77.73,77.73,77.45,77.45,1
2022-02-02T06:00:00+0000,77.9,77.9,77.9,77.9,1
2022-02-03T06:00:00+0000,79.14,79.14,79.14,79.14,0
2022-02-04T06:00:00+0000,79.56,80.2,79.56,80.2,1
2022-02-07T06:00:00+0000,80.24,80.24,80.24,80.24,0
2022-02-08T06:00:00+0000,79.9,79.9,78.58,78.89,2
2022-02-09T06:00:00+0000,79.87,79.87,79.87,79.87,0
2022-02-10T06:00:00+0000,80.6,80.6,79.62,79.8,7
2022-02-11T06:00:00+0000,80.72,81.17,80.72,81.17,1
2022-02-14T06:00:00+0000,80.88,81.89,80.88,81.89,1
2022-02-15T06:00:00+0000,81.69,81.69,78.46,79.16,4
2022-02-16T06:00:00+0000,80.05,80.05,80.05,80.05,0
2022-02-17T06:00:00+0000,79.11,79.26,79.11,79.26,1
2022-02-18T06:00:00+0000,80.02,80.02,80.02,80.02,0
2022-02-22T06:00:00+0000,79.6,83.1,79.6,81.37,9
2022-02-23T06:00:00+0000,82.11,82.11,82.11,82.11,0
2022-02-24T06:00:00+0000,86.86,86.87,80.92,80.92,3
2022-02-25T06:00:00+0000,81.96,81.96,80.27,80.27,1
2022-02-28T06:00:00+0000,82.88,82.88,81.37,81.37,2
2022-03-01T06:00:00+0000,83.68,84.48,82.68,82.68,11
2022-03-02T06:00:00+0000,83.81,86.38,83.81,86.32,11
2022-03-03T06:00:00+0000,86.35,87.88,85.66,86.73,12
2022-03-04T06:00:00+0000,87.88,93.4,87.45,93.4,8
2022-03-07T06:00:00+0000,94.92,96.21,94.92,94.92,0
2022-03-08T06:00:00+0000,95.09,95.09,95.09,95.09,0
2022-03-09T06:00:00+0000,89.93,96.0,84.95,84.95,11
2022-03-10T06:00:00+0000,86.32,86.8,85.26,85.69,6
2022-03-11T06:00:00+0000,85.57,88.98,85.57,88.98,5
2022-03-14T05:00:00+0000,87.5,87.99,85.61,85.61,4
2022-03-15T05:00:00+0000,83.24,83.24,83.24,83.24,0
2022-03-16T05:00:00+0000,81.82,81.82,81.82,81.82,0
2022-03-17T05:00:00+0000,86.08,87.04,86.08,87.04,2
2022-03-18T05:00:00+0000,88.6,88.6,88.03,88.03,1
2022-03-21T05:00:00+0000,91.93,91.93,91.93,91.93,0
2022-03-22T05:00:00+0000,91.34,91.34,91.34,91.34,0
2022-03-23T05:00:00+0000,94.16,94.16,94.16,94.16,0
2022-03-24T05:00:00+0000,95.0,95.0,91.94,91.94,4
2022-03-25T05:00:00+0000,91.38,93.25,90.0,93.25,5
2022-03-28T05:00:00+0000,89.37,89.37,88.29,88.29,1
2022-03-29T05:00:00+0000,86.16,88.44,86.16,88.44,1
2022-03-30T05:00:00+0000,91.5,91.5,91.5,91.5,0
2022-03-31T05:00:00+0000,90.58,90.58,88.62,88.62,1
