Time,Open,High,Low,Latest,Volume
2023-11-27T06:00:00+0000,16707,16707,16707,16707.0,0
2023-11-28T06:00:00+0000,16708,16708,16708,16708.0,0
2023-11-29T06:00:00+0000,16872,16872,16872,16872.0,0
2023-11-30T06:00:00+0000,16933,16933,16933,16933.0,0
2023-12-01T06:00:00+0000,17072,17072,17072,17072.0,0
2023-12-04T06:00:00+0000,17095,17095,17095,17095.0,0
2023-12-05T06:00:00+0000,17215,17215,17215,17215.0,0
2023-12-06T06:00:00+0000,17379,17379,17379,17379.0,24
2023-12-07T06:00:00+0000,17329,17329,17329,17329.0,0
2023-12-08T06:00:00+0000,17471,17471,17471,17471.0,0
2023-12-11T06:00:00+0000,17528,17528,17528,17528.0,0
2023-12-12T06:00:00+0000,17507,17507,17507,17507.0,0
2023-12-13T06:00:00+0000,17473,17473,17473,17473.0,0
2023-12-14T06:00:00+0000,17457,17457,17457,17457.0,0
2023-12-15T06:00:00+0000,17445,17445,17445,17445.0,0
2023-12-18T06:00:00+0000,17322,17322,17322,17322.0,0
2023-12-19T06:00:00+0000,17432,17432,17432,17432.0,0
2023-12-20T06:00:00+0000,17419,17419,17419,17419.0,0
2023-12-21T06:00:00+0000,17353,17353,17353,17353.0,0
2023-12-22T06:00:00+0000,17375,17375,17375,17375.0,0
2023-12-27T06:00:00+0000,17395,17395,17395,17395.0,0
2023-12-28T06:00:00+0000,17344,17344,17344,17344.0,24
2023-12-29T06:00:00+0000,17392,17392,17392,17392.0,0
2024-01-02T06:00:00+0000,17405,17405,17405,17405.0,0
2024-01-03T06:00:00+0000,17136,17136,17136,17136.0,0
2024-01-04T06:00:00+0000,17257,17257,17257,17257.0,0
2024-01-05T06:00:00+0000,17226,17226,17226,17226.0,24
2024-01-08T06:00:00+0000,17339,17339,17339,17339.0,0
2024-01-09T06:00:00+0000,17328,17328,17328,17328.0,0
2024-01-10T06:00:00+0000,17343,17343,17343,17343.0,0
2024-01-11T06:00:00+0000,17186,17186,17186,17186.0,0
2024-01-12T06:00:00+0000,17319,17319,17319,17319.0,0
2024-01-15T06:00:00+0000,17269,17269,17269,17269.0,0
2024-01-16T06:00:00+0000,17193,17193,17193,17193.0,0
2024-01-17T06:00:00+0000,17057,17057,17057,17057.0,0
2024-01-18T06:00:00+0000,17192,17192,17192,17192.0,0
2024-01-19T06:00:00+0000,17190,17190,17190,17190.0,0
2024-01-22T06:00:00+0000,17324,17324,17324,17324.0,0
2024-01-23T06:00:00+0000,17279,17279,17279,17279.0,0
2024-01-24T06:00:00+0000,17542,17542,17542,17542.0,36
2024-01-25T06:00:00+0000,17542,17542,17542,17542.0,0
2024-01-26T06:00:00+0000,17591,17591,17591,17591.0,0
2024-01-29T06:00:00+0000,17563,17563,17563,17563.0,0
2024-01-30T06:00:00+0000,17607,17607,17607,17607.0,0
2024-01-31T06:00:00+0000,17511,17511,17511,17511.0,0
2024-02-01T06:00:00+0000,17448,17448,17448,17448.0,0
2024-02-02T06:00:00+0000,17534,17534,17534,17534.0,0
2024-02-05T06:00:00+0000,17518,17518,17518,17518.0,0
2024-02-06T06:00:00+0000,17676,17676,17676,17676.0,0
2024-02-07T06:00:00+0000,17540,17540,17540,17540.0,0
2024-02-08T06:00:00+0000,17597,17597,17597,17597.0,0
2024-02-09T06:00:00+0000,17544,17544,17544,17544.0,0
2024-02-12T06:00:00+0000,17660,17660,17660,17660.0,0
2024-02-13T06:00:00+0000,17500,17500,17500,17500.0,0
2024-02-14T06:00:00+0000,17564,17564,17564,17564.0,0
2024-02-15T06:00:00+0000,17656,17656,17656,17656.0,0
2024-02-16T06:00:00+0000,17740,17740,17740,17740.0,0
2024-02-19T06:00:00+0000,17712,17712,17712,17712.0,0
2024-02-20T06:00:00+0000,17689,17689,17689,17689.0,0
2024-02-21T06:00:00+0000,17733,17733,17733,17733.0,0
2024-02-22T06:00:00+0000,18001,18001,18001,18001.0,0
2024-02-23T06:00:00+0000,18040,18040,18040,18040.0,0
2024-02-26T06:00:00+0000,18058,18058,18058,18058.0,0
2024-02-27T06:00:00+0000,18192,18192,18192,18192.0,0
2024-02-28T06:00:00+0000,18224,18224,18224,18224.0,0
2024-02-29T06:00:00+0000,18341,18341,18341,18341.0,0
2024-03-01T06:00:00+0000,18360,18360,18360,18360.0,0
2024-03-04T06:00:00+0000,18341,18341,18341,18341.0,0
2024-03-05T06:00:00+0000,18319,18319,18319,18319.0,0
2024-03-06T06:00:00+0000,18337,18337,18337,18337.0,0
2024-03-07T06:00:00+0000,18487,18487,18487,18487.0,0
2024-03-08T06:00:00+0000,18439,18439,18439,18439.0,0
2024-03-11T05:00:00+0000,18371,18371,18371,18371.0,0
2024-03-12T05:00:00+0000,18601,18601,18601,18601.0,0
2024-03-13T05:00:00+0000,18596,18596,18596,18596.0,0
2024-03-14T05:00:00+0000,18558,18558,18558,18558.0,0
2024-03-15T05:00:00+0000,18578,18578,18578,18578.0,0
2024-03-18T05:00:00+0000,18565,18565,18565,18565.0,0
2024-03-19T05:00:00+0000,18612,18612,18612,18612.0,56
2024-03-20T05:00:00+0000,18628,18628,18628,18628.0,0
2024-03-21T05:00:00+0000,18787,18787,18787,18787.0,0
2024-03-22T05:00:00+0000,18831,18831,18831,18831.0,0
2024-03-25T05:00:00+0000,18892,18892,18892,18892.0,0
2024-03-26T05:00:00+0000,19025,19025,19025,19025.0,0
2024-03-27T05:00:00+0000,19091,19091,19091,19091.0,0
2024-03-28T05:00:00+0000,19124,19124,19124,19124.0,0
2024-04-02T05:00:00+0000,18905,18905,18905,18905.0,0
2024-04-03T05:00:00+0000,19100,19100,18981,18981.0,2
2024-04-04T05:00:00+0000,19004,19004,19004,19004.0,0
2024-04-05T05:00:00+0000,18757,18757,18757,18757.0,0
2024-04-08T05:00:00+0000,18916,18916,18916,18916.0,0
2024-04-09T05:00:00+0000,18665,18665,18665,18665.0,0
2024-04-10T05:00:00+0000,18687,18687,18687,18687.0,0
2024-04-11T05:00:00+0000,18534,18534,18534,18534.0,0
2024-04-12T05:00:00+0000,18481,18481,18481,18481.0,0
2024-04-15T05:00:00+0000,18574,18574,18574,18574.0,5
2024-04-16T05:00:00+0000,18268,18268,18268,18268.0,0
2024-04-17T05:00:00+0000,18355,18355,18355,18355.0,0
2024-04-18T05:00:00+0000,18410,18410,18410,18410.0,0
2024-04-19T05:00:00+0000,18291,18291,18291,18291.0,0
2024-04-22T05:00:00+0000,18405,18405,18405,18405.0,0
2024-04-23T05:00:00+0000,18699,18699,18699,18699.0,1
2024-04-24T05:00:00+0000,18618,18618,18618,18618.0,0
2024-04-25T05:00:00+0000,18458,18458,18458,18458.0,0
2024-04-26T05:00:00+0000,18706,18706,18706,18706.0,0
2024-04-29T05:00:00+0000,18665,18665,18665,18665.0,0
2024-04-30T05:00:00+0000,18447,18447,18447,18447.0,0
2024-05-02T05:00:00+0000,18424,18424,18424,18424.0,0
2024-05-03T05:00:00+0000,18887,18887,18503,18503.0,1
2024-05-06T05:00:00+0000,18674,18674,18674,18674.0,0
2024-05-07T05:00:00+0000,18888,18949,18888,18949.0,4
2024-05-08T05:00:00+0000,18994,18994,18994,18994.0,0
2024-05-09T05:00:00+0000,19175,19175,19175,19175.0,0
2024-05-10T05:00:00+0000,19251,19251,19251,19251.0,0
2024-05-13T05:00:00+0000,19229,19229,19229,19229.0,5
2024-05-14T05:00:00+0000,19200,19218,19200,19218.0,4
2024-05-15T05:00:00+0000,19362,19362,19362,19362.0,0
2024-05-16T05:00:00+0000,19192,19192,19192,19192.0,3
2024-05-17T05:00:00+0000,19169,19169,19169,19169.0,1
2024-05-20T05:00:00+0000,19224,19224,19224,19224.0,0
2024-05-21T05:00:00+0000,19177,19177,19177,19177.0,0
2024-05-22T05:00:00+0000,19131,19131,19131,19131.0,0
2024-05-23T05:00:00+0000,19135,19135,19135,19135.0,0
2024-05-24T05:00:00+0000,19142,19142,19142,19142.0,0
2024-05-27T05:00:00+0000,19206,19206,19206,19206.0,0
2024-05-28T05:00:00+0000,19131,19131,19131,19131.0,0
2024-05-29T05:00:00+0000,18910,18910,18910,18910.0,0
2024-05-30T05:00:00+0000,18942,18942,18942,18942.0,0
2024-05-31T05:00:00+0000,18908,18908,18908,18908.0,0
2024-06-03T05:00:00+0000,19035,19035,19035,19035.0,0
2024-06-04T05:00:00+0000,18836,18836,18836,18836.0,0
2024-06-05T05:00:00+0000,18987,18987,18987,18987.0,0
2024-06-06T05:00:00+0000,19191,19191,19060,19060.0,2
2024-06-07T05:00:00+0000,18972,18972,18972,18972.0,0
2024-06-10T05:00:00+0000,18883,18901,18883,18901.0,3
2024-06-11T05:00:00+0000,18855,18855,18781,18781.0,1
2024-06-12T05:00:00+0000,19052,19052,19052,19052.0,0
2024-06-13T05:00:00+0000,18655,18655,18655,18655.0,0
2024-06-14T05:00:00+0000,18422,18422,18399,18399.0,1
2024-06-17T05:00:00+0000,18451,18451,18451,18451.0,12
2024-06-18T05:00:00+0000,18550,18550,18507,18507.0,1
2024-06-19T05:00:00+0000,18442,18442,18442,18442.0,0
2024-06-20T05:00:00+0000,18600,18610,18600,18610.0,1
2024-06-21T05:00:00+0000,18543,18543,18543,18543.0,0
2024-06-24T05:00:00+0000,18710,18710,18710,18710.0,0
2024-06-25T05:00:00+0000,18517,18517,18517,18517.0,3
2024-06-26T05:00:00+0000,18522,18522,18522,18522.0,0
2024-06-27T05:00:00+0000,18543,18543,18543,18543.0,0
2024-06-28T05:00:00+0000,18578,18578,18578,18578.0,0
2024-07-01T05:00:00+0000,18766,18769,18620,18670.0,37
2024-07-02T05:00:00+0000,18491,18491,18491,18491.0,0
2024-07-03T05:00:00+0000,18710,18734,18710,18726.0,20
2024-07-04T05:00:00+0000,18781,18789,18770,18789.0,8
2024-07-05T05:00:00+0000,18803,18936,18768,18794.0,14
2024-07-08T05:00:00+0000,18900,18900,18786,18826.0,17
2024-07-09T05:00:00+0000,18550,18550,18550,18550.0,1
2024-07-10T05:00:00+0000,18747,18747,18747,18747.0,0
2024-07-11T05:00:00+0000,18808,18867,18784,18867.0,5
2024-07-12T05:00:00+0000,19000,19101,19000,19101.0,3
2024-07-15T05:00:00+0000,18880,18926,18880,18926.0,5
2024-07-16T05:00:00+0000,18810,18848,18810,18848.0,2
2024-07-17T05:00:00+0000,18795,18795,18685,18762.0,8
2024-07-18T05:00:00+0000,18777,18841,18630,18674.0,31
2024-07-19T05:00:00+0000,18663,18663,18465,18465.0,3
2024-07-22T05:00:00+0000,18720,18720,18720,18720.0,0
2024-07-23T05:00:00+0000,18808,18935,18781,18851.0,25
2024-07-24T05:00:00+0000,18758,18758,18660,18671.0,13
2024-07-25T05:00:00+0000,18448,18624,18436,18591.0,16
2024-07-26T05:00:00+0000,18705,18712,18705,18712.0,1
2024-07-29T05:00:00+0000,18793,18793,18607,18607.0,28
2024-07-30T05:00:00+0000,18681,18710,18681,18710.0,4
2024-07-31T05:00:00+0000,18750,18785,18740,18780.0,6
2024-08-01T05:00:00+0000,18676,18704,18347,18347.0,17
2024-08-02T05:00:00+0000,18113,18113,17892,17892.0,32
2024-08-05T05:00:00+0000,17497,17555,17265,17555.0,23
2024-08-06T05:00:00+0000,17503,17636,17484,17566.0,73
2024-08-07T05:00:00+0000,17872,17898,17672,17854.0,63
2024-08-08T05:00:00+0000,17832,17905,17832,17905.0,10
2024-08-09T05:00:00+0000,17954,17956,17939,17939.0,5
2024-08-12T05:00:00+0000,17946,17946,17946,17946.0,0
2024-08-13T05:00:00+0000,18082,18082,18043,18043.0,2
2024-08-14T05:00:00+0000,18113,18113,18113,18113.0,1
2024-08-15T05:00:00+0000,18181,18427,18166,18416.0,38
2024-08-16T05:00:00+0000,18471,18569,18459,18569.0,40
2024-08-19T05:00:00+0000,18531,18666,18531,18666.0,23
2024-08-20T05:00:00+0000,18681,18681,18589,18589.0,8
2024-08-21T05:00:00+0000,18683,18683,18683,18683.0,31
2024-08-22T05:00:00+0000,18720,18757,18720,18720.0,62
2024-08-23T05:00:00+0000,18814,18880,18814,18868.0,31
2024-08-26T05:00:00+0000,18830,18851,18830,18849.0,5
2024-08-27T05:00:00+0000,18932,18932,18928,18929.0,57
2024-08-28T05:00:00+0000,18993,19077,18964,19022.0,131
2024-08-29T05:00:00+0000,19131,19168,19088,19130.0,135
2024-08-30T05:00:00+0000,19133,19184,19132,19132.0,55
2024-09-02T05:00:00+0000,19138,19156,19015,19147.0,35
2024-09-03T05:00:00+0000,19185,19202,18884,18973.0,95
2024-09-04T05:00:00+0000,18824,18862,18700,18801.0,169
2024-09-05T05:00:00+0000,18762,18850,18752,18800.0,1397
2024-09-06T05:00:00+0000,18755,18778,18479,18479.0,240
2024-09-09T05:00:00+0000,18592,18677,18564,18627.0,362
2024-09-10T05:00:00+0000,18626,18688,18388,18475.0,634
2024-09-11T05:00:00+0000,18472,18682,18396,18518.0,936
2024-09-12T05:00:00+0000,18695,18782,18568,18693.0,948
2024-09-13T05:00:00+0000,18786,18909,18723,18878.0,6620
2024-09-16T05:00:00+0000,18901,18907,18780,18812.0,21704
2024-09-17T05:00:00+0000,18878,18990,18803,18914.0,33309
2024-09-18T05:00:00+0000,18889,19102,18876,18898.0,26433
2024-09-19T05:00:00+0000,18998,19231,18952,19180.0,44878
2024-09-20T05:00:00+0000,19127,19134,18877,18904.0,50889
2024-09-23T05:00:00+0000,18915,19059,18851,19002.0,32649
2024-09-24T05:00:00+0000,19034,19200,19015,19155.0,39129
2024-09-25T05:00:00+0000,19157,19157,19008,19087.0,34194
2024-09-26T05:00:00+0000,19112,19463,19112,19388.0,55578
