Time,Open,High,Low,Close,Volume
2019-09-19T05:00:00+0000,26877,26877,26877,26877,0
2019-09-20T05:00:00+0000,26755,26755,26755,26755,0
2019-09-23T05:00:00+0000,26824,26824,26824,26824,0
2019-09-24T05:00:00+0000,26668,26668,26668,26668,0
2019-09-25T05:00:00+0000,26818,26818,26818,26818,0
2019-09-26T05:00:00+0000,26756,26756,26756,26756,0
2019-09-27T05:00:00+0000,26668,26668,26668,26668,0
2019-09-30T05:00:00+0000,26790,26790,26790,26790,0
2019-10-01T05:00:00+0000,26412,26412,26412,26412,0
2019-10-02T05:00:00+0000,25873,25873,25873,25873,0
2019-10-03T05:00:00+0000,26063,26063,26063,26063,0
2019-10-04T05:00:00+0000,26422,26422,26422,26422,0
2019-10-07T05:00:00+0000,26344,26344,26344,26344,0
2019-10-08T05:00:00+0000,26046,26046,26046,26046,0
2019-10-09T05:00:00+0000,26198,26198,26198,26198,0
2019-10-10T05:00:00+0000,26384,26384,26384,26384,0
2019-10-11T05:00:00+0000,26658,26658,26658,26658,0
2019-10-14T05:00:00+0000,26645,26645,26645,26645,0
2019-10-15T05:00:00+0000,26894,26894,26894,26894,0
2019-10-16T05:00:00+0000,26837,26837,26837,26837,0
2019-10-17T05:00:00+0000,26890,26890,26890,26890,0
2019-10-18T05:00:00+0000,26647,26647,26647,26647,0
2019-10-21T05:00:00+0000,26694,26694,26694,26694,0
2019-10-22T05:00:00+0000,26655,26655,26655,26655,0
2019-10-23T05:00:00+0000,26705,26705,26705,26705,0
2019-10-24T05:00:00+0000,26693,26693,26693,26693,0
2019-10-25T05:00:00+0000,26817,26817,26817,26817,0
2019-10-28T05:00:00+0000,26964,26964,26964,26964,0
2019-10-29T05:00:00+0000,26930,26930,26930,26930,0
2019-10-30T05:00:00+0000,27045,27045,27045,27045,0
2019-10-31T05:00:00+0000,26903,26903,26878,26903,0
2019-11-01T05:00:00+0000,27184,27184,27184,27184,0
2019-11-04T06:00:00+0000,27305,27305,27305,27305,0
2019-11-05T06:00:00+0000,27345,27345,27345,27345,0
2019-11-06T06:00:00+0000,27363,27363,27363,27363,0
2019-11-07T06:00:00+0000,27561,27561,27561,27561,0
2019-11-08T06:00:00+0000,27522,27522,27522,27522,0
2019-11-11T06:00:00+0000,27557,27557,27514,27557,0
2019-11-12T06:00:00+0000,27558,27558,27558,27558,0
2019-11-13T06:00:00+0000,27670,27670,27670,27670,0
2019-11-14T06:00:00+0000,27646,27646,27646,27646,0
2019-11-15T06:00:00+0000,27841,27841,27841,27841,0
2019-11-18T06:00:00+0000,27902,27902,27902,27902,0
2019-11-19T06:00:00+0000,27790,27944,27790,27790,0
2019-11-20T06:00:00+0000,27700,27700,27700,27700,0
2019-11-21T06:00:00+0000,27636,27636,27636,27636,0
2019-11-22T06:00:00+0000,27758,27758,27758,27758,0
2019-11-25T06:00:00+0000,27929,27929,27929,27929,0
2019-11-26T06:00:00+0000,28026,28026,28026,28026,0
2019-11-27T06:00:00+0000,28037,28037,28037,28037,0
