Time,Open,High,Low,Latest,Volume
2025-06-18T05:00:00+0000,43562,43562,43562,43562,0
2025-06-20T05:00:00+0000,43630,43630,43630,43630,0
2025-06-23T05:00:00+0000,44004,44004,44004,44004,0
2025-06-24T05:00:00+0000,44536,44536,44536,44536,0
2025-06-25T05:00:00+0000,44436,44436,44436,44436,0
2025-06-26T05:00:00+0000,44837,44837,44837,44837,0
2025-06-27T05:00:00+0000,45255,45255,45255,45255,0
2025-06-30T05:00:00+0000,45519,45519,45519,45519,0
2025-07-01T05:00:00+0000,45937,45937,45937,45937,0
2025-07-02T05:00:00+0000,45906,45906,45906,45906,0
2025-07-03T05:00:00+0000,46228,46228,46228,46228,0
2025-07-07T05:00:00+0000,45807,45807,45807,45807,0
2025-07-08T05:00:00+0000,45642,45642,45642,45642,0
2025-07-09T05:00:00+0000,45849,45849,45849,45849,0
2025-07-10T05:00:00+0000,46038,46038,46038,46038,0
2025-07-11T05:00:00+0000,45729,45729,45729,45729,0
2025-07-14T05:00:00+0000,45822,45822,45604,45822,0
2025-07-15T05:00:00+0000,45377,45377,45377,45377,0
2025-07-16T05:00:00+0000,45589,45589,45589,45589,0
2025-07-17T05:00:00+0000,45848,45848,45848,45848,0
2025-07-18T05:00:00+0000,45659,45659,45657,45659,0
2025-07-21T05:00:00+0000,45677,45677,45677,45677,0
2025-07-22T05:00:00+0000,45841,45841,45841,45841,0
2025-07-23T05:00:00+0000,46344,46344,46344,46344,0
2025-07-24T05:00:00+0000,46029,46029,46029,46029,0
2025-07-25T05:00:00+0000,46214,46214,46214,46214,0
2025-07-28T05:00:00+0000,46142,46142,46142,46142,0
2025-07-29T05:00:00+0000,45946,45946,45946,45946,0
2025-07-30T05:00:00+0000,45763,45763,45698,45763,0
2025-07-31T05:00:00+0000,45435,45435,45435,45435,0
2025-08-01T05:00:00+0000,44840,44840,44807,44840,0
2025-08-04T05:00:00+0000,45433,45433,45433,45433,0
2025-08-05T05:00:00+0000,45366,45366,45288,45366,0
2025-08-06T05:00:00+0000,45442,45442,45442,45442,0
2025-08-07T05:00:00+0000,45210,45210,45187,45210,0
2025-08-08T05:00:00+0000,45408,45408,45408,45408,0
2025-08-11T05:00:00+0000,45214,45214,45214,45214,0
2025-08-12T05:00:00+0000,45688,45688,45688,45688,0
2025-08-13T05:00:00+0000,46076,46155,46076,46155,1
2025-08-14T05:00:00+0000,45910,46106,45910,46106,1
2025-08-15T05:00:00+0000,46149,46149,46149,46149,0
2025-08-18T05:00:00+0000,46095,46095,46095,46095,0
2025-08-19T05:00:00+0000,46108,46108,46108,46108,0
2025-08-20T05:00:00+0000,46104,46104,46094,46104,0
2025-08-21T05:00:00+0000,45963,45963,45903,45963,0
2025-08-22T05:00:00+0000,46824,46824,46824,46824,0
2025-08-25T05:00:00+0000,46460,46460,46460,46460,0
2025-08-26T05:00:00+0000,46598,46598,46598,46598,0
2025-08-27T05:00:00+0000,46751,46751,46751,46751,0
2025-08-28T05:00:00+0000,46815,46815,46744,46815,0
2025-08-29T05:00:00+0000,46710,46710,46710,46710,0
2025-09-02T05:00:00+0000,46460,46460,46460,46460,0
2025-09-03T05:00:00+0000,46417,46417,46417,46417,0
2025-09-04T05:00:00+0000,46797,46797,46797,46797,0
2025-09-05T05:00:00+0000,46568,46568,46568,46568,0
2025-09-08T05:00:00+0000,46684,46684,46684,46684,0
2025-09-09T05:00:00+0000,46866,46866,46866,46866,0
2025-09-10T05:00:00+0000,46649,46649,46649,46649,0
2025-09-11T05:00:00+0000,47250,47250,47250,47250,0
2025-09-12T05:00:00+0000,46963,46963,46963,46963,0
2025-09-15T05:00:00+0000,47030,47030,47030,47030,0
2025-09-16T05:00:00+0000,46893,46893,46893,46893,0
2025-09-17T05:00:00+0000,47130,47130,47130,47130,0
2025-09-18T05:00:00+0000,47277,47277,47277,47277,0
2025-09-19T05:00:00+0000,47436,47436,47251,47436,0
2025-09-22T05:00:00+0000,47505,47505,47170,47505,0
2025-09-23T05:00:00+0000,47418,47604,47350,47418,0
2025-09-24T05:00:00+0000,47192,47192,47189,47192,0
2025-09-25T05:00:00+0000,47016,47016,46870,47016,0
2025-09-26T05:00:00+0000,47308,47308,47005,47308,0
2025-09-29T05:00:00+0000,47363,47368,47227,47363,0
2025-09-30T05:00:00+0000,47440,47440,47169,47440,0
2025-10-01T05:00:00+0000,47479,47479,47107,47479,0
2025-10-02T05:00:00+0000,47562,47562,47326,47562,0
2025-10-03T05:00:00+0000,47792,47792,47792,47792,0
2025-10-06T05:00:00+0000,47739,47739,47478,47739,0
2025-10-07T05:00:00+0000,47607,47607,47483,47607,0
2025-10-08T05:00:00+0000,47554,47667,47537,47625,5
2025-10-09T05:00:00+0000,47348,47348,47287,47348,0
2025-10-10T05:00:00+0000,46464,47473,46167,46464,0
2025-10-13T05:00:00+0000,47041,47041,47041,47041,0
2025-10-14T05:00:00+0000,47243,47327,46423,47243,0
2025-10-15T05:00:00+0000,47234,47505,47003,47234,0
2025-10-16T05:00:00+0000,46792,47296,46642,46792,0
2025-10-17T05:00:00+0000,47013,47100,46259,47013,0
2025-10-20T05:00:00+0000,47545,47555,46972,47545,0
2025-10-21T05:00:00+0000,47781,47918,47466,47781,1
2025-10-22T05:00:00+0000,47428,47428,47314,47428,0
2025-10-23T05:00:00+0000,47568,47568,47269,47568,0
2025-10-24T05:00:00+0000,48042,48091,47555,48042,0
2025-10-27T05:00:00+0000,48365,48397,48365,48365,2
2025-10-28T05:00:00+0000,48554,48687,48354,48554,0
2025-10-29T05:00:00+0000,48494,48801,48332,48494,0
2025-10-30T05:00:00+0000,48600,48755,48269,48376,2
2025-10-31T05:00:00+0000,48377,48441,48207,48421,1
2025-11-03T06:00:00+0000,48170,48453,47980,48170,0
2025-11-04T06:00:00+0000,48044,48044,47694,47911,1
2025-11-05T06:00:00+0000,47917,48154,47792,48133,1
