Time,Open,High,Low,Close,Volume
2001-05-29T05:00:00+0000,95.635,95.635,95.61,95.61,0
2001-05-30T05:00:00+0000,95.62,95.625,95.61,95.625,0
2001-05-31T05:00:00+0000,95.605,95.605,95.605,95.605,0
2001-06-01T05:00:00+0000,95.695,95.695,95.695,95.695,0
2001-06-05T05:00:00+0000,95.705,95.785,95.7,95.785,0
2001-06-06T05:00:00+0000,95.76,95.76,95.745,95.745,0
2001-06-07T05:00:00+0000,95.735,95.735,95.735,95.735,0
2001-06-08T05:00:00+0000,95.74,95.74,95.725,95.725,0
2001-06-11T05:00:00+0000,95.735,95.735,95.725,95.725,0
2001-06-12T05:00:00+0000,95.735,95.735,95.665,95.68,0
2001-06-13T05:00:00+0000,95.64,95.64,95.635,95.635,0
2001-06-14T05:00:00+0000,95.655,95.71,95.655,95.71,0
2001-06-15T05:00:00+0000,95.725,95.735,95.725,95.735,0
2001-06-18T05:00:00+0000,95.755,95.765,95.74,95.765,0
2001-06-19T05:00:00+0000,95.76,95.76,95.745,95.745,0
2001-06-20T05:00:00+0000,95.785,95.79,95.785,95.79,0
2001-06-21T05:00:00+0000,95.8,95.81,95.795,95.81,0
2001-06-22T05:00:00+0000,95.835,95.885,95.835,95.885,0
2001-06-25T05:00:00+0000,95.885,95.91,95.885,95.91,0
2001-06-26T05:00:00+0000,95.895,95.915,95.865,95.865,0
2001-06-27T05:00:00+0000,95.87,95.89,95.87,95.89,0
2001-06-28T05:00:00+0000,95.88,95.895,95.825,95.825,0
2001-06-29T05:00:00+0000,95.75,95.75,95.735,95.735,0
2001-07-02T05:00:00+0000,95.77,95.775,95.77,95.775,0
2001-07-05T05:00:00+0000,95.68,95.68,95.645,95.645,0
2001-07-06T05:00:00+0000,95.685,95.735,95.685,95.735,0
2001-07-09T05:00:00+0000,95.72,95.72,95.69,95.69,0
2001-07-10T05:00:00+0000,95.7,95.75,95.7,95.75,0
2001-07-11T05:00:00+0000,95.79,95.795,95.785,95.785,0
2001-07-12T05:00:00+0000,95.755,95.805,95.755,95.805,0
2001-07-13T05:00:00+0000,95.765,95.765,95.75,95.75,0
2001-07-16T05:00:00+0000,95.77,95.79,95.77,95.79,0
2001-07-17T05:00:00+0000,95.78,95.78,95.765,95.765,0
2001-07-18T05:00:00+0000,95.78,95.84,95.77,95.84,0
2001-07-19T05:00:00+0000,95.83,95.835,95.79,95.79,0
