Time,Open,High,Low,Close,Volume
2018-06-19T05:00:00+0000,1.1706,1.1757,1.1697,1.1739,24
2018-06-20T05:00:00+0000,1.1751,1.176,1.17,1.1748,34
2018-06-21T05:00:00+0000,1.1727,1.1793,1.1668,1.1783,66
2018-06-22T05:00:00+0000,1.1772,1.1834,1.1762,1.1824,61
2018-06-25T05:00:00+0000,1.1825,1.1873,1.179,1.1864,53
2018-06-26T05:00:00+0000,1.1867,1.188,1.1795,1.1809,50
2018-06-27T05:00:00+0000,1.1811,1.1829,1.1698,1.1714,87
2018-06-28T05:00:00+0000,1.1716,1.1753,1.1681,1.1709,83
2018-06-29T05:00:00+0000,1.1714,1.1842,1.1714,1.1822,131
2018-07-02T05:00:00+0000,1.1825,1.1832,1.1742,1.176,95
2018-07-03T05:00:00+0000,1.1788,1.1821,1.1771,1.1798,85
2018-07-05T05:00:00+0000,1.1805,1.1865,1.1778,1.1826,100
2018-07-06T05:00:00+0000,1.183,1.1914,1.1827,1.1891,74
2018-07-09T05:00:00+0000,1.1895,1.1937,1.1881,1.1895,61
2018-07-10T05:00:00+0000,1.1897,1.1908,1.1835,1.189,58
2018-07-11T05:00:00+0000,1.1869,1.19,1.1809,1.1815,61
2018-07-12T05:00:00+0000,1.1815,1.1834,1.179,1.1811,44
2018-07-13T05:00:00+0000,1.1797,1.1824,1.1752,1.1815,48
2018-07-16T05:00:00+0000,1.1836,1.1862,1.1814,1.1852,36
2018-07-17T05:00:00+0000,1.185,1.1881,1.1787,1.1801,68
2018-07-18T05:00:00+0000,1.1786,1.18,1.1739,1.1784,70
2018-07-19T05:00:00+0000,1.1786,1.1811,1.1708,1.1778,146
2018-07-20T05:00:00+0000,1.1787,1.187,1.1759,1.1857,122
2018-07-23T05:00:00+0000,1.1857,1.1882,1.1816,1.1821,92
2018-07-24T05:00:00+0000,1.1817,1.1846,1.1785,1.1814,51
2018-07-25T05:00:00+0000,1.1814,1.1867,1.1794,1.183,104
2018-07-26T05:00:00+0000,1.1857,1.187,1.1767,1.1773,129
2018-07-27T05:00:00+0000,1.1767,1.1789,1.1747,1.1783,128
2018-07-30T05:00:00+0000,1.1783,1.1844,1.1774,1.1836,112
2018-07-31T05:00:00+0000,1.1834,1.1873,1.181,1.1823,174
2018-08-01T05:00:00+0000,1.1812,1.1823,1.1782,1.1787,91
2018-08-02T05:00:00+0000,1.1786,1.1788,1.1703,1.1707,159
2018-08-03T05:00:00+0000,1.1707,1.1729,1.168,1.1698,147
2018-08-06T05:00:00+0000,1.1682,1.1688,1.1649,1.1675,68
2018-08-07T05:00:00+0000,1.1676,1.1727,1.1669,1.1712,72
2018-08-08T05:00:00+0000,1.1721,1.1744,1.1689,1.1736,76
2018-08-09T05:00:00+0000,1.1727,1.1733,1.1639,1.1656,165
2018-08-10T05:00:00+0000,1.164,1.1648,1.15,1.1512,263
2018-08-13T05:00:00+0000,1.1495,1.1542,1.1476,1.1505,327
2018-08-14T05:00:00+0000,1.1514,1.1537,1.1439,1.1448,135
2018-08-15T05:00:00+0000,1.1456,1.1462,1.141,1.1454,82
2018-08-16T05:00:00+0000,1.1445,1.1514,1.1442,1.1471,164
2018-08-17T05:00:00+0000,1.1479,1.1549,1.1472,1.1549,95
2018-08-20T05:00:00+0000,1.154,1.1589,1.1499,1.1572,106
2018-08-21T05:00:00+0000,1.1593,1.1705,1.1589,1.1677,269
2018-08-22T05:00:00+0000,1.1675,1.1726,1.1657,1.1692,203
2018-08-23T05:00:00+0000,1.1697,1.17,1.1631,1.1638,223
2018-08-24T05:00:00+0000,1.1637,1.174,1.1635,1.1726,137
2018-08-27T05:00:00+0000,1.1723,1.1793,1.1695,1.1779,364
2018-08-28T05:00:00+0000,1.1784,1.1833,1.1763,1.1794,295
2018-08-29T05:00:00+0000,1.1792,1.1808,1.1751,1.1797,257
2018-08-30T05:00:00+0000,1.1805,1.1813,1.1737,1.1761,377
2018-08-31T05:00:00+0000,1.1764,1.1785,1.1681,1.1692,417
