Time,Open,High,Low,Close,Volume
1998-06-04T05:00:00+0000,94.44,94.44,94.44,94.44,0
1998-06-05T05:00:00+0000,94.43,94.43,94.43,94.43,0
1998-06-08T05:00:00+0000,94.41,94.41,94.41,94.41,0
1998-06-09T05:00:00+0000,94.38,94.38,94.38,94.38,0
1998-06-10T05:00:00+0000,94.4,94.4,94.4,94.4,0
1998-06-11T05:00:00+0000,94.45,94.45,94.45,94.45,0
1998-06-12T05:00:00+0000,94.49,94.49,94.49,94.49,0
1998-06-15T05:00:00+0000,94.49,94.5,94.49,94.5,0
1998-06-16T05:00:00+0000,94.47,94.47,94.47,94.47,0
1998-06-17T05:00:00+0000,94.43,94.43,94.43,94.43,0
1998-06-18T05:00:00+0000,94.47,94.47,94.47,94.47,0
1998-06-19T05:00:00+0000,94.44,94.44,94.44,94.44,0
1998-06-22T05:00:00+0000,94.46,94.46,94.46,94.46,0
1998-06-23T05:00:00+0000,94.46,94.46,94.46,94.46,0
1998-06-24T05:00:00+0000,94.46,94.46,94.46,94.46,0
1998-06-25T05:00:00+0000,94.46,94.46,94.46,94.46,0
1998-06-26T05:00:00+0000,94.46,94.46,94.46,94.46,0
1998-06-29T05:00:00+0000,94.45,94.45,94.45,94.45,0
1998-06-30T05:00:00+0000,94.47,94.47,94.47,94.47,0
1998-07-01T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-02T05:00:00+0000,94.52,94.52,94.52,94.52,0
1998-07-06T05:00:00+0000,94.52,94.52,94.52,94.52,0
1998-07-07T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-08T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-09T05:00:00+0000,94.53,94.53,94.53,94.53,0
1998-07-10T05:00:00+0000,94.54,94.54,94.54,94.54,0
1998-07-13T05:00:00+0000,94.52,94.52,94.52,94.52,0
1998-07-14T05:00:00+0000,94.52,94.52,94.52,94.52,0
1998-07-15T05:00:00+0000,94.52,94.52,94.52,94.52,0
1998-07-16T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-17T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-20T05:00:00+0000,94.53,94.53,94.53,94.53,0
1998-07-21T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-22T05:00:00+0000,94.51,94.51,94.51,94.51,0
1998-07-23T05:00:00+0000,94.52,94.52,94.52,94.52,0
