Time,Open,High,Low,Latest,Volume
1981-04-22T06:00:00+0000,74.25,74.25,74.25,74.25,0
1981-04-23T06:00:00+0000,74.25,74.25,74.25,74.25,0
1981-04-24T06:00:00+0000,73.75,73.75,73.75,73.75,0
1981-04-27T05:00:00+0000,73.75,73.75,73.75,73.75,0
1981-04-28T05:00:00+0000,73.75,73.75,73.75,73.75,0
1981-04-29T05:00:00+0000,73.25,73.25,73.0,73.0,0
1981-04-30T05:00:00+0000,73.0,73.0,71.5,73.0,0
1981-05-01T05:00:00+0000,72.75,72.75,72.75,72.75,0
1981-05-04T05:00:00+0000,71.5,71.5,71.25,71.25,0
1981-05-05T05:00:00+0000,70.85,71.0,70.85,71.0,0
1981-05-06T05:00:00+0000,71.3,71.3,71.0,71.0,0
1981-05-07T05:00:00+0000,71.7,71.7,71.7,71.7,0
1981-05-08T05:00:00+0000,71.5,72.0,71.25,72.0,0
1981-05-11T05:00:00+0000,71.8,71.8,70.5,70.5,0
1981-05-12T05:00:00+0000,70.2,70.2,69.0,69.0,0
1981-05-13T05:00:00+0000,68.5,69.35,68.5,69.35,0
1981-05-14T05:00:00+0000,69.6,69.6,69.6,69.6,0
1981-05-15T05:00:00+0000,68.1,68.1,68.1,68.1,0
1981-05-18T05:00:00+0000,68.1,68.9,68.1,68.6,0
1981-05-19T05:00:00+0000,68.6,68.75,68.5,68.7,0
1981-05-20T05:00:00+0000,68.9,69.3,68.9,69.0,0
1981-05-21T05:00:00+0000,69.0,69.0,69.0,69.0,0
1981-05-22T05:00:00+0000,69.5,69.5,69.5,69.5,0
1981-05-26T05:00:00+0000,70.0,70.6,70.0,70.5,0
1981-05-27T05:00:00+0000,70.0,70.6,69.7,70.6,0
1981-05-28T05:00:00+0000,71.0,71.0,70.2,70.2,0
1981-05-29T05:00:00+0000,70.4,70.4,70.4,70.4,0
1981-06-01T05:00:00+0000,71.0,71.0,70.5,70.5,0
1981-06-02T05:00:00+0000,70.5,70.5,70.0,70.0,0
1981-06-03T05:00:00+0000,69.75,69.75,69.5,69.5,0
1981-06-04T05:00:00+0000,69.0,69.0,69.0,69.0,0
1981-06-05T05:00:00+0000,70.0,70.5,70.0,70.5,0
1981-06-08T05:00:00+0000,71.0,71.45,70.55,71.4,0
1981-06-09T05:00:00+0000,71.3,71.3,70.975,70.975,0
1981-06-10T05:00:00+0000,71.0,71.2,70.9,70.9,0
1981-06-11T05:00:00+0000,70.7,70.7,70.4,70.65,0
1981-06-12T05:00:00+0000,70.5,70.9,70.5,70.5,0
1981-06-15T05:00:00+0000,71.1,71.15,70.9,71.0,0
1981-06-16T05:00:00+0000,71.0,71.15,70.85,70.85,0
1981-06-17T05:00:00+0000,70.0,70.0,69.35,69.9,0
1981-06-18T05:00:00+0000,70.5,70.7,70.5,70.7,0
1981-06-19T05:00:00+0000,70.4,70.6,70.4,70.6,0
1981-06-22T05:00:00+0000,70.5,70.5,70.5,70.5,0
1981-06-23T05:00:00+0000,70.35,70.7,70.3,70.3,0
1981-06-24T05:00:00+0000,70.15,70.15,70.0,70.0,0
1981-06-25T05:00:00+0000,70.2,70.3,69.55,69.55,0
1981-06-26T05:00:00+0000,69.85,69.85,68.6,68.9,0
1981-06-29T05:00:00+0000,68.15,68.75,68.15,68.75,0
1981-06-30T05:00:00+0000,68.4,68.4,68.0,68.2,0
1981-07-01T05:00:00+0000,68.0,68.4,68.0,68.0,0
1981-07-02T05:00:00+0000,68.3,68.3,67.0,67.25,0
1981-07-06T05:00:00+0000,67.6,67.75,67.6,67.7,0
1981-07-07T05:00:00+0000,67.6,67.7,66.85,67.2,0
1981-07-08T05:00:00+0000,66.9,66.9,65.7,65.8,0
1981-07-09T05:00:00+0000,65.6,66.6,64.95,66.6,0
1981-07-10T05:00:00+0000,66.9,67.4,66.9,67.4,0
1981-07-13T05:00:00+0000,67.0,67.0,66.45,66.45,0
1981-07-14T05:00:00+0000,65.0,66.55,65.0,66.55,0
1981-07-15T05:00:00+0000,65.75,66.25,65.65,66.0,0
