Time,Open,High,Low,Close,Volume
2018-08-30T05:00:00+0000,18850,18890,18830,18850,790
2018-08-31T05:00:00+0000,18850,18910,18780,18900,574
2018-09-03T05:00:00+0000,18890,18890,18780,18820,330
2018-09-04T05:00:00+0000,18830,18840,18750,18770,275
2018-09-05T05:00:00+0000,18750,18780,18710,18760,1480
2018-09-06T05:00:00+0000,18750,18900,18750,18890,938
2018-09-07T05:00:00+0000,18880,18910,18780,18830,537
2018-09-10T05:00:00+0000,18840,18850,18750,18770,286
2018-09-11T05:00:00+0000,18760,18820,18720,18750,1197
2018-09-12T05:00:00+0000,18750,18780,18680,18770,974
2018-09-13T05:00:00+0000,18740,18850,18740,18850,1149
2018-09-14T05:00:00+0000,18830,18890,18770,18790,2473
2018-09-17T05:00:00+0000,18780,18790,18670,18700,431
2018-09-18T05:00:00+0000,18700,18760,18670,18700,488
2018-09-19T05:00:00+0000,18720,18740,18680,18680,1080
2018-09-20T05:00:00+0000,18680,18720,18620,18640,530
2018-09-21T05:00:00+0000,18650,18730,18630,18700,1981
2018-09-24T05:00:00+0000,18690,18690,18520,18580,958
2018-09-25T05:00:00+0000,18580,18650,18580,18610,393
2018-09-26T05:00:00+0000,18630,18650,18600,18600,1844
2018-09-27T05:00:00+0000,18590,18600,18530,18530,2520
2018-09-28T05:00:00+0000,18530,18530,18280,18310,2395
2018-10-01T05:00:00+0000,18300,18430,18260,18300,2910
2018-10-02T05:00:00+0000,18300,18480,18300,18450,3194
2018-10-03T05:00:00+0000,18440,18680,18440,18620,1837
2018-10-04T05:00:00+0000,18620,18710,18570,18700,3519
2018-10-05T05:00:00+0000,18740,18890,18740,18880,1679
2018-10-08T05:00:00+0000,18880,18890,18790,18830,938
2018-10-09T05:00:00+0000,18820,18820,18690,18740,1482
2018-10-10T05:00:00+0000,18750,18800,18700,18710,1978
2018-10-11T05:00:00+0000,18700,18860,18680,18860,5015
2018-10-12T05:00:00+0000,18850,19100,18850,19100,3259
2018-10-16T05:00:00+0000,19100,19210,19050,19200,4015
2018-10-17T05:00:00+0000,19180,19190,19010,19090,956
2018-10-18T05:00:00+0000,19100,19110,19030,19090,947
