Time,Open,High,Low,Close,Volume
2015-12-31T06:00:00+0000,9701,9737,9669,9714,606
2016-01-04T06:00:00+0000,9665,9665,9245,9280,1005
2016-01-05T06:00:00+0000,9295,9408,9148,9229,603
2016-01-06T06:00:00+0000,9222,9273,9094,9111,788
2016-01-07T06:00:00+0000,9090,9120,8687,8802,553
2016-01-08T06:00:00+0000,8768,8945,8661,8821,671
2016-01-11T06:00:00+0000,8838,8876,8500,8545,658
2016-01-12T06:00:00+0000,8589,8667,8430,8445,769
2016-01-13T06:00:00+0000,8458,8721,8458,8605,668
2016-01-14T06:00:00+0000,8588,8600,8286,8461,728
2016-01-15T06:00:00+0000,8408,8488,8233,8255,933
2016-01-18T06:00:00+0000,8220,8287,8044,8176,910
2016-01-19T06:00:00+0000,8154,8424,8115,8391,1802
2016-01-20T06:00:00+0000,8376,8446,7916,8016,1467
2016-01-21T06:00:00+0000,7959,8200,7829,7955,1678
2016-01-22T06:00:00+0000,7888,8182,7869,8135,1635
2016-01-25T06:00:00+0000,8168,8278,8139,8141,3482
2016-01-26T06:00:00+0000,8138,8171,7842,7937,5771
2016-01-27T06:00:00+0000,7917,8108,7895,7944,20123
2016-01-28T06:00:00+0000,7950,8093,7931,8078,30493
2016-01-29T06:00:00+0000,8080,8297,7978,8289,23602
2016-02-01T06:00:00+0000,8288,8299,8077,8102,20685
2016-02-02T06:00:00+0000,8103,8155,8026,8063,22220
2016-02-03T06:00:00+0000,8056,8056,7750,7852,21738
2016-02-04T06:00:00+0000,7864,8085,7770,7967,16948
2016-02-05T06:00:00+0000,7983,8145,7935,8059,16368
2016-02-11T06:00:00+0000,8055,8064,7534,7591,21426
2016-02-12T06:00:00+0000,7592,7642,7418,7545,22302
2016-02-15T06:00:00+0000,7542,7903,7518,7850,23107
2016-02-16T06:00:00+0000,7856,8143,7856,8045,21900
2016-02-17T06:00:00+0000,8049,8143,7906,7911,21063
2016-02-18T06:00:00+0000,7905,8233,7905,8148,17784
2016-02-19T06:00:00+0000,8140,8212,8065,8129,19166
2016-02-22T06:00:00+0000,8139,8254,8026,8243,20229
2016-02-23T06:00:00+0000,8245,8289,8124,8167,18642
2016-02-24T06:00:00+0000,8182,8208,7982,8046,20021
2016-02-25T06:00:00+0000,8036,8073,7832,7864,5028
2016-02-26T06:00:00+0000,7852,8059,7846,8003,5028
