Time,Open,High,Low,Close,Volume
2014-10-27T05:00:00+0000,76.42,76.42,76.42,76.42,0
2014-10-28T05:00:00+0000,75.67,75.67,75.67,75.67,0
2014-10-29T05:00:00+0000,75.8,75.8,75.8,75.8,0
2014-10-30T05:00:00+0000,76.17,76.17,76.17,76.17,0
2014-10-31T05:00:00+0000,75.67,75.67,75.67,75.67,0
2014-11-03T06:00:00+0000,74.78,74.78,74.78,74.78,0
2014-11-04T06:00:00+0000,74.47,74.47,74.47,74.47,0
2014-11-05T06:00:00+0000,72.83,72.83,72.83,72.83,0
2014-11-06T06:00:00+0000,72.42,72.42,72.42,72.42,0
2014-11-07T06:00:00+0000,73.0,73.0,73.0,73.0,0
2014-11-10T06:00:00+0000,72.56,72.56,72.56,72.56,0
2014-11-11T06:00:00+0000,72.08,72.08,72.08,72.08,0
2014-11-12T06:00:00+0000,71.81,71.81,71.81,71.81,0
2014-11-13T06:00:00+0000,71.75,71.75,71.75,71.75,0
2014-11-14T06:00:00+0000,70.89,70.89,70.89,70.89,0
2014-11-17T06:00:00+0000,69.78,69.78,69.78,69.78,0
2014-11-18T06:00:00+0000,67.26,67.26,67.26,67.26,0
2014-11-19T06:00:00+0000,65.84,65.84,65.84,65.84,0
2014-11-20T06:00:00+0000,66.12,66.12,66.12,66.12,0
2014-11-21T06:00:00+0000,67.25,67.25,67.25,67.25,0
2014-11-24T06:00:00+0000,65.68,65.68,65.68,65.68,0
2014-11-25T06:00:00+0000,63.75,63.75,63.75,63.75,0
2014-11-26T06:00:00+0000,64.12,64.12,64.12,64.12,0
2014-11-27T06:00:00+0000,65.62,65.62,65.62,65.62,0
2014-11-28T06:00:00+0000,66.91,66.91,66.91,66.91,0
2014-12-01T06:00:00+0000,65.25,65.25,65.25,65.25,0
2014-12-02T06:00:00+0000,65.57,65.57,65.57,65.57,0
2014-12-03T06:00:00+0000,65.72,65.72,65.72,65.72,0
2014-12-04T06:00:00+0000,67.08,67.08,67.08,67.08,0
2014-12-05T06:00:00+0000,67.01,67.01,67.01,67.01,0
2014-12-08T06:00:00+0000,65.7,65.7,65.7,65.7,0
2014-12-09T06:00:00+0000,64.58,64.58,64.58,64.58,0
2014-12-10T06:00:00+0000,64.67,64.67,64.67,64.67,0
2014-12-11T06:00:00+0000,65.12,65.12,65.12,65.12,0
2014-12-12T06:00:00+0000,65.26,65.26,65.26,65.26,0
2014-12-15T06:00:00+0000,64.75,64.75,64.75,64.75,0
2014-12-16T06:00:00+0000,63.6,63.6,63.6,63.6,0
2014-12-17T06:00:00+0000,63.81,63.81,63.81,63.81,0
2014-12-18T06:00:00+0000,64.87,64.87,64.87,64.87,0
2014-12-19T06:00:00+0000,66.0,66.0,66.0,66.0,0
2014-12-22T06:00:00+0000,64.25,64.25,64.25,64.25,0
2014-12-23T06:00:00+0000,63.63,63.63,63.63,63.63,0
2014-12-24T06:00:00+0000,63.88,63.88,63.88,63.88,0
2014-12-26T06:00:00+0000,63.7,63.7,63.7,63.7,0
2014-12-29T06:00:00+0000,64.79,64.79,64.79,64.79,0
2014-12-30T06:00:00+0000,67.87,67.87,67.87,67.87,0
2014-12-31T06:00:00+0000,68.0,68.0,68.0,68.0,0
2015-01-02T06:00:00+0000,66.92,66.92,66.92,66.92,0
2015-01-05T06:00:00+0000,66.06,66.06,66.06,66.06,0
2015-01-06T06:00:00+0000,67.94,67.94,67.94,67.94,0
2015-01-07T06:00:00+0000,66.81,66.81,66.81,66.81,0
2015-01-08T06:00:00+0000,66.56,66.56,66.56,66.56,0
2015-01-09T06:00:00+0000,65.81,65.81,65.81,65.81,0
2015-01-12T06:00:00+0000,64.28,64.28,64.28,64.28,0
2015-01-13T06:00:00+0000,63.81,63.81,63.81,63.81,0
2015-01-14T06:00:00+0000,63.21,63.21,63.21,63.21,0
2015-01-15T06:00:00+0000,64.25,64.25,64.25,64.25,0
2015-01-16T06:00:00+0000,63.97,63.97,63.97,63.97,0
2015-01-19T06:00:00+0000,63.83,63.83,63.83,63.83,0
2015-01-20T06:00:00+0000,63.34,63.34,63.34,63.34,0
2015-01-21T06:00:00+0000,61.68,61.68,61.68,61.68,0
2015-01-22T06:00:00+0000,61.28,61.28,61.28,61.28,0
2015-01-23T06:00:00+0000,59.5,59.5,59.5,59.5,0
2015-01-26T06:00:00+0000,57.67,57.67,57.67,57.67,0
2015-01-27T06:00:00+0000,58.56,58.56,58.56,58.56,0
2015-01-28T06:00:00+0000,58.32,58.32,58.32,58.32,0
2015-01-29T06:00:00+0000,59.02,59.02,59.02,59.02,0
2015-01-30T06:00:00+0000,57.58,57.58,57.58,57.58,0
2015-02-02T06:00:00+0000,58.06,58.06,58.06,58.06,0
2015-02-03T06:00:00+0000,59.59,59.59,59.59,59.59,0
2015-02-04T06:00:00+0000,59.44,59.44,59.44,59.44,0
2015-02-05T06:00:00+0000,58.94,58.94,58.94,58.94,0
2015-02-06T06:00:00+0000,59.44,59.44,59.44,59.44,0
2015-02-09T06:00:00+0000,58.41,58.41,58.41,58.41,0
2015-02-10T06:00:00+0000,59.52,59.52,59.52,59.52,0
2015-02-11T06:00:00+0000,59.77,59.77,59.77,59.77,0
2015-02-12T06:00:00+0000,59.81,59.81,59.81,59.81,0
2015-02-13T06:00:00+0000,60.62,60.62,60.62,60.62,0
2015-02-16T06:00:00+0000,61.06,61.06,61.06,61.06,0
2015-02-17T06:00:00+0000,60.5,60.5,60.5,60.5,0
2015-02-18T06:00:00+0000,59.75,59.75,59.75,59.75,0
2015-02-19T06:00:00+0000,59.75,59.75,59.75,59.75,0
2015-02-20T06:00:00+0000,59.5,59.5,59.5,59.5,0
2015-02-23T06:00:00+0000,59.08,59.08,59.08,59.08,0
2015-02-24T06:00:00+0000,59.71,59.71,59.71,59.71,0
2015-02-25T06:00:00+0000,58.92,58.92,58.92,58.92,0
2015-02-26T06:00:00+0000,59.83,59.83,59.83,59.83,0
2015-02-27T06:00:00+0000,59.44,59.44,59.44,59.44,0
2015-03-02T06:00:00+0000,58.81,58.81,58.81,58.81,0
2015-03-03T06:00:00+0000,58.94,58.94,58.94,58.94,0
2015-03-04T06:00:00+0000,57.64,57.64,57.64,57.64,0
2015-03-05T06:00:00+0000,56.78,56.78,56.78,56.78,0
2015-03-06T06:00:00+0000,54.92,54.92,54.92,54.92,0
2015-03-09T05:00:00+0000,55.69,55.69,55.69,55.69,0
2015-03-10T05:00:00+0000,54.58,54.58,54.58,54.58,0
2015-03-11T05:00:00+0000,54.56,54.56,54.56,54.56,0
2015-03-12T05:00:00+0000,55.32,55.32,55.32,55.32,0
2015-03-13T05:00:00+0000,54.24,54.24,54.24,54.24,0
2015-03-16T05:00:00+0000,54.54,54.54,54.54,54.54,0
2015-03-17T05:00:00+0000,53.89,53.89,53.89,53.89,0
2015-03-18T05:00:00+0000,51.25,51.25,51.25,51.25,0
2015-03-19T05:00:00+0000,51.62,51.62,51.62,51.62,50
