Time,Open,High,Low,Close,Volume
2019-11-29T06:00:00+0000,368.9,368.9,368.9,368.9,0
2019-12-02T06:00:00+0000,368.6,368.6,368.6,368.6,0
2019-12-03T06:00:00+0000,365.4,365.4,365.4,365.4,1
2019-12-04T06:00:00+0000,364.95,365.15,364.95,365.15,0
2019-12-05T06:00:00+0000,365.15,365.15,365.15,365.15,0
2019-12-06T06:00:00+0000,368.95,368.95,368.95,368.95,0
2019-12-09T06:00:00+0000,366.25,366.25,366.25,366.25,0
2019-12-10T06:00:00+0000,363.55,363.55,363.55,363.55,0
2019-12-11T06:00:00+0000,366.6,366.6,366.6,366.6,0
2019-12-12T06:00:00+0000,369.6,369.6,369.6,369.6,0
2019-12-13T06:00:00+0000,371.85,371.85,371.85,371.85,0
2019-12-16T06:00:00+0000,370.6,370.6,370.6,370.6,0
2019-12-17T06:00:00+0000,370.05,370.05,370.05,370.05,0
2019-12-18T06:00:00+0000,371.35,371.35,371.35,371.35,0
2019-12-19T06:00:00+0000,371.6,371.6,371.6,371.6,0
2019-12-20T06:00:00+0000,371.95,371.95,371.95,371.95,0
2019-12-23T06:00:00+0000,371.55,371.55,371.55,371.55,0
2019-12-24T06:00:00+0000,372.6,372.6,372.6,372.6,0
2019-12-25T06:00:00+0000,372.65,372.65,372.65,372.65,0
2019-12-26T06:00:00+0000,373.2,373.2,373.2,373.2,0
2019-12-27T06:00:00+0000,372.5,372.5,372.5,372.5,0
2019-12-30T06:00:00+0000,371.9,371.9,371.9,371.9,0
2019-12-31T06:00:00+0000,371.65,371.65,371.65,371.65,0
2020-01-02T06:00:00+0000,376.35,376.35,376.35,376.35,0
2020-01-03T06:00:00+0000,373.25,373.25,373.25,373.25,0
2020-01-06T06:00:00+0000,371.4,371.4,371.4,371.4,3
2020-01-07T06:00:00+0000,371.2,375.55,371.2,375.35,1
2020-01-08T06:00:00+0000,372.05,374.95,372.05,374.95,3
2020-01-09T06:00:00+0000,376.7,376.7,375.2,375.2,153
2020-01-10T06:00:00+0000,377.15,377.15,377.15,377.15,308
2020-01-13T06:00:00+0000,377.45,378.0,376.3,376.3,53
2020-01-14T06:00:00+0000,378.2,378.2,377.2,377.95,60
2020-01-15T06:00:00+0000,378.1,378.3,375.05,375.05,31
2020-01-16T06:00:00+0000,375.15,379.35,375.15,378.9,119
2020-01-17T06:00:00+0000,379.6,379.6,377.9,378.15,284
2020-01-20T06:00:00+0000,378.65,378.9,377.6,378.3,1164
2020-01-21T06:00:00+0000,378.2,378.2,373.75,374.45,18884
2020-01-22T06:00:00+0000,374.25,377.75,374.25,377.2,39266
2020-01-23T06:00:00+0000,377.1,377.55,373.95,374.0,38639
2020-01-24T06:00:00+0000,374.15,376.85,371.8,376.6,24506
2020-01-27T06:00:00+0000,376.65,376.65,362.05,363.45,115885
2020-01-28T06:00:00+0000,362.95,369.5,360.7,368.75,56717
2020-01-29T06:00:00+0000,368.4,370.15,367.2,367.8,37951
2020-01-30T06:00:00+0000,368.0,368.95,364.35,366.6,35939
2020-01-31T06:00:00+0000,366.4,368.45,363.1,364.25,28807
2020-02-03T06:00:00+0000,364.15,364.15,358.15,359.2,27759
2020-02-04T06:00:00+0000,359.3,365.15,358.7,363.6,39446
2020-02-05T06:00:00+0000,364.05,370.05,362.7,370.05,25967
2020-02-06T06:00:00+0000,370.25,372.1,368.65,371.4,35523
2020-02-07T06:00:00+0000,371.25,371.35,364.25,365.5,23029
2020-02-10T06:00:00+0000,365.15,365.15,360.2,363.9,21735
2020-02-11T06:00:00+0000,363.65,368.3,363.3,365.2,34713
2020-02-12T06:00:00+0000,365.35,371.45,365.1,371.35,32590
2020-02-13T06:00:00+0000,371.1,375.85,369.15,369.65,16138
2020-02-14T06:00:00+0000,369.9,371.75,368.15,369.9,12911
2020-02-17T06:00:00+0000,370.05,370.25,367.75,367.9,14837
2020-02-18T06:00:00+0000,367.95,368.9,365.35,365.45,21349
2020-02-19T06:00:00+0000,365.8,369.95,365.35,368.25,21430
2020-02-20T06:00:00+0000,368.15,370.6,364.8,365.1,32006
2020-02-21T06:00:00+0000,365.25,366.5,362.65,363.35,118980
2020-02-24T06:00:00+0000,363.25,364.65,357.9,358.1,120281
2020-02-25T06:00:00+0000,358.2,363.65,355.85,361.3,52958
2020-02-26T06:00:00+0000,361.4,361.6,355.05,355.75,14938
2020-02-27T06:00:00+0000,357.05,360.2,353.7,358.1,14938
