Time,Open,High,Low,Close,Volume
2018-05-28T05:00:00+0000,1155,1155,1155,1155,0
2018-05-29T05:00:00+0000,1133,1133,1133,1133,0
2018-05-30T05:00:00+0000,1120,1120,1120,1120,0
2018-05-31T05:00:00+0000,1132,1132,1132,1132,0
2018-06-01T05:00:00+0000,1130,1130,1130,1130,0
2018-06-04T05:00:00+0000,1129,1129,1129,1129,0
2018-06-05T05:00:00+0000,1108,1108,1108,1108,0
2018-06-06T05:00:00+0000,1091,1091,1091,1091,0
2018-06-07T05:00:00+0000,1115,1115,1115,1115,0
2018-06-08T05:00:00+0000,1125,1125,1125,1125,0
2018-06-11T05:00:00+0000,1128,1128,1128,1128,0
2018-06-12T05:00:00+0000,1145,1145,1145,1145,0
2018-06-13T05:00:00+0000,1151,1151,1151,1151,0
2018-06-14T05:00:00+0000,1143,1143,1143,1143,0
2018-06-15T05:00:00+0000,1149,1149,1149,1149,0
2018-06-18T05:00:00+0000,1133,1133,1133,1133,0
2018-06-19T05:00:00+0000,1101,1101,1101,1101,0
2018-06-20T05:00:00+0000,1110,1110,1110,1110,0
2018-06-21T05:00:00+0000,1122,1122,1122,1122,0
2018-06-22T05:00:00+0000,1103,1103,1103,1103,0
2018-06-25T05:00:00+0000,1070,1070,1070,1070,0
2018-06-26T05:00:00+0000,1070,1070,1070,1070,0
2018-06-27T05:00:00+0000,1080,1080,1080,1080,0
2018-06-28T05:00:00+0000,1064,1064,1064,1064,0
2018-06-29T05:00:00+0000,1087,1087,1087,1087,0
2018-07-02T05:00:00+0000,1053,1053,1053,1053,0
2018-07-03T05:00:00+0000,1041,1041,1041,1041,0
2018-07-04T05:00:00+0000,1032,1032,1032,1032,0
2018-07-05T05:00:00+0000,993,993,993,993,0
2018-07-06T05:00:00+0000,1022,1022,1022,1022,0
2018-07-09T05:00:00+0000,1045,1045,1045,1045,0
2018-07-10T05:00:00+0000,1039,1039,1039,1039,0
2018-07-11T05:00:00+0000,1027,1027,1027,1027,0
2018-07-12T05:00:00+0000,1037,1037,1037,1037,0
2018-07-13T05:00:00+0000,1044,1044,1044,1044,0
2018-07-17T05:00:00+0000,1029,1029,1029,1029,0
2018-07-18T05:00:00+0000,1047,1047,1047,1047,0
2018-07-19T05:00:00+0000,1042,1042,1042,1042,0
2018-07-20T05:00:00+0000,1045,1045,1045,1045,0
2018-07-23T05:00:00+0000,1037,1037,1037,1037,0
2018-07-24T05:00:00+0000,1055,1055,1055,1055,0
2018-07-25T05:00:00+0000,1061,1061,1061,1061,0
2018-07-26T05:00:00+0000,1054,1054,1054,1054,0
2018-07-27T05:00:00+0000,1055,1055,1055,1055,0
2018-07-30T05:00:00+0000,1036,1036,1036,1036,0
2018-07-31T05:00:00+0000,1037,1037,1037,1037,0
2018-08-01T05:00:00+0000,1030,1030,1030,1030,0
2018-08-02T05:00:00+0000,1032,1032,1032,1032,0
2018-08-03T05:00:00+0000,1018,1018,1018,1018,0
2018-08-06T05:00:00+0000,1004,1004,1004,1004,0
2018-08-07T05:00:00+0000,1007,1007,1007,1007,0
2018-08-08T05:00:00+0000,1025,1025,1025,1025,0
2018-08-09T05:00:00+0000,1026,1026,1026,1026,0
2018-08-10T05:00:00+0000,1001,1001,1001,1001,0
2018-08-13T05:00:00+0000,960,960,960,960,0
2018-08-14T05:00:00+0000,972,972,972,972,0
2018-08-15T05:00:00+0000,953,953,953,953,0
2018-08-16T05:00:00+0000,940,940,940,940,0
2018-08-17T05:00:00+0000,956,956,956,956,0
2018-08-20T05:00:00+0000,949,949,949,949,0
2018-08-21T05:00:00+0000,946,946,946,946,0
2018-08-22T05:00:00+0000,966,966,966,966,0
2018-08-23T05:00:00+0000,974,974,974,974,0
2018-08-24T05:00:00+0000,992,992,992,992,0
2018-08-27T05:00:00+0000,1021,1021,1021,1021,0
2018-08-28T05:00:00+0000,1018,1018,1018,1018,0
2018-08-29T05:00:00+0000,1027,1027,1027,1027,0
2018-08-30T05:00:00+0000,1038,1038,1038,1038,0
2018-08-31T05:00:00+0000,1047,1047,1047,1047,0
2018-09-03T05:00:00+0000,1031,1031,1031,1031,0
2018-09-04T05:00:00+0000,1043,1043,1043,1043,0
2018-09-05T05:00:00+0000,1032,1032,1032,1032,0
2018-09-06T05:00:00+0000,1008,1008,1008,1008,0
2018-09-07T05:00:00+0000,1006,1006,1006,1006,0
2018-09-10T05:00:00+0000,1013,1013,1013,1013,0
2018-09-11T05:00:00+0000,1015,1015,1015,1015,0
2018-09-12T05:00:00+0000,997,997,997,997,0
2018-09-13T05:00:00+0000,997,997,997,997,0
