Time,Open,High,Low,Close,Volume
1999-03-09T06:00:00+0000,15140,15200,15140,15140,0
1999-03-10T06:00:00+0000,15425,15430,15425,15425,0
1999-03-11T06:00:00+0000,15620,15625,15620,15620,0
1999-03-12T06:00:00+0000,15445,15445,15410,15445,0
1999-03-15T06:00:00+0000,15555,15555,15555,15555,0
1999-03-16T06:00:00+0000,15900,15910,15900,15900,0
1999-03-17T06:00:00+0000,16120,16130,16120,16120,0
1999-03-18T06:00:00+0000,15855,15855,15720,15855,0
1999-03-19T06:00:00+0000,16125,16255,16125,16125,0
1999-03-22T06:00:00+0000,16270,16275,16270,16270,0
1999-03-23T06:00:00+0000,15745,15745,15670,15745,0
1999-03-25T06:00:00+0000,16115,16145,16115,16115,0
1999-03-26T06:00:00+0000,15975,15975,15915,15975,0
1999-03-29T06:00:00+0000,16125,16125,15925,16125,0
1999-03-30T06:00:00+0000,15850,15850,15825,15850,0
1999-03-31T06:00:00+0000,15730,15730,15670,15730,0
1999-04-01T06:00:00+0000,16280,16310,16280,16280,0
1999-04-05T05:00:00+0000,16350,16430,16350,16350,0
1999-04-06T05:00:00+0000,16600,16600,16400,16475,0
1999-04-07T05:00:00+0000,16430,16430,16425,16430,0
1999-04-08T05:00:00+0000,16750,16790,16750,16750,0
1999-04-09T05:00:00+0000,16725,16725,16725,16725,0
1999-04-12T05:00:00+0000,16600,16625,16475,16600,0
1999-04-13T05:00:00+0000,16595,16650,16595,16595,0
1999-04-14T05:00:00+0000,16565,16695,16565,16565,0
1999-04-15T05:00:00+0000,16645,16665,16600,16645,0
1999-04-16T05:00:00+0000,16650,16670,16650,16650,0
1999-04-19T05:00:00+0000,16460,16675,16445,16460,0
1999-04-20T05:00:00+0000,16745,16750,16745,16745,0
1999-04-21T05:00:00+0000,16525,16525,16445,16525,0
1999-04-22T05:00:00+0000,16640,16645,16640,16640,0
1999-04-23T05:00:00+0000,16860,16860,16860,16860,0
1999-04-26T05:00:00+0000,16930,16950,16930,16930,0
1999-04-27T05:00:00+0000,16990,17010,16990,16990,0
1999-04-28T05:00:00+0000,16880,16880,16830,16880,0
1999-04-29T05:00:00+0000,16880,16880,16810,16880,0
1999-04-30T05:00:00+0000,16645,16645,16630,16645,0
1999-05-03T05:00:00+0000,16710,16745,16710,16710,0
1999-05-04T05:00:00+0000,16815,16815,16815,16815,0
1999-05-05T05:00:00+0000,16720,16720,16715,16720,0
1999-05-06T05:00:00+0000,17170,17170,17170,17170,0
1999-05-07T05:00:00+0000,16980,16980,16980,16980,0
1999-05-10T05:00:00+0000,16915,16915,16880,16915,0
1999-05-11T05:00:00+0000,16745,16745,16745,16745,0
1999-05-12T05:00:00+0000,16835,16845,16835,16835,0
1999-05-13T05:00:00+0000,16935,16935,16935,16935,0
1999-05-14T05:00:00+0000,16705,16705,16700,16705,0
1999-05-17T05:00:00+0000,16410,16705,16400,16410,0
1999-05-18T05:00:00+0000,16325,16325,16290,16325,0
1999-05-19T05:00:00+0000,16165,16165,16165,16165,0
1999-05-20T05:00:00+0000,16250,16265,16250,16250,0
1999-05-21T05:00:00+0000,16350,16350,16165,16200,0
1999-05-24T05:00:00+0000,16250,16300,16250,16250,0
1999-05-25T05:00:00+0000,16250,16250,16050,16050,0
1999-05-26T05:00:00+0000,16220,16230,16150,16220,0
1999-05-27T05:00:00+0000,15935,15935,15900,15935,0
1999-05-28T05:00:00+0000,15920,15950,15910,15920,0
1999-06-01T05:00:00+0000,16445,16445,16445,16445,0
1999-06-02T05:00:00+0000,16390,16390,16345,16390,0
1999-06-03T05:00:00+0000,16280,16280,16260,16280,0
1999-06-04T05:00:00+0000,16350,16410,16350,16350,0
1999-06-07T05:00:00+0000,16530,16550,16530,16530,0
1999-06-08T05:00:00+0000,16475,16555,16440,16475,0
1999-06-09T05:00:00+0000,16605,16605,16605,16605,0
1999-06-10T05:00:00+0000,17150,17160,17100,17100,0
1999-06-11T05:00:00+0000,17110,17140,17110,17110,0
1999-06-14T05:00:00+0000,17275,17275,17275,17275,0
1999-06-15T05:00:00+0000,17310,17325,17310,17310,0
1999-06-16T05:00:00+0000,17300,17300,17285,17300,0
1999-06-17T05:00:00+0000,17625,17625,17610,17625,0
1999-06-18T05:00:00+0000,17550,17575,17550,17575,0
1999-06-21T05:00:00+0000,17850,17850,17805,17805,0
1999-06-22T05:00:00+0000,17710,17710,17710,17710,0
1999-06-23T05:00:00+0000,17600,17600,17555,17575,0
1999-06-24T05:00:00+0000,17535,17600,17520,17535,0
1999-06-25T05:00:00+0000,17540,17560,17540,17540,0
1999-06-28T05:00:00+0000,17705,17705,17705,17705,0
1999-06-29T05:00:00+0000,17750,17805,17740,17805,0
1999-06-30T05:00:00+0000,17735,17750,17605,17735,0
1999-07-01T05:00:00+0000,17930,17960,17930,17930,0
1999-07-02T05:00:00+0000,18045,18060,18045,18045,0
1999-07-06T05:00:00+0000,18110,18110,18110,18110,0
1999-07-07T05:00:00+0000,18005,18005,18000,18005,0
1999-07-08T05:00:00+0000,17910,17910,17905,17910,0
1999-07-09T05:00:00+0000,17895,17895,17805,17895,0
1999-07-12T05:00:00+0000,18200,18210,18125,18210,0
1999-07-13T05:00:00+0000,18115,18115,18110,18115,0
1999-07-14T05:00:00+0000,18400,18400,18305,18305,0
1999-07-15T05:00:00+0000,18500,18500,18430,18430,0
1999-07-16T05:00:00+0000,18300,18310,18300,18310,0
1999-07-19T05:00:00+0000,18400,18400,18400,18400,0
1999-07-20T05:00:00+0000,18400,18405,18300,18340,0
1999-07-21T05:00:00+0000,18250,18255,18200,18255,0
1999-07-22T05:00:00+0000,17475,17475,17450,17475,0
1999-07-23T05:00:00+0000,17225,17375,17225,17370,0
1999-07-26T05:00:00+0000,17325,17325,17255,17305,0
1999-07-27T05:00:00+0000,17530,17535,17530,17530,0
1999-07-28T05:00:00+0000,17670,17680,17660,17670,0
1999-07-29T05:00:00+0000,17780,17780,17780,17780,0
1999-07-30T05:00:00+0000,17605,17605,17605,17605,0
1999-08-02T05:00:00+0000,17795,17795,17795,17795,0
1999-08-03T05:00:00+0000,17910,17910,17910,17910,0
1999-08-04T05:00:00+0000,17515,17515,17510,17515,0
1999-08-05T05:00:00+0000,17200,17325,17165,17325,0
1999-08-06T05:00:00+0000,17200,17200,17050,17090,0
1999-08-09T05:00:00+0000,17215,17215,17215,17215,0
1999-08-10T05:00:00+0000,17100,17100,17050,17050,0
1999-08-11T05:00:00+0000,17230,17320,17225,17290,0
1999-08-12T05:00:00+0000,17480,17480,17480,17480,0
1999-08-13T05:00:00+0000,17580,17675,17580,17660,0
1999-08-16T05:00:00+0000,17895,17895,17895,17895,0
1999-08-17T05:00:00+0000,18000,18000,17850,17920,0
1999-08-18T05:00:00+0000,17950,17950,17770,17780,0
1999-08-19T05:00:00+0000,18085,18085,18085,18085,0
1999-08-20T05:00:00+0000,18300,18460,18300,18340,0
1999-08-23T05:00:00+0000,18400,18450,18400,18415,0
1999-08-24T05:00:00+0000,18120,18200,18120,18140,0
1999-08-25T05:00:00+0000,17925,17950,17860,17895,0
1999-08-26T05:00:00+0000,17700,17850,17700,17790,0
1999-08-27T05:00:00+0000,17650,17725,17650,17715,0
1999-08-30T05:00:00+0000,17930,18020,17810,17825,0
1999-08-31T05:00:00+0000,17580,17600,17425,17530,0
1999-09-01T05:00:00+0000,17820,17820,17730,17780,0
1999-09-02T05:00:00+0000,17625,17625,17480,17550,0
1999-09-03T05:00:00+0000,17650,17870,17650,17820,0
1999-09-07T05:00:00+0000,17800,17800,17670,17720,0
1999-09-08T05:00:00+0000,17625,17675,17570,17635,0
1999-09-09T05:00:00+0000,17780,17780,17690,17695,0
1999-09-10T05:00:00+0000,17750,17850,17705,17830,0
1999-09-13T05:00:00+0000,17680,17800,17680,17795,0
1999-09-14T05:00:00+0000,17555,17595,17435,17510,0
1999-09-15T05:00:00+0000,17560,17575,17410,17430,0
1999-09-16T05:00:00+0000,17140,17230,17085,17155,0
1999-09-17T05:00:00+0000,17340,17470,17340,17450,0
1999-09-20T05:00:00+0000,17610,17640,17540,17630,0
1999-09-21T05:00:00+0000,17530,17530,17350,17470,0
1999-09-22T05:00:00+0000,17250,17340,17205,17215,0
1999-09-23T05:00:00+0000,17295,17370,17020,17055,0
1999-09-24T05:00:00+0000,16850,16925,16800,16800,0
1999-09-27T05:00:00+0000,16930,17085,16920,17000,0
1999-09-28T05:00:00+0000,17215,17290,17075,17290,0
1999-09-29T05:00:00+0000,17265,17380,17240,17300,0
1999-09-30T05:00:00+0000,17570,17600,17300,17500,0
1999-10-01T05:00:00+0000,17680,17680,17525,17630,0
1999-10-04T05:00:00+0000,17780,17850,17775,17845,0
1999-10-05T05:00:00+0000,17900,17900,17705,17835,0
1999-10-06T05:00:00+0000,18050,18080,18000,18075,0
1999-10-07T05:00:00+0000,18150,18160,18030,18130,0
1999-10-08T05:00:00+0000,18170,18235,18105,18150,0
1999-10-11T05:00:00+0000,18170,18195,18130,18155,0
1999-10-12T05:00:00+0000,18175,18175,18010,18015,0
1999-10-13T05:00:00+0000,17935,17945,17775,17790,0
1999-10-14T05:00:00+0000,17930,17970,17805,17950,0
1999-10-15T05:00:00+0000,17470,17585,17430,17435,0
