Time,Open,High,Low,Close,Volume
2022-03-09T06:00:00+0000,158.48,158.48,158.48,158.48,0
2022-03-10T06:00:00+0000,157.15,157.15,157.15,157.15,0
2022-03-11T06:00:00+0000,156.97,156.97,156.97,156.97,0
2022-03-14T05:00:00+0000,155.86,155.86,155.86,155.86,0
2022-03-15T05:00:00+0000,156.49,156.49,156.49,156.49,0
2022-03-16T05:00:00+0000,155.91,155.91,155.91,155.91,0
2022-03-17T05:00:00+0000,155.93,155.93,155.93,155.93,0
2022-03-18T05:00:00+0000,156.17,156.17,156.17,156.17,0
2022-03-21T05:00:00+0000,155.17,155.17,155.17,155.17,0
2022-03-22T05:00:00+0000,154.29,154.29,154.29,154.29,0
2022-03-23T05:00:00+0000,154.57,154.57,154.57,154.57,0
2022-03-24T05:00:00+0000,154.15,154.15,154.15,154.15,0
2022-03-25T05:00:00+0000,153.75,153.75,153.75,153.75,0
2022-03-28T05:00:00+0000,153.52,153.52,153.52,153.52,0
2022-03-29T05:00:00+0000,152.67,152.67,152.67,152.67,0
2022-03-30T05:00:00+0000,152.43,152.43,152.43,152.43,0
2022-03-31T05:00:00+0000,153.88,153.88,153.88,153.88,0
2022-04-01T05:00:00+0000,153.15,153.15,153.15,153.15,0
2022-04-04T05:00:00+0000,153.56,153.56,153.56,153.56,0
2022-04-05T05:00:00+0000,151.65,151.65,151.65,151.65,0
2022-04-06T05:00:00+0000,151.17,151.17,151.17,151.17,0
2022-04-07T05:00:00+0000,150.87,150.87,150.87,150.87,0
2022-04-08T05:00:00+0000,150.42,150.42,150.42,150.42,0
2022-04-11T05:00:00+0000,149.61,149.61,149.61,149.61,0
2022-04-12T05:00:00+0000,149.89,149.89,149.89,149.89,0
2022-04-13T05:00:00+0000,150.41,150.41,150.41,150.41,0
2022-04-14T05:00:00+0000,149.6,149.6,149.6,149.6,0
2022-04-19T05:00:00+0000,148.83,148.83,148.83,148.83,0
2022-04-20T05:00:00+0000,149.54,149.54,149.54,149.54,0
2022-04-21T05:00:00+0000,149.06,149.06,149.06,149.06,0
2022-04-22T05:00:00+0000,148.6,148.6,148.6,148.6,0
2022-04-25T05:00:00+0000,149.85,149.85,149.85,149.85,0
2022-04-26T05:00:00+0000,150.17,150.17,150.17,150.17,0
2022-04-27T05:00:00+0000,150.09,150.09,150.09,150.09,0
2022-04-28T05:00:00+0000,148.83,148.83,148.83,148.83,0
2022-04-29T05:00:00+0000,148.21,148.21,148.21,148.21,0
2022-05-02T05:00:00+0000,148.01,148.01,148.01,148.01,0
2022-05-03T05:00:00+0000,148.27,148.27,148.27,148.27,0
2022-05-04T05:00:00+0000,147.7,147.7,147.7,147.7,0
2022-05-05T05:00:00+0000,147.24,147.24,147.24,147.24,0
2022-05-06T05:00:00+0000,145.71,145.71,145.71,145.71,0
2022-05-09T05:00:00+0000,146.29,146.29,146.29,146.29,0
2022-05-10T05:00:00+0000,147.39,147.39,147.39,147.39,0
2022-05-11T05:00:00+0000,147.67,147.67,147.67,147.67,0
2022-05-12T05:00:00+0000,149.48,149.48,149.48,149.48,0
2022-05-13T05:00:00+0000,148.53,148.53,148.53,148.53,0
2022-05-16T05:00:00+0000,148.78,148.78,148.78,148.78,0
2022-05-17T05:00:00+0000,147.5,147.5,147.5,147.5,0
2022-05-18T05:00:00+0000,147.93,147.93,147.93,147.93,0
2022-05-19T05:00:00+0000,148.69,148.69,148.69,148.69,0
2022-05-20T05:00:00+0000,148.52,148.52,148.52,148.52,0
2022-05-23T05:00:00+0000,147.78,147.78,147.78,147.78,0
2022-05-24T05:00:00+0000,146.06,146.06,146.06,146.06,0
2022-05-25T05:00:00+0000,146.13,146.13,146.13,146.13,0
2022-05-26T05:00:00+0000,145.63,145.63,145.63,145.63,0
2022-05-27T05:00:00+0000,146.14,146.14,146.14,146.14,0
2022-05-30T05:00:00+0000,145.14,145.14,145.14,145.14,10
2022-05-31T05:00:00+0000,145.22,145.22,144.09,144.09,179
2022-06-01T05:00:00+0000,143.61,143.61,143.61,143.61,0
2022-06-02T05:00:00+0000,142.86,142.86,142.86,142.86,0
2022-06-03T05:00:00+0000,142.19,142.19,142.19,142.19,0
2022-06-06T05:00:00+0000,141.67,141.67,141.67,141.67,6
2022-06-07T05:00:00+0000,142.36,142.36,142.36,142.36,0
2022-06-08T05:00:00+0000,142.03,142.04,141.4,141.54,5878
2022-06-09T05:00:00+0000,139.68,139.78,139.68,139.78,2
2022-06-10T05:00:00+0000,138.39,138.39,138.39,138.39,0
2022-06-13T05:00:00+0000,136.21,136.21,136.21,136.21,130
2022-06-14T05:00:00+0000,135.45,135.55,134.55,134.55,235
2022-06-15T05:00:00+0000,135.56,135.96,135.56,135.96,2
2022-06-16T05:00:00+0000,133.38,134.98,133.38,134.98,25
2022-06-17T05:00:00+0000,135.56,135.56,135.56,135.56,0
2022-06-20T05:00:00+0000,134.67,134.67,134.67,134.67,0
2022-06-21T05:00:00+0000,134.33,134.33,134.33,134.33,0
2022-06-22T05:00:00+0000,134.46,136.24,134.46,136.24,5
2022-06-23T05:00:00+0000,138.77,138.77,138.77,138.77,0
2022-06-24T05:00:00+0000,139.34,139.34,139.34,139.34,0
2022-06-27T05:00:00+0000,137.97,137.97,137.97,137.97,5
2022-06-28T05:00:00+0000,136.77,136.77,136.77,136.77,0
2022-06-29T05:00:00+0000,138.27,138.27,138.27,138.27,0
2022-06-30T05:00:00+0000,139.4,139.4,139.4,139.4,0
2022-07-01T05:00:00+0000,141.61,141.61,141.61,141.61,0
2022-07-04T05:00:00+0000,139.82,139.82,139.82,139.82,0
2022-07-05T05:00:00+0000,141.43,141.43,141.43,141.43,0
2022-07-06T05:00:00+0000,142.07,142.07,142.07,142.07,0
2022-07-07T05:00:00+0000,141.06,141.06,141.06,141.06,0
2022-07-08T05:00:00+0000,140.72,140.72,140.72,140.72,0
2022-07-11T05:00:00+0000,141.83,141.83,141.83,141.83,0
2022-07-12T05:00:00+0000,143.4,143.4,143.4,143.4,0
2022-07-13T05:00:00+0000,142.97,142.97,142.97,142.97,0
