Time,Open,High,Low,Close,Volume
2012-02-27T06:00:00+0000,35.783,35.783,35.783,35.783,73
2012-02-28T06:00:00+0000,37.396,37.396,37.396,37.396,53
2012-02-29T06:00:00+0000,37.425,37.43,34.83,34.83,286
2012-03-01T06:00:00+0000,35.25,35.846,35.16,35.846,106
2012-03-02T06:00:00+0000,35.57,35.57,34.706,34.706,111
2012-03-05T06:00:00+0000,33.886,33.886,33.886,33.886,319
2012-03-06T06:00:00+0000,32.972,32.974,32.972,32.972,170
2012-03-07T06:00:00+0000,33.4,33.782,33.23,33.782,82
2012-03-08T06:00:00+0000,34.028,34.028,34.028,34.028,63
2012-03-09T06:00:00+0000,34.12,34.413,34.115,34.413,8
2012-03-12T05:00:00+0000,34.545,34.545,33.613,33.613,9
2012-03-13T05:00:00+0000,33.8,33.8,33.782,33.782,4
2012-03-14T05:00:00+0000,33.125,33.125,32.345,32.364,217
2012-03-15T05:00:00+0000,32.45,32.904,32.45,32.904,13
2012-03-16T05:00:00+0000,32.77,32.77,32.77,32.77,32
2012-03-19T05:00:00+0000,33.122,33.122,33.122,33.122,85
2012-03-20T05:00:00+0000,31.994,31.994,31.994,31.994,359
2012-03-21T05:00:00+0000,32.355,32.396,32.355,32.396,117
2012-03-22T05:00:00+0000,31.35,31.505,31.35,31.505,14
2012-03-23T05:00:00+0000,32.23,32.441,32.23,32.441,41
2012-03-26T05:00:00+0000,32.929,32.929,32.929,32.929,88
2012-03-27T05:00:00+0000,32.793,32.793,32.793,32.793,10
2012-03-28T05:00:00+0000,31.98,32.0,31.98,32.0,72
2012-03-29T05:00:00+0000,32.2,32.205,32.168,32.168,108
2012-03-30T05:00:00+0000,32.535,32.669,32.465,32.669,113
2012-04-02T05:00:00+0000,33.293,33.293,33.293,33.293,21
2012-04-03T05:00:00+0000,33.465,33.465,33.465,33.465,21
2012-04-04T05:00:00+0000,31.75,31.75,31.2,31.234,82
2012-04-05T05:00:00+0000,31.975,31.975,31.929,31.929,43
2012-04-09T05:00:00+0000,31.729,31.729,31.729,31.729,78
2012-04-10T05:00:00+0000,31.888,31.888,31.888,31.888,33
2012-04-11T05:00:00+0000,31.733,31.733,31.733,31.733,5
2012-04-12T05:00:00+0000,32.74,32.74,32.74,32.74,32
2012-04-13T05:00:00+0000,31.603,31.603,31.603,31.603,11
2012-04-16T05:00:00+0000,31.592,31.592,31.592,31.592,1
2012-04-17T05:00:00+0000,31.896,31.896,31.896,31.896,5
2012-04-18T05:00:00+0000,31.708,31.708,31.708,31.708,12
2012-04-19T05:00:00+0000,32.0,32.0,32.0,32.0,6
2012-04-20T05:00:00+0000,31.874,31.874,31.874,31.874,28
2012-04-23T05:00:00+0000,31.175,31.185,30.75,30.75,42
2012-04-24T05:00:00+0000,31.105,31.105,30.969,30.969,82
2012-04-25T05:00:00+0000,30.574,30.574,30.574,30.574,40
2012-04-26T05:00:00+0000,31.0,31.445,31.0,31.428,110
2012-04-27T05:00:00+0000,31.45,31.567,31.405,31.567,91
2012-04-30T05:00:00+0000,31.165,31.173,30.855,31.173,90
2012-05-01T05:00:00+0000,31.085,31.425,31.085,31.086,31
2012-05-02T05:00:00+0000,30.685,30.799,30.655,30.799,69
2012-05-03T05:00:00+0000,30.09,30.159,30.09,30.159,174
2012-05-04T05:00:00+0000,30.582,30.582,30.582,30.582,52
2012-05-07T05:00:00+0000,30.274,30.274,29.885,30.274,24
2012-05-08T05:00:00+0000,29.465,29.618,29.345,29.618,172
2012-05-09T05:00:00+0000,29.38,29.405,29.035,29.401,89
2012-05-10T05:00:00+0000,29.525,29.525,29.26,29.336,78
2012-05-11T05:00:00+0000,28.585,29.048,28.585,29.048,31
2012-05-14T05:00:00+0000,28.485,28.507,28.485,28.507,244
2012-05-15T05:00:00+0000,28.232,28.232,28.232,28.232,155
2012-05-16T05:00:00+0000,27.3,27.35,27.29,27.343,309
2012-05-17T05:00:00+0000,27.7,28.2,27.58,28.172,152
2012-05-18T05:00:00+0000,28.75,28.868,28.75,28.868,96
2012-05-21T05:00:00+0000,28.3,28.5,28.3,28.473,47
2012-05-22T05:00:00+0000,28.38,28.38,28.1,28.33,219
2012-05-23T05:00:00+0000,27.475,28.0,27.28,27.663,169
2012-05-24T05:00:00+0000,28.55,28.58,28.303,28.303,49
2012-05-25T05:00:00+0000,28.165,28.61,28.165,28.531,15
2012-05-29T05:00:00+0000,28.61,28.61,27.9,27.935,48
