Time,Open,High,Low,Close,Volume
2013-08-26T05:00:00+0000,44.97,46.03,44.97,45.75,294
2013-08-27T05:00:00+0000,45.89,45.99,45.54,45.55,104
2013-08-28T05:00:00+0000,45.65,45.82,45.53,45.78,124
2013-08-29T05:00:00+0000,45.69,45.69,44.83,45.08,181
2013-08-30T05:00:00+0000,44.85,45.26,44.62,45.24,110
2013-09-03T05:00:00+0000,45.56,45.56,44.9,45.04,48
2013-09-04T05:00:00+0000,44.79,45.08,44.77,44.99,104
2013-09-05T05:00:00+0000,44.65,44.76,44.58,44.62,35
2013-09-06T05:00:00+0000,44.86,44.86,44.86,44.86,34
2013-09-09T05:00:00+0000,45.1,45.1,44.34,44.34,70
2013-09-10T05:00:00+0000,44.0,44.21,44.0,44.21,397
2013-09-11T05:00:00+0000,44.17,44.43,43.96,44.02,72
2013-09-12T05:00:00+0000,44.02,44.13,43.68,44.11,601
2013-09-13T05:00:00+0000,43.95,44.06,43.5,43.76,417
2013-09-16T05:00:00+0000,43.5,43.61,43.31,43.51,275
2013-09-17T05:00:00+0000,43.51,43.6,43.25,43.41,139
2013-09-18T05:00:00+0000,43.3,43.91,43.3,43.91,210
2013-09-19T05:00:00+0000,44.08,44.2,43.65,44.12,114
2013-09-20T05:00:00+0000,43.72,43.72,43.38,43.45,131
2013-09-23T05:00:00+0000,43.28,43.47,43.21,43.4,159
2013-09-24T05:00:00+0000,43.36,43.45,43.26,43.29,41
2013-09-25T05:00:00+0000,43.34,43.4,43.13,43.25,71
2013-09-26T05:00:00+0000,43.1,43.32,42.99,43.26,188
2013-09-27T05:00:00+0000,43.26,43.36,43.02,43.02,53
2013-09-30T05:00:00+0000,42.78,42.78,42.29,42.32,198
2013-10-01T05:00:00+0000,42.49,42.49,41.48,41.53,329
2013-10-02T05:00:00+0000,41.6,41.6,40.76,40.76,236
2013-10-03T05:00:00+0000,41.02,41.84,40.92,41.74,581
2013-10-04T05:00:00+0000,41.4,41.91,41.4,41.72,142
2013-10-07T05:00:00+0000,41.79,41.79,41.38,41.46,79
2013-10-08T05:00:00+0000,41.77,42.13,41.67,41.91,536
2013-10-09T05:00:00+0000,41.95,42.26,41.89,42.11,607
2013-10-10T05:00:00+0000,42.48,42.67,42.3,42.67,224
2013-10-11T05:00:00+0000,42.65,42.65,41.79,41.82,178
2013-10-14T05:00:00+0000,42.11,42.11,41.9,41.99,87
2013-10-15T05:00:00+0000,42.0,42.53,42.0,42.25,200
2013-10-16T05:00:00+0000,42.25,43.22,42.25,42.94,221
2013-10-17T05:00:00+0000,42.91,43.4,42.66,42.71,511
2013-10-18T05:00:00+0000,42.87,43.32,42.87,43.32,599
2013-10-21T05:00:00+0000,43.49,43.55,43.22,43.22,357
2013-10-22T05:00:00+0000,43.22,43.29,42.84,43.07,370
2013-10-23T05:00:00+0000,43.05,43.28,42.88,43.01,172
2013-10-24T05:00:00+0000,42.96,42.96,42.62,42.62,325
2013-10-25T05:00:00+0000,42.86,42.86,42.21,42.25,588
2013-10-28T05:00:00+0000,42.35,42.53,41.92,41.92,336
2013-10-29T05:00:00+0000,42.1,42.5,42.1,42.46,352
2013-10-30T05:00:00+0000,42.89,43.22,42.89,43.04,401
2013-10-31T05:00:00+0000,42.91,43.47,42.75,42.75,184
2013-11-01T05:00:00+0000,43.15,43.26,42.93,42.99,602
2013-11-04T06:00:00+0000,43.18,43.18,42.42,42.62,701
2013-11-05T06:00:00+0000,42.81,42.95,42.5,42.54,560
2013-11-06T06:00:00+0000,42.62,42.78,42.47,42.52,426
2013-11-07T06:00:00+0000,42.47,42.47,41.72,42.23,797
2013-11-08T06:00:00+0000,42.0,42.27,41.83,42.0,1813
2013-11-11T06:00:00+0000,41.92,42.31,41.92,42.13,629
2013-11-12T06:00:00+0000,42.33,42.84,42.33,42.4,747
2013-11-13T06:00:00+0000,42.61,42.66,42.4,42.6,132
2013-11-14T06:00:00+0000,42.86,42.86,42.6,42.6,160
2013-11-15T06:00:00+0000,42.84,42.89,42.0,42.02,410
2013-11-18T06:00:00+0000,42.0,42.0,41.56,41.71,782
2013-11-19T06:00:00+0000,41.81,41.86,41.51,41.64,304
2013-11-20T06:00:00+0000,41.63,41.95,41.63,41.92,554
2013-11-21T06:00:00+0000,41.92,43.36,41.92,43.07,833
2013-11-22T06:00:00+0000,43.09,43.1,42.71,42.81,230
2013-11-25T06:00:00+0000,42.72,42.92,42.23,42.36,414
2013-11-26T06:00:00+0000,42.31,42.39,42.0,42.03,593
2013-11-27T06:00:00+0000,42.26,42.33,41.69,41.69,467
2013-11-29T06:00:00+0000,41.85,41.97,41.79,41.9,283
2013-12-02T06:00:00+0000,42.04,42.41,41.84,42.08,452
2013-12-03T06:00:00+0000,42.12,42.12,41.5,41.59,360
2013-12-04T06:00:00+0000,41.65,41.85,41.52,41.78,220
2013-12-05T06:00:00+0000,41.9,42.14,41.62,42.07,368
2013-12-06T06:00:00+0000,42.1,42.12,41.86,41.86,346
2013-12-09T06:00:00+0000,42.04,42.04,41.55,41.63,353
2013-12-10T06:00:00+0000,41.73,41.8,41.31,41.57,629
2013-12-11T06:00:00+0000,41.65,41.93,41.65,41.85,346
2013-12-12T06:00:00+0000,41.82,41.84,41.18,41.4,263
2013-12-13T06:00:00+0000,41.49,41.49,40.87,41.22,305
2013-12-16T06:00:00+0000,41.31,41.54,41.05,41.1,190
2013-12-17T06:00:00+0000,41.19,41.19,40.64,40.66,118
2013-12-18T06:00:00+0000,40.5,40.81,40.36,40.36,414
2013-12-19T06:00:00+0000,40.36,40.71,40.36,40.6,159
2013-12-20T06:00:00+0000,40.69,40.89,40.48,40.68,190
2013-12-23T06:00:00+0000,40.57,40.67,40.44,40.44,215
2013-12-24T06:00:00+0000,40.32,40.32,40.26,40.28,40
2013-12-26T06:00:00+0000,40.21,40.23,40.0,40.03,98
2013-12-27T06:00:00+0000,40.1,40.27,40.09,40.26,250
2013-12-30T06:00:00+0000,40.28,40.28,39.91,39.92,446
2013-12-31T06:00:00+0000,39.86,40.09,39.82,39.98,572
2014-01-02T06:00:00+0000,39.92,40.0,39.5,39.67,546
2014-01-03T06:00:00+0000,39.99,39.99,39.48,39.51,383
2014-01-06T06:00:00+0000,39.3,39.32,39.0,39.07,443
2014-01-07T06:00:00+0000,39.07,39.08,38.65,38.82,503
2014-01-08T06:00:00+0000,38.69,38.69,38.37,38.54,895
2014-01-09T06:00:00+0000,38.73,38.8,38.44,38.77,769
2014-01-10T06:00:00+0000,38.84,39.14,38.48,39.09,1990
2014-01-13T06:00:00+0000,39.05,39.05,38.6,38.76,705
2014-01-14T06:00:00+0000,38.79,39.0,38.63,38.71,408
2014-01-15T06:00:00+0000,38.76,38.96,38.7,38.93,894
2014-01-16T06:00:00+0000,38.95,38.99,38.62,38.99,612
2014-01-17T06:00:00+0000,38.99,38.99,38.49,38.62,918
2014-01-21T06:00:00+0000,38.87,39.24,38.84,38.9,1911
2014-01-22T06:00:00+0000,38.84,39.1,38.6,38.67,522
2014-01-23T06:00:00+0000,38.8,39.0,38.65,38.7,1650
2014-01-24T06:00:00+0000,38.7,38.83,38.0,38.43,1519
2014-01-27T06:00:00+0000,38.42,38.42,37.95,37.96,575
2014-01-28T06:00:00+0000,38.0,38.51,37.92,38.25,327
2014-01-29T06:00:00+0000,38.19,38.31,37.91,37.93,576
2014-01-30T06:00:00+0000,37.93,38.05,37.84,37.86,540
2014-01-31T06:00:00+0000,37.87,38.46,37.67,38.42,408
2014-02-03T06:00:00+0000,38.25,38.4,38.19,38.28,433
2014-02-04T06:00:00+0000,38.24,38.74,38.11,38.53,799
2014-02-05T06:00:00+0000,38.52,39.16,38.48,39.0,1323
2014-02-06T06:00:00+0000,39.08,39.62,39.08,39.36,2812
2014-02-07T06:00:00+0000,39.31,39.54,39.04,39.15,1232
2014-02-10T06:00:00+0000,39.24,39.82,39.24,39.34,1848
2014-02-11T06:00:00+0000,39.34,39.58,39.2,39.51,1232
2014-02-12T06:00:00+0000,39.53,39.82,39.36,39.58,1951
2014-02-13T06:00:00+0000,39.73,39.94,39.6,39.81,1798
2014-02-14T06:00:00+0000,40.17,40.18,39.52,39.54,1906
2014-02-18T06:00:00+0000,39.77,40.68,39.77,40.6,2194
2014-02-19T06:00:00+0000,40.61,40.83,40.3,40.53,1032
2014-02-20T06:00:00+0000,40.85,41.08,40.62,40.8,947
2014-02-21T06:00:00+0000,40.8,41.2,40.51,41.14,1419
2014-02-24T06:00:00+0000,40.99,41.37,40.99,41.03,1299
2014-02-25T06:00:00+0000,41.05,41.07,40.78,40.84,1406
2014-02-26T06:00:00+0000,40.84,41.45,40.73,41.18,2659
2014-02-27T06:00:00+0000,41.05,41.51,40.78,40.84,2813
2014-02-28T06:00:00+0000,40.65,41.27,40.58,41.23,1679
2014-03-03T06:00:00+0000,41.47,42.15,41.43,42.04,1548
2014-03-04T06:00:00+0000,42.15,43.37,41.72,43.32,1139
2014-03-05T06:00:00+0000,43.52,43.59,42.82,43.18,4167
2014-03-06T06:00:00+0000,43.18,44.13,42.96,44.01,1528
2014-03-07T06:00:00+0000,43.93,44.45,43.4,43.73,839
2014-03-10T05:00:00+0000,43.94,43.94,43.22,43.38,1375
2014-03-11T05:00:00+0000,43.48,43.74,43.21,43.32,1026
2014-03-12T05:00:00+0000,43.22,43.22,42.37,42.77,1780
2014-03-13T05:00:00+0000,42.81,42.94,42.25,42.42,963
2014-03-14T05:00:00+0000,42.27,42.42,41.71,41.89,887
2014-03-17T05:00:00+0000,41.93,41.93,41.51,41.56,903
2014-03-18T05:00:00+0000,41.48,41.96,41.44,41.92,908
2014-03-19T05:00:00+0000,41.92,42.18,41.72,41.79,1221
2014-03-20T05:00:00+0000,41.62,41.65,40.51,40.88,1657
2014-03-21T05:00:00+0000,40.84,40.95,40.41,40.62,1068
2014-03-24T05:00:00+0000,40.53,40.8,40.51,40.55,1269
2014-03-25T05:00:00+0000,40.55,40.98,40.44,40.66,1221
2014-03-26T05:00:00+0000,40.66,40.76,40.42,40.57,1056
2014-03-27T05:00:00+0000,40.58,40.79,40.37,40.41,1548
2014-03-28T05:00:00+0000,40.5,40.8,40.37,40.43,1240
2014-03-31T05:00:00+0000,40.64,40.64,39.82,40.24,1816
2014-04-01T05:00:00+0000,40.19,41.2,40.19,41.02,2234
2014-04-02T05:00:00+0000,41.33,41.98,40.51,40.57,1594
2014-04-03T05:00:00+0000,40.77,41.41,40.77,41.24,2305
2014-04-04T05:00:00+0000,41.22,41.68,41.18,41.25,1038
2014-04-07T05:00:00+0000,41.28,41.48,40.93,41.3,1165
2014-04-08T05:00:00+0000,41.45,41.98,40.99,41.93,652
2014-04-09T05:00:00+0000,41.99,42.69,41.76,42.65,1590
