Time,Open,High,Low,Close,Volume
2017-08-28T05:00:00+0000,635,635,635,635,0
2017-08-29T05:00:00+0000,635,635,635,635,0
2017-08-30T05:00:00+0000,632,635,632,632,0
2017-08-31T05:00:00+0000,634,634,634,634,0
2017-09-01T05:00:00+0000,640,640,640,640,0
2017-09-05T05:00:00+0000,639,639,639,639,0
2017-09-06T05:00:00+0000,639,639,639,639,0
2017-09-07T05:00:00+0000,639,639,639,639,0
2017-09-08T05:00:00+0000,639,639,639,639,0
2017-09-11T05:00:00+0000,639,639,639,639,0
2017-09-12T05:00:00+0000,636,636,636,636,0
2017-09-13T05:00:00+0000,618,618,618,618,10
2017-09-14T05:00:00+0000,624,624,624,624,0
2017-09-15T05:00:00+0000,620,620,620,620,0
2017-09-18T05:00:00+0000,620,620,620,620,0
2017-09-19T05:00:00+0000,618,618,618,618,0
2017-09-20T05:00:00+0000,618,618,618,618,0
2017-09-21T05:00:00+0000,605,605,605,605,0
2017-09-22T05:00:00+0000,602,602,602,602,50
2017-09-25T05:00:00+0000,602,602,602,602,0
2017-09-26T05:00:00+0000,599,599,599,599,0
2017-09-27T05:00:00+0000,605,605,605,605,12
2017-09-28T05:00:00+0000,608,608,608,608,0
2017-09-29T05:00:00+0000,608,608,608,608,3
2017-10-02T05:00:00+0000,609,609,609,609,0
2017-10-03T05:00:00+0000,608,608,608,608,0
2017-10-04T05:00:00+0000,610,610,610,610,0
2017-10-05T05:00:00+0000,614,614,614,614,0
2017-10-06T05:00:00+0000,609,609,609,609,0
2017-10-09T05:00:00+0000,608,608,608,608,0
2017-10-10T05:00:00+0000,607,607,607,607,0
2017-10-11T05:00:00+0000,600,600,600,600,40
2017-10-12T05:00:00+0000,607,607,607,607,0
2017-10-13T05:00:00+0000,618,618,618,618,0
2017-10-16T05:00:00+0000,618,618,618,618,0
2017-10-17T05:00:00+0000,615,615,615,615,50
2017-10-18T05:00:00+0000,615,615,615,615,0
2017-10-19T05:00:00+0000,628,628,628,628,0
2017-10-20T05:00:00+0000,628,628,628,628,0
2017-10-23T05:00:00+0000,630,630,630,630,0
2017-10-24T05:00:00+0000,628,628,628,628,10
2017-10-25T05:00:00+0000,628,628,628,628,0
2017-10-26T05:00:00+0000,628,628,628,628,0
2017-10-27T05:00:00+0000,628,628,628,628,0
2017-10-30T05:00:00+0000,627,627,627,627,0
2017-10-31T05:00:00+0000,627,627,627,627,0
2017-11-01T05:00:00+0000,632,632,632,632,0
2017-11-02T05:00:00+0000,632,632,632,632,0
2017-11-03T05:00:00+0000,621,621,621,621,0
2017-11-06T06:00:00+0000,624,624,624,624,18
2017-11-07T06:00:00+0000,624,624,624,624,0
2017-11-08T06:00:00+0000,633,633,633,633,0
2017-11-09T06:00:00+0000,628,628,628,628,0
2017-11-10T06:00:00+0000,628,628,628,628,50
2017-11-13T06:00:00+0000,628,628,628,628,0
2017-11-14T06:00:00+0000,630,630,630,630,18
2017-11-15T06:00:00+0000,636,636,636,636,0
2017-11-16T06:00:00+0000,636,636,636,636,0
2017-11-17T06:00:00+0000,638,638,638,638,0
2017-11-20T06:00:00+0000,641,641,641,641,0
2017-11-21T06:00:00+0000,632,636,625,636,35
2017-11-22T06:00:00+0000,629,629,629,629,10
2017-11-24T06:00:00+0000,626,629,626,626,0
2017-11-27T06:00:00+0000,626,626,626,626,0
2017-11-28T06:00:00+0000,633,633,633,633,0
2017-11-29T06:00:00+0000,626,626,626,626,0
2017-11-30T06:00:00+0000,623,623,623,623,0
2017-12-01T06:00:00+0000,634,634,634,634,0
2017-12-04T06:00:00+0000,634,634,634,634,0
2017-12-05T06:00:00+0000,630,630,630,630,0
2017-12-06T06:00:00+0000,636,636,636,636,0
2017-12-07T06:00:00+0000,645,645,645,645,33
2017-12-08T06:00:00+0000,645,645,645,645,0
2017-12-11T06:00:00+0000,645,645,645,645,0
2017-12-12T06:00:00+0000,640,640,640,640,0
2017-12-13T06:00:00+0000,640,640,640,640,36
2017-12-14T06:00:00+0000,640,640,640,640,10
2017-12-15T06:00:00+0000,640,640,640,640,17
2017-12-18T06:00:00+0000,641,641,641,641,0
2017-12-19T06:00:00+0000,658,658,658,658,0
2017-12-20T06:00:00+0000,660,660,660,660,11
2017-12-21T06:00:00+0000,660,660,660,660,6
2017-12-22T06:00:00+0000,660,660,660,660,26
2017-12-26T06:00:00+0000,660,660,660,660,0
2017-12-27T06:00:00+0000,660,660,660,660,0
2017-12-28T06:00:00+0000,661,661,661,661,0
2017-12-29T06:00:00+0000,660,660,660,660,0
2018-01-02T06:00:00+0000,659,659,659,659,0
2018-01-03T06:00:00+0000,657,657,657,657,53
2018-01-04T06:00:00+0000,657,657,657,657,0
2018-01-05T06:00:00+0000,657,657,657,657,0
2018-01-08T06:00:00+0000,657,657,657,657,0
2018-01-09T06:00:00+0000,665,665,665,665,0
2018-01-10T06:00:00+0000,667,667,667,667,0
2018-01-11T06:00:00+0000,670,670,660,660,5
2018-01-12T06:00:00+0000,660,660,660,660,15
2018-01-16T06:00:00+0000,668,668,668,668,5
2018-01-17T06:00:00+0000,665,668,665,665,25
2018-01-18T06:00:00+0000,665,668,665,665,0
2018-01-19T06:00:00+0000,664,664,664,664,25
2018-01-22T06:00:00+0000,664,664,664,664,0
2018-01-23T06:00:00+0000,662,662,662,662,10
2018-01-24T06:00:00+0000,662,662,662,662,0
2018-01-25T06:00:00+0000,662,662,662,662,30
2018-01-26T06:00:00+0000,680,680,680,680,13
2018-01-29T06:00:00+0000,680,680,680,680,0
2018-01-30T06:00:00+0000,680,680,680,680,0
2018-01-31T06:00:00+0000,680,680,680,680,0
2018-02-01T06:00:00+0000,679,679,679,679,13
2018-02-02T06:00:00+0000,675,675,675,675,16
2018-02-05T06:00:00+0000,675,675,675,675,0
2018-02-06T06:00:00+0000,677,677,677,677,0
2018-02-07T06:00:00+0000,685,685,685,685,35
