Time,Open,High,Low,Close,Volume
2023-03-14T06:00:00+0000,0.6702,0.6702,0.6702,0.6702,5
2023-03-14T11:00:00+0000,0.6704,0.6707,0.6704,0.6705,5
2023-03-14T12:00:00+0000,0.672,0.672,0.672,0.672,1
2023-03-14T20:00:00+0000,0.6724,0.6724,0.6724,0.6724,1
2023-03-15T02:00:00+0000,0.6752,0.6752,0.6752,0.6752,10
2023-03-15T09:00:00+0000,0.67,0.67,0.67,0.67,2
2023-03-15T10:00:00+0000,0.669,0.669,0.6681,0.6681,41
2023-03-15T11:00:00+0000,0.668,0.668,0.668,0.668,1
2023-03-15T14:00:00+0000,0.665,0.665,0.665,0.665,1
2023-03-15T15:00:00+0000,0.6655,0.6655,0.6655,0.6655,1
2023-03-16T15:00:00+0000,0.6711,0.6711,0.6704,0.6707,3
2023-03-16T19:00:00+0000,0.6697,0.6697,0.6697,0.6697,1
2023-03-17T04:00:00+0000,0.6744,0.6744,0.6744,0.6744,1
2023-03-17T06:00:00+0000,0.6753,0.6753,0.6753,0.6753,1
2023-03-17T07:00:00+0000,0.6755,0.6755,0.6755,0.6755,2
2023-03-17T08:00:00+0000,0.6749,0.6749,0.6749,0.6749,1
2023-03-17T09:00:00+0000,0.6755,0.6755,0.6753,0.6754,3
2023-03-17T10:00:00+0000,0.6734,0.6734,0.6734,0.6734,1
2023-03-17T12:00:00+0000,0.6737,0.6737,0.6737,0.6737,2
2023-03-17T13:00:00+0000,0.6738,0.6738,0.6738,0.6738,1
2023-03-17T15:00:00+0000,0.6725,0.6725,0.6725,0.6725,1
2023-03-17T16:00:00+0000,0.6727,0.6727,0.6727,0.6727,1
2023-03-17T17:00:00+0000,0.6735,0.6735,0.6734,0.6734,2
2023-03-20T01:00:00+0000,0.6753,0.6753,0.6753,0.6753,1
2023-03-20T06:00:00+0000,0.671,0.671,0.671,0.671,1
2023-03-20T08:00:00+0000,0.6724,0.6726,0.6724,0.6726,21
2023-03-20T09:00:00+0000,0.672,0.672,0.672,0.672,2
2023-03-20T11:00:00+0000,0.6738,0.6738,0.6738,0.6738,1
2023-03-20T12:00:00+0000,0.6735,0.6735,0.6735,0.6735,1
2023-03-21T10:00:00+0000,0.6722,0.6722,0.6721,0.6721,6
2023-03-21T14:00:00+0000,0.671,0.671,0.671,0.671,1
