Time,Open,High,Low,Close,Volume
2017-05-24T14:00:00+0000,84.6,84.6,84.6,84.6,1
2017-06-01T14:00:00+0000,82.7,82.7,82.5,82.5,48
2017-06-01T18:00:00+0000,82.3,82.3,82.3,82.3,2
2017-06-02T18:00:00+0000,82.5,82.5,82.5,82.5,1
2017-06-05T13:00:00+0000,82.2,82.2,82.2,82.2,100
2017-06-05T15:00:00+0000,82.1,82.1,82.1,82.1,1
2017-06-05T16:00:00+0000,82.1,82.1,82.1,82.1,1
2017-06-06T15:00:00+0000,82.5,82.5,82.5,82.5,147
2017-06-08T14:00:00+0000,82.3,82.4,82.3,82.4,150
2017-06-09T13:00:00+0000,82.3,82.3,82.3,82.3,1
2017-06-12T13:00:00+0000,82.1,82.1,82.1,82.1,1
2017-06-12T14:00:00+0000,82.1,82.1,82.1,82.1,2
2017-06-12T15:00:00+0000,82.0,82.0,82.0,82.0,5
2017-06-12T16:00:00+0000,81.8,81.8,81.8,81.8,2
2017-06-13T13:00:00+0000,81.5,81.5,81.5,81.5,52
2017-06-13T14:00:00+0000,81.4,81.4,81.3,81.3,9
2017-06-13T15:00:00+0000,81.5,81.5,81.5,81.5,4
2017-06-13T18:00:00+0000,81.6,81.6,81.6,81.6,50
2017-06-14T13:00:00+0000,81.7,81.7,81.7,81.7,474
2017-06-14T14:00:00+0000,81.7,81.7,81.7,81.7,500
2017-06-14T15:00:00+0000,81.3,81.3,81.3,81.3,4
2017-06-14T16:00:00+0000,81.2,81.2,81.1,81.1,55
2017-06-14T18:00:00+0000,80.9,80.9,80.9,80.9,30
2017-06-15T13:00:00+0000,80.3,80.4,80.3,80.4,281
2017-06-15T14:00:00+0000,80.5,80.5,80.5,80.5,6
2017-06-15T15:00:00+0000,80.7,80.8,80.7,80.8,17
2017-06-15T16:00:00+0000,80.8,80.8,80.8,80.8,10
2017-06-15T18:00:00+0000,81.0,81.1,81.0,81.1,45
2017-06-16T13:00:00+0000,81.1,81.2,81.1,81.2,1546
2017-06-16T14:00:00+0000,81.3,81.3,81.2,81.3,72
2017-06-16T15:00:00+0000,81.2,81.2,81.0,81.0,19
2017-06-16T16:00:00+0000,81.3,81.3,81.3,81.3,28
2017-06-16T18:00:00+0000,81.4,81.4,81.4,81.4,50
2017-06-19T13:00:00+0000,81.2,81.2,81.0,81.0,90
2017-06-19T17:00:00+0000,81.0,81.0,81.0,81.0,10
2017-06-19T18:00:00+0000,80.8,80.8,80.8,80.8,36
2017-06-20T13:00:00+0000,80.1,80.1,80.1,80.1,128
2017-06-20T14:00:00+0000,79.8,79.8,79.8,79.8,21
