Time,Open,High,Low,Close,Volume
2023-10-31T18:00:00+0000,35450,35450,35450,35450,1
2023-11-03T00:00:00+0000,35775,35775,35775,35775,1
2023-11-09T17:00:00+0000,37500,37500,37500,37500,1
2023-11-09T19:00:00+0000,37450,37450,37450,37450,1
2023-11-15T15:00:00+0000,37555,37555,37550,37555,9
2023-11-15T18:00:00+0000,38875,38875,38875,38875,1
2023-11-20T17:00:00+0000,38705,38705,38705,38705,1
2023-11-21T20:00:00+0000,38600,38600,38600,38600,1
2023-11-22T00:00:00+0000,37000,37000,37000,37000,1
2023-11-22T09:00:00+0000,38000,38000,38000,38000,1
2023-11-22T15:00:00+0000,37925,37925,37925,37925,1
2023-11-24T14:00:00+0000,39485,39490,39485,39490,4
2023-11-24T15:00:00+0000,39500,39500,39500,39500,1
2023-11-24T16:00:00+0000,39530,39530,39530,39530,1
2023-11-26T23:00:00+0000,39350,39350,39150,39150,2
2023-11-27T02:00:00+0000,38880,38880,38705,38705,7
2023-11-27T03:00:00+0000,38790,38790,38790,38790,1
2023-11-27T04:00:00+0000,38780,38790,38780,38785,30
2023-11-27T18:00:00+0000,38300,38300,38300,38300,2
2023-11-27T19:00:00+0000,38070,38070,38070,38070,3
2023-11-27T20:00:00+0000,38070,38070,38070,38070,2
2023-11-28T14:00:00+0000,38725,38725,38725,38725,1
2023-11-28T15:00:00+0000,38700,38700,38700,38700,1
2023-11-28T17:00:00+0000,39810,39865,39790,39865,11
2023-11-28T18:00:00+0000,39800,39800,39745,39745,2
2023-11-28T19:00:00+0000,39945,40010,39830,40010,9
2023-11-28T20:00:00+0000,39630,39630,39630,39630,2
2023-11-29T10:00:00+0000,39465,39490,39465,39490,3
2023-11-29T15:00:00+0000,39000,39000,39000,39000,1
2023-11-29T20:00:00+0000,38910,38910,38750,38780,20
2023-12-01T04:00:00+0000,39360,39500,39360,39500,2
2023-12-01T06:00:00+0000,39545,39545,39545,39545,2
2023-12-01T07:00:00+0000,39725,39725,39665,39665,2
2023-12-01T09:00:00+0000,40000,40170,40000,40130,6
2023-12-01T18:00:00+0000,40295,40305,40295,40305,3
2023-12-03T23:00:00+0000,41030,41475,41030,41475,5
2023-12-04T01:00:00+0000,41945,42250,41945,42250,2
2023-12-04T08:00:00+0000,43100,43100,43100,43100,1
2023-12-04T14:00:00+0000,42925,43365,42925,43170,12
2023-12-04T15:00:00+0000,43160,43160,43160,43160,1
2023-12-04T16:00:00+0000,42835,43000,42835,43000,8
2023-12-04T17:00:00+0000,43180,43180,43180,43180,1
2023-12-04T20:00:00+0000,43280,43280,43280,43280,1
2023-12-04T23:00:00+0000,43300,43300,43190,43190,8
2023-12-05T01:00:00+0000,42925,42925,42925,42925,1
2023-12-05T13:00:00+0000,43160,43180,43160,43180,10
2023-12-05T14:00:00+0000,43555,43555,43555,43555,1
2023-12-05T15:00:00+0000,43675,43675,43675,43675,1
2023-12-05T16:00:00+0000,44030,44030,44030,44030,1
2023-12-05T17:00:00+0000,44325,44995,44150,44705,9
2023-12-05T18:00:00+0000,44850,45245,44745,45245,7
2023-12-05T20:00:00+0000,45145,45145,45130,45130,6
2023-12-05T21:00:00+0000,45400,45450,45400,45450,30
2023-12-06T15:00:00+0000,45230,45430,45230,45430,6
2023-12-06T19:00:00+0000,45385,45415,45385,45415,3
2023-12-06T20:00:00+0000,45150,45150,45150,45150,1
2023-12-07T01:00:00+0000,45065,45065,45065,45065,1
2023-12-07T06:00:00+0000,45100,45100,45100,45100,3
2023-12-07T08:00:00+0000,45035,45035,44905,44910,6
2023-12-07T10:00:00+0000,44585,44585,44525,44525,2
2023-12-07T11:00:00+0000,44335,44520,44335,44520,2
2023-12-07T14:00:00+0000,44755,44755,44755,44755,1
2023-12-07T16:00:00+0000,44975,44975,44975,44975,1
2023-12-07T18:00:00+0000,44700,44700,44700,44700,2
2023-12-07T19:00:00+0000,44375,44375,44375,44375,5
2023-12-07T20:00:00+0000,44575,44575,44575,44575,1
2023-12-08T07:00:00+0000,44480,44505,44425,44435,6
2023-12-08T08:00:00+0000,44395,44695,44395,44555,21
2023-12-08T11:00:00+0000,44750,44750,44750,44750,1
2023-12-08T13:00:00+0000,44850,44850,44850,44850,1
2023-12-08T21:00:00+0000,45800,46000,45800,46000,6
2023-12-11T01:00:00+0000,44620,44620,44550,44550,2
2023-12-11T02:00:00+0000,44300,44300,43000,43300,5
2023-12-11T05:00:00+0000,43000,43000,43000,43000,1
2023-12-11T12:00:00+0000,43480,43480,43480,43480,2
2023-12-11T14:00:00+0000,43055,43310,43055,43140,4
2023-12-11T16:00:00+0000,42855,42855,42855,42855,1
2023-12-11T18:00:00+0000,42200,42200,41900,41900,4
2023-12-11T19:00:00+0000,41775,41775,41455,41665,11
2023-12-11T20:00:00+0000,41730,41850,41600,41850,6
2023-12-12T00:00:00+0000,42545,42675,42545,42675,4
2023-12-12T01:00:00+0000,42760,42760,42695,42695,4
2023-12-12T14:00:00+0000,42715,42715,42480,42560,17
2023-12-12T15:00:00+0000,42515,42515,42350,42350,2
2023-12-12T17:00:00+0000,41860,41860,41765,41765,27
2023-12-12T18:00:00+0000,41750,41825,41750,41820,11
2023-12-13T01:00:00+0000,42250,42250,42250,42250,8
2023-12-13T16:00:00+0000,43200,43225,43005,43005,4
2023-12-13T17:00:00+0000,43135,43265,43135,43265,4
2023-12-13T20:00:00+0000,43970,44060,43970,44060,3
2023-12-13T23:00:00+0000,44300,44300,44300,44300,2
2023-12-14T00:00:00+0000,44200,44200,44000,44055,3
2023-12-14T01:00:00+0000,43990,43990,43990,43990,1
2023-12-14T06:00:00+0000,44300,44300,44300,44300,1
2023-12-14T10:00:00+0000,44375,44375,44045,44045,2
2023-12-14T13:00:00+0000,44055,44055,43000,43110,3
2023-12-14T16:00:00+0000,43695,43785,43695,43785,15
2023-12-14T17:00:00+0000,44290,44290,44290,44290,2
2023-12-14T18:00:00+0000,44250,44250,44090,44090,2
2023-12-15T08:00:00+0000,44230,44230,43925,43925,2
2023-12-15T14:00:00+0000,43350,43350,43300,43300,2
2023-12-15T15:00:00+0000,43180,43180,42800,42900,13
2023-12-15T16:00:00+0000,43120,43120,42900,42900,2
2023-12-15T20:00:00+0000,43250,43300,43250,43300,2
2023-12-18T03:00:00+0000,42045,42045,42045,42045,4
2023-12-18T04:00:00+0000,42135,42200,42135,42200,6
2023-12-18T10:00:00+0000,41700,41700,41700,41700,1
2023-12-18T13:00:00+0000,42305,42305,42305,42305,9
2023-12-18T15:00:00+0000,42590,42590,42405,42405,2
2023-12-18T16:00:00+0000,42405,42405,42405,42405,1
2023-12-18T18:00:00+0000,42640,42660,42630,42660,21
2023-12-18T19:00:00+0000,42855,42855,42790,42855,32
2023-12-18T20:00:00+0000,42855,42975,42735,42975,23
2023-12-18T21:00:00+0000,43225,43825,43225,43825,3
2023-12-19T09:00:00+0000,44180,44195,43840,44155,58
2023-12-19T12:00:00+0000,44185,44185,44080,44080,8
2023-12-19T14:00:00+0000,43450,43450,43450,43450,2
2023-12-19T17:00:00+0000,43000,43035,42885,43030,42
2023-12-19T18:00:00+0000,42900,43050,42900,43050,2
2023-12-20T13:00:00+0000,44200,44845,44200,44845,25
2023-12-20T14:00:00+0000,44995,45230,44995,45230,12
2023-12-20T15:00:00+0000,45600,45600,45380,45380,2
2023-12-20T16:00:00+0000,45220,45280,45205,45205,3
2023-12-20T17:00:00+0000,45010,45010,45010,45010,2
2023-12-20T20:00:00+0000,44570,44570,44570,44570,1
2023-12-21T03:00:00+0000,44770,45200,44740,45200,16
2023-12-21T08:00:00+0000,44935,44990,44935,44990,15
2023-12-21T13:00:00+0000,45495,45495,45495,45495,1
2023-12-21T14:00:00+0000,45095,45115,44895,44960,16
2023-12-21T16:00:00+0000,44720,44720,44720,44720,1
2023-12-21T17:00:00+0000,44745,44745,44745,44745,5
2023-12-21T19:00:00+0000,45085,45085,44710,44710,4
2023-12-22T08:00:00+0000,45010,45010,44790,44790,8
2023-12-22T09:00:00+0000,44790,44790,44715,44725,24
2023-12-22T10:00:00+0000,44945,44945,44945,44945,11
2023-12-22T11:00:00+0000,44880,44880,44880,44880,1
2023-12-22T13:00:00+0000,44825,44995,44825,44995,8
2023-12-22T14:00:00+0000,44730,44860,44725,44860,6
2023-12-22T15:00:00+0000,44925,44940,44830,44840,6
2023-12-22T16:00:00+0000,44910,44915,44740,44820,32
2023-12-22T17:00:00+0000,44885,44985,44875,44985,12
2023-12-22T18:00:00+0000,44945,45220,44945,45220,7
2023-12-26T00:00:00+0000,44720,44720,44720,44720,1
2023-12-26T05:00:00+0000,44000,44000,44000,44000,1
2023-12-26T09:00:00+0000,43500,43500,43500,43500,1
2023-12-26T12:00:00+0000,43725,43725,43675,43675,2
2023-12-26T13:00:00+0000,43825,43825,43825,43825,1
2023-12-26T14:00:00+0000,43805,43805,43600,43600,2
2023-12-26T15:00:00+0000,43615,43745,43455,43455,19
2023-12-26T16:00:00+0000,43455,43465,43375,43465,58
2023-12-26T17:00:00+0000,43465,43465,42780,43155,48
2023-12-26T18:00:00+0000,43155,43255,43055,43255,65
2023-12-26T19:00:00+0000,43250,43440,43250,43310,21
2023-12-26T20:00:00+0000,43250,43430,43250,43430,13
2023-12-27T01:00:00+0000,43660,43660,43660,43660,1
2023-12-27T03:00:00+0000,43515,43515,43515,43515,1
2023-12-27T06:00:00+0000,43665,43665,43650,43650,2
2023-12-27T07:00:00+0000,43675,43675,43585,43585,2
2023-12-27T12:00:00+0000,44125,44125,44125,44125,1
2023-12-27T13:00:00+0000,44170,44170,44170,44170,2
2023-12-27T14:00:00+0000,44265,44375,44265,44355,12
2023-12-27T15:00:00+0000,44000,44230,44000,44195,13
2023-12-27T16:00:00+0000,44405,44405,44405,44405,2
2023-12-27T17:00:00+0000,44055,44140,44055,44140,4
2023-12-27T18:00:00+0000,44285,44285,44285,44285,3
2023-12-27T19:00:00+0000,44285,44295,44285,44295,14
2023-12-27T20:00:00+0000,44350,44350,44350,44350,2
2023-12-27T23:00:00+0000,44665,44665,44665,44665,2
2023-12-28T01:00:00+0000,44695,44805,44695,44800,3
2023-12-28T03:00:00+0000,44800,44800,44800,44800,1
2023-12-28T06:00:00+0000,44305,44450,44305,44450,5
2023-12-28T07:00:00+0000,44410,44410,44410,44410,1
2023-12-28T08:00:00+0000,44300,44325,44220,44220,4
2023-12-28T13:00:00+0000,44135,44235,44135,44235,90
2023-12-28T14:00:00+0000,43975,43975,43950,43950,17
2023-12-28T15:00:00+0000,43765,43785,43625,43625,10
2023-12-28T16:00:00+0000,43500,43505,43500,43505,2
2023-12-28T17:00:00+0000,43700,43700,43610,43610,16
2023-12-28T18:00:00+0000,43720,43750,43720,43750,2
2023-12-28T19:00:00+0000,43655,43765,43655,43765,5
2023-12-28T20:00:00+0000,43550,43635,43550,43635,2
2023-12-29T01:00:00+0000,43335,43500,43335,43500,4
2023-12-29T03:00:00+0000,43645,43910,43645,43910,3
2023-12-29T05:00:00+0000,43745,43745,43740,43740,3
2023-12-29T07:00:00+0000,43475,43475,43475,43475,1
2023-12-29T10:00:00+0000,43850,43850,43850,43850,1
2023-12-29T14:00:00+0000,44005,44180,44005,44175,41
2023-12-29T15:00:00+0000,44100,44100,43400,43400,41
2023-12-29T16:00:00+0000,43100,43195,42790,43145,40
2023-12-29T17:00:00+0000,42780,42800,42435,42615,103
2023-12-29T18:00:00+0000,42835,42895,42835,42895,2
2023-12-29T19:00:00+0000,42900,42900,42900,42900,1
2023-12-29T20:00:00+0000,42940,42940,42855,42885,33
2023-12-29T21:00:00+0000,42935,42935,42935,42935,3
2024-01-01T23:00:00+0000,44520,46150,44520,46125,94
2024-01-02T00:00:00+0000,46100,47250,46100,47250,66
2024-01-02T01:00:00+0000,46990,47000,46710,46710,17
2024-01-02T02:00:00+0000,47110,47110,47110,47110,2
2024-01-02T03:00:00+0000,47000,47350,47000,47350,9
2024-01-02T04:00:00+0000,47300,47350,47250,47250,5
2024-01-02T05:00:00+0000,47245,47245,47150,47150,2
2024-01-02T06:00:00+0000,46925,47000,46925,47000,2
2024-01-02T08:00:00+0000,47375,47375,47375,47375,1
2024-01-02T09:00:00+0000,47475,47500,47350,47350,3
2024-01-02T10:00:00+0000,47200,47200,47200,47200,3
2024-01-02T11:00:00+0000,46950,46950,46950,46950,1
2024-01-02T12:00:00+0000,46860,46860,46555,46555,13
2024-01-02T13:00:00+0000,46665,47340,46665,47195,13
2024-01-02T14:00:00+0000,47150,47150,46595,46600,17
2024-01-02T15:00:00+0000,46490,46550,46175,46460,67
2024-01-02T16:00:00+0000,46455,46600,46250,46600,17
2024-01-02T17:00:00+0000,46355,46355,46220,46220,26
2024-01-02T18:00:00+0000,46130,46130,46130,46130,2
2024-01-02T19:00:00+0000,46050,46050,45900,46020,7
2024-01-02T20:00:00+0000,46005,46105,45840,45845,15
2024-01-02T21:00:00+0000,45775,46165,45765,46165,38
2024-01-02T23:00:00+0000,45955,46005,45785,46005,44
2024-01-03T00:00:00+0000,45900,46000,45900,46000,5
2024-01-03T01:00:00+0000,46150,46325,46150,46325,7
2024-01-03T02:00:00+0000,46395,46450,46325,46425,25
2024-01-03T03:00:00+0000,46325,46335,46320,46335,12
2024-01-03T05:00:00+0000,46270,46325,46270,46325,11
2024-01-03T06:00:00+0000,46250,46345,46250,46345,17
2024-01-03T07:00:00+0000,46340,46340,46120,46120,6
2024-01-03T09:00:00+0000,46275,46340,46275,46340,2
2024-01-03T10:00:00+0000,46100,46100,46080,46080,2
2024-01-03T11:00:00+0000,46000,46000,44390,44500,91
2024-01-03T12:00:00+0000,44400,44400,41600,43385,207
2024-01-03T13:00:00+0000,43290,43480,43275,43380,16
2024-01-03T14:00:00+0000,43185,43240,42885,43000,54
2024-01-03T15:00:00+0000,43310,43850,43110,43650,149
2024-01-03T16:00:00+0000,44245,44340,43725,43835,197
2024-01-03T17:00:00+0000,43850,43850,43470,43725,81
2024-01-03T18:00:00+0000,43720,43875,42895,43000,190
2024-01-03T19:00:00+0000,43015,43830,42945,43425,67
2024-01-03T20:00:00+0000,43415,43620,43385,43570,69
2024-01-03T21:00:00+0000,43485,43870,43480,43805,23
2024-01-03T23:00:00+0000,43725,43725,43655,43655,5
2024-01-04T00:00:00+0000,43750,43750,43750,43750,2
2024-01-04T02:00:00+0000,43700,43700,43700,43700,1
2024-01-04T03:00:00+0000,44050,44050,43975,43975,2
2024-01-04T04:00:00+0000,43960,44010,43960,44010,3
2024-01-04T05:00:00+0000,44120,44120,44060,44060,17
2024-01-04T06:00:00+0000,44060,44060,44020,44020,3
2024-01-04T07:00:00+0000,43860,43860,43800,43800,2
2024-01-04T10:00:00+0000,43950,43950,43885,43885,5
2024-01-04T11:00:00+0000,44030,44060,44025,44055,10
2024-01-04T12:00:00+0000,44155,44155,44155,44155,4
2024-01-04T13:00:00+0000,44090,44280,44090,44280,4
2024-01-04T14:00:00+0000,44265,44610,44025,44520,138
2024-01-04T15:00:00+0000,44570,45155,44570,45030,130
2024-01-04T16:00:00+0000,45035,45040,44800,44800,7
2024-01-04T17:00:00+0000,44855,44980,44855,44980,10
2024-01-04T18:00:00+0000,44900,45025,44845,44995,18
2024-01-04T19:00:00+0000,45125,45300,44890,44890,6
2024-01-04T20:00:00+0000,45195,45580,45080,45115,94
2024-01-04T21:00:00+0000,45245,45435,45245,45310,36
2024-01-04T23:00:00+0000,45275,45340,45080,45080,16
2024-01-05T01:00:00+0000,44880,44900,43910,44335,131
2024-01-05T02:00:00+0000,44445,44850,44265,44510,38
2024-01-05T03:00:00+0000,44495,44495,44305,44305,16
2024-01-05T04:00:00+0000,44300,44300,44210,44210,2
2024-01-05T05:00:00+0000,44440,44575,44440,44575,3
2024-01-05T08:00:00+0000,44695,44775,44650,44655,11
2024-01-05T09:00:00+0000,44935,45045,44935,45045,10
2024-01-05T10:00:00+0000,44735,44735,44735,44735,1
2024-01-05T11:00:00+0000,44655,44660,44650,44650,6
2024-01-05T12:00:00+0000,44550,44770,44550,44770,3
2024-01-05T13:00:00+0000,44900,44900,44640,44640,2
2024-01-05T14:00:00+0000,44600,44600,44050,44255,83
