Time,Open,High,Low,Latest,Volume
2025-07-25T07:00:00+0000,118155,118155,117695,117695,3
2025-07-25T08:00:00+0000,118355,118355,118355,118355,2
2025-08-01T14:00:00+0000,118380,118700,118315,118315,7
2025-08-01T15:00:00+0000,118070,118070,118070,118070,3
2025-08-07T18:00:00+0000,119450,119450,119450,119450,1
2025-08-08T13:00:00+0000,119000,119000,119000,119000,2
2025-08-08T15:00:00+0000,119140,119140,119140,119140,1
2025-08-10T23:00:00+0000,121900,121900,121900,121900,3
2025-08-11T04:00:00+0000,124900,124900,124900,124900,2
2025-08-11T05:00:00+0000,124900,124900,124900,124900,1
2025-08-14T14:00:00+0000,122000,122000,121750,121950,9
2025-08-18T03:00:00+0000,118000,118000,118000,118000,2
2025-08-19T14:00:00+0000,117000,117000,117000,117000,5
2025-08-20T01:00:00+0000,115000,115000,115000,115000,1
2025-08-20T13:00:00+0000,115000,115000,115000,115000,1
2025-08-21T17:00:00+0000,114615,114615,114615,114615,2
2025-08-25T11:00:00+0000,113310,113310,113310,113310,1
2025-08-25T13:00:00+0000,113310,113310,113310,113310,1
2025-08-25T19:00:00+0000,113800,113800,113800,113800,1
2025-08-28T13:00:00+0000,115000,115000,115000,115000,2
2025-08-28T16:00:00+0000,114945,114945,114945,114945,1
2025-08-29T04:00:00+0000,113845,113845,113845,113845,2
2025-08-29T07:00:00+0000,113050,113050,113050,113050,1
2025-08-29T09:00:00+0000,111915,112060,111915,112060,28
2025-08-29T10:00:00+0000,112140,112220,112140,112155,19
2025-08-29T12:00:00+0000,112445,112975,112445,112905,20
2025-08-29T13:00:00+0000,112670,112775,111000,111290,72
2025-08-29T14:00:00+0000,110775,110775,110440,110480,18
2025-08-29T15:00:00+0000,110325,110625,110325,110625,8
2025-08-29T16:00:00+0000,110345,110345,110345,110345,1
2025-08-29T17:00:00+0000,110470,110470,110300,110300,6
2025-08-29T18:00:00+0000,110365,110365,110365,110365,1
2025-08-29T19:00:00+0000,110625,110625,110625,110625,1
2025-08-31T22:00:00+0000,111020,111210,111020,111210,3
2025-09-01T02:00:00+0000,109775,109775,109775,109775,1
2025-09-01T07:00:00+0000,111025,111025,111025,111025,1
2025-09-01T08:00:00+0000,111625,111625,111530,111530,2
2025-09-01T09:00:00+0000,111590,111590,111590,111590,10
2025-09-01T10:00:00+0000,110500,110500,110500,110500,10
2025-09-01T17:00:00+0000,110675,110675,110675,110675,1
2025-09-01T22:00:00+0000,110000,110000,110000,110000,1
2025-09-02T01:00:00+0000,111320,111320,111320,111320,1
2025-09-02T02:00:00+0000,112000,112000,112000,112000,1
2025-09-02T03:00:00+0000,112355,112355,112205,112205,8
2025-09-02T04:00:00+0000,112440,112440,112350,112350,45
2025-09-02T07:00:00+0000,112300,112300,112300,112300,20
2025-09-02T08:00:00+0000,112500,112500,112500,112500,20
2025-09-02T10:00:00+0000,112500,112500,112500,112500,20
2025-09-02T11:00:00+0000,112025,112025,111880,111880,10
2025-09-02T13:00:00+0000,113000,113130,113000,113130,45
2025-09-02T15:00:00+0000,113520,113520,113520,113520,1
2025-09-02T16:00:00+0000,112890,112890,112680,112680,2
2025-09-02T17:00:00+0000,112950,112950,112950,112950,30
2025-09-02T18:00:00+0000,112775,112775,112775,112775,1
2025-09-02T20:00:00+0000,113050,113555,113050,113460,43
2025-09-02T22:00:00+0000,113215,113215,113215,113215,1
2025-09-02T23:00:00+0000,113245,113245,113245,113245,1
2025-09-03T03:00:00+0000,113245,113280,113245,113280,16
2025-09-03T08:00:00+0000,113295,113295,113295,113295,1
2025-09-03T10:00:00+0000,113535,113600,113535,113600,17
2025-09-03T13:00:00+0000,113575,113575,113575,113575,2
2025-09-03T14:00:00+0000,113660,113660,113520,113520,2
2025-09-03T15:00:00+0000,114505,114505,114235,114340,4
2025-09-03T17:00:00+0000,114525,114570,114525,114560,12
2025-09-03T19:00:00+0000,114190,114190,114190,114190,1
2025-09-03T22:00:00+0000,114360,114360,114360,114360,1
2025-09-04T03:00:00+0000,113475,113630,113260,113260,24
2025-09-04T04:00:00+0000,113325,113405,113275,113340,19
2025-09-04T05:00:00+0000,113000,113000,112745,112745,8
2025-09-04T06:00:00+0000,112500,112500,112375,112375,2
2025-09-04T07:00:00+0000,112490,112505,112435,112505,13
2025-09-04T08:00:00+0000,112465,112810,112465,112650,8
2025-09-04T09:00:00+0000,112715,112870,112715,112860,20
2025-09-04T10:00:00+0000,113240,113440,113240,113440,30
2025-09-04T11:00:00+0000,113060,113060,112850,112915,35
2025-09-04T12:00:00+0000,112850,113075,112785,112785,24
2025-09-04T13:00:00+0000,112930,112945,112770,112820,13
2025-09-04T14:00:00+0000,111980,111980,111980,111980,1
2025-09-04T17:00:00+0000,111600,111775,111525,111715,43
2025-09-04T18:00:00+0000,111715,112100,111715,112005,29
2025-09-04T19:00:00+0000,111985,112065,111750,111750,20
2025-09-04T20:00:00+0000,112270,112270,112270,112270,1
2025-09-04T22:00:00+0000,112730,113070,112665,113070,23
2025-09-04T23:00:00+0000,113095,113190,112515,112515,20
2025-09-05T00:00:00+0000,112445,112635,112385,112385,12
2025-09-05T01:00:00+0000,112340,112960,112340,112960,31
2025-09-05T02:00:00+0000,113030,113380,113030,113380,9
2025-09-05T03:00:00+0000,113190,113235,113090,113235,4
2025-09-05T04:00:00+0000,113235,113315,113235,113315,3
2025-09-05T05:00:00+0000,113635,113635,113465,113465,3
2025-09-05T06:00:00+0000,113570,113635,113570,113635,2
2025-09-05T07:00:00+0000,113975,114605,113975,114605,15
2025-09-05T12:00:00+0000,114365,114590,114235,114590,16
2025-09-05T13:00:00+0000,115175,115175,114845,114845,35
2025-09-05T14:00:00+0000,112480,112480,112480,112480,25
2025-09-05T15:00:00+0000,112770,112845,112685,112685,26
2025-09-05T16:00:00+0000,112585,112680,112535,112680,11
2025-09-05T17:00:00+0000,112395,112495,112000,112000,25
2025-09-05T18:00:00+0000,112775,113170,112775,113115,15
2025-09-05T19:00:00+0000,113105,113570,113105,113570,41
2025-09-05T20:00:00+0000,113640,113640,113300,113300,27
2025-09-07T22:00:00+0000,113125,113300,113060,113245,99
2025-09-07T23:00:00+0000,113305,113545,113305,113405,17
2025-09-08T00:00:00+0000,112975,113095,112790,112790,23
2025-09-08T01:00:00+0000,112775,112850,112775,112850,5
2025-09-08T02:00:00+0000,112810,113145,112585,113145,12
2025-09-08T03:00:00+0000,113125,113125,112975,113005,7
2025-09-08T04:00:00+0000,113005,113005,112925,112945,5
2025-09-08T05:00:00+0000,112850,112850,112850,112850,3
2025-09-08T06:00:00+0000,112990,113110,112930,113110,29
2025-09-08T07:00:00+0000,113110,113500,113110,113220,38
2025-09-08T08:00:00+0000,113560,113640,113560,113640,3
2025-09-08T09:00:00+0000,113950,114010,113950,114010,2
2025-09-08T13:00:00+0000,114230,114230,114230,114230,2
2025-09-08T14:00:00+0000,114225,114610,114225,114610,22
2025-09-08T15:00:00+0000,114690,114885,114575,114575,7
2025-09-08T16:00:00+0000,114400,114400,114400,114400,1
2025-09-08T17:00:00+0000,114350,114510,114125,114125,16
2025-09-08T18:00:00+0000,114210,114400,114210,114400,24
2025-09-08T19:00:00+0000,114245,114245,114100,114100,5
2025-09-08T20:00:00+0000,114100,114100,114100,114100,2
2025-09-08T22:00:00+0000,114505,114505,114305,114305,7
2025-09-08T23:00:00+0000,114345,114345,114000,114000,4
2025-09-09T00:00:00+0000,113680,113680,113500,113500,3
2025-09-09T02:00:00+0000,113140,113140,113140,113140,4
2025-09-09T03:00:00+0000,113380,113640,113380,113600,11
2025-09-09T04:00:00+0000,113720,113720,113720,113720,1
2025-09-09T05:00:00+0000,113955,114235,113955,114235,17
2025-09-09T06:00:00+0000,114235,115000,114235,115000,73
2025-09-09T08:00:00+0000,115155,115155,115155,115155,2
2025-09-09T10:00:00+0000,114715,114715,114715,114715,1
2025-09-09T11:00:00+0000,114710,114710,114540,114540,8
2025-09-09T13:00:00+0000,114850,114850,114810,114810,4
2025-09-09T14:00:00+0000,114420,114420,113500,113600,5
2025-09-09T15:00:00+0000,113165,113340,112930,112930,4
2025-09-09T16:00:00+0000,112765,112790,112765,112790,28
2025-09-09T17:00:00+0000,112790,112935,112790,112935,7
2025-09-09T18:00:00+0000,112875,112875,112855,112855,8
2025-09-09T19:00:00+0000,113130,113280,113130,113280,32
2025-09-09T20:00:00+0000,113215,113255,113035,113255,13
2025-09-09T22:00:00+0000,113310,113450,113310,113450,2
