Time,Open,High,Low,Latest,Volume
2006-03-22T13:00:00+0000,110.65,110.65,110.65,110.65,10
2006-03-23T16:00:00+0000,110.54,110.54,110.54,110.54,5
2006-03-24T07:00:00+0000,110.59,110.59,110.59,110.59,2
2006-03-24T15:00:00+0000,110.66,110.66,110.66,110.66,5
2006-03-27T14:00:00+0000,110.8,110.8,110.8,110.8,2
2006-03-28T09:00:00+0000,110.39,110.39,110.39,110.39,1
2006-03-28T15:00:00+0000,110.26,110.26,110.26,110.26,5
2006-03-29T06:00:00+0000,110.17,110.17,110.17,110.17,1
2006-03-29T09:00:00+0000,110.14,110.14,110.14,110.14,1
2006-03-29T14:00:00+0000,110.13,110.13,110.13,110.13,1
2006-03-29T15:00:00+0000,110.12,110.12,110.12,110.12,140
2006-03-30T06:00:00+0000,110.1,110.1,110.1,110.1,1
2006-03-30T09:00:00+0000,110.13,110.13,110.13,110.13,1
2006-03-30T13:00:00+0000,110.04,110.04,110.04,110.04,1
2006-03-30T15:00:00+0000,110.1,110.1,109.98,109.98,2
2006-03-31T06:00:00+0000,110.05,110.05,110.04,110.04,2
2006-03-31T18:00:00+0000,109.97,109.97,109.97,109.97,1
2006-04-03T06:00:00+0000,109.97,109.97,109.97,109.97,1
2006-04-03T13:00:00+0000,109.75,109.75,109.74,109.74,6
2006-04-04T06:00:00+0000,109.83,109.83,109.83,109.83,2
2006-04-04T08:00:00+0000,109.75,109.75,109.75,109.75,1
2006-04-04T13:00:00+0000,109.85,109.85,109.85,109.85,1
2006-04-04T18:00:00+0000,109.7,109.7,109.7,109.7,1
2006-04-05T06:00:00+0000,109.77,109.77,109.77,109.77,1
2006-04-05T07:00:00+0000,109.8,109.8,109.8,109.8,1
2006-04-06T06:00:00+0000,109.77,109.77,109.77,109.77,1
2006-04-06T12:00:00+0000,109.71,109.79,109.71,109.79,2
2006-04-07T06:00:00+0000,109.73,109.73,109.73,109.73,1
2006-04-07T09:00:00+0000,109.88,109.9,109.88,109.9,2
2006-04-10T06:00:00+0000,109.76,109.76,109.76,109.76,1
2006-04-10T12:00:00+0000,109.68,109.68,109.68,109.68,1
2006-04-10T17:00:00+0000,109.69,109.69,109.69,109.69,1
2006-04-11T06:00:00+0000,109.68,109.74,109.68,109.74,3
2006-04-11T11:00:00+0000,109.8,109.8,109.8,109.8,1
2006-04-11T14:00:00+0000,109.83,109.83,109.83,109.83,100
2006-04-12T06:00:00+0000,109.84,109.85,109.84,109.85,2
2006-04-12T07:00:00+0000,109.86,109.86,109.86,109.86,1
2006-04-12T08:00:00+0000,109.86,109.86,109.86,109.86,1
2006-04-12T14:00:00+0000,109.8,109.8,109.8,109.8,2
2006-04-12T17:00:00+0000,109.68,109.68,109.68,109.68,1
2006-04-13T06:00:00+0000,109.69,109.69,109.69,109.69,1
2006-04-13T10:00:00+0000,109.47,109.47,109.47,109.47,1
2006-04-13T14:00:00+0000,109.44,109.44,109.44,109.44,1
2006-04-13T15:00:00+0000,109.39,109.39,109.39,109.39,1
2006-04-18T06:00:00+0000,109.56,109.56,109.56,109.56,1
2006-04-18T07:00:00+0000,109.48,109.48,109.48,109.48,1
2006-04-18T18:00:00+0000,109.56,109.56,109.56,109.56,2
2006-04-19T06:00:00+0000,109.58,109.58,109.58,109.58,1
2006-04-20T06:00:00+0000,109.56,109.56,109.56,109.56,1
2006-04-20T12:00:00+0000,109.56,109.56,109.56,109.56,1
2006-04-20T15:00:00+0000,109.59,109.61,109.59,109.61,111
2006-04-21T06:00:00+0000,109.6,109.63,109.6,109.63,2
2006-04-21T14:00:00+0000,109.6,109.6,109.6,109.6,1
