Time,Open,High,Low,Close,Volume
2023-03-03T14:00:00+0000,115.64,115.64,115.64,115.64,1
2023-03-06T14:00:00+0000,114.36,114.36,114.36,114.36,1
2023-03-06T16:00:00+0000,115.34,115.34,115.34,115.34,1
2023-03-06T17:00:00+0000,115.2,115.2,115.2,115.2,1
2023-03-06T18:00:00+0000,115.21,115.21,115.21,115.21,1
2023-03-06T19:00:00+0000,115.18,115.18,115.18,115.18,1
2023-03-06T20:00:00+0000,115.21,115.21,115.21,115.21,1
2023-03-15T10:00:00+0000,116.89,116.89,116.89,116.89,2
2023-03-15T15:00:00+0000,117.08,118.82,117.08,118.82,8
2023-03-20T09:00:00+0000,119.91,119.93,119.91,119.93,4
2023-03-22T09:00:00+0000,117.12,117.12,117.12,117.12,2
2023-04-11T07:00:00+0000,117.45,117.45,117.45,117.45,3
2023-04-12T06:00:00+0000,117.28,117.28,117.28,117.28,3
2023-04-13T07:00:00+0000,116.96,116.96,116.96,116.96,5
2023-04-21T06:00:00+0000,116.39,116.39,116.39,116.39,1
2023-04-25T12:00:00+0000,116.36,116.36,116.36,116.36,1
2023-04-25T14:00:00+0000,116.87,116.87,116.82,116.82,2
2023-04-25T15:00:00+0000,116.8,116.8,116.8,116.8,2
2023-04-27T10:00:00+0000,116.82,116.84,116.82,116.84,2
2023-04-27T17:00:00+0000,116.57,116.57,116.57,116.57,1
2023-04-28T08:00:00+0000,116.93,116.93,116.93,116.93,1
2023-05-02T19:00:00+0000,117.62,117.62,117.62,117.62,1
2023-05-04T14:00:00+0000,117.91,118.26,117.91,118.26,4
2023-05-11T08:00:00+0000,117.66,117.66,117.66,117.66,4
2023-05-11T13:00:00+0000,118.13,118.13,118.13,118.13,4
2023-05-12T13:00:00+0000,117.88,117.88,117.88,117.88,1
2023-05-15T10:00:00+0000,117.54,117.55,117.54,117.55,6
2023-05-15T11:00:00+0000,117.56,117.56,117.56,117.56,5
2023-05-15T12:00:00+0000,117.54,117.54,117.54,117.54,10
2023-05-15T14:00:00+0000,117.58,117.58,117.58,117.58,1
2023-05-16T06:00:00+0000,117.84,117.84,117.84,117.84,2
2023-05-16T10:00:00+0000,117.7,117.7,117.69,117.69,200
2023-05-16T14:00:00+0000,117.49,117.49,117.49,117.49,3
2023-05-17T12:00:00+0000,117.43,117.43,117.43,117.43,2
2023-05-17T13:00:00+0000,117.38,117.38,117.38,117.38,3
