Time,Open,High,Low,Latest,Volume
2025-02-20T14:00:00+0000,107.1,107.1,107.1,107.1,5
2025-02-21T08:00:00+0000,107.2,107.2,107.2,107.2,1
2025-02-21T11:00:00+0000,107.22,107.22,107.22,107.22,4
2025-02-21T15:00:00+0000,107.22,107.22,107.22,107.22,10
2025-02-24T07:00:00+0000,107.2,107.22,107.2,107.22,30
2025-02-24T09:00:00+0000,107.26,107.26,107.26,107.26,10
2025-02-24T10:00:00+0000,107.26,107.26,107.24,107.24,20
2025-02-24T11:00:00+0000,107.22,107.22,107.22,107.22,1
2025-02-24T13:00:00+0000,107.23,107.23,107.23,107.23,10
2025-02-24T14:00:00+0000,107.24,107.24,107.24,107.24,1
2025-02-25T09:00:00+0000,107.34,107.35,107.34,107.35,3
2025-02-25T10:00:00+0000,107.34,107.34,107.34,107.34,20
2025-02-25T12:00:00+0000,107.32,107.37,107.32,107.37,38
2025-02-25T13:00:00+0000,107.36,107.38,107.33,107.37,65
2025-02-25T14:00:00+0000,107.37,107.37,107.35,107.36,48
2025-02-25T15:00:00+0000,107.36,107.36,107.36,107.36,150
2025-02-25T16:00:00+0000,107.35,107.35,107.35,107.35,69
2025-02-25T17:00:00+0000,107.35,107.35,107.35,107.35,2
2025-02-26T07:00:00+0000,107.34,107.34,107.33,107.33,14
2025-02-26T08:00:00+0000,107.34,107.36,107.34,107.35,14
2025-02-26T11:00:00+0000,107.39,107.39,107.39,107.39,2
2025-02-26T12:00:00+0000,107.38,107.41,107.37,107.41,264
2025-02-26T13:00:00+0000,107.4,107.4,107.39,107.39,2
2025-02-26T14:00:00+0000,107.39,107.39,107.39,107.39,4
2025-02-26T16:00:00+0000,107.38,107.39,107.37,107.37,38
2025-02-26T17:00:00+0000,107.39,107.42,107.39,107.42,3
2025-02-27T07:00:00+0000,107.44,107.44,107.42,107.42,150
2025-02-27T08:00:00+0000,107.45,107.45,107.4,107.42,225
2025-02-27T09:00:00+0000,107.41,107.42,107.39,107.4,80
2025-02-27T10:00:00+0000,107.4,107.41,107.37,107.37,841
2025-02-27T11:00:00+0000,107.38,107.4,107.38,107.39,1691
2025-02-27T12:00:00+0000,107.4,107.41,107.37,107.4,987
2025-02-27T13:00:00+0000,107.4,107.44,107.38,107.44,1241
2025-02-27T14:00:00+0000,107.44,107.46,107.43,107.44,1377
2025-02-27T15:00:00+0000,107.46,107.46,107.43,107.44,1319
2025-02-27T16:00:00+0000,107.44,107.47,107.44,107.45,3322
2025-02-27T17:00:00+0000,107.44,107.44,107.42,107.42,73
2025-02-28T07:00:00+0000,107.49,107.53,107.46,107.5,2532
2025-02-28T08:00:00+0000,107.51,107.54,107.5,107.54,3410
2025-02-28T09:00:00+0000,107.52,107.53,107.5,107.53,2165
2025-02-28T10:00:00+0000,107.52,107.54,107.51,107.53,2810
2025-02-28T11:00:00+0000,107.53,107.53,107.52,107.52,521
2025-02-28T12:00:00+0000,107.52,107.52,107.5,107.5,1007
2025-02-28T13:00:00+0000,107.51,107.51,107.47,107.49,4113
2025-02-28T14:00:00+0000,107.49,107.5,107.47,107.49,1996
2025-02-28T15:00:00+0000,107.48,107.5,107.47,107.49,2781
2025-02-28T16:00:00+0000,107.5,107.53,107.48,107.5,1940
2025-02-28T17:00:00+0000,107.5,107.53,107.5,107.53,350
2025-03-03T07:00:00+0000,107.48,107.52,107.48,107.52,2503
2025-03-03T08:00:00+0000,107.52,107.57,107.51,107.57,3036
2025-03-03T09:00:00+0000,107.57,107.58,107.53,107.54,3007
2025-03-03T10:00:00+0000,107.53,107.53,107.47,107.5,14725
2025-03-03T11:00:00+0000,107.49,107.5,107.43,107.46,10956
2025-03-03T12:00:00+0000,107.45,107.47,107.44,107.45,7513
2025-03-03T13:00:00+0000,107.45,107.45,107.41,107.42,3666
