Time,Open,High,Low,Latest,Volume
2005-04-05T07:00:00+0000,117.66,117.66,117.66,117.66,1
2005-04-05T10:00:00+0000,117.61,117.61,117.61,117.61,3
2005-04-06T11:00:00+0000,117.71,117.71,117.71,117.71,3
2005-04-07T10:00:00+0000,117.65,117.65,117.65,117.65,1
2005-04-12T13:00:00+0000,118.02,118.02,118.01,118.01,1000
2005-04-14T10:00:00+0000,118.28,118.28,118.28,118.28,1
2005-04-19T09:00:00+0000,118.68,118.68,118.68,118.68,2
2005-04-21T15:00:00+0000,118.86,118.86,118.86,118.86,1
2005-04-28T16:00:00+0000,119.56,119.6,119.53,119.6,4
2005-05-05T06:00:00+0000,119.48,119.48,119.48,119.48,1
2005-05-11T09:00:00+0000,120.15,120.15,120.15,120.15,1
2005-05-24T12:00:00+0000,120.88,120.88,120.88,120.88,8
2005-05-24T13:00:00+0000,120.77,120.77,120.77,120.77,7
2005-05-24T14:00:00+0000,120.77,120.77,120.77,120.77,1
2005-05-24T15:00:00+0000,120.78,120.78,120.78,120.78,5
2005-05-26T13:00:00+0000,120.46,120.46,120.46,120.46,1
2005-05-26T15:00:00+0000,120.58,120.58,120.58,120.58,1
2005-05-31T07:00:00+0000,120.57,120.57,120.57,120.57,1
2005-05-31T09:00:00+0000,120.88,120.88,120.88,120.88,1
2005-05-31T10:00:00+0000,120.8,120.8,120.78,120.78,2
2005-05-31T12:00:00+0000,121.02,121.02,121.02,121.02,2
2005-05-31T13:00:00+0000,121.09,121.09,121.09,121.09,1
2005-05-31T14:00:00+0000,121.2,121.2,121.2,121.2,2
2005-05-31T16:00:00+0000,121.28,121.28,121.22,121.22,2
2005-06-01T06:00:00+0000,121.21,121.21,121.21,121.21,1
2005-06-01T07:00:00+0000,121.2,121.2,121.2,121.2,5
2005-06-01T08:00:00+0000,121.18,121.18,121.18,121.18,3
2005-06-01T12:00:00+0000,121.31,121.31,121.31,121.31,1
2005-06-01T14:00:00+0000,121.51,121.51,121.51,121.51,2
2005-06-01T15:00:00+0000,121.64,121.65,121.64,121.65,2
2005-06-01T16:00:00+0000,121.51,121.51,121.51,121.51,1
2005-06-02T10:00:00+0000,121.69,121.69,121.69,121.69,1
2005-06-02T11:00:00+0000,121.65,121.65,121.65,121.65,1
2005-06-02T13:00:00+0000,121.56,121.56,121.56,121.56,1
2005-06-02T14:00:00+0000,121.69,121.69,121.69,121.69,1
2005-06-02T15:00:00+0000,121.74,121.74,121.74,121.74,2
2005-06-03T08:00:00+0000,121.75,121.75,121.75,121.75,1
2005-06-03T12:00:00+0000,121.84,122.12,121.84,122.12,2
2005-06-03T13:00:00+0000,122.03,122.1,122.03,122.1,2
2005-06-03T14:00:00+0000,122.07,122.07,122.0,122.0,2
2005-06-03T16:00:00+0000,121.59,121.59,121.59,121.59,3
2005-06-06T07:00:00+0000,121.68,121.68,121.68,121.68,2
2005-06-06T08:00:00+0000,121.68,121.68,121.68,121.68,2
2005-06-06T15:00:00+0000,121.7,121.7,121.7,121.7,1
2005-06-07T06:00:00+0000,122.01,122.01,122.01,122.01,2
2005-06-07T07:00:00+0000,122.1,122.1,122.1,122.1,1
2005-06-07T11:00:00+0000,122.0,122.0,122.0,122.0,1
2005-06-07T12:00:00+0000,122.08,122.1,122.08,122.1,2
2005-06-07T13:00:00+0000,122.18,122.26,122.18,122.25,3
2005-06-07T14:00:00+0000,122.13,122.13,122.12,122.12,2
2005-06-07T15:00:00+0000,122.31,122.31,122.31,122.31,10
2005-06-08T06:00:00+0000,122.32,122.32,122.32,122.32,1
2005-06-08T07:00:00+0000,122.45,122.62,122.45,122.62,4
2005-06-08T08:00:00+0000,122.5,122.6,122.5,122.6,3
2005-06-08T09:00:00+0000,122.54,122.54,122.54,122.54,1
2005-06-08T11:00:00+0000,122.53,122.6,122.53,122.58,5
2005-06-08T12:00:00+0000,122.56,122.56,122.41,122.42,57
2005-06-08T13:00:00+0000,122.53,122.53,122.53,122.53,1
2005-06-08T14:00:00+0000,122.49,122.61,122.49,122.59,7
2005-06-08T16:00:00+0000,122.57,122.63,122.57,122.63,2
2005-06-09T06:00:00+0000,122.47,122.47,122.4,122.4,4
2005-06-09T07:00:00+0000,122.46,122.5,122.46,122.5,2
2005-06-09T08:00:00+0000,122.47,122.47,122.47,122.47,1
2005-06-09T09:00:00+0000,122.41,122.44,122.22,122.22,6
2005-06-09T10:00:00+0000,122.27,122.29,122.19,122.24,13
2005-06-09T11:00:00+0000,122.23,122.32,122.21,122.29,7
2005-06-09T12:00:00+0000,122.29,122.29,122.29,122.29,1
2005-06-09T13:00:00+0000,122.32,122.46,122.32,122.33,5
2005-06-09T14:00:00+0000,122.26,122.4,122.25,122.35,25
2005-06-09T15:00:00+0000,122.51,122.65,122.51,122.65,207
2005-06-09T16:00:00+0000,122.61,122.64,122.6,122.6,21
2005-06-10T06:00:00+0000,122.62,122.62,122.62,122.62,5
2005-06-10T07:00:00+0000,122.53,122.55,122.43,122.45,15
2005-06-10T08:00:00+0000,122.41,122.45,122.41,122.45,11
2005-06-10T09:00:00+0000,122.49,122.49,122.4,122.43,3
2005-06-10T11:00:00+0000,122.51,122.51,122.51,122.51,1
2005-06-10T12:00:00+0000,122.52,122.52,122.52,122.52,1
2005-06-10T13:00:00+0000,122.42,122.44,122.26,122.26,6
2005-06-10T14:00:00+0000,122.22,122.43,122.22,122.4,9
2005-06-10T15:00:00+0000,122.37,122.43,122.36,122.43,4
2005-06-10T16:00:00+0000,122.42,122.42,122.39,122.4,3
2005-06-13T06:00:00+0000,122.34,122.56,122.34,122.56,8
2005-06-13T07:00:00+0000,122.55,122.55,122.55,122.55,100
2005-06-13T08:00:00+0000,122.46,122.46,122.34,122.34,6
2005-06-13T09:00:00+0000,122.27,122.27,122.27,122.27,1
2005-06-13T11:00:00+0000,122.0,122.03,121.95,121.95,11
2005-06-13T12:00:00+0000,121.99,121.99,121.99,121.99,1
2005-06-13T13:00:00+0000,122.03,122.07,122.02,122.02,5
2005-06-13T14:00:00+0000,121.98,122.05,121.98,121.98,10
2005-06-13T15:00:00+0000,122.0,122.0,121.91,121.96,3
2005-06-13T16:00:00+0000,122.0,122.0,122.0,122.0,1
2005-06-14T06:00:00+0000,122.13,122.13,122.13,122.13,1
2005-06-14T07:00:00+0000,122.09,122.1,121.9,121.9,6
2005-06-14T08:00:00+0000,121.9,121.91,121.86,121.91,8
2005-06-14T09:00:00+0000,121.89,122.02,121.89,122.02,4
2005-06-14T10:00:00+0000,121.99,121.99,121.99,121.99,1
2005-06-14T11:00:00+0000,121.96,122.0,121.96,122.0,69
2005-06-14T12:00:00+0000,122.02,122.12,122.02,122.12,3
2005-06-14T13:00:00+0000,121.93,121.96,121.86,121.95,6
2005-06-14T14:00:00+0000,121.95,121.95,121.87,121.87,2
2005-06-14T15:00:00+0000,121.85,121.85,121.85,121.85,1
2005-06-14T16:00:00+0000,121.89,121.89,121.89,121.89,2
2005-06-15T06:00:00+0000,121.8,121.8,121.8,121.8,1
2005-06-15T07:00:00+0000,121.75,121.8,121.75,121.8,2
2005-06-15T09:00:00+0000,121.68,121.68,121.68,121.68,1
2005-06-15T10:00:00+0000,121.56,121.56,121.56,121.56,2
2005-06-15T11:00:00+0000,121.57,121.57,121.55,121.55,4
2005-06-15T12:00:00+0000,121.54,121.55,121.37,121.37,13
2005-06-15T13:00:00+0000,121.33,121.38,121.2,121.2,8
2005-06-15T14:00:00+0000,121.17,121.22,121.08,121.22,4
2005-06-15T15:00:00+0000,121.13,121.13,121.08,121.08,20
2005-06-16T06:00:00+0000,120.96,120.96,120.96,120.96,1
2005-06-16T07:00:00+0000,120.8,120.8,120.78,120.78,2
2005-06-16T08:00:00+0000,120.43,120.46,120.43,120.45,7
2005-06-16T09:00:00+0000,120.65,120.65,120.63,120.63,2
2005-06-16T10:00:00+0000,120.66,120.66,120.66,120.66,5
2005-06-16T11:00:00+0000,120.76,120.76,120.76,120.76,1
2005-06-16T13:00:00+0000,120.67,120.7,120.67,120.7,2
2005-06-16T14:00:00+0000,120.7,120.7,120.7,120.7,1
2005-06-16T15:00:00+0000,120.82,120.86,120.82,120.86,18
2005-06-16T16:00:00+0000,121.0,121.0,120.95,120.99,3
2005-06-17T06:00:00+0000,121.03,121.1,120.98,121.1,38
2005-06-17T07:00:00+0000,121.17,121.17,121.17,121.17,2
2005-06-17T08:00:00+0000,121.19,121.19,121.19,121.19,1
2005-06-17T10:00:00+0000,120.93,120.93,120.83,120.83,15
2005-06-17T11:00:00+0000,120.84,120.84,120.84,120.84,1
2005-06-17T12:00:00+0000,120.77,120.82,120.77,120.8,5
2005-06-17T14:00:00+0000,121.05,121.06,120.97,121.06,7
2005-06-17T15:00:00+0000,121.09,121.09,121.04,121.08,3
2005-06-20T06:00:00+0000,121.08,121.19,121.08,121.17,7
2005-06-20T07:00:00+0000,121.13,121.2,121.11,121.11,4
2005-06-20T08:00:00+0000,121.15,121.16,120.95,120.95,6
2005-06-20T09:00:00+0000,120.79,120.82,120.79,120.82,2
2005-06-20T10:00:00+0000,120.83,120.83,120.83,120.83,1
2005-06-20T11:00:00+0000,120.9,120.93,120.9,120.93,4
2005-06-20T12:00:00+0000,120.82,121.0,120.82,120.89,11
2005-06-20T13:00:00+0000,120.84,120.84,120.84,120.84,1
2005-06-20T14:00:00+0000,120.84,120.92,120.74,120.9,9
2005-06-20T15:00:00+0000,120.93,120.93,120.93,120.93,1
2005-06-21T06:00:00+0000,120.87,120.87,120.87,120.87,1
2005-06-21T07:00:00+0000,121.02,121.2,121.02,121.19,10
2005-06-21T08:00:00+0000,121.2,121.52,121.2,121.52,18
2005-06-21T09:00:00+0000,121.44,121.65,121.44,121.65,4
2005-06-21T10:00:00+0000,121.65,121.65,121.54,121.54,4
2005-06-21T11:00:00+0000,121.49,121.58,121.49,121.58,3
2005-06-21T13:00:00+0000,121.66,121.72,121.66,121.72,2
2005-06-21T16:00:00+0000,121.74,121.77,121.72,121.72,6
2005-06-22T06:00:00+0000,121.71,121.76,121.71,121.76,2
2005-06-22T07:00:00+0000,121.76,122.01,121.76,122.01,27
2005-06-22T08:00:00+0000,122.02,122.48,122.02,122.36,48
2005-06-22T09:00:00+0000,122.34,122.38,122.29,122.3,22
2005-06-22T10:00:00+0000,122.34,122.34,122.31,122.31,3
2005-06-22T11:00:00+0000,122.46,122.48,122.46,122.48,2
2005-06-22T12:00:00+0000,122.42,122.44,122.38,122.44,3
