Time,Open,High,Low,Close,Volume
2016-08-12T15:00:00+0000,147.02,147.02,147.01,147.01,30
2016-08-12T16:00:00+0000,146.94,146.94,146.94,146.94,10
2016-08-16T10:00:00+0000,146.68,146.68,146.68,146.68,1
2016-08-16T12:00:00+0000,146.65,146.65,146.65,146.65,1
2016-08-17T12:00:00+0000,146.02,146.06,146.0,146.0,212
2016-08-17T13:00:00+0000,146.05,146.05,146.03,146.03,29
2016-08-17T14:00:00+0000,146.19,146.19,146.19,146.19,30
2016-08-17T19:00:00+0000,146.2,146.2,146.2,146.2,2
2016-08-18T12:00:00+0000,146.28,146.3,146.27,146.27,211
2016-08-18T13:00:00+0000,146.26,146.3,146.19,146.25,322
2016-08-18T14:00:00+0000,146.26,146.26,146.06,146.16,491
2016-08-18T15:00:00+0000,146.16,146.29,146.16,146.26,521
2016-08-18T16:00:00+0000,146.29,146.29,146.29,146.29,1
2016-08-18T17:00:00+0000,146.41,146.45,146.41,146.45,10
2016-08-18T18:00:00+0000,146.38,146.38,146.38,146.38,1
2016-08-18T19:00:00+0000,146.37,146.37,146.37,146.37,9
2016-08-19T10:00:00+0000,146.27,146.28,146.18,146.18,9
2016-08-19T12:00:00+0000,146.15,146.19,146.12,146.12,225
2016-08-19T13:00:00+0000,146.06,146.1,146.06,146.1,10
2016-08-19T14:00:00+0000,145.93,145.93,145.85,145.85,45
2016-08-19T15:00:00+0000,145.79,145.79,145.79,145.79,26
2016-08-19T16:00:00+0000,145.79,145.79,145.79,145.79,2
2016-08-19T17:00:00+0000,145.84,145.84,145.84,145.84,20
2016-08-19T18:00:00+0000,145.91,145.91,145.91,145.91,1
2016-08-19T19:00:00+0000,145.91,145.91,145.91,145.91,4
2016-08-22T09:00:00+0000,145.95,145.95,145.95,145.95,1
2016-08-22T10:00:00+0000,145.93,146.1,145.93,146.1,46
2016-08-22T11:00:00+0000,146.14,146.16,146.1,146.11,28
2016-08-22T12:00:00+0000,146.13,146.33,146.13,146.24,68
2016-08-22T13:00:00+0000,146.42,146.44,146.36,146.41,62
2016-08-22T14:00:00+0000,146.4,146.56,146.39,146.56,303
2016-08-22T15:00:00+0000,146.54,146.66,146.53,146.62,35
2016-08-22T16:00:00+0000,146.66,146.68,146.66,146.68,55
2016-08-22T17:00:00+0000,146.63,146.63,146.62,146.63,11
2016-08-22T18:00:00+0000,146.64,146.64,146.63,146.63,10
2016-08-22T19:00:00+0000,146.6,146.61,146.56,146.61,6
2016-08-23T10:00:00+0000,146.54,146.54,146.41,146.47,40
2016-08-23T11:00:00+0000,146.5,146.55,146.47,146.55,36
2016-08-23T12:00:00+0000,146.6,146.72,146.58,146.72,401
2016-08-23T13:00:00+0000,146.7,146.83,146.7,146.83,49
2016-08-23T14:00:00+0000,146.83,146.86,146.66,146.71,259
2016-08-23T15:00:00+0000,146.68,146.76,146.65,146.75,118
2016-08-23T16:00:00+0000,146.75,146.76,146.64,146.68,259
2016-08-23T17:00:00+0000,146.69,146.74,146.66,146.72,144
2016-08-23T18:00:00+0000,146.75,146.75,146.64,146.67,192
2016-08-23T19:00:00+0000,146.69,146.69,146.61,146.65,117
2016-08-24T09:00:00+0000,146.65,146.65,146.65,146.65,1
2016-08-24T10:00:00+0000,146.61,146.69,146.61,146.65,457
2016-08-24T11:00:00+0000,146.64,146.73,146.61,146.73,269
2016-08-24T12:00:00+0000,146.73,146.79,146.69,146.73,759
2016-08-24T13:00:00+0000,146.72,146.8,146.65,146.67,780
2016-08-24T14:00:00+0000,146.68,146.68,146.41,146.54,1206
2016-08-24T15:00:00+0000,146.54,146.69,146.47,146.66,659
2016-08-24T16:00:00+0000,146.67,146.76,146.64,146.7,436
2016-08-24T17:00:00+0000,146.72,146.74,146.63,146.66,437
2016-08-24T18:00:00+0000,146.65,146.69,146.56,146.56,975
2016-08-24T19:00:00+0000,146.57,146.62,146.56,146.61,556
2016-08-25T10:00:00+0000,146.6,146.62,146.55,146.56,575
2016-08-25T11:00:00+0000,146.56,146.58,146.43,146.47,713
2016-08-25T12:00:00+0000,146.46,146.68,146.24,146.24,2656
2016-08-25T13:00:00+0000,146.24,146.28,146.12,146.27,4717
2016-08-25T14:00:00+0000,146.27,146.49,146.24,146.43,4277
2016-08-25T15:00:00+0000,146.43,146.45,146.3,146.31,2256
2016-08-25T16:00:00+0000,146.31,146.4,146.29,146.33,1578
2016-08-25T17:00:00+0000,146.33,146.35,146.21,146.28,1444
2016-08-25T18:00:00+0000,146.26,146.29,146.21,146.28,1975
2016-08-25T19:00:00+0000,146.28,146.29,146.17,146.18,539
2016-08-26T09:00:00+0000,146.24,146.24,146.24,146.24,6
2016-08-26T10:00:00+0000,146.3,146.36,146.24,146.25,1356
2016-08-26T11:00:00+0000,146.25,146.29,146.21,146.24,1587
2016-08-26T12:00:00+0000,146.23,146.45,146.21,146.37,4868
2016-08-26T13:00:00+0000,146.37,146.43,146.29,146.39,4050
2016-08-26T14:00:00+0000,146.39,146.71,146.01,146.55,18004
2016-08-26T15:00:00+0000,146.55,146.65,146.22,146.24,7521
2016-08-26T16:00:00+0000,146.23,146.23,146.07,146.17,5986
2016-08-26T17:00:00+0000,146.16,146.16,145.96,145.96,3255
2016-08-26T18:00:00+0000,145.96,145.98,145.7,145.76,6665
2016-08-26T19:00:00+0000,145.76,145.97,145.75,145.9,2497
2016-08-29T09:00:00+0000,145.91,146.02,145.91,146.02,30
2016-08-29T10:00:00+0000,145.99,146.1,145.87,145.89,2918
2016-08-29T11:00:00+0000,145.89,145.93,145.88,145.9,1134
2016-08-29T12:00:00+0000,145.91,146.19,145.9,146.16,7907
2016-08-29T13:00:00+0000,146.16,146.38,146.12,146.33,9589
2016-08-29T14:00:00+0000,146.33,146.42,146.31,146.38,5187
2016-08-29T15:00:00+0000,146.37,146.46,146.36,146.44,4723
2016-08-29T16:00:00+0000,146.44,146.51,146.4,146.51,4381
2016-08-29T17:00:00+0000,146.5,146.66,146.5,146.64,5607
2016-08-29T18:00:00+0000,146.64,146.74,146.57,146.68,7666
2016-08-29T19:00:00+0000,146.69,146.7,146.63,146.67,2194
2016-08-30T09:00:00+0000,146.48,146.55,146.48,146.51,50
2016-08-30T10:00:00+0000,146.53,146.64,146.42,146.55,2789
2016-08-30T11:00:00+0000,146.55,146.62,146.51,146.61,4144
2016-08-30T12:00:00+0000,146.61,146.65,146.51,146.54,6108
2016-08-30T13:00:00+0000,146.54,146.72,146.49,146.65,9345
2016-08-30T14:00:00+0000,146.65,146.78,146.58,146.7,9089
2016-08-30T15:00:00+0000,146.71,146.73,146.65,146.67,5808
2016-08-30T16:00:00+0000,146.68,146.71,146.58,146.59,3701
2016-08-30T17:00:00+0000,146.59,146.66,146.58,146.59,2407
2016-08-30T18:00:00+0000,146.59,146.68,146.59,146.68,3670
2016-08-30T19:00:00+0000,146.67,146.73,146.65,146.7,1302
2016-08-31T09:00:00+0000,146.68,146.7,146.68,146.7,148
2016-08-31T10:00:00+0000,146.7,146.71,146.55,146.6,2032
2016-08-31T11:00:00+0000,146.61,146.62,146.5,146.5,4435
2016-08-31T12:00:00+0000,146.51,146.58,146.43,146.56,9497
2016-08-31T13:00:00+0000,146.55,146.65,146.5,146.62,7319
2016-08-31T14:00:00+0000,146.61,146.78,146.6,146.62,7274
2016-08-31T15:00:00+0000,146.62,146.68,146.45,146.58,9347
2016-08-31T16:00:00+0000,146.58,146.77,146.57,146.73,5550
2016-08-31T17:00:00+0000,146.73,146.8,146.73,146.77,2332
2016-08-31T18:00:00+0000,146.77,146.84,146.73,146.76,9375
2016-08-31T19:00:00+0000,146.76,146.78,146.61,146.66,4989
2016-09-01T09:00:00+0000,146.48,146.48,146.46,146.46,21
2016-09-01T10:00:00+0000,146.42,146.5,146.36,146.49,3194
2016-09-01T11:00:00+0000,146.49,146.6,146.48,146.52,3553
2016-09-01T12:00:00+0000,146.52,146.55,146.41,146.46,9212
2016-09-01T13:00:00+0000,146.47,146.5,146.33,146.4,10519
2016-09-01T14:00:00+0000,146.41,146.74,146.41,146.72,16016
2016-09-01T15:00:00+0000,146.72,146.84,146.66,146.81,6313
2016-09-01T16:00:00+0000,146.81,146.97,146.81,146.96,5746
2016-09-01T17:00:00+0000,146.96,146.97,146.85,146.88,4542
2016-09-01T18:00:00+0000,146.88,146.95,146.78,146.8,6599
2016-09-01T19:00:00+0000,146.8,146.85,146.75,146.84,2909
2016-09-02T09:00:00+0000,146.67,146.7,146.66,146.66,106
2016-09-02T10:00:00+0000,146.67,146.73,146.63,146.69,2415
2016-09-02T11:00:00+0000,146.68,146.78,146.64,146.77,2568
2016-09-02T12:00:00+0000,146.78,147.18,146.57,146.6,14716
2016-09-02T13:00:00+0000,146.6,146.61,146.28,146.34,11233
2016-09-02T14:00:00+0000,146.33,146.34,146.01,146.09,14572
2016-09-02T15:00:00+0000,146.09,146.11,145.95,146.05,8818
2016-09-02T16:00:00+0000,146.05,146.16,145.97,146.08,10152
2016-09-02T17:00:00+0000,146.08,146.14,145.99,145.99,1118
2016-09-06T09:00:00+0000,146.17,146.24,146.17,146.2,77
