Time,Open,High,Low,Close,Volume
2025-01-21T01:00:00+0000,7.1518,7.1518,7.1518,7.1518,5
2025-01-24T05:00:00+0000,7.15,7.15,7.15,7.15,1
2025-02-11T03:00:00+0000,7.22,7.22,7.22,7.22,2
2025-02-11T04:00:00+0000,7.22,7.22,7.2197,7.2197,3
2025-02-11T08:00:00+0000,7.217,7.217,7.217,7.217,10
2025-04-03T00:00:00+0000,7.2319,7.2319,7.2279,7.2279,6
2025-04-03T01:00:00+0000,7.23,7.23,7.23,7.23,6
2025-04-03T07:00:00+0000,7.225,7.225,7.225,7.225,3
2025-04-06T23:00:00+0000,7.386,7.386,7.386,7.386,1
2025-04-11T07:00:00+0000,7.2049,7.2049,7.2049,7.2049,1
2025-04-23T00:00:00+0000,7.2104,7.2131,7.2104,7.2131,13
2025-05-01T01:00:00+0000,7.1914,7.1915,7.1914,7.1915,10
2025-05-23T08:00:00+0000,7.105,7.105,7.105,7.105,20
2025-05-23T15:00:00+0000,7.095,7.095,7.095,7.095,5
2025-05-28T01:00:00+0000,7.1177,7.1327,7.1172,7.1172,38
2025-05-28T14:00:00+0000,7.1156,7.1156,7.1099,7.1099,71
2025-05-28T15:00:00+0000,7.1101,7.1146,7.1101,7.1146,37
2025-05-28T16:00:00+0000,7.1184,7.1184,7.1184,7.1184,2
2025-05-30T07:00:00+0000,7.1186,7.1232,7.1186,7.1232,11
2025-05-30T08:00:00+0000,7.1249,7.1253,7.1249,7.1253,7
2025-06-02T02:00:00+0000,7.1416,7.1416,7.1416,7.1416,6
2025-06-02T03:00:00+0000,7.1479,7.1479,7.1479,7.1479,6
2025-06-02T07:00:00+0000,7.1308,7.1308,7.1308,7.1308,5
2025-06-02T08:00:00+0000,7.1332,7.1332,7.1332,7.1332,3
2025-06-05T13:00:00+0000,7.1,7.1,7.1,7.1,10
2025-06-16T05:00:00+0000,7.118,7.118,7.118,7.118,10
2025-06-16T06:00:00+0000,7.117,7.117,7.117,7.117,10
2025-06-16T07:00:00+0000,7.116,7.116,7.115,7.115,20
2025-06-17T00:00:00+0000,7.1195,7.12,7.1195,7.12,23
2025-06-17T05:00:00+0000,7.1155,7.1155,7.1155,7.1155,2
2025-06-17T07:00:00+0000,7.1199,7.1199,7.1199,7.1199,1
2025-06-17T13:00:00+0000,7.1191,7.1202,7.1191,7.1202,12
2025-06-17T14:00:00+0000,7.1191,7.1215,7.1191,7.1215,6
2025-06-17T17:00:00+0000,7.1215,7.1215,7.1215,7.1215,2900
2025-06-17T18:00:00+0000,7.1215,7.1215,7.1215,7.1215,1899
2025-06-18T03:00:00+0000,7.125,7.1253,7.125,7.1253,17
2025-06-18T05:00:00+0000,7.1253,7.1253,7.1253,7.1253,92
2025-06-18T06:00:00+0000,7.1252,7.1252,7.1252,7.1252,110
2025-06-18T07:00:00+0000,7.1236,7.1237,7.1236,7.1237,4
2025-06-18T13:00:00+0000,7.1279,7.1279,7.1279,7.1279,1
2025-06-18T15:00:00+0000,7.1279,7.129,7.1272,7.129,1222
2025-06-18T16:00:00+0000,7.129,7.129,7.129,7.129,582
2025-06-18T18:00:00+0000,7.13,7.13,7.13,7.13,1
2025-06-18T23:00:00+0000,7.1306,7.1311,7.1306,7.1311,21
2025-06-19T00:00:00+0000,7.1315,7.1315,7.1314,7.1314,10
2025-06-19T01:00:00+0000,7.1328,7.1328,7.132,7.132,10
2025-06-19T02:00:00+0000,7.1343,7.1346,7.1342,7.1346,6
2025-06-19T03:00:00+0000,7.132,7.132,7.132,7.132,2
2025-06-19T05:00:00+0000,7.132,7.1341,7.132,7.1341,406
2025-06-19T06:00:00+0000,7.1337,7.1344,7.133,7.1341,587
2025-06-19T11:00:00+0000,7.1295,7.1295,7.1291,7.1291,8
2025-06-19T13:00:00+0000,7.1291,7.1293,7.1291,7.1293,203
2025-06-19T14:00:00+0000,7.1293,7.1293,7.1293,7.1293,604
2025-06-19T15:00:00+0000,7.1307,7.1307,7.1281,7.1281,440
2025-06-19T16:00:00+0000,7.1281,7.1281,7.1281,7.1281,400
2025-06-19T17:00:00+0000,7.127,7.127,7.126,7.126,7
2025-06-20T01:00:00+0000,7.1227,7.1227,7.1172,7.1172,42
2025-06-20T02:00:00+0000,7.1192,7.1211,7.1192,7.1204,16
2025-06-20T03:00:00+0000,7.12,7.12,7.1196,7.1197,90
2025-06-20T06:00:00+0000,7.1214,7.1224,7.1213,7.1224,154
2025-06-20T07:00:00+0000,7.1248,7.1248,7.1248,7.1248,4
2025-06-20T08:00:00+0000,7.1244,7.1244,7.1236,7.1236,61
2025-06-20T09:00:00+0000,7.1214,7.1214,7.1214,7.1214,186
2025-06-20T10:00:00+0000,7.1183,7.1183,7.1183,7.1183,3
2025-06-20T13:00:00+0000,7.1183,7.1183,7.1183,7.1183,800
2025-06-20T14:00:00+0000,7.1156,7.1178,7.1156,7.1168,21
2025-06-20T15:00:00+0000,7.1187,7.1211,7.1173,7.1211,19
2025-06-20T16:00:00+0000,7.1211,7.1211,7.1211,7.1211,2072
2025-06-20T17:00:00+0000,7.118,7.118,7.118,7.118,102
2025-06-20T18:00:00+0000,7.118,7.118,7.118,7.118,2200
2025-06-20T19:00:00+0000,7.118,7.118,7.118,7.118,2381
2025-06-20T20:00:00+0000,7.1192,7.1192,7.1192,7.1192,1
2025-06-23T02:00:00+0000,7.1265,7.1271,7.126,7.1262,38
2025-06-23T03:00:00+0000,7.1266,7.1266,7.1254,7.1266,438
2025-06-23T06:00:00+0000,7.1266,7.1266,7.1266,7.1266,120
2025-06-23T07:00:00+0000,7.1248,7.1248,7.1248,7.1248,1
2025-06-23T09:00:00+0000,7.1248,7.1248,7.1248,7.1248,250
2025-06-23T13:00:00+0000,7.1257,7.1257,7.1229,7.1229,498
2025-06-23T14:00:00+0000,7.1215,7.1215,7.1188,7.1188,787
2025-06-23T15:00:00+0000,7.1189,7.1189,7.1189,7.1189,3
2025-06-23T16:00:00+0000,7.1187,7.1187,7.1187,7.1187,805
2025-06-23T17:00:00+0000,7.1187,7.1187,7.1169,7.1169,2264
2025-06-23T18:00:00+0000,7.1169,7.1169,7.1169,7.1169,2244
2025-06-23T20:00:00+0000,7.1139,7.1139,7.1139,7.1139,3
2025-06-24T00:00:00+0000,7.1137,7.1147,7.1137,7.1147,8
2025-06-24T01:00:00+0000,7.1156,7.1159,7.11,7.112,54
2025-06-24T02:00:00+0000,7.1133,7.114,7.1133,7.1137,14
2025-06-24T03:00:00+0000,7.1151,7.1151,7.1151,7.1151,121
2025-06-24T04:00:00+0000,7.1151,7.1164,7.1151,7.1164,303
2025-06-24T05:00:00+0000,7.1166,7.1169,7.1163,7.1169,16
2025-06-24T06:00:00+0000,7.1165,7.1165,7.1148,7.1162,230
2025-06-24T07:00:00+0000,7.1165,7.117,7.1147,7.1154,214
2025-06-24T08:00:00+0000,7.1154,7.1171,7.1154,7.1171,382
2025-06-24T09:00:00+0000,7.1117,7.1117,7.1117,7.1117,5
2025-06-24T11:00:00+0000,7.1137,7.1137,7.1137,7.1137,5
2025-06-24T12:00:00+0000,7.1128,7.1131,7.1115,7.1115,16
2025-06-24T13:00:00+0000,7.1107,7.1117,7.1107,7.1117,30
2025-06-24T14:00:00+0000,7.11,7.1106,7.11,7.11,320
