Time,Open,High,Low,Close,Volume
2020-08-26T09:00:00+0000,2463,2463,2459,2459,3
2020-08-26T12:00:00+0000,2436,2436,2436,2436,20
2020-08-26T13:00:00+0000,2441,2451,2441,2449,45
2020-08-26T14:00:00+0000,2443,2447,2437,2443,6
2020-08-26T15:00:00+0000,2451,2451,2443,2446,33
2020-08-26T16:00:00+0000,2449,2449,2449,2449,1
2020-08-27T09:00:00+0000,2457,2457,2455,2455,2
2020-08-27T11:00:00+0000,2458,2498,2458,2482,42
2020-08-27T12:00:00+0000,2482,2489,2482,2487,3
2020-08-27T13:00:00+0000,2500,2510,2484,2484,35
2020-08-27T14:00:00+0000,2484,2493,2483,2493,6
2020-08-27T15:00:00+0000,2493,2507,2492,2507,78
2020-08-28T08:00:00+0000,2519,2519,2519,2519,1
2020-08-28T09:00:00+0000,2509,2509,2509,2509,1
2020-08-28T12:00:00+0000,2534,2570,2534,2570,19
2020-08-28T13:00:00+0000,2552,2557,2551,2557,6
2020-08-28T14:00:00+0000,2566,2567,2555,2555,7
2020-08-28T15:00:00+0000,2579,2580,2562,2574,15
2020-08-31T11:00:00+0000,2613,2614,2613,2613,16
2020-08-31T12:00:00+0000,2616,2624,2616,2621,13
2020-08-31T13:00:00+0000,2613,2614,2607,2607,24
2020-08-31T14:00:00+0000,2609,2621,2609,2620,3
2020-08-31T15:00:00+0000,2610,2623,2609,2609,8
2020-08-31T16:00:00+0000,2607,2607,2606,2606,2
2020-08-31T17:00:00+0000,2606,2609,2606,2609,3
2020-09-01T08:00:00+0000,2609,2616,2609,2615,31
2020-09-01T09:00:00+0000,2614,2614,2611,2611,3
2020-09-01T12:00:00+0000,2617,2622,2615,2621,58
2020-09-01T13:00:00+0000,2624,2625,2622,2624,36
2020-09-01T14:00:00+0000,2622,2636,2622,2636,47
2020-09-01T15:00:00+0000,2636,2637,2626,2627,54
2020-09-01T16:00:00+0000,2623,2623,2623,2623,7
2020-09-02T08:00:00+0000,2648,2648,2619,2622,15
2020-09-02T09:00:00+0000,2622,2622,2621,2621,2
2020-09-02T10:00:00+0000,2621,2621,2621,2621,1
2020-09-02T11:00:00+0000,2620,2620,2620,2620,10
2020-09-02T12:00:00+0000,2624,2627,2618,2618,26
2020-09-02T13:00:00+0000,2613,2613,2608,2608,2
2020-09-02T14:00:00+0000,2624,2626,2624,2626,10
2020-09-02T15:00:00+0000,2630,2654,2626,2652,92
2020-09-02T16:00:00+0000,2654,2656,2654,2656,4
2020-09-03T08:00:00+0000,2663,2663,2658,2659,4
2020-09-03T10:00:00+0000,2651,2651,2648,2648,2
2020-09-03T11:00:00+0000,2648,2648,2648,2648,1
2020-09-03T12:00:00+0000,2647,2649,2647,2649,7
2020-09-03T13:00:00+0000,2646,2646,2638,2638,7
2020-09-03T14:00:00+0000,2640,2644,2626,2630,26
2020-09-03T15:00:00+0000,2617,2627,2598,2599,166
2020-09-03T16:00:00+0000,2599,2599,2599,2599,2
2020-09-04T10:00:00+0000,2594,2594,2586,2586,18
2020-09-04T11:00:00+0000,2591,2591,2588,2590,22
2020-09-04T12:00:00+0000,2602,2610,2599,2607,37
2020-09-04T13:00:00+0000,2608,2610,2605,2608,52
2020-09-04T14:00:00+0000,2608,2612,2576,2576,18
