Time,Open,High,Low,Latest,Volume
2024-04-26T08:00:00+0000,8000,8008,7916,8007,63
2024-04-26T09:00:00+0000,7986,8106,7986,8106,46
2024-04-26T10:00:00+0000,8125,8125,8053,8053,3
2024-04-26T11:00:00+0000,7976,8070,7942,8037,23
2024-04-26T12:00:00+0000,8028,8125,8001,8125,19
2024-04-26T13:00:00+0000,8039,8193,8039,8171,37
2024-04-26T14:00:00+0000,8062,8077,7985,8001,15
2024-04-26T15:00:00+0000,8014,8025,7826,7954,85
2024-04-26T16:00:00+0000,7968,7968,7968,7968,1
2024-04-29T08:00:00+0000,7806,7816,7579,7630,80
2024-04-29T09:00:00+0000,7655,7655,7350,7415,437
2024-04-29T10:00:00+0000,7427,7538,7427,7505,10
2024-04-29T11:00:00+0000,7462,7469,7402,7422,24
2024-04-29T12:00:00+0000,7500,7500,7358,7393,27
2024-04-29T13:00:00+0000,7364,7436,7206,7264,344
2024-04-29T14:00:00+0000,7285,7285,7013,7013,101
2024-04-29T15:00:00+0000,7074,7074,6538,6549,580
2024-04-29T16:00:00+0000,6583,6782,6580,6703,80
2024-04-29T17:00:00+0000,6775,6986,6775,6986,32
2024-04-30T08:00:00+0000,6649,6659,5976,5981,646
2024-04-30T09:00:00+0000,5980,6322,5848,6322,208
2024-04-30T10:00:00+0000,6276,6375,6265,6375,42
2024-04-30T11:00:00+0000,6375,6601,6328,6488,62
2024-04-30T12:00:00+0000,6575,6828,6542,6820,71
2024-04-30T13:00:00+0000,6769,6902,6679,6829,85
2024-04-30T14:00:00+0000,6829,6950,6765,6950,64
2024-04-30T15:00:00+0000,6939,7074,6939,7015,193
2024-04-30T16:00:00+0000,6897,6989,6897,6984,36
2024-04-30T17:00:00+0000,6918,6925,6910,6925,11
2024-05-01T08:00:00+0000,7091,7222,7055,7201,45
2024-05-01T09:00:00+0000,7216,7268,7161,7161,36
2024-05-01T10:00:00+0000,7123,7129,6883,6942,63
2024-05-01T11:00:00+0000,6848,6881,6775,6881,14
2024-05-01T12:00:00+0000,6881,6882,6668,6692,111
2024-05-01T13:00:00+0000,6685,6711,6537,6537,176
2024-05-01T14:00:00+0000,6538,6538,6318,6441,132
2024-05-01T15:00:00+0000,6424,6499,6253,6352,235
2024-05-01T16:00:00+0000,6366,6476,6092,6092,59
2024-05-01T17:00:00+0000,6036,6055,5968,6031,37
2024-05-02T08:00:00+0000,5793,5991,5775,5962,136
2024-05-02T09:00:00+0000,5958,6015,5756,5818,80
2024-05-02T10:00:00+0000,5818,5861,5625,5861,160
2024-05-02T11:00:00+0000,5950,5972,5722,5744,74
2024-05-02T12:00:00+0000,5776,6101,5718,6101,178
2024-05-02T13:00:00+0000,6122,6204,6072,6134,98
2024-05-02T14:00:00+0000,6148,6179,6006,6171,40
2024-05-02T15:00:00+0000,6183,6277,5641,5671,238
2024-05-02T16:00:00+0000,5604,5668,5500,5648,144
2024-05-02T17:00:00+0000,5596,5710,5585,5655,54
2024-05-03T08:00:00+0000,5517,5546,5400,5528,262
2024-05-03T09:00:00+0000,5546,5858,5546,5854,94
2024-05-03T10:00:00+0000,5873,5887,5638,5857,85
2024-05-03T11:00:00+0000,5860,5874,5651,5874,28
2024-05-03T12:00:00+0000,5881,6029,5871,5949,45
2024-05-03T13:00:00+0000,6019,6035,5868,5875,198
2024-05-03T14:00:00+0000,5877,6009,5877,5927,14
2024-05-03T15:00:00+0000,5985,6346,5985,6258,237
2024-05-03T16:00:00+0000,6269,6269,6038,6234,21
2024-05-03T17:00:00+0000,6215,6215,6189,6193,17
2024-05-06T11:00:00+0000,6176,6248,5915,6147,61
2024-05-06T12:00:00+0000,6079,6332,6079,6085,15
2024-05-06T13:00:00+0000,6055,6059,5866,5866,23
2024-05-06T14:00:00+0000,5891,5899,5797,5797,15
2024-05-06T15:00:00+0000,5945,5962,5761,5780,24
2024-05-06T16:00:00+0000,5817,5862,5780,5843,35
2024-05-06T17:00:00+0000,5850,5852,5810,5852,24
2024-05-07T08:00:00+0000,5801,5896,5687,5792,32
2024-05-07T09:00:00+0000,5932,6010,5835,5867,49
2024-05-07T10:00:00+0000,5899,6012,5892,5983,7
2024-05-07T11:00:00+0000,5992,6080,5969,6060,19
2024-05-07T12:00:00+0000,6057,6218,6057,6167,61
2024-05-07T13:00:00+0000,6170,6342,6170,6223,79
2024-05-07T14:00:00+0000,6328,6403,6273,6378,132
2024-05-07T15:00:00+0000,6374,6419,6307,6324,156
2024-05-07T16:00:00+0000,6289,6289,6280,6280,2
2024-05-07T17:00:00+0000,6337,6377,6324,6324,4
2024-05-08T08:00:00+0000,6505,6514,6400,6411,47
2024-05-08T09:00:00+0000,6410,6600,6301,6600,72
2024-05-08T10:00:00+0000,6610,6610,6466,6467,31
2024-05-08T11:00:00+0000,6503,6514,6498,6514,6
2024-05-08T12:00:00+0000,6497,6534,6435,6450,15
2024-05-08T13:00:00+0000,6409,6409,6283,6327,52
2024-05-08T14:00:00+0000,6365,6365,6034,6034,32
2024-05-08T15:00:00+0000,6035,6444,6035,6241,68
2024-05-08T16:00:00+0000,6282,6286,6244,6244,9
2024-05-08T17:00:00+0000,6210,6248,6210,6217,4
2024-05-09T08:00:00+0000,6286,6417,6286,6417,5
2024-05-09T09:00:00+0000,6396,6396,6236,6236,6
2024-05-09T10:00:00+0000,6349,6355,6091,6104,22
2024-05-09T11:00:00+0000,6000,6257,5980,6129,80
2024-05-09T12:00:00+0000,6377,6410,6257,6392,19
2024-05-09T13:00:00+0000,6388,6410,6281,6378,10
2024-05-09T14:00:00+0000,6286,6425,6286,6341,15
2024-05-09T15:00:00+0000,6350,6418,6259,6287,24
2024-05-09T16:00:00+0000,6279,6281,6270,6270,22
2024-05-10T08:00:00+0000,6300,6300,6268,6268,7
2024-05-10T09:00:00+0000,6263,6348,6217,6325,19
2024-05-10T10:00:00+0000,6319,6382,6179,6257,56
2024-05-10T11:00:00+0000,6206,6222,6206,6222,3
2024-05-10T12:00:00+0000,6193,6424,6193,6383,36
2024-05-10T13:00:00+0000,6360,6422,6255,6366,58
