Time,Open,High,Low,Latest,Volume
2018-02-26T09:00:00+0000,132.65,133.25,132.65,133.05,18
2018-02-26T10:00:00+0000,133.0,133.15,132.95,132.95,8
2018-02-26T11:00:00+0000,133.05,133.05,133.0,133.0,2
2018-02-26T12:00:00+0000,132.95,133.0,132.9,132.95,9
2018-02-26T13:00:00+0000,133.4,133.5,133.0,133.25,62
2018-02-26T14:00:00+0000,132.75,133.05,132.3,133.05,117
2018-02-26T15:00:00+0000,133.1,133.25,133.1,133.15,32
2018-02-26T16:00:00+0000,133.3,133.7,133.3,133.6,32
2018-02-26T17:00:00+0000,133.55,133.55,133.1,133.1,12
2018-02-26T18:00:00+0000,133.55,133.55,132.8,132.8,90
2018-02-27T09:00:00+0000,132.75,132.95,132.75,132.85,26
2018-02-27T10:00:00+0000,132.95,133.2,132.95,133.2,18
2018-02-27T11:00:00+0000,133.0,133.0,133.0,133.0,2
2018-02-27T12:00:00+0000,132.85,132.85,132.5,132.5,15
2018-02-27T13:00:00+0000,132.5,132.5,132.0,132.1,94
2018-02-27T14:00:00+0000,132.0,132.65,132.0,132.1,33
2018-02-27T15:00:00+0000,132.0,132.15,131.5,131.7,59
2018-02-27T16:00:00+0000,132.05,132.4,132.05,132.4,11
2018-02-27T17:00:00+0000,132.2,132.2,131.95,132.2,9
2018-02-27T18:00:00+0000,132.4,132.4,132.35,132.4,7
2018-02-28T12:00:00+0000,132.3,132.3,132.3,132.3,12
2018-02-28T13:00:00+0000,132.0,132.35,131.85,132.35,24
2018-02-28T14:00:00+0000,132.75,132.95,132.4,132.7,43
2018-02-28T15:00:00+0000,132.05,132.55,132.05,132.55,16
2018-02-28T17:00:00+0000,132.35,133.15,132.35,133.15,49
2018-02-28T18:00:00+0000,133.1,133.15,132.6,132.9,42
2018-03-01T09:00:00+0000,132.55,132.65,132.45,132.45,36
2018-03-01T10:00:00+0000,133.0,133.25,133.0,133.25,28
2018-03-01T11:00:00+0000,133.2,133.25,133.0,133.0,12
2018-03-01T12:00:00+0000,132.85,132.85,132.6,132.6,3
2018-03-01T13:00:00+0000,132.65,133.75,132.65,133.65,36
2018-03-01T14:00:00+0000,133.55,133.65,133.5,133.55,31
2018-03-01T15:00:00+0000,133.55,134.2,133.45,134.15,53
2018-03-01T16:00:00+0000,134.1,134.3,134.0,134.3,22
2018-03-01T17:00:00+0000,134.35,134.35,134.25,134.3,6
2018-03-01T18:00:00+0000,134.25,134.5,134.2,134.5,32
2018-03-02T09:00:00+0000,134.45,134.6,134.3,134.6,10
2018-03-02T10:00:00+0000,134.25,134.25,134.25,134.25,1
2018-03-02T13:00:00+0000,133.85,134.35,133.65,133.75,53
2018-03-02T14:00:00+0000,133.5,133.5,133.1,133.3,30
2018-03-02T15:00:00+0000,133.3,133.4,132.85,132.9,34
2018-03-02T16:00:00+0000,132.85,132.85,132.85,132.85,2
2018-03-02T17:00:00+0000,133.05,133.15,133.05,133.05,7
2018-03-02T18:00:00+0000,133.35,133.35,133.1,133.15,22
2018-03-05T09:00:00+0000,132.5,132.6,132.3,132.4,12
2018-03-05T11:00:00+0000,132.55,132.55,132.55,132.55,2
2018-03-05T12:00:00+0000,132.1,132.1,132.1,132.1,3
2018-03-05T13:00:00+0000,132.35,132.5,131.75,132.15,101
2018-03-05T14:00:00+0000,131.5,131.65,131.45,131.45,8
