Time,Open,High,Low,Close,Volume
2022-12-07T04:00:00+0000,3.8115,3.8115,3.8115,3.8115,1
2022-12-19T19:00:00+0000,3.762,3.762,3.756,3.756,3
2022-12-20T13:00:00+0000,3.8,3.8,3.8,3.8,1
2022-12-20T15:00:00+0000,3.8325,3.8355,3.8325,3.8355,2
2022-12-20T16:00:00+0000,3.81,3.81,3.81,3.81,1
2022-12-20T18:00:00+0000,3.8115,3.8115,3.8115,3.8115,1
2022-12-22T03:00:00+0000,3.8455,3.8455,3.8455,3.8455,4
2023-01-03T10:00:00+0000,3.845,3.845,3.845,3.845,1
2023-01-03T16:00:00+0000,3.791,3.791,3.791,3.791,1
2023-01-06T13:00:00+0000,3.85,3.85,3.85,3.85,1
2023-01-06T14:00:00+0000,3.856,3.856,3.856,3.856,1
2023-01-06T15:00:00+0000,3.862,3.862,3.862,3.862,1
2023-01-06T16:00:00+0000,3.9,3.9105,3.9,3.9105,2
2023-01-09T09:00:00+0000,4.0,4.0,4.0,4.0,1
2023-01-09T13:00:00+0000,3.99,3.99,3.99,3.99,1
2023-01-09T14:00:00+0000,4.01,4.01,4.01,4.01,1
2023-01-09T15:00:00+0000,4.035,4.035,4.035,4.035,1
2023-01-09T18:00:00+0000,4.015,4.015,4.015,4.015,1
2023-01-10T17:00:00+0000,4.079,4.079,4.079,4.079,1
2023-01-11T06:00:00+0000,4.1,4.1,4.1,4.1,1
2023-01-11T08:00:00+0000,4.1075,4.1075,4.1075,4.1075,1
2023-01-11T13:00:00+0000,4.136,4.136,4.136,4.136,1
2023-01-11T14:00:00+0000,4.155,4.155,4.155,4.155,1
2023-01-12T13:00:00+0000,4.2,4.2,4.2,4.2,1
2023-01-12T15:00:00+0000,4.169,4.184,4.1675,4.184,6
2023-01-13T03:00:00+0000,4.184,4.184,4.184,4.184,1
2023-01-16T14:00:00+0000,4.161,4.161,4.1575,4.1575,6
2023-01-17T01:00:00+0000,4.155,4.155,4.155,4.155,3
2023-01-17T04:00:00+0000,4.139,4.139,4.139,4.139,1
2023-01-17T15:00:00+0000,4.205,4.205,4.1895,4.1955,3
2023-01-18T08:00:00+0000,4.3,4.3,4.3,4.3,2
2023-01-18T16:00:00+0000,4.25,4.25,4.25,4.25,1
2023-01-19T19:00:00+0000,4.259,4.262,4.259,4.262,2
2023-01-20T09:00:00+0000,4.235,4.235,4.235,4.235,1
2023-01-20T15:00:00+0000,4.262,4.262,4.262,4.262,1
2023-01-20T16:00:00+0000,4.2685,4.2685,4.2635,4.2635,3
2023-01-23T01:00:00+0000,4.3,4.3,4.3,4.3,1
2023-01-23T12:00:00+0000,4.274,4.2815,4.274,4.2815,2
2023-01-23T13:00:00+0000,4.269,4.269,4.269,4.269,1
2023-01-23T14:00:00+0000,4.2465,4.2465,4.2465,4.2465,1
2023-01-23T19:00:00+0000,4.264,4.264,4.264,4.264,1
2023-01-24T04:00:00+0000,4.2895,4.2895,4.2895,4.2895,1
2023-01-24T09:00:00+0000,4.28,4.28,4.28,4.28,1
2023-01-25T14:00:00+0000,4.25,4.25,4.25,4.25,1
2023-01-26T03:00:00+0000,4.2565,4.2565,4.2565,4.2565,1
2023-01-26T04:00:00+0000,4.257,4.257,4.257,4.257,1
2023-01-26T16:00:00+0000,4.267,4.2675,4.267,4.2675,5
2023-01-26T20:00:00+0000,4.295,4.295,4.295,4.295,1
2023-01-27T04:00:00+0000,4.26,4.26,4.26,4.26,1
2023-01-27T14:00:00+0000,4.2565,4.2565,4.2555,4.2555,2
2023-01-30T02:00:00+0000,4.2275,4.2275,4.2275,4.2275,2
2023-01-30T05:00:00+0000,4.232,4.234,4.232,4.234,5
2023-01-30T08:00:00+0000,4.212,4.212,4.209,4.209,2
2023-01-30T11:00:00+0000,4.212,4.212,4.212,4.212,1
2023-01-30T15:00:00+0000,4.222,4.222,4.222,4.222,1
2023-01-30T17:00:00+0000,4.207,4.2135,4.207,4.2135,2
2023-01-30T18:00:00+0000,4.201,4.201,4.201,4.201,1
2023-01-31T04:00:00+0000,4.1655,4.1655,4.1655,4.1655,1
2023-01-31T08:00:00+0000,4.136,4.136,4.136,4.136,1
