Time,Open,High,Low,Close,Volume
2024-03-07T00:00:00+0000,71.64,71.64,71.64,71.64,1
2024-05-07T02:00:00+0000,73.71,73.76,73.71,73.74,16
2024-05-07T03:00:00+0000,73.75,73.75,73.75,73.75,1
2024-05-07T04:00:00+0000,73.73,73.73,73.6,73.6,6
2024-05-07T05:00:00+0000,73.7,73.7,73.65,73.65,5
2024-05-07T07:00:00+0000,73.63,73.63,73.63,73.63,1
2024-05-07T09:00:00+0000,73.6,73.61,73.6,73.6,3
2024-05-07T10:00:00+0000,73.56,73.56,73.45,73.45,3
2024-05-07T12:00:00+0000,73.46,73.46,73.3,73.3,6
2024-05-07T13:00:00+0000,73.2,73.57,73.15,73.36,9
2024-05-07T14:00:00+0000,73.32,73.32,73.14,73.18,13
2024-05-07T15:00:00+0000,73.54,73.55,73.5,73.5,3
2024-05-07T16:00:00+0000,73.87,73.87,73.84,73.84,6
2024-05-08T02:00:00+0000,73.4,73.43,73.37,73.4,16
2024-05-08T05:00:00+0000,73.31,73.31,73.3,73.3,3
2024-05-08T06:00:00+0000,73.26,73.26,73.2,73.2,6
2024-05-08T07:00:00+0000,72.9,72.9,72.9,72.9,1
2024-05-08T08:00:00+0000,72.8,72.8,72.7,72.7,3
2024-05-08T09:00:00+0000,72.6,72.6,72.59,72.59,7
2024-05-08T10:00:00+0000,72.8,72.8,72.8,72.8,3
2024-05-08T14:00:00+0000,73.15,73.55,73.15,73.55,15
2024-05-08T15:00:00+0000,73.55,73.78,73.54,73.78,12
2024-05-09T09:00:00+0000,73.94,73.94,73.94,73.94,3
2024-05-09T13:00:00+0000,73.65,73.65,73.65,73.65,1
2024-05-10T01:00:00+0000,74.12,74.12,74.12,74.12,3
2024-05-10T02:00:00+0000,74.07,74.07,74.07,74.07,3
2024-05-10T03:00:00+0000,74.07,74.09,74.07,74.09,6
2024-05-10T14:00:00+0000,73.82,73.82,73.81,73.81,3
2024-05-10T15:00:00+0000,73.66,73.66,73.65,73.65,3
2024-05-10T16:00:00+0000,73.43,73.43,73.42,73.42,3
2024-05-10T17:00:00+0000,73.2,73.2,73.2,73.2,3
2024-05-10T20:00:00+0000,73.21,73.25,73.15,73.16,30
2024-05-12T22:00:00+0000,73.05,73.06,73.05,73.05,3
2024-05-13T01:00:00+0000,72.95,72.95,72.75,72.75,4
2024-05-13T08:00:00+0000,73.29,73.29,73.27,73.29,4
2024-05-13T09:00:00+0000,73.38,73.38,73.37,73.37,3
2024-05-13T10:00:00+0000,73.5,73.51,73.5,73.51,3
2024-05-13T12:00:00+0000,73.63,73.67,73.63,73.67,6
2024-05-13T13:00:00+0000,73.8,73.8,73.79,73.8,3
2024-05-13T14:00:00+0000,73.93,73.99,73.93,73.99,9
2024-05-14T12:00:00+0000,73.33,73.33,73.33,73.33,3
2024-05-14T13:00:00+0000,73.2,73.39,72.75,73.37,24
2024-05-14T14:00:00+0000,72.95,72.99,72.95,72.99,3
2024-05-14T15:00:00+0000,72.96,72.96,72.96,72.96,2
2024-05-14T20:00:00+0000,73.5,73.5,73.5,73.5,2
2024-05-15T02:00:00+0000,73.44,73.45,73.44,73.45,2
2024-05-15T03:00:00+0000,73.75,73.75,73.57,73.57,4
2024-05-15T09:00:00+0000,73.65,73.65,73.64,73.64,2
2024-05-15T11:00:00+0000,73.0,73.0,73.0,73.0,1
2024-05-15T12:00:00+0000,72.98,73.35,72.98,73.35,4
2024-05-15T13:00:00+0000,73.03,73.03,72.6,72.6,43
2024-05-15T14:00:00+0000,72.93,72.99,72.93,72.98,6
2024-05-15T15:00:00+0000,73.25,73.4,73.25,73.4,9
2024-05-15T17:00:00+0000,73.5,73.5,73.5,73.5,1
2024-05-16T01:00:00+0000,73.64,73.64,73.57,73.58,24
2024-05-16T02:00:00+0000,73.56,73.6,73.56,73.6,9
2024-05-16T06:00:00+0000,73.72,73.72,73.7,73.71,6
2024-05-16T10:00:00+0000,73.17,73.17,73.1,73.1,9
2024-05-16T12:00:00+0000,73.57,73.7,73.57,73.7,6
2024-05-16T13:00:00+0000,74.0,74.1,74.0,74.1,6
2024-05-16T16:00:00+0000,73.8,73.8,73.8,73.8,1
2024-05-16T17:00:00+0000,74.0,74.0,74.0,74.0,3
2024-05-16T18:00:00+0000,74.07,74.07,74.07,74.07,3
