Time,Open,High,Low,Latest,Volume
2025-01-02T08:00:00+0000,20435,20435,20435,20435,1
2025-01-13T08:00:00+0000,20600,20610,20600,20610,2
2025-03-06T08:00:00+0000,23832,23832,23832,23832,1
2025-03-10T15:00:00+0000,23632,23632,23632,23632,1
2025-03-11T14:00:00+0000,22922,22922,22922,22922,1
2025-03-13T08:00:00+0000,22922,22922,22922,22922,1
2025-03-25T13:00:00+0000,23500,23500,23500,23500,2
2025-03-31T04:00:00+0000,22722,22722,22722,22722,1
2025-03-31T06:00:00+0000,22559,22559,22559,22559,1
2025-03-31T08:00:00+0000,22650,22650,22650,22650,2
2025-03-31T11:00:00+0000,22332,22332,22332,22332,1
2025-04-01T12:00:00+0000,22822,22822,22822,22822,1
2025-04-01T14:00:00+0000,22700,22700,22700,22700,1
2025-04-02T14:00:00+0000,22731,22731,22731,22731,1
2025-04-02T18:00:00+0000,22722,22722,22722,22722,1
2025-04-03T00:00:00+0000,22322,22322,22322,22322,1
2025-04-04T19:00:00+0000,20844,20844,20844,20844,1
2025-04-07T07:00:00+0000,19296,19296,19296,19296,1
2025-04-08T14:00:00+0000,20704,20704,20704,20704,1
2025-04-10T07:00:00+0000,21254,21254,21254,21254,1
2025-04-10T08:00:00+0000,20992,20995,20992,20995,4
2025-04-10T11:00:00+0000,21059,21059,21059,21059,1
2025-04-15T08:00:00+0000,21533,21533,21533,21533,1
2025-04-15T09:00:00+0000,21539,21539,21539,21539,1
2025-04-23T06:00:00+0000,22078,22095,22071,22095,6
2025-04-23T07:00:00+0000,22071,22071,22071,22071,1
2025-04-23T15:00:00+0000,22191,22191,22191,22191,1
2025-04-28T09:00:00+0000,22707,22707,22707,22707,1
2025-04-28T15:00:00+0000,22584,22584,22584,22584,1
2025-04-29T10:00:00+0000,22730,22730,22730,22730,1
2025-04-29T16:00:00+0000,22730,22730,22730,22730,1
2025-04-30T12:00:00+0000,22690,22690,22690,22690,1
2025-04-30T17:00:00+0000,22770,22770,22770,22770,1
2025-05-02T14:00:00+0000,23304,23304,23304,23304,1
2025-05-05T13:00:00+0000,23480,23480,23480,23480,1
2025-05-06T07:00:00+0000,23551,23551,23551,23551,1
2025-05-06T09:00:00+0000,23270,23270,23270,23270,1
2025-05-06T12:00:00+0000,23436,23436,23436,23436,1
2025-05-06T14:00:00+0000,23448,23448,23448,23448,1
2025-05-07T12:00:00+0000,23420,23420,23420,23420,1
2025-05-08T08:00:00+0000,23564,23564,23564,23564,1
2025-05-08T11:00:00+0000,23628,23628,23628,23628,1
2025-05-08T14:00:00+0000,23520,23520,23520,23520,1
2025-05-08T15:00:00+0000,23590,23590,23590,23590,1
2025-05-12T07:00:00+0000,24000,24000,24000,24000,1
2025-05-12T08:00:00+0000,23900,23994,23900,23994,2
2025-05-12T09:00:00+0000,24000,24000,24000,24000,1
2025-05-12T11:00:00+0000,23824,23824,23824,23824,1
2025-05-12T12:00:00+0000,23845,23903,23836,23903,6
2025-05-12T13:00:00+0000,23806,23806,23806,23806,1
2025-05-13T06:00:00+0000,23857,23857,23857,23857,1
2025-05-13T15:00:00+0000,23867,23867,23867,23867,1
