Time,Open,High,Low,Close,Volume
2021-07-08T18:00:00+0000,33950,33950,33830,33830,6
2021-10-01T18:00:00+0000,34000,34000,34000,34000,2
2021-10-04T14:00:00+0000,33700,33700,33700,33700,1
2021-10-04T15:00:00+0000,33500,33500,33500,33500,2
2021-10-05T14:00:00+0000,34000,34000,34000,34000,2
2021-10-06T18:00:00+0000,34000,34000,34000,34000,1
2021-11-05T16:00:00+0000,36000,36000,36000,36000,1
2021-11-11T20:00:00+0000,35650,35650,35650,35650,1
2021-11-19T09:00:00+0000,35630,35630,35630,35630,2
2021-11-26T05:00:00+0000,35053,35053,35053,35053,1
2021-11-26T15:00:00+0000,34670,34670,34670,34670,2
2021-11-28T23:00:00+0000,34650,34650,34650,34650,1
2021-11-29T14:00:00+0000,35000,35000,35000,35000,1
2021-11-30T09:00:00+0000,34357,34357,34357,34357,1
2021-11-30T16:00:00+0000,34357,34357,34357,34357,5
2021-11-30T18:00:00+0000,34410,34410,34357,34357,6
2021-12-01T19:00:00+0000,34300,34300,34300,34300,1
2021-12-01T20:00:00+0000,34077,34077,34077,34077,1
2021-12-02T08:00:00+0000,34080,34080,34080,34080,1
2021-12-02T11:00:00+0000,34000,34000,34000,34000,1
2021-12-02T16:00:00+0000,34334,34334,34334,34334,1
2021-12-02T19:00:00+0000,34395,34395,34395,34395,1
2021-12-03T13:00:00+0000,34500,34500,34500,34500,1
2021-12-06T15:00:00+0000,34925,34925,34925,34925,2
2021-12-06T16:00:00+0000,34945,34945,34945,34945,1
2021-12-06T17:00:00+0000,35010,35010,35010,35010,1
2021-12-06T20:00:00+0000,34927,34927,34927,34927,3
2021-12-07T07:00:00+0000,35180,35210,35180,35210,4
2021-12-08T11:00:00+0000,35599,35599,35599,35599,3
2021-12-10T11:00:00+0000,35599,35599,35599,35599,1
2021-12-10T18:00:00+0000,35650,35650,35650,35650,3
2021-12-15T20:00:00+0000,35599,35599,35599,35599,1
2021-12-16T07:00:00+0000,35842,35844,35842,35844,2
2021-12-16T10:00:00+0000,35899,35899,35899,35899,1
2021-12-16T13:00:00+0000,35886,35886,35886,35886,1
2021-12-16T14:00:00+0000,35886,35900,35886,35900,2
2021-12-16T15:00:00+0000,35940,35940,35940,35940,1
2021-12-16T16:00:00+0000,35856,35856,35856,35856,3
2021-12-16T19:00:00+0000,35700,35700,35597,35597,2
2021-12-17T05:00:00+0000,35692,35692,35692,35692,1
2021-12-17T08:00:00+0000,35726,35726,35683,35683,3
2021-12-17T09:00:00+0000,35650,35707,35650,35707,2
2021-12-17T13:00:00+0000,35521,35521,35509,35509,2
2021-12-17T14:00:00+0000,35350,35350,35306,35312,3
2021-12-17T15:00:00+0000,35152,35395,35077,35395,6
2021-12-17T16:00:00+0000,35366,35366,35219,35219,2
2021-12-17T17:00:00+0000,35247,35247,35247,35247,1
2021-12-19T23:00:00+0000,35075,35075,35024,35024,5
2021-12-20T00:00:00+0000,34950,35016,34950,35016,2
2021-12-20T01:00:00+0000,35030,35030,34948,34948,3
2021-12-20T05:00:00+0000,34811,34811,34811,34811,1
