Time,Open,High,Low,Latest,Volume
2025-08-13T13:00:00+0000,46076,46076,46076,46076,1
2025-08-13T22:00:00+0000,45910,45910,45910,45910,1
2025-10-08T13:00:00+0000,47554,47554,47554,47554,1
2025-10-08T14:00:00+0000,47547,47601,47547,47601,3
2025-10-30T14:00:00+0000,48600,48600,48600,48600,1
2025-10-30T18:00:00+0000,48500,48500,48500,48500,1
2025-10-31T14:00:00+0000,48377,48377,48377,48377,1
2025-11-04T03:00:00+0000,48044,48044,48044,48044,1
2025-11-05T15:00:00+0000,47917,47917,47917,47917,1
2025-11-06T15:00:00+0000,47777,47777,47777,47777,1
2025-11-11T17:00:00+0000,48600,48600,48600,48600,1
2025-11-12T12:00:00+0000,48814,48814,48814,48814,1
2025-11-13T16:00:00+0000,48557,48557,48557,48557,2
2025-11-16T23:00:00+0000,47737,47897,47737,47897,2
2025-11-17T14:00:00+0000,47823,47823,47823,47823,1
2025-11-17T16:00:00+0000,47777,47777,47777,47777,1
2025-11-19T15:00:00+0000,46900,46900,46900,46900,1
2025-11-19T16:00:00+0000,46700,46700,46700,46700,1
2025-11-19T20:00:00+0000,46938,46938,46938,46938,3
2025-11-20T01:00:00+0000,47100,47100,47100,47100,1
2025-11-20T07:00:00+0000,47208,47208,47208,47208,5
2025-11-20T14:00:00+0000,47448,47448,47448,47448,3
2025-11-20T15:00:00+0000,47578,47578,47578,47578,5
2025-11-20T17:00:00+0000,46698,46698,46698,46698,5
2025-11-20T23:00:00+0000,46577,46577,46577,46577,1
2025-11-21T16:00:00+0000,46908,47088,46908,47088,6
2025-11-21T17:00:00+0000,47200,47200,47200,47200,5
2025-11-25T14:00:00+0000,47100,47100,47100,47100,1
2025-12-03T03:00:00+0000,48265,48265,48265,48265,1
2025-12-08T15:00:00+0000,48512,48512,48503,48503,3
2025-12-10T00:00:00+0000,48280,48280,48280,48280,1
2025-12-10T04:00:00+0000,48267,48267,48267,48267,1
2025-12-10T14:00:00+0000,48177,48177,48177,48177,1
2025-12-10T16:00:00+0000,48500,48500,48500,48500,3
2025-12-10T19:00:00+0000,48600,48638,48600,48600,6
2025-12-11T13:00:00+0000,48750,48750,48750,48750,1
2025-12-11T14:00:00+0000,48888,48888,48888,48888,1
2025-12-11T18:00:00+0000,49419,49419,49419,49419,1
