Time,Open,High,Low,Close,Volume
2011-09-16T08:00:00+0000,101.0,101.0,101.0,101.0,1
2011-09-27T11:00:00+0000,101.6,101.6,101.6,101.6,2
2011-09-27T14:00:00+0000,104.3,104.3,104.3,104.3,1
2011-09-28T09:00:00+0000,102.2,102.2,102.2,102.2,9
2011-09-29T12:00:00+0000,106.0,106.0,106.0,106.0,1
2011-10-03T15:00:00+0000,101.4,101.4,101.4,101.4,1
2011-10-06T08:00:00+0000,106.0,106.0,106.0,106.0,2
2011-10-06T13:00:00+0000,104.0,104.0,104.0,104.0,1
2011-10-07T09:00:00+0000,107.0,107.0,107.0,107.0,1
2011-10-10T14:00:00+0000,107.2,107.2,107.2,107.2,4
2011-10-10T15:00:00+0000,108.4,108.4,108.4,108.4,2
2011-10-11T15:00:00+0000,109.3,109.3,109.3,109.3,2
2011-10-17T07:00:00+0000,109.8,109.8,109.8,109.8,1
2011-10-18T10:00:00+0000,103.0,103.0,103.0,103.0,1
2011-10-26T10:00:00+0000,104.2,104.2,104.2,104.2,1
2011-10-27T11:00:00+0000,112.9,112.9,112.9,112.9,1
2011-10-28T09:00:00+0000,116.1,116.1,116.0,116.0,8
2011-10-28T10:00:00+0000,115.0,115.0,115.0,115.0,3
2011-10-31T19:00:00+0000,109.0,109.0,109.0,109.0,2
2011-11-02T08:00:00+0000,100.8,100.8,100.8,100.8,1
2011-11-03T10:00:00+0000,101.0,101.0,101.0,101.0,6
2011-11-03T12:00:00+0000,102.0,102.0,102.0,102.0,1
2011-11-08T08:00:00+0000,100.9,100.9,100.9,100.9,7
2011-11-09T14:00:00+0000,97.1,97.1,96.5,96.5,11
2011-11-10T07:00:00+0000,95.0,95.0,95.0,95.0,4
2011-11-16T08:00:00+0000,98.6,98.6,98.6,98.6,1
2011-11-17T17:00:00+0000,95.5,95.5,95.5,95.5,9
2011-11-17T18:00:00+0000,92.8,92.8,92.7,92.8,22
2011-11-17T23:00:00+0000,92.8,92.8,92.8,92.8,4
2011-11-18T10:00:00+0000,95.5,95.5,95.5,95.5,20
2011-11-18T11:00:00+0000,95.5,95.5,95.5,95.5,10
2011-11-21T13:00:00+0000,92.2,92.2,92.2,92.2,2
2011-11-23T14:00:00+0000,85.0,85.0,85.0,85.0,5
2011-11-28T13:00:00+0000,92.3,92.3,92.3,92.3,2
2011-11-28T14:00:00+0000,93.0,93.0,93.0,93.0,1
2011-11-30T09:00:00+0000,91.9,91.9,91.9,91.9,6
2011-11-30T10:00:00+0000,92.4,92.5,92.4,92.5,9
2011-11-30T16:00:00+0000,97.3,97.3,97.3,97.3,2
2011-12-01T11:00:00+0000,96.8,96.8,96.8,96.8,6
2011-12-01T12:00:00+0000,97.2,97.2,97.2,97.2,1
2011-12-01T13:00:00+0000,97.2,97.2,97.2,97.2,3
2011-12-01T14:00:00+0000,97.0,97.1,96.9,97.1,8
2011-12-02T09:00:00+0000,99.9,99.9,99.9,99.9,21
2011-12-02T10:00:00+0000,100.3,100.3,100.3,100.3,1
2011-12-02T12:00:00+0000,101.7,101.9,101.7,101.9,6
2011-12-02T13:00:00+0000,101.7,101.7,101.7,101.7,2
2011-12-02T14:00:00+0000,102.8,103.0,102.8,103.0,390
2011-12-02T15:00:00+0000,102.8,102.9,102.8,102.9,5
2011-12-05T09:00:00+0000,105.0,105.5,105.0,105.0,5
2011-12-05T10:00:00+0000,105.0,105.0,105.0,105.0,10
2011-12-05T11:00:00+0000,104.6,104.6,104.6,104.6,1
2011-12-05T15:00:00+0000,104.6,104.6,104.6,104.6,1
2011-12-05T18:00:00+0000,105.7,105.7,105.7,105.7,1
2011-12-06T07:00:00+0000,105.0,105.0,105.0,105.0,10
2011-12-06T09:00:00+0000,104.6,104.6,104.6,104.6,2
2011-12-06T12:00:00+0000,105.1,105.3,105.1,105.3,2
2011-12-06T13:00:00+0000,105.2,105.2,105.2,105.2,3
2011-12-06T16:00:00+0000,105.7,105.7,105.7,105.7,1
2011-12-06T20:00:00+0000,105.7,105.7,105.7,105.7,1
2011-12-07T10:00:00+0000,106.7,106.7,106.7,106.7,60
2011-12-07T13:00:00+0000,102.7,103.6,102.7,103.6,3
2011-12-07T14:00:00+0000,102.0,102.4,102.0,102.0,883
2011-12-07T15:00:00+0000,102.8,102.8,102.8,102.8,1
2011-12-07T16:00:00+0000,103.7,104.0,103.7,103.8,55
2011-12-07T17:00:00+0000,104.1,104.1,104.1,104.1,1
2011-12-07T20:00:00+0000,105.0,105.0,105.0,105.0,2
2011-12-08T08:00:00+0000,105.5,105.5,105.5,105.5,6
2011-12-08T10:00:00+0000,105.2,105.2,105.2,105.2,1
2011-12-08T11:00:00+0000,105.2,105.2,105.2,105.2,1
2011-12-08T13:00:00+0000,104.9,105.9,104.9,105.9,4
2011-12-08T14:00:00+0000,102.2,102.4,101.5,101.5,30
2011-12-08T15:00:00+0000,100.6,100.6,100.6,100.6,9
2011-12-08T20:00:00+0000,100.6,100.6,100.6,100.6,9
2011-12-09T08:00:00+0000,100.9,100.9,100.9,100.9,50
2011-12-09T09:00:00+0000,100.8,100.8,99.8,99.8,1049
2011-12-09T10:00:00+0000,100.6,100.9,100.6,100.9,23
2011-12-09T11:00:00+0000,102.0,102.0,102.0,102.0,5
2011-12-09T14:00:00+0000,100.9,101.2,100.8,100.8,35
2011-12-09T15:00:00+0000,102.5,102.5,102.5,102.5,104
2011-12-09T16:00:00+0000,103.1,103.2,103.0,103.2,22
