Time,Open,High,Low,Latest,Volume
2025-09-12T08:00:00+0000,371.0,371.0,370.9,370.9,31
2025-09-12T12:00:00+0000,373.9,373.9,373.2,373.2,10
2025-09-12T13:00:00+0000,373.2,373.2,373.2,373.2,8
2025-09-15T07:00:00+0000,373.4,373.6,371.7,372.3,106
2025-09-15T10:00:00+0000,372.7,372.8,372.6,372.8,79
2025-09-15T11:00:00+0000,372.1,372.7,372.1,372.4,22
2025-09-15T13:00:00+0000,371.7,371.7,371.7,371.7,5
2025-09-15T15:00:00+0000,373.0,373.0,372.8,372.8,25
2025-09-16T07:00:00+0000,373.1,373.1,371.2,371.9,6
2025-09-16T08:00:00+0000,371.5,371.7,371.5,371.5,13
2025-09-16T09:00:00+0000,371.1,371.3,370.8,370.8,30
2025-09-16T10:00:00+0000,370.9,371.3,370.9,371.2,4
2025-09-16T11:00:00+0000,372.6,372.6,372.3,372.3,109
2025-09-16T12:00:00+0000,372.1,373.5,372.1,372.9,11
2025-09-16T13:00:00+0000,372.3,372.4,372.2,372.2,32
2025-09-16T14:00:00+0000,372.3,373.1,372.3,372.8,8
2025-09-16T15:00:00+0000,372.3,373.0,372.1,372.7,295
2025-09-16T16:00:00+0000,373.6,373.6,373.3,373.3,2
2025-09-16T17:00:00+0000,373.3,373.3,373.3,373.3,1
2025-09-16T18:00:00+0000,374.4,374.4,373.5,373.5,2
2025-09-16T19:00:00+0000,374.8,374.8,374.8,374.8,1
2025-09-17T07:00:00+0000,372.6,373.1,371.9,371.9,27
2025-09-17T08:00:00+0000,371.7,371.7,370.4,370.4,4
2025-09-17T10:00:00+0000,370.0,370.0,369.3,369.3,26
2025-09-17T11:00:00+0000,369.3,369.4,369.0,369.1,9
2025-09-17T12:00:00+0000,369.8,369.9,369.6,369.6,66
2025-09-17T14:00:00+0000,369.5,369.5,368.3,368.3,249
2025-09-17T15:00:00+0000,368.0,368.9,367.9,368.9,841
2025-09-17T16:00:00+0000,369.0,369.0,369.0,369.0,29
2025-09-17T17:00:00+0000,369.0,369.0,369.0,369.0,1
2025-09-17T18:00:00+0000,369.0,369.0,369.0,369.0,2
2025-09-17T19:00:00+0000,372.3,372.3,372.3,372.3,1
2025-09-18T07:00:00+0000,370.2,370.6,369.7,370.6,296
2025-09-18T08:00:00+0000,370.5,372.7,370.5,372.6,121
2025-09-18T09:00:00+0000,372.6,372.6,371.5,371.7,16
2025-09-18T10:00:00+0000,371.4,371.5,371.2,371.3,228
2025-09-18T11:00:00+0000,371.5,372.6,371.5,372.6,34
2025-09-18T12:00:00+0000,372.3,372.3,371.7,371.7,21
2025-09-18T13:00:00+0000,371.4,371.8,370.9,371.1,156
2025-09-18T14:00:00+0000,372.0,372.2,371.0,371.1,196
2025-09-18T15:00:00+0000,371.1,371.4,370.1,371.4,401
2025-09-19T07:00:00+0000,372.3,372.8,371.9,372.2,305
2025-09-19T08:00:00+0000,372.1,372.6,371.9,372.1,650
2025-09-19T09:00:00+0000,372.3,372.5,371.8,371.8,1040
2025-09-19T10:00:00+0000,371.3,371.6,370.9,371.6,62
2025-09-19T11:00:00+0000,371.4,371.4,370.0,370.3,60
2025-09-19T12:00:00+0000,370.1,370.1,369.6,369.7,50
2025-09-19T13:00:00+0000,369.7,369.8,369.2,369.2,600
2025-09-19T14:00:00+0000,368.7,369.7,368.7,368.9,296
2025-09-19T15:00:00+0000,369.0,369.0,367.3,367.8,1284
2025-09-22T07:00:00+0000,369.6,370.0,368.4,370.0,177
2025-09-22T08:00:00+0000,370.1,370.7,369.9,369.9,99
2025-09-22T09:00:00+0000,370.0,370.0,368.7,368.7,23
2025-09-22T10:00:00+0000,368.0,368.4,367.9,368.0,208
2025-09-22T11:00:00+0000,367.9,368.8,367.9,368.1,371
2025-09-22T12:00:00+0000,368.1,369.1,368.1,368.3,373
2025-09-22T13:00:00+0000,368.4,368.8,367.7,368.7,451
2025-09-22T14:00:00+0000,368.4,369.3,368.1,369.1,276
2025-09-22T15:00:00+0000,369.3,370.5,369.3,370.5,541
2025-09-22T16:00:00+0000,370.4,370.8,370.4,370.8,4
2025-09-23T07:00:00+0000,371.5,373.1,371.3,372.9,282
2025-09-23T08:00:00+0000,372.9,373.7,372.8,373.3,57
2025-09-23T09:00:00+0000,373.5,374.1,373.5,373.5,461
2025-09-23T10:00:00+0000,373.7,374.6,373.7,374.3,375
2025-09-23T11:00:00+0000,373.9,373.9,373.5,373.6,102
2025-09-23T12:00:00+0000,373.8,374.3,373.7,374.3,111
2025-09-23T13:00:00+0000,374.4,375.7,374.1,375.5,444
2025-09-23T14:00:00+0000,375.5,376.7,374.9,375.8,1207
2025-09-23T15:00:00+0000,375.9,376.2,374.4,374.9,1332
2025-09-23T16:00:00+0000,375.0,375.4,374.8,375.4,114
2025-09-23T17:00:00+0000,377.4,377.4,374.5,374.6,58
2025-09-23T18:00:00+0000,374.0,374.6,373.9,374.5,12
2025-09-23T19:00:00+0000,373.7,373.7,373.7,373.7,1
2025-09-24T07:00:00+0000,374.1,375.3,373.4,374.8,391
2025-09-24T08:00:00+0000,375.1,375.6,374.4,374.9,88
2025-09-24T09:00:00+0000,375.1,376.6,375.1,376.2,360
2025-09-24T10:00:00+0000,376.2,376.9,376.2,376.7,92
2025-09-24T11:00:00+0000,376.8,376.8,375.8,376.0,167
2025-09-24T12:00:00+0000,376.2,378.1,376.0,378.1,304
2025-09-24T13:00:00+0000,378.1,380.3,378.0,380.3,867
2025-09-24T14:00:00+0000,380.5,381.1,379.7,381.1,1255
2025-09-24T15:00:00+0000,381.1,382.3,380.4,381.6,2064
2025-09-24T16:00:00+0000,381.2,381.2,380.9,380.9,35
2025-09-25T06:00:00+0000,378.5,378.9,378.5,378.7,9
2025-09-25T07:00:00+0000,380.6,380.9,378.2,380.1,1047
2025-09-25T08:00:00+0000,380.1,380.4,378.6,378.7,390
2025-09-25T09:00:00+0000,379.0,379.9,378.8,378.8,396
2025-09-25T10:00:00+0000,379.0,379.6,378.9,379.0,129
2025-09-25T11:00:00+0000,379.0,379.0,377.4,378.2,74
2025-09-25T12:00:00+0000,378.1,378.7,378.0,378.5,427
2025-09-25T13:00:00+0000,378.4,379.9,378.1,379.9,315
2025-09-25T14:00:00+0000,380.2,381.6,380.2,381.4,407
2025-09-25T15:00:00+0000,381.4,382.8,381.0,382.4,575
2025-09-26T07:00:00+0000,383.3,385.5,383.0,384.4,605
2025-09-26T08:00:00+0000,384.4,385.8,384.4,384.6,209
2025-09-26T09:00:00+0000,384.6,384.6,383.0,383.0,777
2025-09-26T10:00:00+0000,383.1,383.1,382.1,382.7,282
2025-09-26T11:00:00+0000,382.6,384.1,382.6,383.9,423
2025-09-26T12:00:00+0000,383.8,384.8,383.8,384.5,218
2025-09-26T13:00:00+0000,384.4,386.1,383.7,386.1,417
2025-09-26T14:00:00+0000,386.0,386.6,385.3,385.7,305
2025-09-26T15:00:00+0000,385.8,386.5,385.6,386.2,1005
2025-09-26T16:00:00+0000,385.9,386.1,385.5,385.5,18
2025-09-29T06:00:00+0000,389.0,389.0,388.4,388.4,2
2025-09-29T07:00:00+0000,385.7,386.5,384.9,385.0,518
2025-09-29T08:00:00+0000,384.9,385.6,384.7,385.3,297
2025-09-29T09:00:00+0000,385.4,385.8,384.6,384.8,165
2025-09-29T10:00:00+0000,384.8,385.4,384.4,384.4,609
2025-09-29T11:00:00+0000,384.4,385.1,384.1,385.1,291
2025-09-29T12:00:00+0000,384.9,385.2,384.4,385.1,102
2025-09-29T13:00:00+0000,384.8,384.8,380.2,380.3,1540
2025-09-29T14:00:00+0000,380.0,381.6,379.8,381.2,1169
2025-09-29T15:00:00+0000,381.1,381.7,380.5,380.5,1511
2025-09-29T16:00:00+0000,380.5,380.7,380.5,380.7,6
2025-09-30T06:00:00+0000,382.3,382.3,379.2,379.2,14
2025-09-30T07:00:00+0000,378.6,378.6,376.7,377.6,933
2025-09-30T08:00:00+0000,377.1,377.6,376.5,377.0,165
2025-09-30T09:00:00+0000,376.8,377.3,376.5,377.3,208
2025-09-30T10:00:00+0000,377.5,378.0,377.3,377.4,284
2025-09-30T11:00:00+0000,377.3,377.6,375.3,375.3,294
2025-09-30T12:00:00+0000,375.6,375.6,373.6,375.1,1204
2025-09-30T13:00:00+0000,375.3,375.5,373.7,374.2,2250
2025-09-30T14:00:00+0000,374.6,374.6,372.8,373.6,1955
2025-09-30T15:00:00+0000,373.7,375.7,373.6,375.5,2235
2025-09-30T16:00:00+0000,375.2,375.3,375.1,375.1,6
2025-10-01T06:00:00+0000,374.1,375.6,373.9,375.6,9
2025-10-01T07:00:00+0000,376.2,377.9,376.1,377.6,446
2025-10-01T08:00:00+0000,378.1,378.7,377.6,378.6,122
2025-10-01T09:00:00+0000,378.5,378.8,378.1,378.4,670
2025-10-01T10:00:00+0000,378.8,380.0,378.8,380.0,477
2025-10-01T11:00:00+0000,380.1,380.8,379.5,380.7,845
2025-10-01T12:00:00+0000,380.8,380.8,379.8,380.1,208
2025-10-01T13:00:00+0000,380.1,380.4,379.3,380.3,511
2025-10-01T14:00:00+0000,380.1,381.9,380.0,381.9,353
2025-10-01T15:00:00+0000,381.9,382.6,381.2,381.8,2274
2025-10-01T16:00:00+0000,381.9,383.6,381.9,383.0,46
2025-10-01T17:00:00+0000,382.6,382.6,382.2,382.4,31
2025-10-01T18:00:00+0000,382.6,382.8,382.3,382.3,34
2025-10-01T19:00:00+0000,382.8,383.2,381.2,381.6,17
2025-10-02T06:00:00+0000,381.3,383.0,381.3,382.6,27
2025-10-02T07:00:00+0000,382.4,384.0,381.8,382.3,312
2025-10-02T08:00:00+0000,382.2,384.1,382.2,384.1,486
2025-10-02T09:00:00+0000,384.2,384.2,382.2,382.4,366
2025-10-02T10:00:00+0000,382.6,383.1,382.3,382.9,73
2025-10-02T11:00:00+0000,382.8,383.1,382.1,382.7,369
2025-10-02T12:00:00+0000,382.8,383.0,382.4,382.6,382
2025-10-02T13:00:00+0000,382.5,383.2,381.7,382.7,1138
2025-10-02T14:00:00+0000,382.7,383.0,381.3,381.4,398
2025-10-02T15:00:00+0000,381.4,381.8,380.6,381.0,263
2025-10-03T06:00:00+0000,380.3,382.0,380.3,382.0,10
2025-10-03T07:00:00+0000,381.7,382.7,381.4,382.2,76
2025-10-03T08:00:00+0000,382.4,382.4,382.0,382.3,80
2025-10-03T09:00:00+0000,382.8,382.8,381.9,382.0,13
2025-10-03T10:00:00+0000,382.1,382.9,382.1,382.9,4
2025-10-03T11:00:00+0000,382.8,383.1,381.7,381.7,186
2025-10-03T12:00:00+0000,381.4,381.7,381.4,381.7,31
2025-10-03T13:00:00+0000,382.0,382.2,380.6,381.4,568
2025-10-03T14:00:00+0000,381.3,382.2,380.8,381.6,694
2025-10-03T15:00:00+0000,381.5,382.3,381.2,381.9,561
2025-10-06T07:00:00+0000,384.1,385.2,382.8,383.2,322
2025-10-06T08:00:00+0000,383.3,385.8,383.1,385.5,332
2025-10-06T09:00:00+0000,385.6,386.3,385.0,386.3,305
2025-10-06T10:00:00+0000,386.2,386.9,386.2,386.6,78
2025-10-06T11:00:00+0000,387.2,387.3,385.5,385.6,73
2025-10-06T12:00:00+0000,386.2,386.2,385.4,385.6,71
2025-10-06T13:00:00+0000,385.3,387.2,385.2,387.2,281
2025-10-06T14:00:00+0000,387.3,387.8,387.0,387.0,139
2025-10-06T15:00:00+0000,387.1,387.1,386.0,386.2,1306
2025-10-06T16:00:00+0000,386.2,387.0,386.1,387.0,27
2025-10-07T06:00:00+0000,386.1,386.9,386.1,386.9,12
2025-10-07T07:00:00+0000,387.8,390.2,387.8,388.8,369
2025-10-07T08:00:00+0000,388.4,388.7,388.1,388.3,127
2025-10-07T09:00:00+0000,388.3,388.6,387.6,388.6,216
2025-10-07T10:00:00+0000,388.6,389.0,388.4,388.8,46
2025-10-07T11:00:00+0000,388.9,389.2,388.7,388.9,43
2025-10-07T12:00:00+0000,388.8,389.0,388.5,389.0,243
2025-10-07T13:00:00+0000,388.8,389.2,387.2,387.2,536
2025-10-07T14:00:00+0000,386.9,387.7,385.4,387.7,537
2025-10-07T15:00:00+0000,387.9,387.9,386.3,386.7,546
2025-10-07T16:00:00+0000,386.3,386.4,386.3,386.4,8
2025-10-07T17:00:00+0000,387.0,387.1,386.5,386.5,7
2025-10-07T18:00:00+0000,386.5,386.5,386.5,386.5,1
2025-10-08T06:00:00+0000,387.3,387.3,386.9,386.9,2
2025-10-08T07:00:00+0000,389.5,389.8,387.8,389.2,354
2025-10-08T08:00:00+0000,389.1,389.2,388.5,388.6,102
2025-10-08T09:00:00+0000,388.7,389.9,388.6,389.8,374
2025-10-08T10:00:00+0000,390.0,390.2,389.0,389.5,160
2025-10-08T11:00:00+0000,389.6,389.7,388.6,389.7,158
2025-10-08T12:00:00+0000,389.6,390.3,389.5,389.7,122
2025-10-08T13:00:00+0000,389.8,390.0,387.3,387.3,511
2025-10-08T14:00:00+0000,387.2,389.4,387.2,389.2,437
2025-10-08T15:00:00+0000,389.5,389.9,388.4,388.5,576
2025-10-08T16:00:00+0000,388.8,388.8,388.8,388.8,1
2025-10-08T17:00:00+0000,388.6,388.6,388.5,388.5,3
2025-10-08T19:00:00+0000,388.1,388.1,388.0,388.0,26
2025-10-09T07:00:00+0000,390.4,391.5,390.2,391.1,261
2025-10-09T08:00:00+0000,390.8,391.0,390.6,390.8,324
2025-10-09T09:00:00+0000,390.9,391.0,389.8,390.2,153
2025-10-09T10:00:00+0000,390.4,390.4,389.8,389.9,281
2025-10-09T11:00:00+0000,390.4,390.9,390.4,390.9,33
2025-10-09T12:00:00+0000,391.1,391.1,390.8,390.9,10
2025-10-09T13:00:00+0000,391.0,392.6,390.1,390.2,665
2025-10-09T14:00:00+0000,390.1,391.1,388.9,389.7,577
2025-10-09T15:00:00+0000,390.1,390.5,389.3,390.0,373
2025-10-09T16:00:00+0000,390.0,390.0,388.8,388.8,139
2025-10-09T17:00:00+0000,389.0,389.0,389.0,389.0,1
2025-10-09T18:00:00+0000,388.6,388.6,388.3,388.4,8
2025-10-09T19:00:00+0000,388.3,388.9,388.3,388.6,50
2025-10-10T07:00:00+0000,387.1,387.3,386.1,386.9,623
2025-10-10T08:00:00+0000,386.9,387.3,386.0,386.8,255
2025-10-10T09:00:00+0000,386.6,386.7,385.3,385.3,203
2025-10-10T10:00:00+0000,385.2,385.5,384.6,385.5,63
2025-10-10T11:00:00+0000,385.6,386.0,385.6,386.0,60
2025-10-10T12:00:00+0000,386.3,386.3,385.0,385.1,148
2025-10-10T13:00:00+0000,385.1,385.2,383.3,383.8,839
2025-10-10T14:00:00+0000,383.9,384.0,381.0,381.5,1440
2025-10-10T15:00:00+0000,381.6,381.6,378.4,379.8,1949
2025-10-13T06:00:00+0000,379.9,381.6,379.9,381.6,8
2025-10-13T07:00:00+0000,380.8,380.8,379.3,380.2,263
2025-10-13T08:00:00+0000,380.5,381.8,379.7,381.8,557
2025-10-13T09:00:00+0000,381.9,381.9,380.4,380.8,18
2025-10-13T10:00:00+0000,380.4,380.9,380.4,380.7,37
2025-10-13T11:00:00+0000,380.6,381.0,379.5,380.5,223
2025-10-13T12:00:00+0000,380.2,380.3,379.4,379.4,100
2025-10-13T13:00:00+0000,379.2,380.9,379.2,380.9,355
2025-10-13T14:00:00+0000,380.9,381.4,380.7,380.7,168
2025-10-13T15:00:00+0000,380.8,382.0,380.4,380.7,701
2025-10-13T16:00:00+0000,380.7,381.0,380.7,381.0,66
2025-10-14T07:00:00+0000,377.7,377.7,374.7,376.2,839
2025-10-14T08:00:00+0000,376.3,376.7,375.3,375.8,276
2025-10-14T09:00:00+0000,376.0,376.2,374.9,374.9,120
2025-10-14T10:00:00+0000,375.1,375.2,372.2,372.2,230
2025-10-14T11:00:00+0000,372.7,374.2,372.7,374.1,256
2025-10-14T12:00:00+0000,374.3,374.4,373.8,374.1,310
2025-10-14T13:00:00+0000,374.5,376.8,374.5,376.8,159
2025-10-14T14:00:00+0000,376.2,377.3,375.8,377.1,600
2025-10-14T15:00:00+0000,376.9,377.6,376.6,377.1,1051
2025-10-15T07:00:00+0000,378.8,379.4,378.0,379.4,209
2025-10-15T08:00:00+0000,379.5,380.1,377.9,378.3,142
2025-10-15T09:00:00+0000,378.3,379.9,378.3,379.8,383
2025-10-15T10:00:00+0000,380.0,380.0,379.3,379.4,17
2025-10-15T11:00:00+0000,379.4,379.8,379.2,379.8,73
2025-10-15T12:00:00+0000,380.1,380.9,379.6,380.2,121
2025-10-15T13:00:00+0000,380.2,381.1,379.1,380.5,426
2025-10-15T14:00:00+0000,380.6,381.3,380.2,380.2,217
2025-10-15T15:00:00+0000,380.1,380.7,378.8,379.1,1622
2025-10-15T16:00:00+0000,379.1,379.1,379.1,379.1,1
2025-10-15T19:00:00+0000,379.4,379.4,379.0,379.0,12
2025-10-16T07:00:00+0000,380.2,380.7,379.1,380.2,407
2025-10-16T08:00:00+0000,380.2,380.7,379.7,380.4,133
2025-10-16T09:00:00+0000,380.4,380.7,379.9,380.5,471
2025-10-16T10:00:00+0000,380.4,380.5,379.8,380.2,250
2025-10-16T11:00:00+0000,380.2,380.7,380.0,380.4,75
2025-10-16T12:00:00+0000,380.1,380.5,379.8,380.3,104
2025-10-16T13:00:00+0000,380.2,380.7,379.0,379.3,347
2025-10-16T14:00:00+0000,379.2,379.6,378.5,379.6,261
2025-10-16T15:00:00+0000,379.8,380.5,379.0,379.8,692
2025-10-16T16:00:00+0000,379.4,379.4,378.0,378.0,38
2025-10-16T17:00:00+0000,378.1,378.1,377.0,377.0,31
2025-10-16T18:00:00+0000,376.7,376.7,375.5,375.9,55
2025-10-16T19:00:00+0000,377.7,377.7,375.1,376.9,43
2025-10-17T06:00:00+0000,376.7,376.7,373.7,373.7,20
2025-10-17T07:00:00+0000,372.6,373.0,371.7,371.9,454
2025-10-17T08:00:00+0000,371.8,372.0,370.9,371.2,387
2025-10-17T09:00:00+0000,371.2,372.1,370.6,371.9,891
2025-10-17T10:00:00+0000,371.8,373.2,371.5,372.8,487
2025-10-17T11:00:00+0000,372.9,375.4,372.8,375.2,274
2025-10-17T12:00:00+0000,375.6,376.6,375.6,376.3,196
2025-10-17T13:00:00+0000,376.3,377.3,375.7,376.9,98
2025-10-17T14:00:00+0000,376.7,377.8,376.1,376.2,232
2025-10-17T15:00:00+0000,376.4,378.1,375.6,377.7,602
2025-10-17T16:00:00+0000,377.6,377.6,377.6,377.6,1
2025-10-20T07:00:00+0000,378.6,380.7,378.6,380.7,237
2025-10-20T08:00:00+0000,380.9,381.0,380.3,380.6,62
2025-10-20T09:00:00+0000,380.5,380.6,379.4,379.7,59
2025-10-20T10:00:00+0000,380.1,380.4,380.1,380.4,145
2025-10-20T11:00:00+0000,379.9,380.6,379.9,380.5,20
2025-10-20T12:00:00+0000,380.3,380.5,380.0,380.0,27
2025-10-20T13:00:00+0000,379.7,380.5,378.5,378.7,275
2025-10-20T14:00:00+0000,379.0,379.4,378.3,378.8,76
2025-10-20T15:00:00+0000,378.7,378.9,377.7,378.3,700
2025-10-21T07:00:00+0000,379.4,380.1,378.8,379.6,432
2025-10-21T08:00:00+0000,379.2,379.4,378.8,379.0,273
2025-10-21T09:00:00+0000,379.0,379.3,378.6,379.3,36
2025-10-21T10:00:00+0000,379.5,379.6,379.2,379.6,59
2025-10-21T11:00:00+0000,379.8,380.2,379.5,380.1,79
2025-10-21T12:00:00+0000,379.6,380.2,379.6,380.2,70
2025-10-21T13:00:00+0000,380.0,380.0,377.1,377.1,250
2025-10-21T14:00:00+0000,376.9,379.0,376.9,379.0,182
2025-10-21T15:00:00+0000,379.0,379.5,378.5,379.4,645
2025-10-22T06:00:00+0000,377.7,379.0,377.7,378.9,8
2025-10-22T07:00:00+0000,381.0,383.2,381.0,382.9,702
2025-10-22T08:00:00+0000,382.5,382.5,381.7,381.9,62
2025-10-22T09:00:00+0000,382.1,382.6,381.4,382.6,400
2025-10-22T10:00:00+0000,382.5,383.6,381.8,382.4,1198
2025-10-22T11:00:00+0000,382.3,382.4,381.4,381.6,380
2025-10-22T12:00:00+0000,381.9,382.6,381.9,382.5,423
2025-10-22T13:00:00+0000,382.8,383.3,382.2,382.2,149
2025-10-22T14:00:00+0000,382.6,383.0,381.1,381.5,648
2025-10-22T15:00:00+0000,381.5,381.7,381.2,381.5,481
2025-10-22T19:00:00+0000,382.4,383.4,382.4,383.4,14
2025-10-23T06:00:00+0000,382.5,385.2,382.5,385.2,13
2025-10-23T07:00:00+0000,386.3,390.7,386.3,389.5,805
2025-10-23T08:00:00+0000,389.6,391.0,389.0,390.9,265
2025-10-23T09:00:00+0000,391.0,392.1,391.0,391.8,368
