Time,Open,High,Low,Close,Volume
2023-10-16T10:00:00+0000,96.24,96.24,96.24,96.24,1
2023-10-17T07:00:00+0000,96.23,96.23,96.23,96.23,1
2023-10-17T12:00:00+0000,96.21,96.21,96.21,96.21,1
2023-10-30T14:00:00+0000,96.375,96.375,96.375,96.375,1
2023-10-30T15:00:00+0000,96.375,96.375,96.375,96.375,1
2023-11-01T14:00:00+0000,96.415,96.42,96.415,96.42,6
2023-11-03T08:00:00+0000,96.405,96.405,96.405,96.405,2
2023-11-03T09:00:00+0000,96.405,96.405,96.405,96.405,6
2023-11-03T11:00:00+0000,96.4,96.4,96.4,96.4,5
2023-11-03T12:00:00+0000,96.425,96.425,96.425,96.425,1
2023-11-03T13:00:00+0000,96.435,96.435,96.435,96.435,2
2023-11-03T15:00:00+0000,96.43,96.43,96.43,96.43,50
2023-11-03T16:00:00+0000,96.43,96.43,96.43,96.43,141
2023-11-06T08:00:00+0000,96.41,96.41,96.41,96.41,50
2023-11-06T09:00:00+0000,96.415,96.415,96.41,96.41,70
2023-11-06T10:00:00+0000,96.4,96.4,96.4,96.4,100
2023-11-06T12:00:00+0000,96.41,96.41,96.41,96.41,71
2023-11-06T13:00:00+0000,96.405,96.405,96.405,96.405,55
2023-11-06T14:00:00+0000,96.405,96.405,96.4,96.4,139
2023-11-06T15:00:00+0000,96.395,96.395,96.395,96.395,50
2023-11-08T08:00:00+0000,96.42,96.425,96.42,96.42,102
2023-11-08T09:00:00+0000,96.415,96.42,96.415,96.415,18
2023-11-08T12:00:00+0000,96.4,96.4,96.4,96.4,3
2023-11-08T15:00:00+0000,96.4,96.4,96.4,96.4,5
2023-11-10T08:00:00+0000,96.375,96.375,96.375,96.375,4
2023-11-10T09:00:00+0000,96.37,96.37,96.37,96.37,4
2023-11-10T12:00:00+0000,96.37,96.37,96.37,96.37,150
2023-11-13T10:00:00+0000,96.34,96.34,96.34,96.34,2
2023-11-13T11:00:00+0000,96.345,96.345,96.345,96.345,2
2023-11-13T13:00:00+0000,96.35,96.35,96.35,96.35,2
2023-11-13T14:00:00+0000,96.34,96.34,96.34,96.34,8
2023-11-14T10:00:00+0000,96.345,96.345,96.345,96.345,1
