Time,Open,High,Low,Close,Volume
2013-12-19T20:00:00+0000,1.3651,1.3651,1.3651,1.3651,1
2013-12-20T00:00:00+0000,1.3648,1.3648,1.3648,1.3648,1
2013-12-20T13:00:00+0000,1.3648,1.3648,1.3648,1.3648,1
2013-12-20T14:00:00+0000,1.3658,1.367,1.3658,1.367,2
2013-12-23T12:00:00+0000,1.3694,1.3694,1.3694,1.3694,1
2013-12-24T11:00:00+0000,1.3679,1.3679,1.3678,1.3678,2
2013-12-27T12:00:00+0000,1.3855,1.3855,1.3855,1.3855,1
2013-12-27T13:00:00+0000,1.3845,1.3845,1.3845,1.3845,1
2013-12-27T17:00:00+0000,1.3767,1.3767,1.3767,1.3767,1
2013-12-27T18:00:00+0000,1.3764,1.3764,1.3764,1.3764,1
2014-01-02T15:00:00+0000,1.3636,1.364,1.3636,1.364,2
2014-01-02T20:00:00+0000,1.3658,1.3658,1.3658,1.3658,4
2014-01-03T21:00:00+0000,1.3577,1.359,1.3577,1.359,3
2014-01-06T07:00:00+0000,1.3581,1.3581,1.358,1.358,2
2014-01-06T15:00:00+0000,1.362,1.362,1.362,1.362,1
2014-01-08T17:00:00+0000,1.3574,1.3574,1.3574,1.3574,1
2014-01-09T13:00:00+0000,1.3573,1.3573,1.3573,1.3573,1
2014-01-09T14:00:00+0000,1.3582,1.3582,1.3582,1.3582,1
2014-01-10T13:00:00+0000,1.3646,1.3646,1.3646,1.3646,1
2014-01-10T15:00:00+0000,1.3667,1.3667,1.3667,1.3667,1
2014-01-10T17:00:00+0000,1.3659,1.3659,1.3659,1.3659,1
2014-01-10T19:00:00+0000,1.367,1.367,1.367,1.367,1
2014-01-10T20:00:00+0000,1.3661,1.3661,1.3661,1.3661,1
2014-01-13T13:00:00+0000,1.3663,1.3663,1.3663,1.3663,2
2014-01-14T14:00:00+0000,1.3664,1.3664,1.3664,1.3664,6
2014-01-21T12:00:00+0000,1.3515,1.3515,1.3515,1.3515,1
2014-01-23T15:00:00+0000,1.3665,1.3665,1.3665,1.3665,1
2014-01-23T16:00:00+0000,1.367,1.367,1.367,1.367,2
2014-01-23T18:00:00+0000,1.367,1.367,1.367,1.367,1
2014-01-23T19:00:00+0000,1.3682,1.3682,1.3682,1.3682,2
2014-01-27T12:00:00+0000,1.3665,1.3665,1.3665,1.3665,1
2014-01-27T14:00:00+0000,1.3666,1.3668,1.3666,1.3668,2
2014-01-28T13:00:00+0000,1.3668,1.3668,1.3668,1.3668,1
2014-01-28T14:00:00+0000,1.367,1.367,1.367,1.367,4
2014-01-28T15:00:00+0000,1.3665,1.3665,1.3665,1.3665,1
2014-01-29T13:00:00+0000,1.3665,1.3665,1.3665,1.3665,1
2014-01-29T14:00:00+0000,1.3665,1.3665,1.3665,1.3665,1
2014-01-29T18:00:00+0000,1.3666,1.3666,1.3666,1.3666,1
2014-01-29T19:00:00+0000,1.3666,1.3666,1.3666,1.3666,1
2014-01-30T09:00:00+0000,1.367,1.367,1.367,1.367,1
2014-01-30T16:00:00+0000,1.355,1.355,1.355,1.355,1
2014-01-30T18:00:00+0000,1.3554,1.3554,1.3553,1.3553,3
2014-01-31T09:00:00+0000,1.354,1.354,1.354,1.354,1
