Time,Open,High,Low,Latest,Volume
2008-10-31T21:00:00+0000,100.8,100.8,100.8,100.8,0
2009-01-06T16:00:00+0000,101.35,101.35,101.35,101.35,1
2009-01-13T16:00:00+0000,98.5,98.5,98.5,98.5,1
2009-01-22T17:00:00+0000,96.5,96.5,96.5,96.5,1
2009-02-05T21:00:00+0000,98.9,99.0,98.9,99.0,2
2009-02-09T18:00:00+0000,100.0,100.0,100.0,100.0,1
2009-02-10T17:00:00+0000,100.7,100.7,100.7,100.7,1
2009-02-11T15:00:00+0000,100.0,100.0,100.0,100.0,1
2009-02-11T18:00:00+0000,100.025,100.025,100.025,100.025,1
2009-02-11T19:00:00+0000,100.1,100.1,100.1,100.1,1
2009-02-12T15:00:00+0000,100.0,100.0,100.0,100.0,1
2009-02-17T15:00:00+0000,98.6,98.6,97.0,97.0,7
2009-02-17T18:00:00+0000,97.0,97.0,97.0,97.0,2
2009-02-18T14:00:00+0000,96.5,96.5,96.5,96.5,2
2009-02-18T15:00:00+0000,96.9,96.9,96.9,96.9,2
2009-02-18T18:00:00+0000,96.0,96.0,96.0,96.0,1
2009-02-19T03:00:00+0000,95.15,95.15,95.15,95.15,1
2009-02-19T18:00:00+0000,96.225,97.0,96.225,97.0,2
2009-02-19T19:00:00+0000,97.25,97.325,97.25,97.325,6
2009-02-20T17:00:00+0000,95.15,95.15,95.15,95.15,1
2009-02-27T18:00:00+0000,98.6,98.6,98.6,98.6,2
2009-03-04T19:00:00+0000,98.5,98.5,98.5,98.5,1
2009-03-04T21:00:00+0000,98.3,98.3,98.3,98.3,3
2009-03-05T14:00:00+0000,98.0,98.0,98.0,98.0,2
2009-03-05T17:00:00+0000,97.1,97.1,97.1,97.1,2
2009-03-06T14:00:00+0000,98.15,98.15,98.125,98.125,6
2009-03-06T15:00:00+0000,98.225,98.225,97.825,98.075,27
2009-03-06T17:00:00+0000,97.825,97.825,97.825,97.825,1
2009-03-09T19:00:00+0000,97.0,97.0,97.0,97.0,2
2009-03-10T13:00:00+0000,97.625,97.625,97.625,97.625,1
2009-03-10T14:00:00+0000,97.625,97.625,97.625,97.625,1
2009-03-12T20:00:00+0000,97.6,97.6,97.6,97.6,1
2009-03-13T13:00:00+0000,97.8,97.8,97.8,97.8,1
2009-03-13T14:00:00+0000,97.6,97.6,97.6,97.6,2
2009-03-16T16:00:00+0000,97.75,97.75,97.75,97.75,1
2009-03-17T14:00:00+0000,98.0,98.0,98.0,98.0,3
2009-03-18T14:00:00+0000,99.2,99.2,98.725,98.725,10
2009-03-19T13:00:00+0000,99.4,99.4,99.4,99.4,1
2009-03-19T14:00:00+0000,99.2,99.8,99.2,99.8,5
2009-03-19T17:00:00+0000,99.6,99.6,99.6,99.6,1
2009-03-23T14:00:00+0000,100.0,100.0,100.0,100.0,4
2009-03-24T17:00:00+0000,100.0,100.0,100.0,100.0,3
2009-03-25T16:00:00+0000,99.0,99.0,99.0,99.0,2
2009-03-25T17:00:00+0000,99.0,99.0,99.0,99.0,1
2009-03-30T16:00:00+0000,97.2,97.2,97.2,97.2,2
2009-03-30T17:00:00+0000,97.0,97.0,97.0,97.0,1
2009-04-02T16:00:00+0000,99.2,99.2,99.2,99.2,1
2009-04-03T14:00:00+0000,99.3,99.3,99.3,99.3,1
2009-04-03T16:00:00+0000,100.0,100.0,100.0,100.0,4
2009-04-03T17:00:00+0000,99.975,99.975,99.9,99.9,2
2009-04-06T14:00:00+0000,99.2,99.5,99.2,99.5,2
2009-04-06T15:00:00+0000,100.0,100.0,100.0,100.0,1
2009-04-06T17:00:00+0000,100.0,100.0,100.0,100.0,1
2009-04-06T18:00:00+0000,99.7,99.7,99.7,99.7,1
2009-04-06T19:00:00+0000,100.4,100.5,100.4,100.5,2
2009-04-07T15:00:00+0000,100.0,100.0,100.0,100.0,1
2009-04-07T16:00:00+0000,100.2,100.2,100.2,100.2,1
2009-04-08T03:00:00+0000,100.0,100.0,100.0,100.0,1
2009-04-08T15:00:00+0000,100.55,100.55,100.125,100.125,2
2009-04-08T16:00:00+0000,100.5,100.5,100.5,100.5,1
2009-04-08T17:00:00+0000,100.3,100.6,100.3,100.6,7
2009-04-08T18:00:00+0000,100.25,100.25,100.25,100.25,1
2009-04-08T20:00:00+0000,100.45,100.45,100.45,100.45,1
2009-04-08T22:00:00+0000,101.0,101.25,101.0,101.25,14
2009-04-08T23:00:00+0000,101.25,101.25,101.25,101.25,4
2009-04-09T00:00:00+0000,101.5,101.5,101.5,101.5,2
2009-04-09T03:00:00+0000,101.0,101.0,101.0,101.0,1
2009-04-09T14:00:00+0000,101.5,101.5,101.15,101.15,4
2009-04-09T15:00:00+0000,101.5,101.65,101.5,101.65,3
2009-04-09T16:00:00+0000,101.55,101.55,101.55,101.55,1
2009-04-09T17:00:00+0000,101.6,101.75,101.6,101.65,20
2009-04-09T18:00:00+0000,101.8,101.85,101.7,101.7,11
2009-04-09T20:00:00+0000,101.5,101.5,101.5,101.5,2
2009-04-13T14:00:00+0000,101.65,101.65,101.525,101.525,2
2009-04-13T15:00:00+0000,101.5,101.5,101.35,101.35,4
2009-04-13T17:00:00+0000,101.8,102.0,101.8,102.0,7
2009-04-13T18:00:00+0000,102.025,102.025,102.025,102.025,1
2009-04-13T20:00:00+0000,102.0,102.0,102.0,102.0,2
2009-04-14T13:00:00+0000,101.925,101.925,101.875,101.875,5
2009-04-14T14:00:00+0000,101.6,101.6,101.525,101.525,2
2009-04-14T15:00:00+0000,101.5,101.625,101.5,101.6,3
2009-04-14T16:00:00+0000,101.6,101.6,101.45,101.45,9
2009-04-14T17:00:00+0000,101.375,101.375,101.2,101.2,6
2009-04-14T18:00:00+0000,101.175,101.2,101.175,101.175,10
2009-04-15T13:00:00+0000,101.575,101.675,101.575,101.675,2
2009-04-15T14:00:00+0000,101.65,101.875,101.65,101.875,5
2009-04-15T15:00:00+0000,101.85,102.0,101.85,102.0,18
2009-04-15T16:00:00+0000,102.0,102.125,102.0,102.125,5
2009-04-15T17:00:00+0000,102.5,102.525,102.5,102.525,9
2009-04-15T18:00:00+0000,102.275,102.275,102.275,102.275,1
2009-04-15T19:00:00+0000,102.675,102.7,102.675,102.7,2
2009-04-15T20:00:00+0000,102.8,103.0,102.8,103.0,15
2009-04-15T22:00:00+0000,102.85,103.05,102.85,103.05,10
2009-04-15T23:00:00+0000,103.05,103.05,102.9,102.9,3
2009-04-16T12:00:00+0000,102.9,102.9,102.9,102.9,1
2009-04-16T13:00:00+0000,102.9,103.05,102.825,103.05,17
2009-04-16T14:00:00+0000,103.05,103.1,102.875,103.05,11
2009-04-16T15:00:00+0000,102.75,102.825,102.7,102.825,10
2009-04-16T16:00:00+0000,102.0,102.0,102.0,102.0,6
2009-04-16T17:00:00+0000,102.225,102.225,101.95,102.225,4
2009-04-17T13:00:00+0000,102.5,102.5,102.5,102.5,1
2009-04-17T14:00:00+0000,101.95,102.05,101.95,102.05,2
2009-04-17T15:00:00+0000,102.15,102.15,102.0,102.0,3
2009-04-17T16:00:00+0000,102.5,102.5,102.5,102.5,2
2009-04-17T18:00:00+0000,102.675,102.8,102.65,102.8,18
2009-04-20T14:00:00+0000,101.55,101.65,101.2,101.2,7
2009-04-20T15:00:00+0000,101.2,101.5,101.15,101.5,3
2009-04-20T16:00:00+0000,101.4,101.6,101.4,101.6,5
2009-04-20T17:00:00+0000,101.2,101.2,101.2,101.2,1
2009-04-21T01:00:00+0000,102.0,102.0,102.0,102.0,1
2009-04-21T14:00:00+0000,101.9,101.9,101.65,101.65,15
2009-04-21T15:00:00+0000,101.7,101.7,101.65,101.675,3
2009-04-21T17:00:00+0000,101.575,101.65,101.575,101.65,6
2009-04-21T18:00:00+0000,101.65,101.65,101.65,101.65,2
2009-04-21T20:00:00+0000,102.0,102.0,102.0,102.0,2
2009-04-22T12:00:00+0000,101.75,101.75,101.75,101.75,4
2009-04-22T14:00:00+0000,101.625,101.7,101.0,101.0,10
2009-04-22T15:00:00+0000,101.05,101.05,100.6,101.0,7
2009-04-22T17:00:00+0000,101.175,101.25,101.175,101.25,2
2009-04-22T18:00:00+0000,101.25,101.5,101.1,101.475,6
2009-04-23T14:00:00+0000,101.225,101.725,101.225,101.525,7
2009-04-23T15:00:00+0000,101.325,101.325,101.325,101.325,2
2009-04-23T16:00:00+0000,101.175,101.175,101.175,101.175,1
2009-04-23T17:00:00+0000,101.0,101.0,100.85,101.0,6
2009-04-24T13:00:00+0000,100.95,100.975,100.875,100.875,6
2009-04-24T14:00:00+0000,100.7,101.075,100.5,101.075,6
2009-04-24T15:00:00+0000,100.85,100.925,100.775,100.775,8
2009-04-24T16:00:00+0000,100.575,100.775,100.425,100.7,7
2009-04-24T17:00:00+0000,100.6,100.65,100.5,100.5,4
2009-04-27T14:00:00+0000,99.975,100.375,99.6,100.375,5
2009-04-27T15:00:00+0000,100.4,100.4,100.35,100.35,4
2009-04-27T16:00:00+0000,100.45,100.45,100.175,100.175,2
2009-04-27T17:00:00+0000,99.95,99.95,99.95,99.95,1
2009-04-27T18:00:00+0000,99.95,99.975,99.95,99.975,2
2009-04-27T19:00:00+0000,100.075,100.075,100.075,100.075,1
2009-04-28T13:00:00+0000,100.15,100.2,100.1,100.1,29
2009-04-28T14:00:00+0000,100.1,100.35,100.1,100.35,42
2009-04-28T15:00:00+0000,100.0,100.0,100.0,100.0,1
2009-04-28T16:00:00+0000,99.325,99.85,99.325,99.85,10
2009-04-28T17:00:00+0000,99.925,99.95,99.5,99.5,8
2009-04-28T18:00:00+0000,99.4,99.4,99.3,99.35,9
2009-04-28T20:00:00+0000,99.325,99.325,99.325,99.325,2
2009-04-28T22:00:00+0000,99.325,99.325,99.325,99.325,3
