Time,Open,High,Low,Close,Volume
2025-09-01T04:00:00+0000,14860,14860,14860,14860,1
2025-09-02T04:00:00+0000,14930,14937,14930,14937,3
2025-09-03T03:00:00+0000,14811,14811,14811,14811,1
2025-09-04T02:00:00+0000,14632,14632,14555,14555,2
2025-09-04T03:00:00+0000,14462,14462,14445,14445,3
2025-09-04T05:00:00+0000,14598,14598,14561,14561,3
2025-09-05T01:00:00+0000,14609,14609,14609,14609,5
2025-09-09T03:00:00+0000,14808,14808,14800,14800,38
2025-09-10T06:00:00+0000,14900,14900,14900,14900,1
2025-09-10T13:00:00+0000,14801,14801,14800,14800,21
2025-09-11T02:00:00+0000,14892,14916,14892,14916,2
2025-09-11T10:00:00+0000,15187,15187,15187,15187,2
2025-09-11T18:00:00+0000,15228,15228,15228,15228,1
2025-09-15T02:00:00+0000,15258,15258,15258,15258,1
2025-09-15T03:00:00+0000,15258,15258,15258,15258,1
2025-09-16T06:00:00+0000,15066,15066,15066,15066,6
2025-09-16T13:00:00+0000,15078,15078,15078,15078,1
2025-09-17T18:00:00+0000,15186,15186,15186,15186,1
2025-09-18T06:00:00+0000,15049,15049,14883,14883,9
2025-09-18T07:00:00+0000,14966,14966,14966,14966,1
2025-09-18T14:00:00+0000,14974,14974,14974,14974,1
2025-09-19T01:00:00+0000,14960,14960,14950,14950,14
2025-09-19T06:00:00+0000,14992,15012,14992,15012,10
2025-09-22T01:00:00+0000,14952,14952,14952,14952,1
2025-09-23T10:00:00+0000,15077,15077,15077,15077,1
2025-09-23T13:00:00+0000,15077,15077,15077,15077,2
2025-09-24T01:00:00+0000,15030,15030,15030,15030,1
2025-09-24T03:00:00+0000,15055,15055,15055,15055,1
2025-09-25T01:00:00+0000,15130,15130,15130,15130,1
2025-09-25T02:00:00+0000,15237,15237,15237,15237,1
2025-09-25T05:00:00+0000,15225,15230,15175,15230,65
2025-09-25T06:00:00+0000,15235,15280,15235,15280,4
2025-09-26T01:00:00+0000,15150,15150,15150,15150,2
2025-09-26T05:00:00+0000,15096,15096,15096,15096,3
2025-09-26T06:00:00+0000,15061,15061,15060,15060,41
2025-09-26T07:00:00+0000,15000,15000,14961,14961,9
2025-09-26T08:00:00+0000,14980,14980,14980,14980,27
2025-09-26T12:00:00+0000,14980,14980,14980,14980,3
2025-09-29T01:00:00+0000,15000,15050,14980,15050,24
2025-09-29T02:00:00+0000,15003,15090,15003,15071,42
2025-09-29T03:00:00+0000,15027,15027,15024,15024,2
2025-09-29T05:00:00+0000,15040,15288,15040,15288,23
2025-09-29T06:00:00+0000,15299,15310,15200,15210,5
2025-09-29T07:00:00+0000,15180,15180,15176,15180,66
2025-09-29T08:00:00+0000,15185,15185,15185,15185,2
2025-09-29T09:00:00+0000,15187,15187,15172,15172,41
2025-09-29T10:00:00+0000,15176,15176,15176,15176,1
2025-09-29T13:00:00+0000,15216,15216,15216,15216,2
2025-09-29T14:00:00+0000,15200,15200,15200,15200,1
