Time,Open,High,Low,Close,Volume
2017-04-28T12:00:00+0000,2.98,2.98,2.98,2.98,1
2017-05-08T13:00:00+0000,2.935,2.935,2.925,2.925,5
2017-05-17T16:00:00+0000,2.93,2.93,2.93,2.93,2
2017-05-18T11:00:00+0000,2.95,2.95,2.95,2.95,1
2017-05-23T15:00:00+0000,2.945,2.945,2.945,2.945,1
2017-05-31T10:00:00+0000,2.895,2.895,2.895,2.895,1
2017-06-12T19:00:00+0000,2.91,2.91,2.91,2.91,1
2017-06-23T12:00:00+0000,2.85,2.85,2.85,2.85,1
2017-06-26T20:00:00+0000,2.88,2.88,2.88,2.88,1
2017-07-03T16:00:00+0000,2.845,2.845,2.845,2.845,1
2017-07-17T12:00:00+0000,2.89,2.89,2.89,2.89,1
2017-08-16T00:00:00+0000,2.89,2.89,2.89,2.89,1
2017-08-28T15:00:00+0000,2.9,2.9,2.9,2.9,4
2017-08-28T16:00:00+0000,2.89,2.89,2.89,2.89,1
2017-08-28T17:00:00+0000,2.895,2.895,2.895,2.895,4
2017-08-30T17:00:00+0000,2.905,2.905,2.905,2.905,2
2017-09-05T15:00:00+0000,2.905,2.905,2.905,2.905,1
2017-09-05T16:00:00+0000,2.95,2.95,2.95,2.95,1
2017-09-06T13:00:00+0000,2.935,2.935,2.935,2.935,1
2017-09-11T17:00:00+0000,2.93,2.93,2.93,2.93,1
2017-09-11T20:00:00+0000,2.92,2.92,2.92,2.92,1
2017-09-19T12:00:00+0000,2.95,2.95,2.95,2.95,1
2017-09-25T18:00:00+0000,2.965,2.965,2.965,2.965,1
2017-09-26T15:00:00+0000,2.93,2.93,2.93,2.93,1
2017-09-29T16:00:00+0000,2.95,2.95,2.95,2.95,1
2017-10-02T13:00:00+0000,2.91,2.91,2.9,2.9,2
2017-10-03T08:00:00+0000,2.91,2.91,2.91,2.91,1
2017-10-04T13:00:00+0000,2.95,2.95,2.95,2.95,1
2017-10-20T05:00:00+0000,2.91,2.91,2.91,2.91,1
2017-10-22T22:00:00+0000,3.005,3.005,3.005,3.005,2
2017-10-22T23:00:00+0000,2.95,2.985,2.95,2.985,4
2017-10-23T02:00:00+0000,2.98,2.98,2.98,2.98,1
2017-10-24T12:00:00+0000,2.98,2.98,2.98,2.98,1
2017-10-24T15:00:00+0000,2.97,2.97,2.97,2.97,1
2017-10-25T19:00:00+0000,2.97,2.97,2.97,2.97,1
2017-10-26T14:00:00+0000,2.945,2.945,2.945,2.945,2
2017-10-30T11:00:00+0000,2.91,2.91,2.91,2.91,1
2017-11-06T13:00:00+0000,2.97,2.97,2.97,2.97,1
2017-11-06T16:00:00+0000,2.97,2.97,2.97,2.97,1
2017-11-07T19:00:00+0000,2.955,2.955,2.955,2.955,1
