Time,Open,High,Low,Close,Volume
2015-05-13T07:00:00+0000,1.5705,1.5705,1.5705,1.5705,2
2015-05-14T15:00:00+0000,1.5735,1.5735,1.5735,1.5735,3
2015-05-19T12:00:00+0000,1.546,1.546,1.546,1.546,3
2015-05-26T06:00:00+0000,1.54,1.54,1.54,1.54,1
2015-05-26T07:00:00+0000,1.54,1.54,1.54,1.54,2
2015-05-27T13:00:00+0000,1.5325,1.5325,1.5325,1.5325,2
2015-05-27T16:00:00+0000,1.5317,1.5317,1.5317,1.5317,10
2015-05-27T17:00:00+0000,1.5304,1.5304,1.5304,1.5304,1
2015-05-27T20:00:00+0000,1.5343,1.5343,1.5343,1.5343,2
2015-05-28T14:00:00+0000,1.527,1.527,1.527,1.527,1
2015-05-28T15:00:00+0000,1.5284,1.5284,1.5263,1.5263,2
2015-05-29T05:00:00+0000,1.5318,1.5318,1.5318,1.5318,1
2015-05-29T07:00:00+0000,1.5283,1.5283,1.5283,1.5283,2
2015-05-29T09:00:00+0000,1.5285,1.5285,1.5285,1.5285,1
2015-05-29T10:00:00+0000,1.528,1.528,1.524,1.524,12
2015-05-29T11:00:00+0000,1.523,1.5234,1.523,1.5234,3
2015-05-29T12:00:00+0000,1.5266,1.5266,1.5266,1.5266,1
2015-05-29T13:00:00+0000,1.5262,1.5262,1.5262,1.5262,20
2015-05-29T14:00:00+0000,1.5262,1.5262,1.5242,1.5242,28
2015-05-29T15:00:00+0000,1.5256,1.5256,1.5256,1.5256,13
2015-05-29T17:00:00+0000,1.528,1.5286,1.528,1.5286,5
2015-05-29T18:00:00+0000,1.5284,1.5284,1.5282,1.5282,2
2015-05-29T19:00:00+0000,1.5277,1.5277,1.5276,1.5276,2
2015-06-01T06:00:00+0000,1.5274,1.5274,1.5274,1.5274,1
2015-06-01T07:00:00+0000,1.5257,1.5257,1.5257,1.5257,20
2015-06-01T09:00:00+0000,1.5204,1.5204,1.5204,1.5204,1
2015-06-01T10:00:00+0000,1.5193,1.5193,1.5193,1.5193,1
2015-06-01T12:00:00+0000,1.5232,1.5232,1.5232,1.5232,1
2015-06-01T13:00:00+0000,1.5227,1.525,1.5227,1.525,22
2015-06-01T14:00:00+0000,1.5213,1.5213,1.52,1.52,4
2015-06-01T15:00:00+0000,1.5194,1.5194,1.5166,1.5166,2
2015-06-01T16:00:00+0000,1.5166,1.5175,1.5166,1.5175,2
2015-06-02T00:00:00+0000,1.5195,1.5195,1.5195,1.5195,1
2015-06-02T01:00:00+0000,1.5191,1.5191,1.5191,1.5191,1
2015-06-02T04:00:00+0000,1.5191,1.5191,1.5191,1.5191,1
2015-06-02T05:00:00+0000,1.5201,1.5202,1.5201,1.5202,2
2015-06-02T06:00:00+0000,1.5213,1.5213,1.5213,1.5213,20
2015-06-02T08:00:00+0000,1.5174,1.5226,1.5174,1.5226,4
2015-06-02T09:00:00+0000,1.5249,1.5249,1.5249,1.5249,20
2015-06-02T10:00:00+0000,1.5248,1.5248,1.524,1.524,21
2015-06-02T12:00:00+0000,1.5224,1.5224,1.5224,1.5224,1
2015-06-02T13:00:00+0000,1.5277,1.5304,1.5271,1.5304,81
2015-06-02T14:00:00+0000,1.5319,1.5319,1.5319,1.5319,1
2015-06-02T15:00:00+0000,1.5309,1.5309,1.5309,1.5309,1
2015-06-02T16:00:00+0000,1.5334,1.5343,1.533,1.5338,6
2015-06-02T18:00:00+0000,1.5343,1.5343,1.5343,1.5343,4
2015-06-02T20:00:00+0000,1.5332,1.5332,1.5332,1.5332,2
2015-06-03T05:00:00+0000,1.5353,1.5361,1.5353,1.5361,2
2015-06-03T07:00:00+0000,1.5326,1.5326,1.5322,1.5322,28
2015-06-03T08:00:00+0000,1.5351,1.5351,1.5252,1.5259,17
2015-06-03T09:00:00+0000,1.525,1.5268,1.5244,1.5268,13
2015-06-03T12:00:00+0000,1.5268,1.5268,1.5265,1.5265,2
2015-06-03T13:00:00+0000,1.5304,1.5304,1.53,1.53,3
2015-06-03T14:00:00+0000,1.5322,1.5326,1.5317,1.5326,4
2015-06-03T15:00:00+0000,1.5341,1.5341,1.5341,1.5341,1
2015-06-03T18:00:00+0000,1.5301,1.5301,1.5301,1.5301,1
2015-06-03T19:00:00+0000,1.5302,1.5306,1.5302,1.5306,7
2015-06-04T05:00:00+0000,1.5324,1.5324,1.5324,1.5324,4
2015-06-04T06:00:00+0000,1.5296,1.5299,1.5296,1.5298,15
2015-06-04T07:00:00+0000,1.5314,1.5314,1.5314,1.5314,1
2015-06-04T08:00:00+0000,1.5344,1.539,1.5344,1.539,47
2015-06-04T09:00:00+0000,1.5411,1.542,1.5411,1.542,2
2015-06-04T10:00:00+0000,1.5422,1.5422,1.5405,1.5405,12
2015-06-04T11:00:00+0000,1.541,1.541,1.5378,1.5378,24
2015-06-04T12:00:00+0000,1.5381,1.5381,1.5366,1.5366,2
2015-06-04T13:00:00+0000,1.5382,1.5382,1.535,1.535,7
2015-06-04T17:00:00+0000,1.5372,1.5372,1.5372,1.5372,1
2015-06-04T18:00:00+0000,1.537,1.537,1.537,1.537,1
