Time,Open,High,Low,Close,Volume
2019-11-29T01:00:00+0000,10486,10500,10395,10406,47
2019-11-29T02:00:00+0000,10416,10430,10360,10360,27
2019-11-29T03:00:00+0000,10373,10373,10333,10349,23
2019-11-29T05:00:00+0000,10343,10343,10326,10326,10
2019-11-29T06:00:00+0000,10338,10359,10334,10340,12
2019-11-29T07:00:00+0000,10326,10338,10326,10338,2
2019-11-29T08:00:00+0000,10339,10339,10331,10331,2
2019-11-29T09:00:00+0000,10372,10375,10368,10370,4
2019-11-29T10:00:00+0000,10369,10370,10361,10370,5
2019-11-29T12:00:00+0000,10375,10378,10375,10378,2
2019-11-29T14:00:00+0000,10355,10367,10355,10367,2
2019-11-29T15:00:00+0000,10376,10379,10373,10373,6
2019-11-29T16:00:00+0000,10369,10372,10369,10370,7
2019-11-29T17:00:00+0000,10368,10368,10348,10355,7
2019-11-29T18:00:00+0000,10350,10352,10350,10352,2
2019-12-02T01:00:00+0000,10400,10426,10380,10426,66
2019-12-02T02:00:00+0000,10429,10431,10398,10413,29
2019-12-02T03:00:00+0000,10419,10422,10418,10421,7
2019-12-02T05:00:00+0000,10401,10406,10400,10402,9
2019-12-02T06:00:00+0000,10402,10403,10400,10400,4
2019-12-02T07:00:00+0000,10417,10417,10397,10398,4
2019-12-02T08:00:00+0000,10409,10414,10409,10414,2
2019-12-02T09:00:00+0000,10409,10409,10409,10409,1
2019-12-02T11:00:00+0000,10394,10394,10380,10380,24
2019-12-02T12:00:00+0000,10385,10385,10385,10385,1
2019-12-02T13:00:00+0000,10385,10391,10378,10391,7
2019-12-02T14:00:00+0000,10380,10386,10370,10384,10
2019-12-02T15:00:00+0000,10375,10379,10360,10377,12
2019-12-02T16:00:00+0000,10362,10376,10362,10370,9
2019-12-02T17:00:00+0000,10361,10361,10350,10350,3
2019-12-02T18:00:00+0000,10369,10370,10369,10370,3
2019-12-03T01:00:00+0000,10370,10376,10290,10351,75
2019-12-03T02:00:00+0000,10348,10412,10348,10404,48
2019-12-03T03:00:00+0000,10391,10430,10391,10426,35
2019-12-03T05:00:00+0000,10413,10420,10403,10403,7
2019-12-03T06:00:00+0000,10406,10406,10392,10399,13
2019-12-03T07:00:00+0000,10404,10408,10393,10394,6
2019-12-03T08:00:00+0000,10393,10393,10393,10393,1
2019-12-03T09:00:00+0000,10384,10392,10384,10392,4
2019-12-03T10:00:00+0000,10398,10399,10340,10345,32
2019-12-03T11:00:00+0000,10347,10347,10347,10347,1
2019-12-03T12:00:00+0000,10345,10345,10331,10331,11
2019-12-03T13:00:00+0000,10323,10323,10288,10288,12
2019-12-03T14:00:00+0000,10280,10285,10230,10234,22
2019-12-03T15:00:00+0000,10249,10271,10239,10271,6
2019-12-03T16:00:00+0000,10248,10267,10248,10264,5
2019-12-03T17:00:00+0000,10267,10267,10267,10267,1
2019-12-03T18:00:00+0000,10269,10269,10261,10261,20
2019-12-04T01:00:00+0000,10244,10335,10244,10273,84
2019-12-04T02:00:00+0000,10286,10314,10279,10286,25
2019-12-04T03:00:00+0000,10276,10306,10276,10290,11
2019-12-04T05:00:00+0000,10292,10319,10292,10313,14
2019-12-04T06:00:00+0000,10312,10319,10300,10302,18
2019-12-04T07:00:00+0000,10301,10301,10289,10292,10
2019-12-04T08:00:00+0000,10295,10295,10295,10295,1
2019-12-04T09:00:00+0000,10350,10374,10338,10342,17
2019-12-04T10:00:00+0000,10359,10359,10350,10350,3
2019-12-04T11:00:00+0000,10356,10356,10356,10356,1
2019-12-04T12:00:00+0000,10357,10358,10357,10358,2
2019-12-04T13:00:00+0000,10361,10365,10358,10358,5
2019-12-04T14:00:00+0000,10371,10380,10364,10376,13
2019-12-04T15:00:00+0000,10368,10370,10362,10363,4
2019-12-04T16:00:00+0000,10378,10378,10369,10369,3
2019-12-05T01:00:00+0000,10384,10384,10330,10370,25
2019-12-05T02:00:00+0000,10368,10374,10339,10339,22
2019-12-05T03:00:00+0000,10332,10342,10318,10324,11
2019-12-05T05:00:00+0000,10327,10333,10325,10331,5
2019-12-05T06:00:00+0000,10340,10350,10340,10350,9
2019-12-05T07:00:00+0000,10360,10365,10351,10355,13
2019-12-05T08:00:00+0000,10354,10354,10347,10347,6
2019-12-05T09:00:00+0000,10345,10345,10340,10340,2
2019-12-05T10:00:00+0000,10359,10359,10359,10359,2
2019-12-05T11:00:00+0000,10362,10362,10362,10362,1
2019-12-05T12:00:00+0000,10355,10355,10355,10355,2
2019-12-05T13:00:00+0000,10350,10351,10350,10351,11
2019-12-05T14:00:00+0000,10353,10365,10353,10361,6
2019-12-05T15:00:00+0000,10345,10351,10342,10351,3
2019-12-05T16:00:00+0000,10360,10364,10360,10364,3
2019-12-05T17:00:00+0000,10364,10364,10364,10364,1
2019-12-05T18:00:00+0000,10366,10366,10366,10366,2
2019-12-06T01:00:00+0000,10397,10445,10397,10445,51
2019-12-06T02:00:00+0000,10437,10468,10407,10407,44
2019-12-06T03:00:00+0000,10407,10419,10405,10419,5
2019-12-06T05:00:00+0000,10410,10414,10398,10398,7
2019-12-06T06:00:00+0000,10396,10439,10396,10439,24
2019-12-06T07:00:00+0000,10435,10463,10433,10433,20
2019-12-06T08:00:00+0000,10428,10428,10428,10428,2
2019-12-06T12:00:00+0000,10446,10446,10435,10435,2
2019-12-06T13:00:00+0000,10453,10453,10453,10453,2
2019-12-06T14:00:00+0000,10467,10467,10467,10467,1
2019-12-06T15:00:00+0000,10462,10463,10459,10459,5
2019-12-06T16:00:00+0000,10448,10448,10448,10448,1
2019-12-06T17:00:00+0000,10448,10452,10448,10452,5
2019-12-06T18:00:00+0000,10461,10461,10459,10459,5
2019-12-09T01:00:00+0000,10415,10464,10400,10412,31
2019-12-09T02:00:00+0000,10423,10499,10423,10488,29
2019-12-09T03:00:00+0000,10484,10485,10439,10445,19
2019-12-09T05:00:00+0000,10442,10442,10433,10433,3
2019-12-09T06:00:00+0000,10430,10454,10428,10454,9
2019-12-09T07:00:00+0000,10462,10462,10453,10453,2
2019-12-09T08:00:00+0000,10443,10443,10437,10437,2
2019-12-09T09:00:00+0000,10430,10433,10430,10433,2
2019-12-09T10:00:00+0000,10434,10434,10434,10434,1
2019-12-09T12:00:00+0000,10435,10435,10435,10435,1
2019-12-09T14:00:00+0000,10435,10445,10435,10445,2
2019-12-09T15:00:00+0000,10436,10436,10431,10431,3
2019-12-09T16:00:00+0000,10425,10426,10422,10422,8
