Time,Open,High,Low,Close,Volume
2024-02-13T20:00:00+0000,153.2,153.2,153.2,153.2,1
2024-03-27T09:00:00+0000,155.1,155.1,155.1,155.1,1
2024-04-01T11:00:00+0000,155.53,155.53,155.53,155.53,5
2024-04-02T07:00:00+0000,154.71,154.71,154.71,154.71,1
2024-04-02T14:00:00+0000,154.13,154.21,154.09,154.21,135
2024-04-02T17:00:00+0000,154.2,154.2,154.12,154.16,28
2024-04-02T18:00:00+0000,154.18,154.18,154.18,154.18,10
2024-04-02T19:00:00+0000,154.26,154.26,154.26,154.26,3
2024-04-03T13:00:00+0000,154.01,154.03,154.01,154.03,34
2024-04-03T14:00:00+0000,154.12,154.12,154.12,154.12,10
2024-04-03T15:00:00+0000,154.38,154.46,154.38,154.46,111
2024-04-03T16:00:00+0000,154.54,154.54,154.54,154.54,30
2024-04-03T17:00:00+0000,154.52,154.52,154.52,154.52,1
2024-04-03T18:00:00+0000,154.55,154.55,154.5,154.5,31
2024-04-03T19:00:00+0000,154.45,154.45,154.45,154.45,15
2024-04-04T15:00:00+0000,154.78,154.78,154.78,154.78,10
2024-04-04T18:00:00+0000,154.55,154.55,154.3,154.37,295
2024-04-04T19:00:00+0000,154.23,154.23,154.13,154.13,2
2024-04-05T18:00:00+0000,154.15,154.15,154.15,154.15,6
2024-04-05T19:00:00+0000,154.16,154.17,154.06,154.17,61
2024-04-08T17:00:00+0000,154.32,154.35,154.32,154.35,2
2024-04-09T14:00:00+0000,154.67,154.71,154.66,154.71,260
2024-04-09T17:00:00+0000,154.63,154.63,154.63,154.63,8
2024-04-09T18:00:00+0000,154.67,154.68,154.67,154.68,10
2024-04-10T13:00:00+0000,153.82,153.83,153.82,153.83,18
2024-04-10T14:00:00+0000,153.83,153.91,153.81,153.83,40
2024-04-10T17:00:00+0000,153.41,153.49,153.21,153.49,13
2024-04-10T18:00:00+0000,153.37,153.37,153.24,153.28,16
2024-04-11T14:00:00+0000,153.01,153.01,152.96,152.96,31
2024-04-11T16:00:00+0000,152.89,152.91,152.85,152.85,12
2024-04-11T17:00:00+0000,152.83,152.93,152.74,152.93,9
2024-04-11T18:00:00+0000,153.03,153.12,152.91,152.91,19
2024-04-12T11:00:00+0000,152.87,152.87,152.68,152.87,3
2024-04-12T12:00:00+0000,152.81,152.81,152.81,152.81,2
2024-04-12T13:00:00+0000,152.77,152.77,152.77,152.77,1
2024-04-12T14:00:00+0000,152.96,152.96,152.77,152.77,23
2024-04-12T15:00:00+0000,152.78,152.84,152.68,152.68,7
2024-04-12T17:00:00+0000,152.58,152.58,152.58,152.58,1
2024-04-12T18:00:00+0000,152.56,152.56,152.51,152.51,2
2024-04-12T19:00:00+0000,152.64,152.75,152.62,152.75,7
2024-04-15T13:00:00+0000,152.76,152.76,152.6,152.6,12
2024-04-15T14:00:00+0000,152.57,152.57,152.23,152.23,10
2024-04-15T15:00:00+0000,152.11,152.29,152.11,152.29,103
