Time,Open,High,Low,Close,Volume
2024-05-30T15:00:00+0000,131.32,131.34,131.32,131.33,5
2024-06-03T19:00:00+0000,132.87,132.87,132.87,132.87,5
2024-06-04T13:00:00+0000,133.19,133.19,133.19,133.19,1
2024-06-04T14:00:00+0000,133.33,133.33,133.33,133.33,1
2024-06-04T15:00:00+0000,133.06,133.11,133.04,133.09,347
2024-06-05T14:00:00+0000,133.38,133.38,133.35,133.36,52
2024-06-05T15:00:00+0000,133.47,133.61,133.47,133.54,153
2024-06-05T18:00:00+0000,133.56,133.63,133.56,133.63,70
2024-06-06T15:00:00+0000,133.52,133.66,133.52,133.61,244
2024-06-06T16:00:00+0000,133.51,133.51,133.51,133.51,3
2024-06-07T14:00:00+0000,132.38,132.38,132.32,132.32,6
2024-06-07T16:00:00+0000,132.56,132.56,132.53,132.54,16
2024-06-07T17:00:00+0000,132.55,132.58,132.47,132.58,88
2024-06-07T18:00:00+0000,132.57,132.57,132.57,132.57,7
2024-06-07T19:00:00+0000,132.55,132.55,132.52,132.52,8
2024-06-10T13:00:00+0000,132.14,132.14,132.14,132.14,10
2024-06-10T16:00:00+0000,132.18,132.18,132.18,132.18,3
2024-06-11T13:00:00+0000,132.27,132.27,132.22,132.22,16
2024-06-11T14:00:00+0000,132.28,132.34,132.27,132.34,48
2024-06-11T16:00:00+0000,132.21,132.23,132.19,132.19,319
2024-06-11T17:00:00+0000,132.52,132.52,132.52,132.52,5
2024-06-11T18:00:00+0000,132.7,132.72,132.7,132.72,75
2024-06-12T13:00:00+0000,134.0,134.0,133.9,133.94,49
2024-06-12T14:00:00+0000,133.87,134.12,133.87,134.12,10
2024-06-12T15:00:00+0000,134.18,134.18,134.14,134.14,4
2024-06-12T18:00:00+0000,134.15,134.15,134.01,134.01,15
2024-06-13T13:00:00+0000,134.08,134.08,133.99,133.99,8
2024-06-13T14:00:00+0000,133.81,133.81,133.81,133.81,10
2024-06-13T15:00:00+0000,133.81,133.94,133.73,133.94,255
2024-06-13T17:00:00+0000,134.07,134.07,134.07,134.07,5
2024-06-14T13:00:00+0000,134.12,134.12,134.12,134.12,1
2024-06-18T16:00:00+0000,134.07,134.07,134.03,134.03,50
2024-06-20T14:00:00+0000,133.41,133.47,133.41,133.41,480
2024-06-20T16:00:00+0000,133.47,133.47,133.46,133.46,10
2024-06-20T17:00:00+0000,133.52,133.52,133.52,133.52,1
2024-06-21T07:00:00+0000,133.66,133.66,133.66,133.66,1
2024-06-21T13:00:00+0000,133.66,133.66,133.66,133.66,2
2024-06-21T14:00:00+0000,133.57,133.57,133.51,133.51,11
2024-06-24T13:00:00+0000,133.71,133.73,133.71,133.73,5
2024-06-24T14:00:00+0000,133.76,133.76,133.76,133.76,6
2024-06-24T17:00:00+0000,133.67,133.7,133.67,133.7,7
2024-06-24T18:00:00+0000,133.7,133.7,133.7,133.7,3
2024-06-25T13:00:00+0000,133.59,133.59,133.52,133.52,15
2024-06-26T13:00:00+0000,133.0,133.0,132.73,133.0,3
2024-06-26T14:00:00+0000,132.72,132.73,132.72,132.73,3
2024-06-26T15:00:00+0000,132.77,132.81,132.77,132.81,3
2024-06-26T18:00:00+0000,132.8,132.8,132.78,132.78,26
2024-06-26T19:00:00+0000,132.78,132.78,132.78,132.78,2
2024-06-27T16:00:00+0000,133.09,133.09,133.09,133.09,1
2024-06-28T14:00:00+0000,133.3,133.3,133.3,133.3,1
2024-06-28T15:00:00+0000,132.75,132.75,132.75,132.75,1
2024-07-01T14:00:00+0000,131.75,131.75,131.75,131.75,1
2024-07-01T16:00:00+0000,131.48,131.48,131.48,131.48,1
