Time,Open,High,Low,Close,Volume
2025-03-18T04:00:00+0000,0.7001,0.7001,0.7001,0.7001,1
2025-03-19T07:00:00+0000,0.6978,0.6978,0.6978,0.6978,20
2025-03-31T14:00:00+0000,0.6872,0.6872,0.6872,0.6872,1
2025-04-01T02:00:00+0000,0.6896,0.6896,0.6896,0.6896,2
2025-04-01T06:00:00+0000,0.6886,0.6886,0.6886,0.6886,3
2025-04-01T11:00:00+0000,0.688,0.688,0.688,0.688,1
2025-04-03T09:00:00+0000,0.6973,0.6973,0.6973,0.6973,20
2025-04-04T02:00:00+0000,0.7043,0.7043,0.7043,0.7043,1
2025-04-04T08:00:00+0000,0.7022,0.7022,0.7022,0.7022,20
2025-04-04T10:00:00+0000,0.7003,0.7003,0.6987,0.6987,3
2025-04-07T09:00:00+0000,0.6905,0.6905,0.6905,0.6905,5
2025-04-07T12:00:00+0000,0.6914,0.6914,0.6914,0.6914,8
2025-04-09T04:00:00+0000,0.6825,0.6825,0.6821,0.6821,4
2025-04-10T06:00:00+0000,0.6954,0.6954,0.6954,0.6954,20
2025-04-22T06:00:00+0000,0.7121,0.7121,0.7121,0.7121,2
2025-04-22T07:00:00+0000,0.7115,0.7115,0.7115,0.7115,2
2025-04-23T01:00:00+0000,0.7095,0.7095,0.7095,0.7095,2
2025-04-23T12:00:00+0000,0.7124,0.7124,0.7124,0.7124,2
2025-04-24T09:00:00+0000,0.7061,0.7061,0.7061,0.7061,3
2025-05-01T02:00:00+0000,0.709,0.709,0.709,0.709,4
2025-05-02T10:00:00+0000,0.7241,0.7241,0.7241,0.7241,4
2025-05-05T09:00:00+0000,0.7398,0.7398,0.7398,0.7398,3
2025-05-14T08:00:00+0000,0.7253,0.7253,0.7253,0.7253,1
2025-05-14T16:00:00+0000,0.72,0.72,0.72,0.72,1
2025-05-15T04:00:00+0000,0.7253,0.7253,0.7253,0.7253,1
2025-05-15T09:00:00+0000,0.7248,0.7248,0.7248,0.7248,2
2025-06-17T03:00:00+0000,0.7442,0.7442,0.7442,0.7442,1
2025-06-20T12:00:00+0000,0.7393,0.7393,0.7393,0.7393,1
2025-06-26T03:00:00+0000,0.7453,0.7453,0.7453,0.7453,10
2025-06-30T02:00:00+0000,0.745,0.745,0.745,0.745,2
2025-06-30T03:00:00+0000,0.745,0.745,0.745,0.745,1
2025-06-30T04:00:00+0000,0.7487,0.7487,0.7487,0.7487,1
2025-07-01T01:00:00+0000,0.7478,0.7478,0.7478,0.7478,1
2025-07-03T16:00:00+0000,0.7397,0.7397,0.7397,0.7397,1
2025-07-07T03:00:00+0000,0.7381,0.7386,0.7381,0.7386,3
2025-07-08T02:00:00+0000,0.7393,0.7393,0.7393,0.7393,1
2025-07-08T18:00:00+0000,0.7376,0.7376,0.7376,0.7376,2
2025-07-09T10:00:00+0000,0.734,0.734,0.734,0.734,1
2025-07-09T18:00:00+0000,0.7349,0.7349,0.7349,0.7349,1
2025-07-11T02:00:00+0000,0.7338,0.734,0.7334,0.7334,3
2025-07-11T03:00:00+0000,0.7347,0.7347,0.7347,0.7347,1
2025-07-11T12:00:00+0000,0.7341,0.7341,0.7341,0.7341,1
2025-07-14T03:00:00+0000,0.7322,0.7322,0.7318,0.7318,3
2025-07-14T08:00:00+0000,0.731,0.731,0.731,0.731,1
2025-07-15T01:00:00+0000,0.7296,0.7296,0.7296,0.7296,1
2025-07-16T02:00:00+0000,0.7273,0.7273,0.7273,0.7273,4
2025-07-16T03:00:00+0000,0.7265,0.7265,0.7265,0.7265,1
2025-07-16T06:00:00+0000,0.7283,0.7283,0.7283,0.7283,1
2025-07-16T17:00:00+0000,0.7284,0.7284,0.7284,0.7284,1
2025-07-17T02:00:00+0000,0.7258,0.7258,0.7258,0.7258,10
2025-07-17T05:00:00+0000,0.7259,0.7259,0.7259,0.7259,1
2025-07-18T01:00:00+0000,0.727,0.727,0.7259,0.7259,6
2025-07-21T01:00:00+0000,0.7255,0.7255,0.7255,0.7255,1
2025-07-21T04:00:00+0000,0.725,0.725,0.725,0.725,1
2025-07-21T12:00:00+0000,0.729,0.729,0.729,0.729,2
2025-07-23T07:00:00+0000,0.7317,0.7317,0.7317,0.7317,3
2025-07-29T04:00:00+0000,0.7249,0.7249,0.7249,0.7249,2
2025-07-30T12:00:00+0000,0.7263,0.7263,0.7263,0.7263,18
2025-08-01T07:00:00+0000,0.7177,0.7177,0.7177,0.7177,11
2025-08-04T09:00:00+0000,0.7284,0.7284,0.7284,0.7284,17
2025-08-04T10:00:00+0000,0.7287,0.7287,0.7287,0.7287,3
2025-08-05T11:00:00+0000,0.7245,0.7245,0.7245,0.7245,20
2025-08-05T14:00:00+0000,0.7255,0.7255,0.7255,0.7255,20
2025-08-11T06:00:00+0000,0.7258,0.7258,0.7258,0.7258,8
2025-08-13T07:00:00+0000,0.7303,0.7303,0.7303,0.7303,20
2025-08-13T08:00:00+0000,0.7314,0.7314,0.7314,0.7314,8
2025-08-13T09:00:00+0000,0.7315,0.7315,0.7315,0.7315,3
2025-08-18T01:00:00+0000,0.726,0.7266,0.726,0.7266,5
2025-08-20T00:00:00+0000,0.7221,0.7221,0.7221,0.7221,1
2025-08-21T03:00:00+0000,0.7199,0.7199,0.7199,0.7199,1
2025-08-22T14:00:00+0000,0.7274,0.7274,0.727,0.727,30
2025-08-25T06:00:00+0000,0.7264,0.7265,0.7264,0.7265,20
2025-08-25T09:00:00+0000,0.726,0.726,0.726,0.726,20
2025-08-28T02:00:00+0000,0.7249,0.7249,0.7249,0.7249,1
2025-08-28T03:00:00+0000,0.7258,0.7258,0.7258,0.7258,2
2025-08-28T04:00:00+0000,0.7255,0.7255,0.7254,0.7254,4
2025-08-28T05:00:00+0000,0.7253,0.7253,0.7253,0.7253,1
2025-08-28T16:00:00+0000,0.7267,0.7267,0.7267,0.7267,20
2025-09-01T05:00:00+0000,0.7225,0.7225,0.7225,0.7225,2
2025-09-01T07:00:00+0000,0.7221,0.7221,0.7221,0.7221,3
2025-09-01T08:00:00+0000,0.7227,0.723,0.7227,0.723,6
2025-09-02T00:00:00+0000,0.7219,0.7219,0.7213,0.7213,21
2025-09-02T01:00:00+0000,0.7228,0.7228,0.7228,0.7228,1
2025-09-02T02:00:00+0000,0.7229,0.723,0.7229,0.723,2
2025-09-02T04:00:00+0000,0.7231,0.7231,0.7231,0.7231,1
2025-09-02T05:00:00+0000,0.7235,0.7235,0.7235,0.7235,1
2025-09-02T06:00:00+0000,0.7229,0.7229,0.7229,0.7229,1
2025-09-02T20:00:00+0000,0.7214,0.7214,0.7214,0.7214,1
2025-09-03T14:00:00+0000,0.7242,0.7242,0.7242,0.7242,1
2025-09-04T05:00:00+0000,0.7218,0.7218,0.7218,0.7218,1
2025-09-04T06:00:00+0000,0.7222,0.7222,0.7222,0.7222,1
2025-09-04T13:00:00+0000,0.723,0.723,0.723,0.723,1
2025-09-04T14:00:00+0000,0.723,0.723,0.723,0.723,19
2025-09-05T12:00:00+0000,0.7241,0.7241,0.7241,0.7241,2
2025-09-05T15:00:00+0000,0.7254,0.7254,0.7254,0.7254,1
2025-09-07T23:00:00+0000,0.7299,0.7299,0.7299,0.7299,1
2025-09-08T00:00:00+0000,0.7238,0.7238,0.7238,0.7238,1
2025-09-08T06:00:00+0000,0.7234,0.7234,0.7234,0.7234,1
2025-09-08T07:00:00+0000,0.7238,0.7238,0.7238,0.7238,1
2025-09-08T18:00:00+0000,0.7252,0.7252,0.7252,0.7252,1
2025-09-08T19:00:00+0000,0.7253,0.7253,0.7253,0.7253,1
2025-09-09T04:00:00+0000,0.7244,0.7244,0.7244,0.7244,2
2025-09-09T05:00:00+0000,0.7252,0.7252,0.7252,0.7252,1
2025-09-09T09:00:00+0000,0.7259,0.7259,0.7259,0.7259,1
2025-09-09T10:00:00+0000,0.7259,0.7259,0.7259,0.7259,20
2025-09-10T00:00:00+0000,0.7237,0.7237,0.7237,0.7237,1
2025-09-11T01:00:00+0000,0.7246,0.7246,0.7246,0.7246,23
2025-09-11T10:00:00+0000,0.7246,0.7246,0.7246,0.7246,24
2025-09-12T04:00:00+0000,0.7244,0.7244,0.7243,0.7244,3
2025-09-12T06:00:00+0000,0.7242,0.7242,0.7242,0.7242,1
2025-09-12T07:00:00+0000,0.7245,0.7245,0.7245,0.7245,1
2025-09-12T11:00:00+0000,0.7227,0.7227,0.7227,0.7227,2
2025-09-12T17:00:00+0000,0.7217,0.7217,0.7217,0.7217,2
2025-09-12T19:00:00+0000,0.7217,0.7217,0.7217,0.7217,41
