Time,Open,High,Low,Latest,Volume
2022-08-08T14:00:00+0000,566.5,634.5,566.5,634.5,4
2022-08-08T15:00:00+0000,632.0,632.0,631.5,631.5,2
2022-08-08T16:00:00+0000,615.0,615.0,610.5,610.5,3
2022-08-08T19:00:00+0000,621.0,621.0,621.0,621.0,1
2022-08-09T14:00:00+0000,638.5,639.0,638.5,639.0,13
2022-08-09T18:00:00+0000,645.5,645.5,630.0,630.0,4
2022-08-10T14:00:00+0000,689.5,692.5,689.5,692.5,10
2022-08-10T16:00:00+0000,692.5,692.5,692.5,692.5,1
2022-08-11T17:00:00+0000,711.5,711.5,711.5,711.5,2
2022-08-11T18:00:00+0000,695.0,695.0,695.0,695.0,1
2022-08-12T14:00:00+0000,710.0,710.0,685.5,685.5,3
2022-08-12T15:00:00+0000,685.0,685.0,685.0,685.0,1
2022-08-12T17:00:00+0000,685.5,685.5,685.5,685.5,2
2022-08-12T18:00:00+0000,694.0,694.5,694.0,694.5,5
2022-08-15T16:00:00+0000,695.0,695.0,695.0,695.0,1
2022-08-15T17:00:00+0000,693.0,695.0,693.0,695.0,8
2022-08-16T14:00:00+0000,685.0,685.0,660.0,660.0,17
2022-08-16T15:00:00+0000,685.0,685.0,685.0,685.0,4
2022-08-16T18:00:00+0000,690.0,690.0,690.0,690.0,1
2022-08-19T14:00:00+0000,650.0,650.0,650.0,650.0,20
2022-08-19T19:00:00+0000,627.0,627.0,627.0,627.0,2
2022-08-19T20:00:00+0000,627.0,627.0,627.0,627.0,4
2022-08-22T14:00:00+0000,625.0,625.0,625.0,625.0,1
2022-08-22T17:00:00+0000,620.0,620.0,620.0,620.0,1
2022-08-22T19:00:00+0000,610.0,610.0,610.0,610.0,1
2022-08-23T19:00:00+0000,620.0,620.0,620.0,620.0,2
2022-08-24T14:00:00+0000,608.0,608.0,608.0,608.0,4
2022-08-29T15:00:00+0000,630.0,630.0,630.0,630.0,5
2022-08-30T14:00:00+0000,630.0,630.0,630.0,630.0,7
2022-08-30T15:00:00+0000,630.0,630.0,630.0,630.0,7
2022-09-01T15:00:00+0000,623.0,623.0,615.0,615.0,6
2022-09-01T16:00:00+0000,605.0,605.0,605.0,605.0,1
2022-09-01T18:00:00+0000,605.0,605.0,605.0,605.0,1
2022-09-02T14:00:00+0000,585.5,585.5,585.5,585.5,2
2022-09-06T14:00:00+0000,604.0,604.0,604.0,604.0,1
2022-09-07T14:00:00+0000,604.0,604.5,604.0,604.5,19
