Time,Open,High,Low,Latest,Volume
2025-02-28T18:00:00+0000,18.0,18.0,18.0,18.0,5
2025-03-04T18:00:00+0000,17.95,17.95,17.95,17.95,5
2025-03-05T01:00:00+0000,17.9,17.9,17.9,17.9,3
2025-03-19T16:00:00+0000,17.7,17.7,17.7,17.7,2
2025-04-02T17:00:00+0000,17.88,17.88,17.88,17.88,3
2025-04-03T19:00:00+0000,17.89,17.89,17.89,17.89,5
2025-04-03T20:00:00+0000,17.96,17.97,17.96,17.97,10
2025-04-07T17:00:00+0000,17.9,17.9,17.9,17.9,2
2025-04-15T12:00:00+0000,17.9,17.9,17.9,17.9,1
2025-04-21T20:00:00+0000,18.01,18.01,18.01,18.01,2
2025-04-24T18:00:00+0000,17.99,17.99,17.99,17.99,1
2025-05-15T18:00:00+0000,18.13,18.13,18.13,18.13,2
2025-05-21T16:00:00+0000,18.13,18.13,18.13,18.13,2
2025-05-21T20:00:00+0000,18.15,18.15,18.15,18.15,1
2025-05-28T18:00:00+0000,18.4,18.4,18.4,18.4,1
2025-06-06T18:00:00+0000,18.32,18.32,18.32,18.32,1
2025-06-09T15:00:00+0000,18.32,18.32,18.32,18.32,4
2025-06-09T18:00:00+0000,18.32,18.32,18.32,18.32,3
2025-06-09T20:00:00+0000,18.32,18.32,18.32,18.32,7
2025-06-10T16:00:00+0000,18.31,18.31,18.31,18.31,3
2025-06-12T13:00:00+0000,18.26,18.26,18.26,18.26,1
2025-06-13T15:00:00+0000,18.3,18.3,18.3,18.3,3
2025-06-16T16:00:00+0000,18.25,18.25,18.25,18.25,3
2025-06-16T17:00:00+0000,18.3,18.3,18.3,18.3,1
2025-06-16T18:00:00+0000,18.27,18.3,18.27,18.3,14
2025-06-23T17:00:00+0000,18.16,18.16,18.16,18.16,2
2025-06-23T19:00:00+0000,18.18,18.18,18.18,18.18,4
2025-06-24T15:00:00+0000,18.16,18.16,18.16,18.16,5
2025-06-26T14:00:00+0000,18.08,18.09,18.08,18.09,16
2025-06-30T15:00:00+0000,18.14,18.14,18.14,18.14,1
2025-07-02T14:00:00+0000,18.1,18.1,18.1,18.1,1
2025-07-02T16:00:00+0000,18.11,18.11,18.11,18.11,2
2025-07-02T20:00:00+0000,18.14,18.14,18.14,18.14,1
2025-07-07T14:00:00+0000,18.2,18.2,18.2,18.2,1
2025-07-08T18:00:00+0000,18.04,18.04,18.04,18.04,3
2025-07-08T19:00:00+0000,18.15,18.15,18.15,18.15,3
2025-07-16T15:00:00+0000,18.03,18.03,18.03,18.03,6
2025-07-16T20:00:00+0000,18.1,18.1,18.1,18.1,3
2025-07-17T16:00:00+0000,18.09,18.09,18.09,18.09,2
2025-07-28T17:00:00+0000,17.95,17.95,17.95,17.95,1
2025-07-28T18:00:00+0000,17.99,18.0,17.99,18.0,6
2025-07-28T19:00:00+0000,18.0,18.0,18.0,18.0,13
2025-07-29T15:00:00+0000,17.98,17.98,17.98,17.98,2
2025-07-29T16:00:00+0000,17.98,17.98,17.98,17.98,5
2025-08-01T17:00:00+0000,17.92,17.92,17.92,17.92,4
2025-08-04T16:00:00+0000,17.88,17.88,17.88,17.88,2
2025-08-06T15:00:00+0000,17.95,17.95,17.95,17.95,5
2025-08-06T16:00:00+0000,17.94,17.94,17.91,17.91,36
2025-08-07T20:00:00+0000,18.0,18.0,18.0,18.0,1
2025-08-08T12:00:00+0000,18.0,18.0,18.0,18.0,1
2025-08-11T19:00:00+0000,17.88,17.88,17.88,17.88,3
2025-08-11T20:00:00+0000,17.95,17.95,17.95,17.95,10
2025-08-12T16:00:00+0000,17.97,17.97,17.97,17.97,8
2025-08-12T19:00:00+0000,17.95,17.95,17.95,17.95,10
2025-08-13T14:00:00+0000,17.95,17.95,17.95,17.95,1
2025-08-13T17:00:00+0000,17.94,17.94,17.94,17.94,1
2025-08-13T18:00:00+0000,17.98,17.98,17.98,17.98,2
2025-08-14T19:00:00+0000,17.87,17.87,17.87,17.87,2
2025-08-15T15:00:00+0000,17.95,17.95,17.95,17.95,1
2025-08-18T15:00:00+0000,17.95,17.95,17.95,17.95,1
2025-08-21T13:00:00+0000,17.83,17.83,17.83,17.83,19
2025-08-21T17:00:00+0000,17.76,17.76,17.76,17.76,3
2025-08-21T18:00:00+0000,17.76,17.76,17.74,17.74,17
2025-08-21T19:00:00+0000,17.76,17.76,17.76,17.76,5
2025-08-22T16:00:00+0000,17.66,17.66,17.66,17.66,12
2025-08-25T17:00:00+0000,17.75,17.75,17.75,17.75,3
2025-08-26T15:00:00+0000,17.75,17.75,17.75,17.75,5
2025-08-26T16:00:00+0000,17.76,17.76,17.76,17.76,10
2025-08-26T18:00:00+0000,17.78,17.8,17.78,17.8,6
2025-08-27T15:00:00+0000,17.75,17.75,17.75,17.75,4
2025-08-27T16:00:00+0000,17.79,17.79,17.79,17.79,1
2025-08-28T19:00:00+0000,17.68,17.68,17.67,17.67,7
2025-08-29T13:00:00+0000,17.68,17.68,17.68,17.68,5
2025-08-29T14:00:00+0000,17.66,17.66,17.6,17.6,11
2025-09-02T15:00:00+0000,17.6,17.6,17.6,17.6,1
2025-09-02T16:00:00+0000,17.61,17.61,17.61,17.61,1
2025-09-02T20:00:00+0000,17.63,17.63,17.63,17.63,5
2025-09-03T16:00:00+0000,17.6,17.6,17.6,17.6,1
2025-09-03T19:00:00+0000,17.6,17.66,17.6,17.65,9
2025-09-05T13:00:00+0000,17.53,17.53,17.53,17.53,3
2025-09-08T13:00:00+0000,17.44,17.44,17.44,17.44,1
2025-09-08T15:00:00+0000,17.45,17.48,17.45,17.48,20
2025-09-09T14:00:00+0000,17.48,17.48,17.48,17.48,1
2025-09-09T15:00:00+0000,17.48,17.48,17.47,17.47,25
2025-09-09T17:00:00+0000,17.45,17.45,17.45,17.45,1
2025-09-10T14:00:00+0000,17.43,17.45,17.4,17.45,16
2025-09-10T18:00:00+0000,17.3,17.31,17.29,17.31,6
2025-09-10T19:00:00+0000,17.31,17.31,17.31,17.31,5
2025-09-11T03:00:00+0000,17.39,17.39,17.39,17.39,1
2025-09-11T14:00:00+0000,17.24,17.24,17.24,17.24,5
2025-09-11T16:00:00+0000,17.21,17.21,17.18,17.18,9
2025-09-11T17:00:00+0000,17.18,17.2,17.11,17.11,4
2025-09-11T19:00:00+0000,17.12,17.12,17.12,17.12,1
2025-09-12T13:00:00+0000,17.11,17.11,17.11,17.11,2
2025-09-12T16:00:00+0000,17.16,17.16,17.09,17.09,35
2025-09-15T13:00:00+0000,17.06,17.06,17.06,17.06,10
2025-09-15T16:00:00+0000,17.07,17.07,17.07,17.07,1
2025-09-15T17:00:00+0000,17.07,17.07,17.07,17.07,6
2025-09-15T18:00:00+0000,17.08,17.08,17.08,17.08,7
2025-09-16T13:00:00+0000,17.07,17.08,17.06,17.06,35
2025-09-16T14:00:00+0000,17.1,17.1,17.1,17.1,2
2025-09-17T15:00:00+0000,17.16,17.2,17.16,17.2,5
2025-09-17T16:00:00+0000,17.26,17.26,17.26,17.26,1
2025-09-17T19:00:00+0000,17.25,17.25,17.25,17.25,1
2025-09-19T15:00:00+0000,17.3,17.3,17.3,17.3,5
2025-09-19T16:00:00+0000,17.15,17.15,17.15,17.15,8
2025-09-22T13:00:00+0000,17.27,17.27,17.27,17.27,1
2025-09-22T14:00:00+0000,17.14,17.14,17.14,17.14,2
2025-09-22T17:00:00+0000,17.17,17.17,17.17,17.17,1
2025-09-22T19:00:00+0000,17.14,17.14,17.14,17.14,1
2025-09-23T16:00:00+0000,17.1,17.1,17.1,17.1,11
2025-09-23T18:00:00+0000,17.1,17.1,17.1,17.1,10
2025-09-23T19:00:00+0000,17.12,17.12,17.12,17.12,10
2025-09-24T16:00:00+0000,17.04,17.06,17.04,17.06,8
2025-09-24T17:00:00+0000,17.06,17.09,17.06,17.09,18
2025-09-24T18:00:00+0000,17.14,17.14,17.14,17.14,3
2025-09-25T12:00:00+0000,17.1,17.1,17.1,17.1,1
2025-09-25T15:00:00+0000,17.02,17.02,17.02,17.02,3
2025-09-26T14:00:00+0000,17.07,17.07,17.06,17.06,20
2025-09-26T16:00:00+0000,17.05,17.07,17.05,17.07,16
2025-09-29T15:00:00+0000,17.1,17.1,17.1,17.1,10
2025-09-29T16:00:00+0000,17.1,17.13,17.1,17.13,14
2025-09-29T17:00:00+0000,17.13,17.13,17.13,17.13,1
2025-09-30T14:00:00+0000,17.14,17.14,17.14,17.14,1
2025-09-30T15:00:00+0000,17.13,17.13,17.13,17.13,15
2025-09-30T17:00:00+0000,17.13,17.13,17.13,17.13,5
2025-09-30T19:00:00+0000,17.14,17.14,17.14,17.14,5
2025-09-30T20:00:00+0000,17.14,17.14,17.13,17.13,11
2025-10-01T14:00:00+0000,17.16,17.16,17.11,17.11,5
2025-10-01T16:00:00+0000,17.13,17.13,17.13,17.13,5
2025-10-01T17:00:00+0000,17.13,17.18,17.13,17.18,6
2025-10-01T19:00:00+0000,17.13,17.13,17.13,17.13,1
2025-10-03T14:00:00+0000,17.15,17.15,17.15,17.15,2
2025-10-03T18:00:00+0000,17.15,17.15,17.15,17.15,1
2025-10-06T15:00:00+0000,17.2,17.2,17.2,17.2,2
2025-10-06T17:00:00+0000,17.15,17.15,17.15,17.15,25
2025-10-06T20:00:00+0000,17.2,17.2,17.2,17.2,15
2025-10-07T14:00:00+0000,17.15,17.15,17.15,17.15,1
2025-10-07T17:00:00+0000,17.14,17.14,17.14,17.14,3
2025-10-09T12:00:00+0000,17.17,17.17,17.17,17.17,1
2025-10-09T15:00:00+0000,17.14,17.14,17.05,17.05,10
2025-10-09T19:00:00+0000,17.11,17.11,17.11,17.11,5
2025-10-10T14:00:00+0000,17.1,17.14,17.1,17.14,5
2025-10-10T15:00:00+0000,17.1,17.1,17.1,17.1,1
2025-10-10T16:00:00+0000,17.07,17.07,17.06,17.06,3
2025-10-10T17:00:00+0000,17.06,17.09,17.06,17.09,2
2025-10-10T18:00:00+0000,17.06,17.06,17.06,17.06,3
2025-10-13T16:00:00+0000,17.1,17.1,17.1,17.1,2
2025-10-13T17:00:00+0000,17.1,17.1,17.1,17.1,1
2025-10-13T18:00:00+0000,17.1,17.19,17.1,17.11,40
2025-10-13T19:00:00+0000,17.09,17.09,17.09,17.09,1
2025-10-14T16:00:00+0000,17.05,17.05,17.03,17.03,2
2025-10-14T17:00:00+0000,17.06,17.06,17.06,17.06,3
2025-10-15T16:00:00+0000,17.1,17.1,17.1,17.1,3
2025-10-15T23:00:00+0000,17.0,17.0,17.0,17.0,1
2025-10-16T14:00:00+0000,17.1,17.1,17.1,17.1,5
2025-10-16T18:00:00+0000,17.12,17.12,17.12,17.12,4
2025-10-16T19:00:00+0000,17.1,17.1,17.1,17.1,4
2025-10-17T17:00:00+0000,17.06,17.11,17.06,17.1,15
2025-10-17T18:00:00+0000,17.01,17.01,17.01,17.01,8
2025-10-20T15:00:00+0000,17.01,17.01,17.01,17.01,5
2025-10-20T18:00:00+0000,17.03,17.03,17.03,17.03,1
2025-10-20T19:00:00+0000,17.01,17.01,17.01,17.01,8
2025-10-21T12:00:00+0000,17.0,17.0,17.0,17.0,5
2025-10-21T15:00:00+0000,17.0,17.0,17.0,17.0,5
2025-10-21T18:00:00+0000,17.1,17.1,17.1,17.1,1
2025-10-22T16:00:00+0000,17.05,17.05,17.04,17.05,28
2025-10-22T18:00:00+0000,17.01,17.1,17.01,17.1,5
2025-10-23T14:00:00+0000,17.1,17.12,17.09,17.09,14
2025-10-23T15:00:00+0000,17.12,17.15,17.12,17.15,8
2025-10-23T16:00:00+0000,17.11,17.11,17.11,17.11,5
2025-10-23T18:00:00+0000,17.14,17.15,17.14,17.15,9
2025-10-23T19:00:00+0000,17.13,17.15,17.13,17.15,21
2025-10-23T20:00:00+0000,17.19,17.2,17.19,17.2,3
2025-10-24T17:00:00+0000,17.17,17.21,17.17,17.21,17
2025-10-27T02:00:00+0000,17.25,17.25,17.25,17.25,1
2025-10-27T15:00:00+0000,17.24,17.25,17.24,17.25,21
2025-10-27T16:00:00+0000,17.25,17.25,17.25,17.25,8
2025-10-27T17:00:00+0000,17.25,17.25,17.25,17.25,4
2025-10-27T20:00:00+0000,17.25,17.25,17.25,17.25,1
2025-10-28T13:00:00+0000,17.24,17.24,17.24,17.24,1
2025-10-28T14:00:00+0000,17.21,17.21,17.21,17.21,2
2025-10-28T16:00:00+0000,17.21,17.21,17.16,17.17,16
2025-10-28T17:00:00+0000,17.18,17.18,17.18,17.18,4
2025-10-28T19:00:00+0000,17.15,17.15,17.15,17.15,1
2025-10-29T14:00:00+0000,17.13,17.13,17.13,17.13,4
2025-10-29T15:00:00+0000,17.19,17.19,17.19,17.19,48
2025-10-29T16:00:00+0000,17.18,17.2,17.18,17.2,11
2025-10-30T14:00:00+0000,17.19,17.21,17.19,17.21,4
2025-10-30T16:00:00+0000,17.23,17.23,17.23,17.23,3
2025-10-30T17:00:00+0000,17.21,17.21,17.21,17.21,5
2025-10-30T20:00:00+0000,17.2,17.2,17.2,17.2,1
2025-10-31T14:00:00+0000,17.25,17.25,17.24,17.24,4
2025-10-31T15:00:00+0000,17.15,17.25,17.13,17.14,30
2025-10-31T16:00:00+0000,17.13,17.13,17.12,17.12,8
2025-10-31T17:00:00+0000,17.12,17.12,17.12,17.12,3
2025-11-03T15:00:00+0000,17.1,17.1,17.1,17.1,10
2025-11-03T16:00:00+0000,17.12,17.12,17.12,17.12,10
2025-11-03T18:00:00+0000,17.16,17.16,17.16,17.16,4
2025-11-03T19:00:00+0000,17.1,17.12,17.1,17.12,5
2025-11-04T16:00:00+0000,17.03,17.03,17.03,17.03,2
2025-11-04T19:00:00+0000,17.03,17.03,17.03,17.03,15
2025-11-04T20:00:00+0000,17.03,17.08,17.03,17.08,4
2025-11-04T21:00:00+0000,17.06,17.06,17.01,17.01,4
2025-11-05T04:00:00+0000,17.01,17.01,17.01,17.01,2
2025-11-05T16:00:00+0000,17.01,17.01,17.01,17.01,3
2025-11-05T20:00:00+0000,17.05,17.05,17.05,17.05,5
2025-11-05T21:00:00+0000,17.07,17.07,17.07,17.07,1
2025-11-06T16:00:00+0000,17.04,17.04,17.04,17.04,10
2025-11-06T17:00:00+0000,17.05,17.17,17.05,17.15,35
2025-11-06T18:00:00+0000,17.15,17.15,17.15,17.15,9
2025-11-06T19:00:00+0000,17.15,17.15,17.15,17.15,9
2025-11-07T15:00:00+0000,17.1,17.1,17.1,17.1,10
2025-11-07T16:00:00+0000,17.15,17.15,17.15,17.15,4
2025-11-07T17:00:00+0000,17.22,17.25,17.22,17.25,25
2025-11-10T17:00:00+0000,17.21,17.21,17.21,17.21,7
2025-11-10T18:00:00+0000,17.25,17.28,17.25,17.28,9
