Time,Open,High,Low,Close,Volume
2025-09-29T17:00:00+0000,18.0,18.0,18.0,18.0,6
2025-10-14T13:00:00+0000,17.8,17.8,17.8,17.8,5
2025-10-15T16:00:00+0000,17.7,17.7,17.7,17.7,1
2025-10-22T16:00:00+0000,17.6,17.6,17.6,17.6,1
2025-10-22T17:00:00+0000,17.6,17.6,17.6,17.6,3
2025-10-22T20:00:00+0000,17.5,17.5,17.5,17.5,1
2025-10-24T16:00:00+0000,17.67,17.7,17.67,17.7,6
2025-11-06T17:00:00+0000,17.55,17.55,17.55,17.55,5
2025-11-11T14:00:00+0000,17.83,17.84,17.83,17.84,5
2025-11-11T15:00:00+0000,17.58,17.58,17.58,17.58,5
2025-11-11T17:00:00+0000,17.57,17.57,17.57,17.57,2
2025-11-11T18:00:00+0000,17.44,17.44,17.44,17.44,5
2025-11-17T16:00:00+0000,17.44,17.44,17.44,17.44,3
2025-11-18T16:00:00+0000,17.44,17.44,17.44,17.44,3
2025-11-18T17:00:00+0000,17.44,17.44,17.44,17.44,2
2025-11-20T19:00:00+0000,17.25,17.25,17.25,17.25,1
2025-11-21T18:00:00+0000,17.02,17.02,17.02,17.02,1
2025-11-21T19:00:00+0000,17.25,17.25,17.25,17.25,1
2025-12-29T15:00:00+0000,17.24,17.24,17.24,17.24,1
2026-01-14T19:00:00+0000,17.2,17.2,17.2,17.2,6
2026-01-22T20:00:00+0000,17.4,17.4,17.4,17.4,1
2026-02-03T18:00:00+0000,17.45,17.45,17.45,17.45,1
2026-02-04T16:00:00+0000,17.45,17.45,17.45,17.45,3
2026-02-04T19:00:00+0000,17.45,17.45,17.45,17.45,2
2026-02-04T23:00:00+0000,17.45,17.45,17.45,17.45,1
2026-02-05T10:00:00+0000,17.45,17.45,17.45,17.45,1
2026-02-05T14:00:00+0000,17.45,17.45,17.45,17.45,3
2026-02-06T03:00:00+0000,17.5,17.5,17.5,17.5,1
2026-02-06T16:00:00+0000,17.5,17.5,17.5,17.5,1
2026-02-09T15:00:00+0000,17.36,17.36,17.36,17.36,1
2026-02-09T18:00:00+0000,17.4,17.4,17.36,17.36,4
2026-02-10T15:00:00+0000,17.35,17.35,17.35,17.35,1
2026-02-17T18:00:00+0000,17.39,17.39,17.39,17.39,1
