Time,Open,High,Low,Close,Volume
2010-12-16T05:00:00+0000,10355,10355,10355,10355,1
2011-01-04T05:00:00+0000,10465,10465,10465,10465,1
2011-01-28T01:00:00+0000,10400,10405,10400,10405,55
2011-01-28T15:00:00+0000,10320,10320,10320,10320,95
2011-01-31T20:00:00+0000,10220,10220,10220,10220,1
2011-02-18T18:00:00+0000,10850,10850,10850,10850,1
2011-02-21T23:00:00+0000,10710,10710,10710,10710,175
2011-02-22T03:00:00+0000,10580,10590,10580,10590,2
2011-02-22T07:00:00+0000,10605,10605,10600,10600,10
2011-02-22T08:00:00+0000,10600,10605,10600,10605,92
2011-02-22T10:00:00+0000,10585,10585,10585,10585,2
2011-02-22T15:00:00+0000,10680,10680,10680,10680,6
2011-02-22T18:00:00+0000,10515,10540,10515,10540,22
2011-02-22T20:00:00+0000,10500,10500,10500,10500,1
2011-02-23T17:00:00+0000,10480,10480,10480,10480,49
2011-02-23T19:00:00+0000,10500,10500,10500,10500,20
2011-02-24T04:00:00+0000,10530,10530,10530,10530,1
2011-02-24T07:00:00+0000,10400,10400,10390,10390,2
2011-02-24T08:00:00+0000,10395,10395,10395,10395,1
2011-02-24T17:00:00+0000,10370,10380,10370,10375,96
2011-02-24T18:00:00+0000,10330,10330,10320,10320,3
2011-02-24T19:00:00+0000,10360,10360,10360,10360,3
2011-02-24T20:00:00+0000,10395,10420,10395,10410,7
2011-02-25T07:00:00+0000,10550,10550,10540,10540,75
2011-02-25T14:00:00+0000,10490,10500,10490,10500,14
2011-02-25T15:00:00+0000,10525,10525,10525,10525,5
2011-02-25T16:00:00+0000,10520,10520,10520,10520,4
2011-02-25T17:00:00+0000,10520,10520,10520,10520,1
2011-02-25T18:00:00+0000,10540,10540,10540,10540,4
2011-02-28T00:00:00+0000,10450,10450,10450,10450,1
2011-02-28T03:00:00+0000,10470,10510,10470,10510,17
2011-02-28T12:00:00+0000,10620,10635,10620,10635,6
2011-02-28T13:00:00+0000,10635,10635,10635,10635,1
2011-02-28T14:00:00+0000,10670,10670,10665,10665,8
2011-02-28T15:00:00+0000,10665,10685,10665,10670,38
2011-02-28T17:00:00+0000,10650,10650,10650,10650,1
2011-02-28T18:00:00+0000,10635,10635,10630,10630,25
2011-02-28T19:00:00+0000,10645,10645,10645,10645,4
2011-02-28T21:00:00+0000,10665,10675,10665,10670,15
2011-03-01T04:00:00+0000,10690,10690,10690,10690,6
2011-03-01T08:00:00+0000,10745,10760,10745,10760,2
2011-03-01T12:00:00+0000,10745,10745,10745,10745,1
2011-03-01T13:00:00+0000,10725,10725,10725,10725,6
2011-03-01T14:00:00+0000,10740,10740,10740,10740,5
2011-03-01T15:00:00+0000,10690,10690,10670,10670,13
2011-03-01T16:00:00+0000,10635,10635,10630,10630,30
2011-03-01T17:00:00+0000,10605,10605,10605,10605,1
2011-03-01T18:00:00+0000,10595,10595,10595,10595,2
2011-03-01T19:00:00+0000,10590,10590,10590,10590,12
2011-03-01T20:00:00+0000,10595,10595,10595,10595,7
2011-03-01T21:00:00+0000,10580,10580,10575,10575,3
2011-03-01T23:00:00+0000,10580,10580,10580,10580,1
2011-03-02T04:00:00+0000,10495,10495,10495,10495,1
2011-03-02T07:00:00+0000,10500,10510,10500,10510,7
2011-03-02T13:00:00+0000,10485,10485,10460,10460,23
2011-03-02T14:00:00+0000,10470,10510,10470,10510,106
2011-03-02T15:00:00+0000,10515,10530,10500,10530,48
2011-03-02T16:00:00+0000,10530,10535,10485,10485,25
2011-03-02T17:00:00+0000,10510,10515,10505,10505,10
2011-03-02T18:00:00+0000,10510,10520,10490,10490,14
2011-03-03T02:00:00+0000,10510,10510,10510,10510,7
2011-03-03T05:00:00+0000,10535,10540,10535,10540,3
2011-03-03T07:00:00+0000,10550,10550,10545,10545,23
2011-03-03T08:00:00+0000,10510,10510,10510,10510,1
2011-03-03T11:00:00+0000,10540,10565,10540,10565,21
2011-03-03T12:00:00+0000,10570,10570,10565,10565,34
2011-03-03T13:00:00+0000,10570,10600,10570,10590,63
2011-03-03T14:00:00+0000,10595,10630,10595,10630,20
2011-03-03T15:00:00+0000,10630,10645,10610,10640,94
2011-03-03T16:00:00+0000,10635,10650,10625,10650,96
2011-03-03T17:00:00+0000,10650,10665,10650,10665,45
2011-03-03T18:00:00+0000,10675,10675,10675,10675,7
2011-03-03T19:00:00+0000,10675,10690,10675,10690,6
2011-03-03T20:00:00+0000,10695,10710,10695,10710,51
2011-03-03T21:00:00+0000,10700,10710,10700,10700,50
2011-03-03T23:00:00+0000,10710,10730,10710,10730,3
2011-03-04T00:00:00+0000,10720,10720,10720,10720,1
2011-03-04T01:00:00+0000,10715,10715,10715,10715,2
2011-03-04T03:00:00+0000,10725,10730,10725,10730,8
2011-03-04T04:00:00+0000,10685,10685,10650,10665,10
2011-03-04T05:00:00+0000,10670,10670,10665,10670,5
2011-03-04T06:00:00+0000,10680,10680,10665,10665,6
2011-03-04T07:00:00+0000,10670,10670,10670,10670,4
2011-03-04T08:00:00+0000,10665,10670,10665,10670,5
2011-03-04T09:00:00+0000,10675,10675,10675,10675,1
2011-03-04T10:00:00+0000,10680,10685,10680,10685,18
2011-03-04T11:00:00+0000,10685,10685,10685,10685,3
2011-03-04T12:00:00+0000,10680,10685,10675,10685,38
2011-03-04T13:00:00+0000,10685,10720,10645,10660,65
2011-03-04T14:00:00+0000,10665,10665,10630,10635,30
2011-03-04T15:00:00+0000,10610,10610,10565,10590,29
2011-03-04T16:00:00+0000,10605,10605,10580,10590,19
2011-03-04T17:00:00+0000,10560,10565,10545,10555,44
2011-03-04T19:00:00+0000,10540,10565,10540,10555,107
2011-03-04T20:00:00+0000,10590,10625,10585,10610,41
2011-03-04T21:00:00+0000,10610,10625,10610,10625,40
2011-03-06T23:00:00+0000,10585,10585,10585,10585,1
2011-03-07T00:00:00+0000,10545,10545,10530,10535,7
2011-03-07T03:00:00+0000,10500,10500,10500,10500,1
2011-03-07T04:00:00+0000,10460,10460,10445,10445,9
