Time,Open,High,Low,Latest,Volume
2025-10-06T08:00:00+0000,48500,48500,48500,48500,20
2025-10-10T15:00:00+0000,46975,46975,46975,46975,10
2025-10-16T03:00:00+0000,48270,48270,48270,48270,1
2025-10-17T07:00:00+0000,47750,47750,47750,47750,1
2025-10-20T14:00:00+0000,49850,49850,49850,49850,10
2025-10-23T17:00:00+0000,49260,49260,49260,49260,1
2025-10-29T01:00:00+0000,51350,51350,51350,51350,10
2025-10-30T13:00:00+0000,51850,51850,51850,51850,5
2025-10-31T03:00:00+0000,52350,52350,52350,52350,5
2025-10-31T08:00:00+0000,52720,52720,52720,52720,1
2025-11-04T02:00:00+0000,52690,52690,52690,52690,1
2025-11-05T00:00:00+0000,50365,50365,50365,50365,1
2025-11-05T01:00:00+0000,50050,50050,50050,50050,10
2025-11-05T02:00:00+0000,49650,49650,49650,49650,10
2025-11-06T15:00:00+0000,50595,50595,50595,50595,1
2025-11-06T16:00:00+0000,50365,50365,50320,50320,3
2025-11-07T16:00:00+0000,49755,49755,49715,49715,3
2025-11-07T17:00:00+0000,49930,49930,49930,49930,1
2025-11-07T18:00:00+0000,50115,50205,50115,50205,7
2025-11-10T01:00:00+0000,51015,51020,51015,51020,2
2025-11-12T00:00:00+0000,51045,51045,51045,51045,1
2025-11-12T05:00:00+0000,51190,51190,51190,51190,1
2025-11-12T14:00:00+0000,51565,51595,51565,51595,2
2025-11-13T14:00:00+0000,51000,51000,50970,50970,25
2025-11-14T18:00:00+0000,50870,50870,50870,50870,25
2025-11-18T02:00:00+0000,49625,49625,49540,49540,11
2025-11-18T03:00:00+0000,49540,49540,49540,49540,5
2025-11-18T06:00:00+0000,48975,48975,48740,48740,15
2025-11-18T21:00:00+0000,49055,49055,49055,49055,2
2025-11-19T16:00:00+0000,49350,49350,49350,49350,25
2025-11-19T18:00:00+0000,49540,49570,49540,49570,25
2025-11-19T19:00:00+0000,49335,49335,49335,49335,25
2025-11-19T20:00:00+0000,49690,49700,49690,49700,25
2025-11-20T03:00:00+0000,50450,50450,50045,50045,25
2025-11-20T16:00:00+0000,50015,50015,50015,50015,5
2025-11-20T21:00:00+0000,48755,48755,48755,48755,1
2025-11-21T03:00:00+0000,49160,49160,49160,49160,1
2025-11-21T21:00:00+0000,49110,49110,49080,49080,2
2025-11-24T23:00:00+0000,49940,49950,49940,49950,2
2025-11-25T08:00:00+0000,48800,48800,48800,48800,11
2025-11-25T15:00:00+0000,48740,48740,48740,48740,1
2025-11-25T17:00:00+0000,49145,49145,49145,49145,1
2025-11-26T01:00:00+0000,49810,49835,49810,49835,2
2025-11-26T03:00:00+0000,49940,49965,49940,49965,10
2025-11-26T06:00:00+0000,49800,49925,49800,49925,2
2025-11-26T12:00:00+0000,49765,49765,49765,49765,1
2025-11-26T13:00:00+0000,49750,49750,49750,49750,1
2025-11-26T16:00:00+0000,50250,50250,50250,50250,1
2025-11-26T21:00:00+0000,50420,50420,50420,50420,5
2025-11-27T01:00:00+0000,50390,50390,50380,50380,5
2025-12-01T01:00:00+0000,49725,49725,49725,49725,1
2025-12-01T03:00:00+0000,49550,49570,49545,49545,4
2025-12-01T04:00:00+0000,49550,49550,49550,49550,1
2025-12-01T05:00:00+0000,49500,49530,49450,49530,12
2025-12-01T07:00:00+0000,49505,49505,49505,49505,1
2025-12-01T09:00:00+0000,49555,49555,49555,49555,3
2025-12-01T10:00:00+0000,49490,49490,49490,49490,1
2025-12-01T14:00:00+0000,49500,49695,49470,49660,21
2025-12-01T15:00:00+0000,49645,49645,49640,49640,5
2025-12-01T19:00:00+0000,49690,49690,49690,49690,1
2025-12-02T00:00:00+0000,49695,49695,49695,49695,1
2025-12-02T01:00:00+0000,49790,49795,49750,49795,4
2025-12-02T02:00:00+0000,49750,49750,49750,49750,1
2025-12-02T03:00:00+0000,49755,49755,49675,49675,2
2025-12-02T11:00:00+0000,49775,49780,49760,49760,3
2025-12-02T13:00:00+0000,49800,49800,49780,49785,6
2025-12-02T14:00:00+0000,49855,49855,49835,49845,5
2025-12-02T15:00:00+0000,49800,49800,49800,49800,1
2025-12-02T16:00:00+0000,49750,49750,49505,49590,27
2025-12-02T17:00:00+0000,49700,49700,49700,49700,1
2025-12-02T20:00:00+0000,49775,49775,49760,49760,11
2025-12-02T23:00:00+0000,49870,49870,49870,49870,1
2025-12-03T00:00:00+0000,49980,49980,49940,49940,5
2025-12-03T01:00:00+0000,49935,49950,49845,49845,4
2025-12-03T02:00:00+0000,49850,50110,49850,50110,4
2025-12-03T03:00:00+0000,50280,50280,50280,50280,5
2025-12-03T04:00:00+0000,50285,50285,50285,50285,1
2025-12-03T10:00:00+0000,49930,49930,49930,49930,1
2025-12-03T11:00:00+0000,49860,49900,49860,49900,2
2025-12-03T12:00:00+0000,49870,49935,49870,49935,2
2025-12-03T13:00:00+0000,49845,49845,49845,49845,1
2025-12-03T14:00:00+0000,49550,49690,49550,49570,19
2025-12-03T15:00:00+0000,49770,49855,49770,49855,4
2025-12-03T18:00:00+0000,49985,49985,49985,49985,5
2025-12-03T19:00:00+0000,50015,50015,50015,50015,1
2025-12-04T00:00:00+0000,50325,50390,50325,50390,2
2025-12-04T01:00:00+0000,50525,50765,50525,50765,16
2025-12-04T02:00:00+0000,50730,50790,50720,50780,7
2025-12-04T03:00:00+0000,50755,50755,50755,50755,1
2025-12-04T05:00:00+0000,51015,51015,51015,51015,1
2025-12-04T06:00:00+0000,51160,51160,51160,51160,1
2025-12-04T07:00:00+0000,51190,51190,51145,51145,16
2025-12-04T08:00:00+0000,50935,50935,50925,50925,2
2025-12-04T09:00:00+0000,51050,51190,51050,51190,9
2025-12-04T11:00:00+0000,51035,51035,51035,51035,1
2025-12-04T13:00:00+0000,51015,51115,51015,51115,2
2025-12-04T14:00:00+0000,51020,51020,50830,50830,5
2025-12-04T15:00:00+0000,50785,50785,50785,50785,1
2025-12-04T16:00:00+0000,50715,50715,50700,50700,2
2025-12-04T18:00:00+0000,50790,50790,50790,50790,1
2025-12-04T19:00:00+0000,50765,50765,50610,50610,3
2025-12-04T23:00:00+0000,50825,50825,50825,50825,4
2025-12-05T00:00:00+0000,50675,50765,50505,50550,44
2025-12-05T01:00:00+0000,50535,50565,50435,50490,20
2025-12-05T02:00:00+0000,50650,50650,50545,50545,8
2025-12-05T03:00:00+0000,50540,50550,50500,50500,3
2025-12-05T04:00:00+0000,50590,50590,50510,50535,3
2025-12-05T05:00:00+0000,50545,50625,50545,50625,9
2025-12-05T06:00:00+0000,50640,50685,50625,50645,24
2025-12-05T07:00:00+0000,50640,50675,50640,50645,13
2025-12-05T08:00:00+0000,50675,50755,50675,50755,3
2025-12-05T09:00:00+0000,50745,50750,50745,50750,6
2025-12-05T11:00:00+0000,50890,50890,50890,50890,2
2025-12-05T12:00:00+0000,50930,50930,50930,50930,1
2025-12-05T13:00:00+0000,50955,50965,50735,50755,63
2025-12-05T14:00:00+0000,50805,50970,50795,50955,43
2025-12-05T15:00:00+0000,50960,51050,50815,50815,66
2025-12-05T16:00:00+0000,50825,50860,50755,50770,17
2025-12-05T17:00:00+0000,50800,50800,50775,50795,3
2025-12-05T18:00:00+0000,50875,50875,50810,50810,3
2025-12-05T19:00:00+0000,50890,50900,50890,50900,26
2025-12-05T20:00:00+0000,50900,50905,50855,50855,7
2025-12-05T21:00:00+0000,50840,50840,50840,50840,3
2025-12-07T23:00:00+0000,50930,50930,50695,50915,24
2025-12-08T00:00:00+0000,50855,50855,50420,50680,46
2025-12-08T01:00:00+0000,50675,50675,50555,50620,15
2025-12-08T02:00:00+0000,50600,50675,50600,50650,13
2025-12-08T03:00:00+0000,50660,50750,50625,50625,11
2025-12-08T04:00:00+0000,50620,50735,50620,50710,19
2025-12-08T05:00:00+0000,50720,50755,50720,50720,10
2025-12-08T06:00:00+0000,50750,50790,50750,50790,5
2025-12-08T07:00:00+0000,50775,50815,50775,50790,6
2025-12-08T08:00:00+0000,50785,50860,50785,50835,3
2025-12-08T09:00:00+0000,50860,50880,50815,50815,18
2025-12-08T10:00:00+0000,50810,50825,50770,50815,22
2025-12-08T11:00:00+0000,50845,50845,50760,50760,6
2025-12-08T12:00:00+0000,50745,50785,50745,50785,2
2025-12-08T13:00:00+0000,50735,50780,50715,50720,36
2025-12-08T14:00:00+0000,50730,50730,50520,50590,238
2025-12-08T15:00:00+0000,50595,50620,50455,50520,59
2025-12-08T16:00:00+0000,50490,50515,50450,50495,53
2025-12-08T17:00:00+0000,50485,50595,50425,50595,68
2025-12-08T18:00:00+0000,50605,50605,50445,50445,22
2025-12-08T19:00:00+0000,50420,50490,50420,50470,19
2025-12-08T20:00:00+0000,50465,50555,50465,50555,31
2025-12-08T21:00:00+0000,50560,50615,50560,50575,37
2025-12-08T23:00:00+0000,50655,50855,50595,50855,196
2025-12-09T00:00:00+0000,50885,51005,50640,50740,412
2025-12-09T01:00:00+0000,50770,50800,50690,50780,64
2025-12-09T02:00:00+0000,50795,50930,50785,50890,297
2025-12-09T03:00:00+0000,50895,51015,50870,50945,333
2025-12-09T04:00:00+0000,50930,50950,50825,50825,335
2025-12-09T05:00:00+0000,50830,50930,50740,50910,346
2025-12-09T06:00:00+0000,50915,51055,50840,51045,212
2025-12-09T07:00:00+0000,51065,51090,51035,51090,75
2025-12-09T08:00:00+0000,51110,51190,51105,51125,155
2025-12-09T09:00:00+0000,51125,51125,50980,51015,82
2025-12-09T10:00:00+0000,51040,51125,50920,51125,263
2025-12-09T11:00:00+0000,51110,51120,51070,51095,68
2025-12-09T12:00:00+0000,51115,51120,51060,51070,73
2025-12-09T13:00:00+0000,51070,51075,50980,50985,102
2025-12-09T14:00:00+0000,50980,51095,50970,51080,220
2025-12-09T15:00:00+0000,51105,51190,51105,51185,79
2025-12-09T16:00:00+0000,51210,51250,51140,51150,248
2025-12-09T17:00:00+0000,51150,51175,51120,51140,48
2025-12-09T18:00:00+0000,51145,51150,51070,51110,70
2025-12-09T19:00:00+0000,51105,51105,51060,51090,38
2025-12-09T20:00:00+0000,51075,51100,51040,51075,147
2025-12-09T21:00:00+0000,51050,51050,50990,50995,46
2025-12-09T23:00:00+0000,51025,51105,51025,51105,25
2025-12-10T00:00:00+0000,51090,51330,50970,50970,157
2025-12-10T01:00:00+0000,50970,51020,50570,50610,140
2025-12-10T02:00:00+0000,50610,50705,50590,50640,40
2025-12-10T03:00:00+0000,50640,50725,50640,50700,27
2025-12-10T04:00:00+0000,50725,50820,50710,50715,38
2025-12-10T05:00:00+0000,50660,50695,50570,50695,85
2025-12-10T06:00:00+0000,50695,50855,50695,50815,113
2025-12-10T07:00:00+0000,50805,50830,50780,50820,35
2025-12-10T08:00:00+0000,50820,50865,50730,50760,98
2025-12-10T09:00:00+0000,50805,50820,50730,50800,45
2025-12-10T10:00:00+0000,50790,50870,50635,50695,271
2025-12-10T11:00:00+0000,50695,50775,50660,50755,94
2025-12-10T12:00:00+0000,50735,50740,50685,50710,54
2025-12-10T13:00:00+0000,50725,50830,50705,50785,77
2025-12-10T14:00:00+0000,50780,50790,50650,50700,188
2025-12-10T15:00:00+0000,50710,50710,50590,50600,148
2025-12-10T16:00:00+0000,50590,50775,50550,50745,289
2025-12-10T17:00:00+0000,50740,50745,50660,50730,200
2025-12-10T18:00:00+0000,50735,50740,50670,50685,224
2025-12-10T19:00:00+0000,50750,50960,50730,50960,418
2025-12-10T20:00:00+0000,50980,51115,50935,51080,272
2025-12-10T21:00:00+0000,51085,51225,51085,51190,88
2025-12-10T23:00:00+0000,51135,51135,50865,51005,102
2025-12-11T00:00:00+0000,51000,51000,50680,50830,231
2025-12-11T01:00:00+0000,50870,50925,50715,50735,119
2025-12-11T02:00:00+0000,50725,50740,50400,50420,170
2025-12-11T03:00:00+0000,50420,50420,50140,50285,232
2025-12-11T04:00:00+0000,50300,50400,50240,50360,99
2025-12-11T05:00:00+0000,50350,50405,50305,50400,63
2025-12-11T06:00:00+0000,50410,50450,50300,50435,155
2025-12-11T07:00:00+0000,50445,50485,50385,50460,104
2025-12-11T08:00:00+0000,50465,50535,50340,50525,183
2025-12-11T09:00:00+0000,50515,50620,50505,50610,84
2025-12-11T10:00:00+0000,50600,50650,50600,50635,47
2025-12-11T11:00:00+0000,50630,50650,50600,50650,26
2025-12-11T12:00:00+0000,50645,50745,50645,50740,85
2025-12-11T13:00:00+0000,50735,50735,50640,50650,233
2025-12-11T14:00:00+0000,50660,50715,50430,50455,274
2025-12-11T15:00:00+0000,50450,50760,50430,50740,305
2025-12-11T16:00:00+0000,50735,50810,50660,50680,301
2025-12-11T17:00:00+0000,50705,50825,50695,50780,92
2025-12-11T18:00:00+0000,50775,50910,50775,50895,150
2025-12-11T19:00:00+0000,50900,51055,50900,51040,181
2025-12-11T20:00:00+0000,51035,51090,51015,51085,255
2025-12-11T21:00:00+0000,51085,51160,51065,51095,153
2025-12-11T23:00:00+0000,51000,51080,50880,50880,106
2025-12-12T00:00:00+0000,50865,51320,50685,51125,764
2025-12-12T01:00:00+0000,51100,51135,50635,50805,304
2025-12-12T02:00:00+0000,50805,50865,50780,50825,109
2025-12-12T03:00:00+0000,50830,50855,50735,50790,195
2025-12-12T04:00:00+0000,50800,50800,50670,50720,163
2025-12-12T05:00:00+0000,50725,51095,50725,51075,118
2025-12-12T06:00:00+0000,51065,51095,50830,50870,158
2025-12-12T07:00:00+0000,50875,50930,50840,50915,247
2025-12-12T08:00:00+0000,50910,50920,50840,50885,71
2025-12-12T09:00:00+0000,50860,50870,50700,50725,71
2025-12-12T10:00:00+0000,50715,50785,50660,50715,71
2025-12-12T11:00:00+0000,50685,50700,50635,50660,47
2025-12-12T12:00:00+0000,50665,50755,50600,50730,149
2025-12-12T13:00:00+0000,50715,50795,50715,50795,48
2025-12-12T14:00:00+0000,50840,50855,50715,50715,206
2025-12-12T15:00:00+0000,50710,50710,50120,50145,492
2025-12-12T16:00:00+0000,50125,50230,49880,49990,507
2025-12-12T17:00:00+0000,50040,50215,50005,50170,245
2025-12-12T18:00:00+0000,50175,50325,50155,50225,214
2025-12-12T19:00:00+0000,50220,50240,50150,50180,75
2025-12-12T20:00:00+0000,50165,50215,50080,50160,209
2025-12-12T21:00:00+0000,50160,50335,50145,50335,68
