Time,Open,High,Low,Close,Volume
2018-08-24T12:00:00+0000,151.0,151.0,151.0,151.0,1
2018-08-28T11:00:00+0000,151.0,151.0,151.0,151.0,1
2018-11-07T14:00:00+0000,149.18,149.18,149.18,149.18,3
2018-11-08T10:00:00+0000,149.09,149.09,149.09,149.09,5
2018-11-08T14:00:00+0000,149.15,149.15,149.15,149.15,18
2018-11-08T15:00:00+0000,149.09,149.09,149.09,149.09,6
2018-11-12T12:00:00+0000,149.78,149.78,149.78,149.78,7
2018-11-13T15:00:00+0000,149.71,149.71,149.71,149.71,1
2018-11-16T08:00:00+0000,149.98,149.98,149.98,149.98,4
2018-11-16T14:00:00+0000,149.99,149.99,149.95,149.95,16
2018-11-16T17:00:00+0000,149.88,149.88,149.88,149.88,3
2018-11-19T10:00:00+0000,149.72,149.72,149.72,149.72,20
2018-11-19T11:00:00+0000,149.69,149.69,149.69,149.69,12
2018-11-19T12:00:00+0000,149.66,149.66,149.66,149.66,2
2018-11-19T14:00:00+0000,149.63,149.63,149.63,149.63,200
2018-11-19T16:00:00+0000,149.68,149.68,149.68,149.68,200
2018-11-20T13:00:00+0000,149.9,149.92,149.89,149.9,274
2018-11-20T14:00:00+0000,149.94,149.94,149.94,149.94,11
2018-11-20T15:00:00+0000,149.96,149.97,149.96,149.97,17
2018-11-20T16:00:00+0000,149.97,150.03,149.97,150.01,228
2018-11-20T17:00:00+0000,150.0,150.0,149.99,149.99,7
2018-11-21T08:00:00+0000,149.83,149.86,149.82,149.84,137
2018-11-21T09:00:00+0000,149.87,149.87,149.87,149.87,8
2018-11-21T10:00:00+0000,149.81,149.82,149.77,149.8,158
2018-11-21T11:00:00+0000,149.82,149.86,149.82,149.86,231
2018-11-21T12:00:00+0000,149.86,149.87,149.86,149.87,6
2018-11-21T14:00:00+0000,149.94,149.94,149.91,149.93,6
2018-11-22T08:00:00+0000,150.0,150.0,150.0,150.0,1
2018-11-22T09:00:00+0000,150.07,150.08,150.04,150.08,804
2018-11-22T11:00:00+0000,150.15,150.17,150.15,150.17,61
2018-11-22T12:00:00+0000,150.12,150.13,150.1,150.12,246
2018-11-22T14:00:00+0000,150.11,150.11,150.07,150.08,36
2018-11-22T15:00:00+0000,150.08,150.09,150.08,150.09,88
2018-11-22T16:00:00+0000,150.11,150.11,150.1,150.1,16
2018-11-22T17:00:00+0000,150.09,150.09,150.09,150.09,30
2018-11-23T08:00:00+0000,150.12,150.32,150.12,150.32,30
2018-11-23T09:00:00+0000,150.36,150.36,150.35,150.35,8
2018-11-23T11:00:00+0000,150.4,150.4,150.38,150.38,14
2018-11-23T12:00:00+0000,150.3,150.3,150.3,150.3,1
2018-11-23T13:00:00+0000,150.39,150.39,150.39,150.39,1
2018-11-23T14:00:00+0000,150.49,150.51,150.49,150.49,167
2018-11-23T15:00:00+0000,150.48,150.48,150.47,150.47,400
2018-11-23T16:00:00+0000,150.46,150.47,150.45,150.45,29
2018-11-26T07:00:00+0000,150.38,150.38,150.38,150.38,6
2018-11-26T09:00:00+0000,150.29,150.3,150.29,150.3,195
2018-11-26T15:00:00+0000,150.23,150.25,150.23,150.23,25
2018-11-26T16:00:00+0000,150.24,150.24,150.24,150.24,2
2018-11-26T17:00:00+0000,150.26,150.29,150.26,150.29,80
2018-11-27T07:00:00+0000,150.41,150.41,150.41,150.41,5
2018-11-27T08:00:00+0000,150.52,150.52,150.52,150.52,6
2018-11-27T09:00:00+0000,150.44,150.44,150.36,150.36,158
2018-11-27T10:00:00+0000,150.36,150.38,150.36,150.38,56
2018-11-27T12:00:00+0000,150.34,150.34,150.33,150.33,478
2018-11-27T13:00:00+0000,150.35,150.42,150.35,150.39,54
2018-11-27T14:00:00+0000,150.4,150.44,150.37,150.43,607
2018-11-27T15:00:00+0000,150.44,150.45,150.4,150.41,307
2018-11-27T16:00:00+0000,150.4,150.41,150.39,150.4,70
2018-11-27T17:00:00+0000,150.41,150.45,150.41,150.45,10
