Time,Open,High,Low,Close,Volume
2016-03-29T18:00:00+0000,10.795,10.795,10.795,10.795,1
2016-03-30T18:00:00+0000,10.79,10.79,10.79,10.79,1
2016-03-31T17:00:00+0000,10.335,10.335,10.335,10.335,1
2016-03-31T18:00:00+0000,10.38,10.38,10.38,10.38,1
2016-04-01T17:00:00+0000,10.5,10.5,10.5,10.5,1
2016-04-01T18:00:00+0000,10.49,10.53,10.47,10.47,3
2016-04-08T17:00:00+0000,10.755,10.755,10.655,10.655,2
2016-04-11T14:00:00+0000,10.75,10.75,10.75,10.75,1
2016-04-15T14:00:00+0000,11.06,11.06,11.06,11.06,3
2016-04-25T17:00:00+0000,11.605,11.605,11.605,11.605,1
2016-05-03T13:00:00+0000,11.68,11.68,11.68,11.68,5
2016-05-05T17:00:00+0000,11.74,11.74,11.74,11.74,1
2016-05-05T18:00:00+0000,11.75,11.75,11.75,11.75,1
2016-05-09T10:00:00+0000,11.67,11.675,11.67,11.675,2
2016-05-11T13:00:00+0000,11.86,11.86,11.86,11.86,1
2016-05-13T15:00:00+0000,12.2,12.21,12.2,12.21,2
2016-05-13T17:00:00+0000,12.21,12.21,12.21,12.21,2
2016-05-16T14:00:00+0000,12.25,12.25,12.25,12.25,5
2016-05-17T02:00:00+0000,12.43,12.43,12.38,12.38,2
2016-05-20T18:00:00+0000,12.3,12.3,12.3,12.3,1
2016-05-23T16:00:00+0000,12.24,12.24,12.24,12.24,1
2016-05-25T15:00:00+0000,11.97,11.97,11.97,11.97,1
2016-05-26T08:00:00+0000,12.11,12.11,12.11,12.11,1
2016-05-31T02:00:00+0000,11.585,11.585,11.585,11.585,2
2016-05-31T14:00:00+0000,11.585,11.585,11.585,11.585,1
2016-06-07T08:00:00+0000,12.39,12.39,12.39,12.39,1
2016-06-07T14:00:00+0000,12.39,12.39,12.39,12.39,1
2016-06-07T15:00:00+0000,12.415,12.415,12.415,12.415,2
2016-06-07T17:00:00+0000,12.43,12.43,12.43,12.43,7
2016-06-14T12:00:00+0000,11.945,11.98,11.945,11.98,3
2016-06-24T03:00:00+0000,11.56,11.56,11.56,11.56,1
